[2026-05-05 10:47:41] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-04
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605040000+TO+202605042359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-5-4 | Research on Spectrum Sensing Method for Non-Cooperative Targets Correction
[NO] 518/1000 | A Seamless Transition of Microgrid Using Dedicated Resynchronization Distributed Generation Based on Droop Control
[NO] 519/1000 | A Non-Isolated Hybrid DC-DC Converter with Continuous Current and High Efficiency for EV Chargers
[NO] 520/1000 | Secure Data Exchange in Smart Metering: A DLMS/COSEM TCP/IP Wrapper Based Approach
[NO] 521/1000 | Order Diminution of Higher-Order Islanded Microgrids Using Hybrid Truncation-Routh and Factor Division Approach
[NO] 522/1000 | DNCF: Fine-Grained Embedding-Driven Rating Prediction Model for User Behavior Analysis
[NO] 523/1000 | Unsupervised Method of Transformer-based Multimodal Representation Learning for Acoustic Event Classification and Blind Acoustic Scene Classification
[NO] 524/1000 | Occlusion-Aware Face Retrieval: Identity Restoration through Generative Inpainting
[NO] 525/1000 | Research on Heterogeneous Data Schema Matching Method Based on Deep Learning and Knowledge Graph
[NO] 526/1000 | Beyond the Bite: Developing a System for Assessing Burger Image Attractiveness
[YES] 527/1000 | Reverse Engineering of Industrial Protocols From Network Traffic
[NO] 528/1000 | The Simons Observatory: Characterization of All DC/RF Routing Wafers for Detector Modules
[NO] 529/1000 | A New Adaptive Model Order Reduction Technique for Fast Frequency Domain Electromagnetic Computation
[NO] 530/1000 | Breaking the Communication-Accuracy Trade-off: A Sparsified Information Diffusion Framework for Multi-Agent Collaborative Perception
[NO] 531/1000 | 5 Questions: Jon Wagner: What it takes to Design eVTOL Motors
[NO] 532/1000 | Entanglement: A Brief History of Human Connection
[NO] 533/1000 | Near Real-Time Spike-Driven Synaptic Plasticity for CTT-Based Neuromorphic Systems
[NO] 534/1000 | IEEE Transactions on Neural Networks and Learning Systems Publication Information
[NO] 535/1000 | Performance Evaluation of a High-Sensitivity Preclinical PET/CT Scanner
[NO] 536/1000 | Quarternion Maximum Versoria Criterion Algorithm for Channel Estimation Under Non-Gaussian Noise
[NO] 537/1000 | Keyword Index
[NO] 538/1000 | A Low-Cost IoT and Machine Learning Enabled Automated Irrigation System for Precision Agriculture in Resource-Constrained Environments
[NO] 539/1000 | Unveiling Misinformation Sharing on Social Media: A Framework and Research Agenda_supp1-3676157.pdf
[NO] 540/1000 | Binary Dispersed Array Codes for Distributed Storage Systems
[NO] 541/1000 | Distilling 10-m Land Cover Maps from Multi-Source Consensus via AlphaEarth Embeddings and Noise-Aware Weak Supervision
[NO] 542/1000 | Detecting Land Use Change in Protected Areas Using Deep Learning and Big Earth Observation Data
[NO] 543/1000 | Design and Analysis of a Triple-Gain Seven-Level Switched Capacitor Inverter for PV Application
[NO] 544/1000 | Design and Simulation of $15 \text{kV} / 5 ~\mathrm{A}$ DC Power Supply for Residual Ion Dump Using Modular Multilevel Converter
[NO] 545/1000 | Enhanced State of Charge Estimation for Electric Vehicle Batteries using Temperature-Integrated Coulomb Counting Method
[NO] 546/1000 | Machine Learning Enhanced Phase-Shift Optimization Control in Bidirectional Multi-Level DAB Converter for EV Charger Application
[NO] 547/1000 | Integrating Water-Solid TENGs into Green Energy Systems: Insights from Experiment and Machine Learning
[NO] 548/1000 | A Novel Data-Driven Machine Learning Framework for SOC Estimation in EV Batteries: A White-Box Approach Using Elastic Net Regression
[NO] 549/1000 | Digital Twin Enabled Adaptive Control and Thermal Management for EV Power Converters
[NO] 550/1000 | Comparative Analysis of Classical MOR Methods for MIMO Hydro Power System
[NO] 551/1000 | Traveling Wave Based Fault Type Classification for Networks Connected with Inverter Based Resources
[NO] 552/1000 | A Comprehensive Review on Pantograph-Catenary Arc Detection and Classification in High-Speed Railway Traction Systems
[NO] 553/1000 | Low-Cost Flat-Type Interior Permanent Magnet Machine with Hybrid Permanent Magnet Material
[NO] 554/1000 | A Variable Duty Cycle-Controlled Hybrid Metaheuristic MPPT Approach for Photovoltaic Power Optimization
[NO] 555/1000 | Modeling of Series-Connected Split-Phase Induction Motor Under Open-Circuit Fault
[NO] 556/1000 | Performance Analysis of Non-Isolated Bidirectional DC-DC Converters for Renewable Energy Application
[NO] 557/1000 | Performance Evaluation of Cuckoo Search-Based MPPT in Ladder-Configured PV Arrays Under Partial Shading Conditions
[NO] 558/1000 | Torque Ripple Reduction of Switched Reluctance Motor with Stator Pole and Rotor Pole Shaping
[NO] 559/1000 | Design of a Robust Nonlinear Attack Estimator for Grid-Tied Inverters using a Friction Observer for Grid-Tied Inverters
[NO] 560/1000 | Damping of Sub Synchronous Oscillation Serving to DFIG Based Type 3 Wind System
[NO] 561/1000 | Genetic Algorithm-Optimized Fuzzy Control of Battery Storage Systems for Virtual Inertia Emulation in Microgrids
[NO] 562/1000 | Research on Visual Symbol Exploration and Cultural and Creative Design Innovation of Quanzhou Lanterns Empowered by AIGC
[NO] 563/1000 | ERDOR:Energy-Efficient Routing Protocol for Wireless Sensor Networks Based on Regional Division and Dynamic Optimization
[NO] 564/1000 | Load Balancing for Distributed Software-Defined Networking for Internet of Things Based on Dynamic Binary Consistent Hash Algorithm
[NO] 565/1000 | MOCF: Modeling and Optimization Collaborative Time Series Forecasting Framework
[NO] 566/1000 | Combining Vision-Language Models and Deep Fusion Networks for Multilingual Hate Meme
[NO] 567/1000 | DRS-UAD: A Defect–Response Evaluation Framework for Unsupervised Anomaly Detection Under Missing Data and Noise
[NO] 568/1000 | MONI: Toward Competition Softening and Congestion Mitigation for Federated Learning in MEC-Enabled IIoT
[NO] 569/1000 | CARVE: Content-Adaptive Rate-Variable Encoding for Neural Speech Codecs
[NO] 570/1000 | Contributors
[NO] 571/1000 | Resilience Analysis of Closed-Loop Multiagent Systems Under Replay Attacks in the Context of Consensus Tracking
[NO] 572/1000 | University Faculty Perceptions of Core Concepts in Introductory Programming Courses
[NO] 573/1000 | Unsupervised Aspect-Based Sentiment Analysis through LLM: A Case Study of an Unlabeled Portuguese Beer Database
[NO] 574/1000 | Stochastic-Sampling-Based Event-Triggered Control for Switching Reaction–Diffusion Neural Networks
[NO] 575/1000 | LSGLM: An efficient threat detection method based on large-scale graph parallelized learning
[NO] 576/1000 | R
                    <sup>2</sup>
                    GCN: Rich Relational Knowledge Graph Representation Learning
[NO] 577/1000 | A Non-Learned Multi-Band Relative Contrastive Loss for Speech Enhancement
[NO] 578/1000 | Modified Tuna Swarm Optimization Based Volt-VAr Optimization in Radial Distribution System Using Energy Storage Systems
[NO] 579/1000 | Evaluating PWM Strategies for Enhanced Performance in Three-Phase Modular Multilevel Converter
[NO] 580/1000 | Intelligent ANN Control Technique for Grid Integrated Solar PV System
[NO] 581/1000 | Analysis and Control of NIBB-Converter Assisted Improved Triple Active Bridge Converter for Two-Port Application
[NO] 582/1000 | Smart Energy Management System for Green Microgrids with Different Energy Storage Devices
[NO] 583/1000 | AI-Driven Predictive Maintenance for Boost-Luo Converter-Fed Motor Drives in Renewable Energy Systems
[NO] 584/1000 | A Comparative Analysis of HDLC and TCP/IP Communication Profiles for DLMS/COSEM-Based Smart Metering Systems
[NO] 585/1000 | Grid-Tied Solar Water Pumping System Using Sensorless PMSM and IAVSLMS Algorithm
[NO] 586/1000 | Stability Analysis of GFLI and GFMI Integrated with Weak-AC Grid and Under SSO Phenomenon
[NO] 587/1000 | A Modified Hysteresis Controller for SRM Drive Fed from AHB Converter
[NO] 588/1000 | Fuel Cell Integrated High Gain and Mitigated Device Stress Quadratic Boost Converter
[NO] 589/1000 | Optimal Energy Management of Grid-Connected Microgrid, Including Conventional and Non-Conventional Energy Sources, using Demand Response
[NO] 590/1000 | Impedance-Based Topology Identification for Radial Distribution Networks Using Smart Meter Data
[NO] 591/1000 | Dual Solar Based Isolated Battery Charger for Vehicle Integrated Photovoltaics Application
[NO] 592/1000 | Evaluating Hybrid Grid-Scale Energy Storage Solutions for India's 2025 Power Requirements
[NO] 593/1000 | Mathematical Modeling and Drying Kinetics in Thermal Energy Storage-Assisted Greenhouse Solar Dryer
[NO] 594/1000 | Cross Diagonal Pattern Reconfiguration for Multilevel Inverter Fed Two-Stage PV Water Pumping System
[NO] 595/1000 | Energy Efficient Control of Photovoltaic Integrated Low Voltage Distribution Network
[NO] 596/1000 | SoC Estimation of Li-Ion Batteries Using Golden Jackal Algorithm Tuned Support Vector Machine
[NO] 597/1000 | Critical Voltage Stability Index Based μPMU Placement in Active Distribution Network
[NO] 598/1000 | Corneal Segmentation from Ocular Staining Images Using UNet++ with Ellipse Parametric Regression Loss
[NO] 599/1000 | Deep Learning Control of Steam–Molten Salt Energy Networks
[NO] 600/1000 | Na-IRSTD: Enhancing Infrared Small Target Detection via Native-Resolution Feature Selection and Fusion
[NO] 601/1000 | Design of a Multi-Angle Multi-Depth Flow Phantom for Ultrasound Flow Calibration
[NO] 602/1000 | Enhancing Cognitive Apprenticeship Through Generative AI: An Empirical Study of Student Perceptions and Learning Outcomes
[NO] 603/1000 | Confined Space Underwater Positioning Using Collaborative Robots: A Proposed System_supp1-3683271.mp4
[NO] 604/1000 | New Sphere-Packing Bounds for Finite-Blocklength Coding over Additive Noise Channels
[NO] 605/1000 | Research on Ultra-Short Baseline Omnidirectional Hydroacoustic Ranging Multi-Element Array Layout
[NO] 606/1000 | Research on the Fusion Framework of Digital Twin and the Internet of Things based on Bibliometric
[NO] 607/1000 | Evaluation Method for the Effectiveness Contribution Rate of Information Processing System in Air Defense Early Warning Systems
[NO] 608/1000 | Integrating Deep Learning Techniques for Optimizing Supply Chain Management in the Global Economy
[NO] 609/1000 | Big Data Analytics–Based Early Warning System for Hypertension Progression
[NO] 610/1000 | A Data-Driven Multi-Criteria Decision Support Framework for Food Packaging Visual Design Using AHP–QFD
[NO] 611/1000 | Dual-wavelength Generation in NPR Mode-locked Fiber Laser Relying on Active Insertion Loss Control
[NO] 612/1000 | Finite-Horizon Distributed Optimal Consensus Control of Discrete-Time Homogeneous Multi-Agent Systems
[NO] 613/1000 | Theoretical and experimental study of the freestanding-mode triboelectric nanogenerators for humidity sensors
[NO] 614/1000 | Resource-Efficient Adaptive Security for Rolling-Shutter VLC Sensors Using Lightweight Reinforcement Learning
[NO] 615/1000 | Scattered-Power Substructure Characteristic Mode Formulation via Hybrid Vector Spherical Wave–MoM Method: Comparative Analysis of Scattering-Matrix- and Impedance-Matrix-Based Formulations
[NO] 616/1000 | A Sector-Grounded Metasurface Windshield Antenna with Uniform Downtilted Beam for Wide-Azimuth V2X Coverage
[NO] 617/1000 | Gas Component Detection and Calibration Technology for GIS Based on Optical Frequency Comb
[NO] 618/1000 | QoS-Aware UAV Service Scheduling for Timely IoT Data Aggregation in Dynamic Environments
[NO] 619/1000 | Attitude-Position Integrated Control for Spacecraft Formation With Predefined-Time Convergence
[NO] 620/1000 | GKit-SSRDecoder: an open-source C/C++-based PPP-B2b and HAS decoding and formatted product generation software
[NO] 621/1000 | A Measurement-Oriented Spatio-Temporal Subspace Network for Monitoring Nonstationary Industrial Processes
[NO] 622/1000 | Life Extension of Lithium-ion Battery for Automotive Applications using Hybrid Energy Storage Systems
[NO] 623/1000 | Satellite-Ground Collaborative Learning: An Empirical Study on Remote Sensing Vision-Language Model
[NO] 624/1000 | Task Graph Maximum Likelihood Estimation for Procedural Activity Understanding in Egocentric Videos
[NO] 625/1000 | DSIGAN: A Dual Branch Style Injection Generative Adversarial Network for Pan-sharpening
[NO] 626/1000 | Few-shot Remote Sensing Image Scene Classification Based on Zigzag Scanning Feature Sequence and Riemannian Kernel Fisher Discriminant Analysis
[NO] 627/1000 | VecComp: Vector Computing via MIMO Digital Over-the-Air Computation
[NO] 628/1000 | Table of Contents
[NO] 629/1000 | Performance Comparison of High-Gain DC-DC Converters for PV Fed EV Off-Board Chargers
[NO] 630/1000 | A Comprehensive Study of Battery Health Indicators Extraction Using Partial Charging Curve
[NO] 631/1000 | Smart Thermal Regulation in EV Batteries Using Real-Time Digital Twin Feedback for Enhanced Performance
[NO] 632/1000 | A Control Strategy for Input Voltage Unbalance in Three-Phase PWM Rectifiers Based on Adaptive Periodic Current Fluctuation Suppression
[NO] 633/1000 | DFOGI-RLS Lattice-FLL Based Synchronization Technique for Wind-PV-BESS Based Standalone Distributed System With Local Non-Linear Load
[NO] 634/1000 | Low-Power High-Speed Approximate Ternary Half-Adder and Multiplier Circuit Design Using Carbon Nanotube Field-Effect Transistors
[NO] 635/1000 | Design and Performance Evaluation of a Threephase Multilevel ANPC Switched-Capacitor
[NO] 636/1000 | Optimized Power Flow Management in High Renewable and PEV Penetration Scenarios Using Multi-Verse Optimizer
[NO] 637/1000 | A 5G-Enabled IoT Architecture for V2V and V2I Communication in Autonomous Vehicles
[NO] 638/1000 | Design and Simulation of an Electronic on-Load Tap Changer Transformer Under Transient and Steady-State Conditions
[NO] 639/1000 | Reinforcement Learning-Based Tuning of a Bidirectional Wireless Charging System to Zero Phase Angle Under Misalignment
[NO] 640/1000 | Anomaly Detection in Industrial Time Series Using LSTM: A Case Study on Solar Panel Monitoring
[NO] 641/1000 | Boosting Energy Storage Performance: Ni-Doped $\text{ZnMn}_{2} \mathrm{O}_{4}$ as a Promising Electrode for Supercapacitors
[NO] 642/1000 | A Dual Input Single Output Nonisolated DC/DC Converter for Low/High Voltage Sources with Step Down/Up Capabilities
[YES] 643/1000 | Design and Hil Validation of a Closed-Loop Controlled 5 KW LLC Resonant Converter for 400 V DC Output Using OPAL-RT
[NO] 644/1000 | A Closed Form Fault Location Method for Double-Circuit Series Compensated Lines
[NO] 645/1000 | A Transformer Less Zeta Converter with Reduced Voltage Stress for Hybrid Electric Vehicle Applications
[NO] 646/1000 | A Seven-Level Triple-Boost Common-Ground Multilevel Inverter with Reduced Voltage Stress
[NO] 647/1000 | Enhancing the Life Expectancy of Storage Device in a Solar Pv Based Microgrid
[NO] 648/1000 | Generative Artificial Intelligence and Corporate Risk-Taking: A Stylized Theoretical Framework with Evidence
[NO] 649/1000 | Mitigating Repetitive Generation of Motion Tokens in Motion-Language Model via Knowledge Distillation
[NO] 650/1000 | Generative AI-Driven Digital Media Platforms for Interactive Art Communication
[NO] 651/1000 | Converging Technologies and Their Human Impact: Ethical and Societal Reflections on Nanotechnology, Biotechnology, Information Technology, and Cognitive Science (NBIC) Systems — A Systematic Review
[NO] 652/1000 | Toward Digital Transformation 4.0 in the Global South: A Zimbabwean Framework for Policy, Inclusion, and Industrial Resilience
[NO] 653/1000 | Meta-Analysis of Climate-Smart Livestock Management and Greenhouse Gas Emissions
[NO] 654/1000 | A Systematic Review of Feature Modelling Challenges in Multimodal Learning
[NO] 655/1000 | Frequency-Domain Signatures for Proactive Defense Against Model Poisoning Attacks in Federated Learning
[NO] 656/1000 | Reducing Annotation Dependency in Low-Resource NLP Using Bootstrap Techniques: A Shona Case Study
[NO] 657/1000 | VLM-Guard: Defending Jailbreaks by Monitoring Only Hundreds of Safety-Critical Neurons
[NO] 658/1000 | DC Bus Voltage Control Strategy for Hybrid Energy Storage System with Renewable Energy System
[NO] 659/1000 | A Survey of Jailbreaking Attacks on Large Language and Multimodal Models
[NO] 660/1000 | Enhancing Python Programming through ChatGPT-5 Study Mode: A Study on Learning Achievement, Motivation, and Self-Regulated Learning in Serious Game Learning with CodeCombat
[NO] 661/1000 | Predicting Employee Attrition Using Supervised Machine Learning: A Comparative Study
[NO] 662/1000 | Comparative Study of Generic and Dedicated Generative AI Platforms for K-12 School Cyber Security Improvement
[NO] 663/1000 | Emergent Self-Awareness in Distributed AI Systems: From GlobalWorkspace Integration to Measurable Consciousness
[NO] 664/1000 | SSDiff: A Contrast-Free Virtual LGE Generator for Acute Myocardial Infarction with Joint Segmentation via Diffusion Model
[NO] 665/1000 | Masthead
[NO] 666/1000 | Time-Frequency Feature Analysis of Underwater Borehole Blasting Shock Wave Based on CEEMDAN-VMD-SST
[NO] 667/1000 | When CNNs Truly Outperform PCE on Source Camera Attribution?
[NO] 668/1000 | Time-frequency spectrum analysis and CNN for automatic radar emitter signal recognition under impulse noise
[NO] 669/1000 | Chemo-Hydrodynamic Transceivers for the Internet of Bio-Nano Things
[NO] 670/1000 | Multi-UAV Resource Allocation and Trajectory Planning via Hierarchical Coalition Game for Radar Network Suppression
[NO] 671/1000 | Outflanking bandwidth limitations for Terahertz generation in silicon metasurfaces
[NO] 672/1000 | A Novel Multitask and High-Generalization Method for Variable-Length Complex Power Quality Disturbances Signals Classification
[NO] 673/1000 | Dynamic Event-Based Fuzzy Quantized Fault-Tolerant Control for Cascaded ODE-Belt Systems With Actuator Failures and Quantization
[NO] 674/1000 | Achieving Information Equilibrium: An Integrated Economic-Sociotechnical-Institutional Framework for Governing Artificial Intelligence Asymmetries
[NO] 675/1000 | Constant Power Wireless Charging with Active Load Impedance Matching Network
[NO] 676/1000 | Modelling of Partial Discharge Detection in Power Transformer Using ZnO Material Based Piezoelectric Sensor
[NO] 677/1000 | Accurate State of Charge Estimation of Li-Ion Battery Pack in Real Driving Conditions Using Safe Reinforcement Learning
[NO] 678/1000 | Hybrid Deep Learning Models for Real-Time Anomaly Detection in Electric Vehicle Systems
[NO] 679/1000 | Differentiation Method Based Reduction of Interconnected Hybrid Power System
[NO] 680/1000 | Modelling and Control of Fourth-Order Zeta Converter for Electric Vehicle Charging
[NO] 681/1000 | A Modified Smith Predictor Approach for Controlling Unstable Cascade Processes
[NO] 682/1000 | Interval Modelling and Model Order Reduction of WTG Connected Power System
[NO] 683/1000 | Comparative Analysis of Power Performance Enhancement in Solar PV Systems Using Phase Change Materials Across Distinct Indian Climate Zones
[NO] 684/1000 | Electricity Theft Detection Model Using CNN-BiLSTM with Attention Mechanism in Smart Grid Environment
[NO] 685/1000 | A Novel THF-NLFXLMS Control Approach for PMSG-Integrated Three-Phase Microgrid Intended to G2V and V2G EV Charging Infrastructure
[NO] 686/1000 | Thermal Phase Sensitivity Reduction in Hollow-Core Photonic Bandgap Fibers Enabled by a Stress-Buffering Coating Architecture
[NO] 687/1000 | Vibration Based Incipient Inter Turn Fault Diagnosis in Permanent Magnet Synchronous Machine Using Deep Learning Approach
[NO] 688/1000 | Field-Oriented Control of Synchronous Reluctance Motor for Electric Vehicle
[NO] 689/1000 | Addressing Cyber-Physical Vulnerabilities in V2G and G2G Systems Through a Hybrid Recovery Framework
[NO] 690/1000 | Hydrogen as a Decarbonization Vector: Classification, Production Insights, and its Range
[NO] 691/1000 | Gaussian Process Regression-Assisted Sliding Mode Control for Trajectory Tracking of Unmanned Surface Vehicles
[NO] 692/1000 | AC-Powered Dual-Active-Bridge (DAB) Based EV Charger with Reduced Current Stress Converter Using an Adaptive DC Link
[NO] 693/1000 | Improved PEM Fuel Cell Parameter Identification Through Polynomial Regression Assisted PSO
[NO] 694/1000 | A Unified Approach for Mitigating Loss of Excitation Using Adaptive Sliding Mode Control
[NO] 695/1000 | Time Domain Dielectric Response of Transformer Oil-Paper Insulation Retrofilled With Natural Ester Oil
[NO] 696/1000 | Design, Analysis and Control of Dual-Mode Voltage Equalizer using Switched-Capacitor and Fly-Back Converter for Series-Connected Battery String
[NO] 697/1000 | Efficient Method for Maximizing Power Output from a Hexagonal Solar Pyramid Structure Compared to a Planar Surface
[NO] 698/1000 | Parametric Analysis of Grid Forming Inverter with Inertia Emulation for Microgrid Applications
[NO] 699/1000 | Improving Active Power Generation With Interconnected Power System with Artificial Electric Field Algorithm Supported by SMES and UPFC
[NO] 700/1000 | The Efficiency-Quality Dilemma: Real-Time HIL Validation of MPPT Algorithms for Resilient Rural PV-Grid Integration
[NO] 701/1000 | Renewable Energy and Load Demand Forecasting Using Multivariate Time Series Foundation Model
[NO] 702/1000 | Multi-Channel LSTM Framework for Intermittent and Incipient Fault Detection &amp; Isolation in Nuclear Reactor Core Instrumentations
[NO] 703/1000 | AMIGO Method Based Control Strategy for Frequency Stabilization in Marine Microgrid
[NO] 704/1000 | Hydrodynamic Modeling and Matrix Converter-Based Control of a PMLG for Ocean Wave Energy Harvesting
[NO] 705/1000 | Dynamic Effects on Flux Linkage Versus Current Contours in Single-Pulse-Operated High-Speed Switched Reluctance Machine
[NO] 706/1000 | Research on Digital Design of Chu Culture Lacquerware Patterns Based on Style Transfer Algorithms
[NO] 707/1000 | A Lightweight Target Detection Algorithm for Remote Sensing Images
[NO] 708/1000 | Research on Initial Pointing Scheme for GEO Inter-satellite Laser Communication Based on Position Uncertainty
[NO] 709/1000 | Joint Shape-Position Optimization Enhanced 2D DOA Estimation in Movable Antenna Systems
[NO] 710/1000 | SSM-DETR: A High-Fidelity Fisheye Perception Framework for Autonomous Driving Scenarios
[NO] 711/1000 | A Ka-Band Splash Hat-Fed Reflector Antenna With Ultra-Wideband and ETSI Class IV Radiation Patterns for 5G Backhaul
[NO] 712/1000 | FISformer: Replacing Self-Attention with a Fuzzy Inference System in Transformer Models for Time Series Forecasting
[NO] 713/1000 | Towards Long-Tailed Federated Edge Learning: A Strategic Data Selection Framework
[NO] 714/1000 | ThermalGaussian++: Improving Alignment and Resolution for ThermalGaussian
[NO] 715/1000 | Advancing In-Context Learning for Efficient and Stable Medical Report Generation
[NO] 716/1000 | Improved Residual Learning in Diffusion Models
[NO] 717/1000 | Constrained Harmonization of Optical Satellite Imagery for Surface Reflectance Bias Removal
[NO] 718/1000 | Beyond SCR: A Comprehensive Approach to System Strength Assessment in IBR-Rich Networks
[NO] 719/1000 | DeepSecure: Hybrid Deep Learning Framework for Detecting Security Vulnerabilities in Python Code_supp2-3689776.pdf
[NO] 720/1000 | Decision-Making in Controlled Environment Agriculture: Producer Perspectives on Digital Decision-Support Tools in the US_supp1-3677667.docx
[NO] 721/1000 | Unified Multimodal Industrial Anomaly Detection via Few Normal Samples
[NO] 722/1000 | Mitigating Attacks on Web Applications via Fine-Grained Adaptive Control-Flow Integrity
[NO] 723/1000 | Lightweight Spiking U-net: An Energy-Efficient Network for Radar LSS Target Detection
[NO] 724/1000 | Copyright Page
[NO] 725/1000 | Financial Services Information Security Culture: The Effect of Strategy, Top Management Involvement, Knowledge and Knowledge Sharing
[NO] 726/1000 | Security Engineering with AI for Purple Teaming: Multi-Case Study of Cybersecurity Engineering Practices in Zimbabwe, Zambia and Botswana
[NO] 727/1000 | Shaping AI Governance in the Global South: A Policy Analysis of Philippine Universities and Agencies
[NO] 728/1000 | LLM-Based Multi-Agent Method for Compliant Generation of Electrical Bonding Processes
[NO] 729/1000 | Low-Hallucination RAG for Mathematical Question Answering: A Trustworthy Generation Method Based on Retrieval Hygiene, Step-Tree Reasoning, and Symbolic-Solver Feedback
[NO] 730/1000 | The AI-Native Developer
[NO] 731/1000 | Research on Precision Intervention of Learning Behaviors among Higher Vocational Students Based on Academic Profiles Using K-means Clustering
[NO] 732/1000 | Traffic Flow Prediction Method Integrating Multi-Feature Engineering with BiLSTM-MHA-PSO
[NO] 733/1000 | Predicting Customer Participation in Affiliate Marketing Using Boosting Models in E-Commerce
[NO] 734/1000 | Cover 3
[NO] 735/1000 | Teletext on the Radio: Co-Opting Some of the Best Tech from the 1980s
[NO] 736/1000 | A Simulation-Based AI-Assisted Framework for Beam Steering in Reconfigurable Metasurface Antennas
[NO] 737/1000 | CraftGround: A High-Performance Reinforcement Learning Environment Based on Minecraft
[NO] 738/1000 | A Step-size Adaptation Golden Eagle Optimizer-Based K-Means Method for Maritime Search and Rescue Clustering
[NO] 739/1000 | Fixed-Time Sliding Mode Control of a Thrust-Vectored Planar VTOL UAV with Strongly Coupled Dynamics
[NO] 740/1000 | TSUE+: an Efficient Update Framework with Swift Recycling Mechanism for Erasure-Coded Cluster File Systems
[NO] 741/1000 | Design Factors Affecting IMU-based Joint Torque Estimation Using Deep Learning
[NO] 742/1000 | Table of Contents
[NO] 743/1000 | CCAT: Silicon-Platelet Feedhorns for Submillimeter Wavelengths
[NO] 744/1000 | Highly Integrated Electrically Small Magneto-Electric Dipole Rectenna for Simultaneous Wireless Information and Power Transfer
[NO] 745/1000 | On the Availability Risks of Production LLM Services under Unbounded Inference
[NO] 746/1000 | Research of Radiation Tolerance via Polyimide Matrix Multilayer Dielectric Structures
[NO] 747/1000 | Mitigation of Corona Discharge Breakdown in ESIW Bandpass Filters
[NO] 748/1000 | Enhancement of Partial Discharge Performance and Insulation Stability of XLPE/SiR Heterointerfaces in Cable Accessories by Plasma Silicon Deposition
[NO] 749/1000 | HAPS- and UAV-Based 6G NTN Architecture for Rural Vehicular Connectivity
[NO] 750/1000 | Spectrum-Efficient Coherent Photonic Terahertz Transmission System Based on Subcarrier Multiplexing with Offset Quadrature Amplitude Modulation
[NO] 751/1000 | “Optimizing Interconnection Calls Routing: A Machine Learning Approach for Cost Efficiency.”
[NO] 752/1000 | Copyright Page
[NO] 753/1000 | Countering Disturbances in Single Phase Grid Integrated PV System Under Abnormal Grid Conditions
[NO] 754/1000 | Smart Controller for Energy-Efficient AHU Operation in Academic Buildings
[NO] 755/1000 | Performance Analysis of INC, VCPSO, CFPSO, CS and SSA MPPT Methods for Maximizing Power Output of Solar PV Arrays Under Dynamic Shading
[NO] 756/1000 | Feasibility and Economic Assessment of a Rooftop Solar Photovoltaic System Using Homer Pro Software
[NO] 757/1000 | Modeling and Control of a Single-Phase CHB Inverter-Based Grid-Tied EV Charging Station with a Dual Active Bridge Interface
[NO] 758/1000 | Investigation on Electric Vehicle Charging and Strategies to Mitigate its Negative Impact on Distribution Grid
[NO] 759/1000 | An Incremental MPPT-Controlled Soft-Switched LED Driver Using a PV-Fed Boost Converter for Street Lighting
[NO] 760/1000 | Impact Analysis of EV Drive Cycles and Types on the Optimal Management of Smart Homes
[NO] 761/1000 | Techno-Economic Analysis of Integrating Optimized Hydrogen Fuel Cell as an Energy Buffer in Green Energy Microgrid
[NO] 762/1000 | Optimized Operational Strategy for Integrated Multi-Carrier Energy Systems
[NO] 763/1000 | A Multiport Charging Station Based on Parallel Hybrid Converters with Grid and Load Unbalance Compensation
[NO] 764/1000 | Control of Dual Transformer Triple Active Bridge with NN-Based Link Current Optimization
[NO] 765/1000 | Analysis and Comparison of Control Strategies for Improved Dynamic Response in DC-DC Luo Converters
[NO] 766/1000 | Matrix Converter-Fed DFIG for Variable-Speed Wind Energy Systems: A Vector Control Approach
[NO] 767/1000 | A New Wide-Range ZVS Enabled Single-Stage AC–AC Converter for Solid-State Transformers (SST)
[NO] 768/1000 | VSG-Based Grid Forming Inverter Control for Solar PV and Electric Vehicles to Enhance the Frequency Stability in LFC Systems
[NO] 769/1000 | Modeling of Mazzilli ZVS Flyback Converter Coupled with Cockcroft-Walton Voltage Multiplier Using MATLAB Simulink
[NO] 770/1000 | $\alpha$-Blend MPC: A Curvature-Adaptive Dual-Weight Model Predictive Control for Autonomous Vehicle Navigation
[NO] 771/1000 | Tensile Strength and Thermal Degradation Analysis of EPDM Composites for High Voltage Insulation
[NO] 772/1000 | Coordinated Three-Axis Linear Slide Stage Control: A Case Study
[NO] 773/1000 | The Role Transition of E-commerce Font Designers in the AIGC Era: From “Scribes” to “Curators” and “Algorithm Tame Masters”
[NO] 774/1000 | Large Language Models for 3D IC Space Planning
[NO] 775/1000 | LLM-based Enhanced Question Answering System in Medical Domain
[NO] 776/1000 | Computational Thinking in ICILS 2023: Analyzing the Construct and Its Antecedent- and Process-Level Predictors
[NO] 777/1000 | Financial News Sentiment as a Key Indicator of Economic Temporal Dynamics
[NO] 778/1000 | Hybrid techniques for Legal Text Summarization: A comparative analysis
[NO] 779/1000 | A Parametric Latency Model for Optimizing Edge AI Architectures
