[2026-06-23 12:08:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-22
正在获取论文...
[arXiv] 2026-06-22 | Emergence of Common Noise: Quantitative Conditional Propagation of Chaos
                    <sup>177</sup>
                    Lu-PSMA Radiopharmaceutical Therapy for Prostate Cancer
[NO] 1106/1964 | Subgraph Neural Networks With Multi-Scale Contrastive Learning for Graph Classification
[NO] 1107/1964 | Unlocking Wide-FoV Perception: A Robust Targetless Sensor Calibration Framework for Fisheye–LiDAR Fusion
[NO] 1108/1964 | Proof-of-Concept Dual-Energy X-ray Discrimination of Glass and Poly (methyl methacrylate) Enabled by Carbon Nanotube Cold Cathode
[NO] 1109/1964 | Broadband Microwave Photonic Electric Field Sensors for Partial Discharge Monitoring
[NO] 1110/1964 | Graph Signal Separation with Learnable Spectral Filters_supp1-3705721.pdf
[NO] 1111/1964 | PhishGuard: Intelligent Detection of Phishing Website Using URL and Content Analysis
[NO] 1112/1964 | Autonomous Leak Screening of Consumer Products Stored in Sealed Opaque Packaging Using Thermography and Deep Learning
[NO] 1113/1964 | Reproducing the results in ‘Robot Dynamics Identification: A Reproducible Comparison With Experiments on the Kinova Jaco’
[NO] 1114/1964 | Preface
[NO] 1115/1964 | Strategy for Enhancing the Short-Time Current-Carrying Capacity of IGBTs Based on Two-Level Gate Voltage Regulation
[NO] 1116/1964 | A Hybrid Intelligent Framework for Scalable Compliance Enforcement Across Multi-Regulatory Banking Standards
[NO] 1117/1964 | Comparative Structural and Semantic Evaluation of Fine-Tuned Large Language Models for UML Activity Diagram Generation
[NO] 1118/1964 | Smart Train Coach Seat Authentication and Complaint Handling System using IoT
[NO] 1119/1964 | CFD-Based Optimization of Geothermal Greenhouse Climate Control Systems in Arid Regions
[NO] 1120/1964 | Optimizing Date Supply Chain Resilience: A Simulation-Based Sourcing and Location Strategies
[NO] 1121/1964 | Compact High-Gain T-Shaped Antenna Integrated with Artificial Magnetic Conductor for 5.8 GHz WBAN Applications
[NO] 1122/1964 | A Machine Learning Approach for Phishing Email Detection Using Random Forest
[NO] 1123/1964 | Real-Time IMU Fusion for Quadcopter Attitude Estimation: Quaternion EKF Implementation on an STM32 Microcontroller
[NO] 1124/1964 | A Highly Integrated Multi-Parameter Sensor Based on a Shared Second-Order ΔΣ ADC
[NO] 1125/1964 | A Robust IoT-Edge AI Framework for Real-Time Industrial Fire Prevention Using Gas Sensor-Based Anomaly Detection
[NO] 1126/1964 | Integration of BIM in Higher Education Curricula in Oman
[NO] 1127/1964 | Subgraph Optimization-based Graph Attention Network with Dual Attention for Rumor Detection
[NO] 1128/1964 | AirCloak: An App-Transparent Traffic Cloaking Middleware Against Wireless Fingerprinting Attack
[NO] 1129/1964 | Bridging Information Asymmetry: A Hierarchical Framework for Deterministic Blind Face Restoration
[NO] 1130/1964 | A Computationally Efficient Codesign of State Observer and Identifier for Weak-Excitation Robust Control of Embedded Robotic Systems
[NO] 1131/1964 | Medical Referring Image Segmentation via Next-Token Mask Prediction
[NO] 1132/1964 | Two-Stage Focusing Inversion of Gravity Data Using Student’s t Distribution and Iterative Hard Thresholding
[NO] 1133/1964 | WIP: False-Data Injection Against Physics-Constrained Neural Networks for Trajectory Planning in Autonomous Racing
[NO] 1134/1964 | Not All Students Engage Alike: Multi-Institution Patterns in GenAI Tutor Use
[NO] 1135/1964 | Study on a Wideband Partial Discharge Detection System for Compact Switchgear
[NO] 1136/1964 | FPGA-Based Implementation of a 32-bit Signed Multiply (MUL) Instruction in the MIOS Single-Cycle Datapath Using Verilog: Source Code, Testbenches, and On-Board Validation
[NO] 1137/1964 | Implementing IoT Architecture for Home-Based Physical Telerehabilitation
[NO] 1138/1964 | Big Data-Based Healthcare Data Analysis Using Various ML and DL Techniques Identifying High-Risk Sensitive Records
[NO] 1139/1964 | toCylog: T5-Based spaCy NLP Pipeline for Automated Filipino Assessment in Gamified Education Applications
[NO] 1140/1964 | SmartSpend: A Unified Artificial Intelligence Powered Personal Finance Dashboard Integrating Fraud Detection, Spending Forecasting and Budget Recommendation
[NO] 1141/1964 | CFD analysis and comparison of transverse vortex generators for a double-sided direct contact liquid cooling manifold with minichannels for SiC MOSFETs
[NO] 1142/1964 | A 94-GHz 16-Core CMOS VCO Achieving −104.9 dBc/Hz Phase-Noise
[NO] 1143/1964 | Deep Learning-Enhanced Image and Signal Processing for Robust 6G Wireless Communication Systems
[NO] 1144/1964 | A linear Incremental ADC employing a nonlinear element for weak current detection
[NO] 1145/1964 | Human-in-the-Loop Prompt-Policy Learning for Longitudinal Driver Behaviour Improvement Using Vision-Based Risk Perception
[NO] 1146/1964 | Table of Contents
[NO] 1147/1964 | Performance Enhancement Strategies for Resonant Absolute Pressure Sensor
[NO] 1148/1964 | A Machine-Learning-Enhanced Noncontact Intelligent Sensor Based on Moisture Electricity Generator
[NO] 1149/1964 | Circularly Polarized Linear Phased Array Based on Quasi-Sequential Rotating Subarrays
[NO] 1150/1964 | Low-Complexity Randomized Iterative Detection For XL-MIMO Communications
[NO] 1151/1964 | Synopsis of the June 2026 Issue of the IEEE Letters on Electromagnetic Compatibility Practice and Applications
[NO] 1152/1964 | DAG-Aware Gate Fusion for Efficient State-Vector Quantum Circuit Simulation
[NO] 1153/1964 | Statistical-Prior-Guided Grad-CAM with Capsule Networks for Few-Shot Partial Discharge Pattern Recognition in PP Cables
[NO] 1154/1964 | Gain-Loss Engineering in Geometry-Controlled Surface Lattice Resonance Lasers
[NO] 1155/1964 | Region-Aware Wasserstein Distances of Persistence Diagrams and Merge Trees_supp1-3703539.pdf
[NO] 1156/1964 | Cover Page
[NO] 1157/1964 | Numerical Simulation of the Influence of High-Power RF Tetrode Gate Aperture on Electron Transport Characteristics
[NO] 1158/1964 | Enhanced Integer Memristor-Coupled Chaotic System and Its Efficient Hardware Implementation
[NO] 1159/1964 | Sustainable Design and Development of Urban Public Transport System in Oman
[NO] 1160/1964 | DPGL-YOLO: Edge-Efficient Tiny Object Detection for Compound-Eye–Based Industrial IoVT
[NO] 1161/1964 | Cross-Layer Secure Sum-Rate Maximization in IRS–NOMA O-RAN
[NO] 1162/1964 | Investigating ULF Geomagnetic Anomalies Before the 2013 Lushan Earthquake Using Weighted Multichannel Singular Spectrum Analysis
[NO] 1163/1964 | Seasonal Reversal Characteristics and Driving Mechanism of Daytime Surface Temperature in Photovoltaic Plants in Northwest China
[NO] 1164/1964 | Comparative Machine Learning Analysis of Gen Z's Clothing Consumption Behavior: Predicting Sustainable Fashion Adoption and Expectations in Bangladesh
[NO] 1165/1964 | Program Committee
[NO] 1166/1964 | AI-Based Post-COVID Heart Disease Risk Prediction Using DLSTM Fusion
[NO] 1167/1964 | Integrating AI with Zero Trust for Secure Oil &amp; Gas IoT Environments
[NO] 1168/1964 | A High Voltage, High-Stability Charge Pump Circuit Design
[NO] 1169/1964 | Optimizing Transmission Power for RIS-Assisted Multi-User Communication Systems
[NO] 1170/1964 | A Dual-Channel STFT-Based Instantaneous Frequency Measurement Method
[NO] 1171/1964 | A Low-Complexity WMMSE-ADMM Algorithm for Max-Min Fair RSMA-Aided VLC Systems
[NO] 1172/1964 | MPLB-NPU: An Energy-Efficient NPU Microarchitecture Supporting Mixed-Precision Low-Bit Computation
[NO] 1173/1964 | Effect of Mass Ratio, Stiffness and Amplifier Angle on Power Output in Low-Frequency Piezoelectric Energy Harvesters with Inertial Amplifiers
[NO] 1174/1964 | Leveraging AI in engineering knowledge work: a framework for evaluating effective use cases
[NO] 1175/1964 | Committees
[NO] 1176/1964 | Lung Cancer Detection and Survival Probability Systematic Investigation Employing Machine Learning and Deep Learning
[NO] 1177/1964 | MineGuard 2040: A Sustainable IoT Framework for Surface Mining in Oman
[NO] 1178/1964 | Eco-Friendly Extraction of Metals from Spent Catalysts: A Sustainable Approach for Hazardous Waste Minimization
[NO] 1179/1964 | Exploring Electrical and Material Properties of Alginate and Rice Husk Ash-based Thin Films for Electric Double Layer Capacitors
[NO] 1180/1964 | Design of the Output Driver and Receiver Comparator for a CAN FD Transceiver Based on 0.15 μm BCD Technology
[NO] 1181/1964 | Workflow Strategy in a Modular Human-AI Collaboration Framework for LLM-Assisted Thematic Analysis of POTS Interviews
[NO] 1182/1964 | A Low-Offset Instrumentation Amplifier Based on SAR Logic Pre-Calibration
[NO] 1183/1964 | Myocardial Infarction Detection From 12-Lead ECG Using Deep Learning Approach
[NO] 1184/1964 | A Trim-Free High-Precision Bandgap Reference with Process Compensation and Opamp-Offset-Tolerant Architecture
[NO] 1185/1964 | On the Modelling of Aggregated Behaviour for Simulation: An Event–Based Architecture
[NO] 1186/1964 | From Scarcity to Synthesis: Continual Learning Integrates Supervised and Unsupervised CT Image Recovery Models
[NO] 1187/1964 | IEEE Transactions on Sustainable Energy Publication Information
[NO] 1188/1964 | Device Models for Josephson Field-Effect Transistors and for Superconducting Integrated Circuits
[NO] 1189/1964 | Impact of Stacking Fault Location and Type on Stress-Mediated Performance Variation in 2nm Node p-type Nanosheet FETs
[NO] 1190/1964 | ORSI-Phoenix: A Cross-Task Learning Framework for Optical Remote Sensing Salient Object Detection
[NO] 1191/1964 | Electrochemical Biosensor-Based Point-of-Care Device for Metabolic Health Monitoring
[NO] 1192/1964 | A Localized Jet Microchannel Heatsink with Enhanced Thermal Performance for High-Capacity SiC Power Modules
[NO] 1193/1964 | Machine Learning in Forecasting Labor Market: A Systematic Literature Review
[NO] 1194/1964 | LAPWF-IoD: Lightweight Authentication Protocol Combining Passwords and Wireless Fingerprints for Internet of Drones in Smart City Environments
[NO] 1195/1964 | State-Aware Robust Model Predictive Control for DC Shipboard Microgrids via Stability Metric and Disturbance Estimation
[NO] 1196/1964 | A Declarative Geographic Knowledge Graph Framework for District-Scale Urban Infrastructure Analysis
[NO] 1197/1964 | Satellite Image Classification Using ResNet-18 Based Deep Learning Approach
[NO] 1198/1964 | Rainfall Prediction using Machine Learning: A Comprehensive Analysis
[NO] 1199/1964 | EICCT 2026 TOC
[NO] 1200/1964 | Nonlinear System Identification, Controllability, Observability, and Stability Analysis of Buoy Drift Dynamics for Modeling the Drifting Behavior of Artisanal Fishing Boats
[NO] 1201/1964 | Insurance Document and Client Management System
[NO] 1202/1964 | FingerTouch: A Three-Degree-of-Freedom Wearable Fingertip Force-Haptic Feedback Device for Precision Grip in Mixed Reality
[NO] 1203/1964 | Hotspot Temperature Forecasting in Oil-Immersed Power Transformers via Self-Supervised Transformer Model
[NO] 1204/1964 | Table of Contents
[NO] 1205/1964 | Benchmarking the Engineering Reliability of LLM-Based Design for Resonant Wireless Power Transfer Systems_supp1-3695234.mp4
[NO] 1206/1964 | A Comparative Techno-Economic Analysis of Producing Steam for Enhanced Oil Recovery Using Natural Gas and Green Hydrogen
[NO] 1207/1964 | Assessing Anxiety in Real Time: Analysis of Structured Virtual Interviews and AI-Driven Models
[NO] 1208/1964 | Standalone SDR Architecture for Hypersonic HF OTFS Communications
[NO] 1209/1964 | Active STAR-RIS-Aided Full-Space Covert Communications in NOMA Systems With Cooperative Jamming
[NO] 1210/1964 | Design of An Optimized Q-Format Complex Multiplier
[NO] 1211/1964 | Intelligent Prediction of Population Health Outcomes Induced by Healthcare Facility Waste Using Deep Neural Networks
[NO] 1212/1964 | Multi-View Graph Attention Transformer Network in Classifying ADHD Subtypes Based on Magnetic Resonance Imaging
[NO] 1213/1964 | IoT Based Smart Solar Panel Monitoring and Fault Detection with Weather-Aware Physics-Informed Machine Learning
[NO] 1214/1964 | A Low Power 13-23GHz Quad-mode VCO Based On Class-C VCO With -115dBc/Hz phase noise in 65nm CMOS
[NO] 1215/1964 | Improving reliability and safety of EEG-driven robotic leg prosthesis: a gait-aware safety layer for ankle actuation
[NO] 1216/1964 | Table of Contents
[NO] 1217/1964 | Keyword Index
[NO] 1218/1964 | Collision Risk Assessment Algorithm Based on Ship’s Finite-time Reachable Set
[NO] 1219/1964 | Table of Contents
[NO] 1220/1964 | AI-Powered Fraud Detection in RTP (Real-Time Payment Systems): Challenges and Solutions
[NO] 1221/1964 | A Comparative Study Of Land Evaluation For Agriculture By Using Soil Moisture Content With Remote Sensing Technology
[NO] 1222/1964 | DCBiA: A Dual-Decomposition CNN-BiLSTM Architecture for multi-step ahead Glucose Prediction
[NO] 1223/1964 | AI-Powered Multifactor Authentication- technology assisted adaptive approach
[NO] 1224/1964 | AI-Enhanced Backstepping and Deep Reinforcement Learning for Adaptive DC Microgrid Management
[NO] 1225/1964 | A Fast Probability Density Function Estimation Algorithm based on Cubic Splines Smoothing Approximation
[NO] 1226/1964 | Data Caching Strategies for the Internet of Vehicles: A Comprehensive Review and Future Directions
[NO] 1227/1964 | Analysis and Detection of Autism Spectrum Disorder Using Machine Learning and Deep Learning Techniques
[NO] 1228/1964 | A Hybrid MAML-QAOA Framework for Adaptive Network Intrusion Detection
[NO] 1229/1964 | Cognitive Recursive Fragmentation Syndrome (CRFS): A Framework for Understanding Pathological Self-Modifying Behavior in Advanced AI Systems
[NO] 1230/1964 | An Online Interactive and Self-adaptive Network Incorporating Domain Knowledge for Tropical Cyclone Intensity Prediction
[NO] 1231/1964 | ISSCC 2026 Evening Event: When GenAI Takes Center Stage [Conference Reports]
[NO] 1232/1964 | Powering Up Chiplets [Circuits from a Systems Perspective]
[NO] 1233/1964 | VLSID 2026: Global Synergy in Silicon—VLSI and Embedded AI for Sustainable Computing and Next-Gen Electrified Mobility [Conference Reports]
[NO] 1234/1964 | Subjective Evaluation of the Predictive Performance and Operability of a Two-Layer Regression-Based Texture Mixing System
[NO] 1235/1964 | Analog Design Experiments With AI—Part 2 [The Analog Mind]
[NO] 1236/1964 | Enabling Multipoint Localization in Long-range Interferometric Vibration Sensing System Based on Blind Source Separation
[NO] 1237/1964 | GaussHead: Real-Time 3D Head Avatar Driving for Mobile with Compact Gaussian Representation
[NO] 1238/1964 | DiT-JSCC: Rethinking Deep JSCC with Diffusion Transformers and Semantic Representations
[NO] 1239/1964 | Ultrasound-Derived Stretch Reflex Threshold Estimation Using Tendon-to-Bone Distance During Tendon Tapping in Post-Stroke Spasticity
[NO] 1240/1964 | An Open-Source, Reconfigurable FlatSat Platform for CubeSat Verification: Design and Validation
[NO] 1241/1964 | Enhanced Bang-Bang Control Method for DC Voltage Regulation in Non-Minimum Phase Power Electronics Converter
[NO] 1242/1964 | Constructing Ground Truth for Collaborative Action Recognition: Lessons from Human--VLM Disagreement
[NO] 1243/1964 | KRAKEN: Joint Optimization of Operator Placement and Communication for Distributed Stream Processing
[NO] 1244/1964 | Transformer-Based Track-Before-Detect Framework for Weak Target Tracking in Low SNR Environment
[NO] 1245/1964 | A Large-Scale Analysis of Student Behavior with Pedagogically Constrained LLM Tutors
[NO] 1246/1964 | Artificial Intelligence Meets Circuits: Does it have potential in circuit analysis?
[NO] 1247/1964 | Artificial Intelligence for RFIC Design: Early Advancements, Opportunities, and Challenges: From discovering nonintuitive design spaces to accelerated RFIC designs
[NO] 1248/1964 | Physics-Informed Non-invasive Diagnosis of CsPbBr
                    <sup>3</sup>
                    Detectors via EMI Spectrum Inversion: Decoupling Polarization and Radiation
[NO] 1249/1964 | Front Cover
[NO] 1250/1964 | Thermomechanical modelling of clamping forces in power transformers with field data validation
[NO] 1251/1964 | Autonomy in Complexity: Cognitive Superiority of Human-Autonomy Systems
[NO] 1252/1964 | An Innovative SVPWM Technique for Suppressing Circulating Currents and Doubling PWM Harmonic Frequency in Parallel Hybrid ANPC Inverter
[NO] 1253/1964 | Mapping the Software-Defined Vehicle Landscape: Use Cases, Technologies, and Expert Insights
[NO] 1254/1964 | From Centralized to Federated Information Retrieval: A Comparative Survey and a Proxy-Based Privacy-Preserving Framework
[NO] 1255/1964 | MaID-Agent: A Hybrid Masqueraded Intrusion Detection System Enhanced by Agent
[NO] 1256/1964 | Agentic AI for Intelligent Network Monitoring: Autonomous Anomaly Interpretation via Bayesian Learning Automata
[NO] 1257/1964 | A Learning-based Flexible Spatial Modulation Design for Large-scale RIS-assisted Systems
[NO] 1258/1964 | Robust Optimal Control of Connected Vehicles in Mixed Traffic System: An Online Adaptive Nonlinear Q-Learning Approach
[NO] 1259/1964 | Accuracy Assessment of High-Temperature DIC Strain Measurement via Traceable Transfer of Measurement Reference_supp1-3703451.docx
[NO] 1260/1964 | Hysteresis Modeling of Piezoelectric Actuators via BP Neural Network Constrained by the Madelung Model
[NO] 1261/1964 | Resilience Analysis of Cloud-Controlled Cyber-Physical Systems Using a Reinforcement Learning Cartpole Testbed
[NO] 1262/1964 | S.H.I.E.L.D.: Smart Helmet Impact and Emergency Location Detection
[NO] 1263/1964 | Multi-Level Classification Using Ontology Based Natural Language Processing Model with Bi-GRU Integrated Bi-LSTM for Depression Detection
[NO] 1264/1964 | A Robust Blockchain-Based Secure Healthcare Information Exchange
[NO] 1265/1964 | Design And Development of a Textile-Based Wearable Microstrip Antenna Using the 900 MHz ISM Band for Satellite Communications
[NO] 1266/1964 | RayNotify: A Solar Powered Shed with Integrated Emergency Notification Button for Agta Community in the Philippines
[NO] 1267/1964 | Evaluation and Benefit Modeling of Auto-Vectorization Cost Models for RISC-V RVV
[NO] 1268/1964 | AI-Driven Reverse-Engineering Frameworks for Legacy Industrial and Off-Highway Vehicles
[NO] 1269/1964 | A Computational Approach for Modeling and Supporting Student Well-Being
[NO] 1270/1964 | Veterinary Management and Inventory System with Data Visualization Using the RAD Model
[NO] 1271/1964 | Extensible Post Quantum Cryptography Based Authentication
[NO] 1272/1964 | Fundamental Limits of Vector Recording for High Density Heat-Assisted Magnetic Recording
[NO] 1273/1964 | HAS-SE PPP: A Precise Point Positioning Algorithm with SISRE Estimation for Galileo High Accuracy Service
[NO] 1274/1964 | High-Sensitivity Nondestructive Imaging Method for Reinforced Concrete Corrosion Based on Magnetic Resonance Enhancement
[NO] 1275/1964 | Datasets for Human Activity Recognition with Integrated Sensing and Communications in Wi-Fi
[NO] 1276/1964 | The Development of a Single-Strut Hydrofoil-Assisted Unmanned Surface Vehicle
[NO] 1277/1964 | Benchmarking the Engineering Reliability of LLM-Based Design for Resonant Wireless Power Transfer Systems_supp3-3695234.mp4
[NO] 1278/1964 | Differentially Private Model Recombination as a Service for Trustable and Federated Learning in Next-Generation Networks with Non-IID Data
[NO] 1279/1964 | SQ-ROQ: A Scalable Framework for QoS-Aware Joint Routing and Queue Management in Satellite Mega-Constellations
[NO] 1280/1964 | Networking Bingo at ISSCC 2026 Draws a Crowd [Women in Circuits Corner]
[NO] 1281/1964 | Ultimate Intrinsic Temporal Performance in Magnetic Resonance Imaging Using a Realistic Human Head Model
[NO] 1282/1964 | Safe corridor motion planning for dynamic pick and place applications
[NO] 1283/1964 | Nonreciprocal Time-Invariant Leaky Waves Enabled by Magnetized Plasma
[NO] 1284/1964 | Game-Theoretic Fuzzy Reinforcement Learning via Self-Triggered Mechanism
[NO] 1285/1964 | Hybrid Approaches in Artificial Intelligence for Foreign Exchange Market Forecasting: A Literature Review and Extended Methodological Framework
[NO] 1286/1964 | Copyright
[NO] 1287/1964 | High-Sensitivity and Stability Field-Effect Transistor Biosensor for Gliotoxin Detection
[NO] 1288/1964 | Dynamic Reactive Power Control for LVRT of GCPV systems according to Oman grid code
[NO] 1289/1964 | Comparative Performance Analysis of Bat Algorithm Optimized Support Vector Machine and Hybrid CNN-BiLSTM for Vibration Signals Based Electrical Motor Fault Detection
[NO] 1290/1964 | Analysis of High Power PFC Under Fault and Unbalanced Grid Conditions
[NO] 1291/1964 | A Modular and User-Friendly Web Vulnerability Scanner with Integrated Security Awareness
[NO] 1292/1964 | Risk Detection in Algerian Arabic Legal Documents Using Machine-Learning Algorithms
[NO] 1293/1964 | Fusion-Based Multimodal Biomarker Framework for Parkinson's Disease Detection
[NO] 1294/1964 | An Intelligent Machine Learning Framework for Accurate Dropout Prediction in Online E-Learning Environments using Behavioral Analytics
[NO] 1295/1964 | Graph2Proof: Topology-Aware Reward Shaping for Natural Language Theorem Proving
[NO] 1296/1964 | A Transformer-Based Detection and Instance Segmentation Pipeline for Cross-Domain Cattle Monitoring
[NO] 1297/1964 | Parametric Design and Computational Fluid Dynamics Evaluation of a MATLAB-Generated Turbine Blade Profile for Pico-Hydro Applications
[NO] 1298/1964 | Optimizing Energy and Cost Efficiency in Hog Farms: An Exergoeconomic Analysis of a Biogas Microturbine Cogeneration System
[NO] 1299/1964 | Forecasting and Predicting the Employability of Graduating Students using Machine Learning
[NO] 1300/1964 | Regulatory Knowledge and Compliance of Tricycle Drivers/Operators with Municipal Fare Ordinance No. 2021-05-10 in Solano, Nueva Vizcaya, Philippines
[NO] 1301/1964 | Multimodal-Capable Edge Computing Platform Based on an Open-Source RISC-V CPU
[NO] 1302/1964 | Design and Implementation of Host Computer Software for an Intelligent Monitoring System Based on Multimodal Sensor Fusion and the Qt Framework
[NO] 1303/1964 | Replicable Simulation-Based Robot Validation through Provenance
[NO] 1304/1964 | Impact of Data Preprocessing Techniques on Machine Learning Algorithms Using Cardiovascular Disease Datasets
[NO] 1305/1964 | A DRL-Based Partial Computational Offloading Scheme with UAV-Mounted RIS for Energy Minimization in MEC Systems
[NO] 1306/1964 | Hybrid Deep Learning Framework for Multi-Label Offensive Language Detection and Toxicity Analysis
[NO] 1307/1964 | Adaptive On-Device Arabic Speech Recognition for Smart Wheelchair Control Using a Self-Tuning Meta-Learning Agent
[NO] 1308/1964 | Machine Learning Classifiers for Alzheimer's Disease Progression: A Comprehensive Review of AI-Driven Diagnostic Systems
[NO] 1309/1964 | A Distributed Geographic Routing Protocol Based on Multi-Metric Hybrid Weighting for Aeronautical Ad Hoc Networks
[NO] 1310/1964 | Integration of Satellite and Vehicular Networks: Evolution, Technologies and Challenges
[NO] 1311/1964 | Research on Insulator defect detection algorithm based on improved YOLOv11
[NO] 1312/1964 | Hybrid Multi-View Ecg Emotion Recognition Via Adaptive Wavelet Packet Transform and Attentionbased Transformer Modeling
[NO] 1313/1964 | Understanding Learners' Online Interactions Across MOOC Reruns: Insights from Longitudinal Analytics
[NO] 1314/1964 | Student, Course Design, or Context? Studying the Determinants of Academic Procrastination at Scale
[NO] 1315/1964 | Federated Learning for a Scalable, Quality, and Trust Enabling Technologies in Education without Data Sharing
[NO] 1316/1964 | Towards Benchmarking Methods for Learning Chemical Reaction Networks from Time Series Data
[NO] 1317/1964 | Generate-Filter-Edit: A Human-AI Collaborative Pipeline for Developing and Automatically Evaluating Middle School Mathematics Questions
[NO] 1318/1964 | Adapter-Based Parameter-Efficient Adversarial Training for Enhanced Clean Accuracy
[NO] 1319/1964 | Large-Scale UAV Swarm Coordination for Sensing and Communication: A Spatiotemporal Perspective
[NO] 1320/1964 | An Optimization-Based Variational Bayesian Filter for Nonlinear State Estimation
[NO] 1321/1964 | ISGKG: LLM-Driven Dual-Framework Threat Mapping for Space-Ground Cyber Reports
[NO] 1322/1964 | Attention-Based Deep Learning for Multi-Target Prediction of Process Time and Tool Availability in Large-Scale Semiconductor Fabs
[NO] 1323/1964 | Multi-agent Q-learning-based Efficient Opportunistic Routing for Underwater Acoustic-Optical Hybrid Networks
[NO] 1324/1964 | CI
                    <sup>2</sup>
                    SAC: CRC-Assisted Channel Codes for Iterative Integrated Sensing and Communications
[NO] 1325/1964 | Nanosecond Pulse Measurements of Partial Discharges and Surface Degradation Depth Over Five Kinds of Polymer Films
[NO] 1326/1964 | The Role of Memory Information in Privacy-Preserving Average Consensus
[NO] 1327/1964 | Research on Immersive Exhibition Space Design Based on Visitor Emotional Response and Computer Vision-Driven Spatial Reconfiguration
[NO] 1328/1964 | FlushSync: The Hidden Synchronization Bottleneck in LSM-tree based Stream Processing
[NO] 1329/1964 | Inverse Design of Angle-Stable Pixelated Dual-CP Reflectarrays via Surrogate-Assisted Optimization
[NO] 1330/1964 | Minimum-Effort Differential Geometric Guidance with Angle Constraints and Obstacle Avoidance
[NO] 1331/1964 | Low Profile High-Efficiency Dual-CP ME-Dipole Radiator with a Planar-Patterned Folded-Sheet Geometry for Ku-Band SATCOM Terminals
[NO] 1332/1964 | Hybrid Monopulse-Deep-Learning-Based Blind-Spot Compensation for Full-Azimuthal Leaky-Wave Antenna Systems
[NO] 1333/1964 | IEEE Xplore Digial Library
[NO] 1334/1964 | On the Isospectral Nature of Minimum-Shear Covariance Control
[NO] 1335/1964 | : Safeguarding Against Non-consensual Photo Sharing over Social Networks_supp1-3705636.pdf
[NO] 1336/1964 | TRO-CBF-Based Safety-Critical Formation Control of Multi-QUAV Systems: A Low-Complexity Method Under Limited Communication and Sensing Range
[NO] 1337/1964 | Applications of Natural Language Processing (NLP) in Philippine Education Settings: A Literature Review
[NO] 1338/1964 | Design of a Miniaturized Broadband Millimeter-Wave Group Delay Equalizer Based on Gallium Arsenide Integrated Passive Device technology
[NO] 1339/1964 | Advancements in the Development of Lungs-on-a-Chip for Preclinical Drug Testing
[NO] 1340/1964 | A Data-Scarce Digital Twin Framework for Irrigation Decision-Making Using Physics-Constrained Generative AI
[NO] 1341/1964 | Privacy-Aware Health Digital Twins Using Centralized Differential Privacy and Tabular VAE
[NO] 1342/1964 | Study on Multi-Corner Standard Cell Delay Prediction Based on Machine Learning
[NO] 1343/1964 | Design and Implementation of a 2FSK-Based Low-Power Underwater Acoustic Wake-Up Receiver for Positioning
[NO] 1344/1964 | Conceptualizing an Edge-Based Local Guidance Framework Unifying Mobile Sensing with LLMs
[NO] 1345/1964 | Deep Learning Architecture for Multi-Class Banana Leaf Disease Classification
[NO] 1346/1964 | Comparative Clustering Analysis of Cities and Municipalities Competitiveness Index (CMCI) Indicators Across Cebu, Lapu-Lapu, and Mandaue Cities Using K-Means and Hierarchical Methods
[NO] 1347/1964 | HRI Design of Water Sampling Robots: A Review of System Architecture and Interaction Modules
[NO] 1348/1964 | Wavelength-Based Hyperspectral Modeling of Wheat Leaf Traits Using Transformer and Recurrent Neural Networks
[NO] 1349/1964 | A Wideband Two-Port High-Isolation MIMO Antenna Based on Radiation Pattern Decoupling
[NO] 1350/1964 | QAFD: Quality-Aware Fault Diagnosis for Drilling-Pump Signals with Missing Segments
[NO] 1351/1964 | Critical Spike Attribution for Feature Importance in Spiking Neural Networks
[NO] 1352/1964 | Dynamic Multisource Kalman Synchronization for TSN-Enabled LEO Satellite Networks
[NO] 1353/1964 | Weighted Sum-Rate Maximization in MISO Systems Using Reconfigurable Intelligent Surfaces and Non-Orthogonal Multiple
[NO] 1354/1964 | Design and Simulation Analysis of a 12-Bit SAR ADC Based on Structured LMS Calibration
[NO] 1355/1964 | Broadband Noise Reduction of a Small HAWT Using Trailing-Edge Slotting: FW-H Prediction and Directional Assessment
[NO] 1356/1964 | Enhancing Water Access with Solar Powered Well Systems in Oman
[NO] 1357/1964 | An Intelligent Layered Detection System for Identifying Cyber Hate Using ML and Fuzzy Logic
[NO] 1358/1964 | Collaborative Anti-Jamming Decision-Making for Heterogeneous Radar Networks Based on QMIX Network
[NO] 1359/1964 | Design of Reconfigurable Variable-Gain Amplifier
[NO] 1360/1964 | Integration of Solar Gel Ponds for Sustainable Energy in Reverse Osmosis Desalination
[NO] 1361/1964 | Implementing Decarbonization Strategies in Oman’s Petrochemical Industry: A Six Sigma DMAIC Approach Toward Net Zero 2050
[NO] 1362/1964 | Temporal-Semantic Unsupervised Framework for Coordinated Fake Review Detection Using Sbert with AI
[NO] 1363/1964 | ADFF-Net: An Adaptive-Dynamic Feature Fusion Network for Skin Lesion Segmentation
[NO] 1364/1964 | Broadband Source-Driven Resonant Fiber-Optic Gyroscope Using an Intra-cavity 90° Polarization-Axis Rotated Transmission Resonator
[NO] 1365/1964 | Subglacial Conditions Estimated From Unsupervised Clustering Analysis of Radar Bed-Echo Shape
