[2026-05-12 11:22:26] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-11
正在获取论文...
[arXiv] 2026-05-11 | Coarse Menger property of quasi-minor excluded graphs and length spaces
[NO] 1396/2000 | rPPGNet: A Hybrid Physiological-Neural Framework for Deepfake Detection
[NO] 1397/2000 | When Open-Source Large Language Models Meet Supply Chain Management Strategies: How Far Are We?
[NO] 1398/2000 | From Standardisation to Personalisation: AI-Driven “Digital Twin” Teaching Reform in Vocational Physical Education - A Study on Health Promotion Prescription Design Based on Student Competency Variations
[NO] 1399/2000 | Design of an Intelligent Home-Renovation Environmental Perception and Risk Early-Warning System for Elderly Residential Safety
[NO] 1400/2000 | An Experimental Study on the Intelligent Regulation of Physical Education Class Workload and Its Impact on Exercise Outcomes Among Junior High School Students: An Empirical Analysis Based on Multimodal Data Fusion
[NO] 1401/2000 | Custom Template for Data Collection and Software Refactoring Algorithm
[NO] 1402/2000 | ERFA: Combining expression data with large knowledge graphs and regulation flow for MoA discovery
[NO] 1403/2000 | Neural Correlates of Proprioceptive Ankle Joint Position Anticipation
[NO] 1404/2000 | Genetic network inference using velocyto analysis of single-cell RNA sequencing data
[NO] 1405/2000 | Meta-Memory for Large Language Models
[NO] 1406/2000 | SHARE-U: Semantic-aware Human Avatar Reconstruction with Efficient Gaussians via Uncertainty-weighted Contrastive Learning_supp1-3685541.pdf
[NO] 1407/2000 | Monolithically-Integrated Inkjet-Printed Magneto-Electric Dipole Antennas and Arrays
[NO] 1408/2000 | IEEE ComSoc Publications
[NO] 1409/2000 | A UB-ETDA Based Spaceborne SAR Parameter Design Method for Enhanced Extended Target Detection Performance
[NO] 1410/2000 | Classifying ADHD Presentations Using Temporally Segmented Behavioral Data from a Serious Game
[NO] 1411/2000 | The Impact of Using Computer-supported Collaborative Learning Platforms to Create Multimedia Materials on Third-grade Elementary School Students' Creative Thinking: An Experimental Research
[NO] 1412/2000 | From Exploration to Decision: Evaluating an E-Book Designed to Guide Multimedia Arts Students in Specialization Selection
[NO] 1413/2000 | Gliding Control Strategy of Intelligent Measurement and Control Carriers Based on Virtual Target
[NO] 1414/2000 | Physics-Informed Diffusion Models for Smooth and Goal-Directed Trajectory Generation
[NO] 1415/2000 | Dual-Band CSRR-Based Microstrip Antenna Design for Next-Generation 6G Terahertz Networks
[NO] 1416/2000 | AI/ML-Driven vs. Conventional Decoding in VLC: Mitigating Channel Interference and Nonlinear Impairments
[NO] 1417/2000 | Real Time Suspicious Activity Detection Using CNN and LSTM
[NO] 1418/2000 | An Enhanced Early Alzheimer’s Detection Model Using a Hybrid Decision Tree–SVM Framework
[NO] 1419/2000 | A Dual-Phase Optimization Framework for Image Regeneration: PSO-Based Search and GD Refinement
[NO] 1420/2000 | Lightweight Greenhouse Rose Detection Under Cluttered Backgrounds and Illumination Variations via YOLOv13n Enhancements
[NO] 1421/2000 | Construction of A New Power System Line Loss Management And Evaluation System Based On Automation Technology
[NO] 1422/2000 | Efficient Graph Convolutional Networks with Attention Mechanisms for Precise Prediction of Cardiovascular Diseases
[NO] 1423/2000 | Closed-Loop MUSIC-EKF: Robust Resource Allocation for ISAC Tracking of Maneuvering Targets Under Strong Interference
[NO] 1424/2000 | ResQNow: An Intelligent AI–AR Integrated Emergency Response System with Offline Communication Capability
[NO] 1425/2000 | A Multimodal Approach for Violence Detection in Public Spaces
[NO] 1426/2000 | AI-Driven Legal Chatbot: Enhancing Legal Information Accessibility
[NO] 1427/2000 | Obfuscation Resilient Android Malware Detection using GCN for cyber-physical devices
[NO] 1428/2000 | Ensemble-Based Detection of Cyberbullying in Bangla-English Mixed Social Media Comments
[NO] 1429/2000 | User-Centered Textual Attribute Extraction: attBiLSM-CRF Technique in E-Commerce Platforms
[NO] 1430/2000 | DeepHemNet: Automated Acute Leukemia Subtype Classification from Peripheral Blood Smear Images
[NO] 1431/2000 | Balanced Deep Neural Network (BDNN) for Scalable, Real-Time Phishing URL Detection Using Hybrid Machine Learning and Deep Learning Ensembles
[NO] 1432/2000 | The Intelligent Electric Vehicle Using Adaptive Sliding Mode Monitoring for Nonlinear Complex Systems
[NO] 1433/2000 | A Structured Multi-Criteria Decision Making Approach for Lithium Battery Selection in Electric Vehicle Applications
[NO] 1434/2000 | DGE-1DNet: Efficient 1D Channel Estimation for 5G NTN LEO Satellites
[NO] 1435/2000 | Enhancing Chronic Disease Prediction in IoMT Enabled Healthcare 5.0 Using Deep Learning
[NO] 1436/2000 | Deep Learning for Retinal Disease Classification: A Comparison of InceptionV3 and MobileNetV2
[NO] 1437/2000 | Advance Artificial Intelligence (AI) in Agricultural Robotics: A Deep Learning (DL) System for Crop Tracking, Yield Prediction, and Weed Identification
[NO] 1438/2000 | Design and Optimal Sizing of a Containerized Hybrid Microgrid for Remote Military Outposts
[NO] 1439/2000 | Smart Environmental Monitoring: A Scalable IoT Solution for Air and Water Quality Management
[NO] 1440/2000 | Adsorptive Removal of Heavy Metals from Wastewater: A Review on ANN based Predictive Models
[NO] 1441/2000 | Enhancing Cardiovascular Disease Prediction Through Deep Learning: Leveraging Retinal Images with CNN and MobileNet Architecture
[NO] 1442/2000 | Cross-Architecture Evaluation of Hybrid and Ensemble Models for Wind Power Forecasting: Performance and Robustness Analysis
[NO] 1443/2000 | Performance Comparison and Simulation Analysis of Key Technologies in MIMO Communication Systems Under Rayleigh Fading Channels
[NO] 1444/2000 | Time-Series Forecasting for Forex: A Comparative Study on GBP/USD, AUD/USD, and AUD/NZD
[NO] 1445/2000 | Privacy-Preserving and Explainable Hybrid Learning Framework for Career Guidance Using Psychometric Indicators: A Synthetic-Data-Driven Study
[NO] 1446/2000 | Design of Linear APSK Constellation Shaping for LDPC Coded Physical-Layer Network Coding
[NO] 1447/2000 | Edge-GIS: Precision Monitoring of Soil Erosion and Moisture Using Georeferenced Smart Cameras
[NO] 1448/2000 | Spark-Based Optimized IPO Recommendation System Using LLM-Driven Data Extraction and Parallel Scoring
[NO] 1449/2000 | Personalized Nutritional Guidance for Optimized Health
[NO] 1450/2000 | A Novel Design for Private Information Retrieval with Logarithmic Client Overhead
[NO] 1451/2000 | Explainable AI and Federated Learning for Privacy-Preserving Loan Default Prediction in Cooperative Banking Networks
[NO] 1452/2000 | Land Use and Land Cover Classification Using Reflectance-Based Remote Sensing Techniques
[NO] 1453/2000 | Advancing Mental and Medical Healthcare through AI: Conversation Analysis and Clinical Text Understanding
[NO] 1454/2000 | Automated Wildlife Species Classification Using Deep convolutional Neural Network(CNN) : Enhancing Biodiversity Monitoring through convolutional Neural Networks
[NO] 1455/2000 | Artificial Intelligence-Based Fake News Detection Methods in Social Media: A Comprehensive Survey and Future Directions
[NO] 1456/2000 | An Experimental Study of Retrieval Order in Text-Based and Multimodal Figure Retrieval
[NO] 1457/2000 | A Novel Computer Vision based Technique for Assessing Cognitive Load
[NO] 1458/2000 | Book Borrowing Volume Prediction Based on Complex-valued Differential Equation
[NO] 1459/2000 | CardioFusionNet: A Multimodal Deep Learning Framework for Enhanced Coronary Artery Disease Diagnosis
[NO] 1460/2000 | A Novel Tool for Sports Instruction Based on Computer Vision: Research on an Automated Motor Skill Assessment and Personalised Feedback System
[NO] 1461/2000 | A Post-Quantum Secure Digital Signature System for Cryptocurrency Transactions Based on SM3-SPHINCS+
[NO] 1462/2000 | BLR-Krylov: A Single-GPU Iterative SpMM Framework with Communication Avoidance and Block Low-Rank Optimization
[NO] 1463/2000 | AI-powered Open and personalized education for all
[NO] 1464/2000 | The Potential Integration of Computational Thinking as a 21st-Century Competency in Mathematics Learning in Indonesia
[NO] 1465/2000 | EduPlay: Video Games as open educational resources
[NO] 1466/2000 | Investigating Elementary Students' Critical Thinking Processes Through Lag Sequential Analysis in an Educational Virtual Reality Game
[NO] 1467/2000 | Polymer Electret Based WSe
                    <sub>2</sub>
                    Transistor for Reconfigurable Logic-in-Memory
[NO] 1468/2000 | Oxygen-Stoichiometry-Controlled Linearity and Uniformity of W/WO
                    <sub>x</sub>
                    /W Fixed-Resistance Arrays for Edge-AI Inference
[NO] 1469/2000 | EquiLink Bridge: A Semi-Custodial Approach to Cross-Chain Transactions via TEE
[NO] 1470/2000 | HMEPR: A Hierarchical Multimodal Emotion Recognition Framework with Redundancy-Aware Feature Refinement
[NO] 1471/2000 | FedFEC: Tailored Learning via Multi-Level Knowledge Standardization and Fusion to Align Knowledge in Mobile Edge Computing_supp1-3691382.pdf
[NO] 1472/2000 | Spatial Equalization with Adjustable-Delay RIS
[NO] 1473/2000 | Thanks to Our IEEE WMED 2026 Sponsors
[NO] 1474/2000 | SCZ-HA: A Seamless Cross-Zone Handover Authentication Scheme for V2I Communication
[NO] 1475/2000 | Task-Adaptive Admittance Control for Human-Quadrotor Cooperative Load Transportation with Dynamic Cable-Length Regulation
[NO] 1476/2000 | Enhancing Multi-Step Solar Irradiance Forecasting through TVF-EMD-AWNN: a Time-Varying Hybrid Framework for PV Power Plant_supp1-3688713.pdf
[NO] 1477/2000 | HLMS-TL: An Improved T-L Magnetic Compensation Algorithm Based on the Huber-LMS Method
[NO] 1478/2000 | Impact-Aware Robust Convex Model Predictive Control for Quadruped Locomotion on Uncertain Terrain
[NO] 1479/2000 | Scaled Output Consensus for Euler-Bernoulli Beam Networks under Dual Communication Graphs
[NO] 1480/2000 | Efficient Data Pruning via Early-Stage Prediction Stability and Balanced Sampling
[NO] 1481/2000 | PolyMerge: Compressing 3D Gaussian Splats with Polytope Coverings for Provably Safe Resource-Constrained Navigation
[NO] 1482/2000 | 2026 IEEE International conference on Advanced Systems and Emergent Technologies (IC_ASET)
[NO] 1483/2000 | Table of Contents
[NO] 1484/2000 | High-Accuracy and Robust Non-Cooperative UAV Localization: RSS-Based Framework with Unknown Transmission Power
[NO] 1485/2000 | Information Security Management for Securing Large Intelligent Networked Infrastructures in Banks and Financial Institutions
[NO] 1486/2000 | Coordinated control of Energy Management system in a Solar Based Charging Station having Grid Integration
[NO] 1487/2000 | DeepFake detection for highly compressed social media and streaming: Scalability and efficiency evaluation of a High-Frequency Enhancement Network (HFEN)
[NO] 1488/2000 | Real-Time Detection of Weapon-Carrying Individuals Using Deep Learning-Based Visual Surveillance
[NO] 1489/2000 | Human-Guided Physical Adversarial Makeup Attack for Natural and Effective Face Recognition Evasion
[NO] 1490/2000 | A Systematic Review On Current Condition in Medical Healthcare Using Blockchain Technology
[NO] 1491/2000 | Grid-Based Localization and Speed Estimation with Extended Risk Evaluation Metrics for Edge-Fog-Assisted Blind Spot Monitoring Using Digital Twin Simulation
[NO] 1492/2000 | Complex Low-voltage Distribution Network Topology Identification Method Based on Characteristic Current Spectrum
[NO] 1493/2000 | Energy-Efficient 6T SRAM Design: Comparative Analysis of 45 nm CMOS and 18 nm FinFET Technologies
[NO] 1494/2000 | Research on Logistics Cost Control and Optimization in Automotive Manufacturing Supply Chain Based on DMAIC Model
[NO] 1495/2000 | Neuro Symbolic Ai For Context-Aware Decision Making In Real Time Systems
[NO] 1496/2000 | ARGUS: An AI-based Real-time Global Unified Deepfake Screening System
[NO] 1497/2000 | Advanced Deep Learning Framework for Highly Accurate Infant Cry Signal Classification
[NO] 1498/2000 | Texture Mapping and Surface Models for Augmented Reality Applications
[NO] 1499/2000 | Energy-Aware Neural Adaptation for Sustainable AI Inference on Resource-Constrained Systems
[NO] 1500/2000 | A CBAM-Driven Multi-Scale YOLOv8 Architecture for High-Precision Small Debris Detection in LEO
[NO] 1501/2000 | Structural Strength Prediction and Experimental Verification of Key Aircraft Components Combined with Neural Network
[NO] 1502/2000 | A Deep Learning Framework for the Classification of AI-Generated and Authentic Images
[NO] 1503/2000 | Detection of Deepfake Image Tampering using Self-supervised and Adversarial Feature Similarity Learning
[NO] 1504/2000 | SLIM: Shuffling-based Image Encryption Using the Logistic Map
[NO] 1505/2000 | Developing Advanced Machine Learning Models to Preserve Privacy and Ensure Data Security for IoT-Enabled Smart Consumer Devices within Intelligent Smart Homes
[NO] 1506/2000 | Power Quality Analysis in Setting up EV Charging with Microgrid System
[NO] 1507/2000 | Term Preterm Birth Prediction Using Various Biomarkers
[NO] 1508/2000 | Accurate and Robust Estimation of Single-Diode PV Model Parameters Using the Artificial Lemming Algorithm
[NO] 1509/2000 | Single Imputation for Missing Data via Linear Regression
[NO] 1510/2000 | Multiscale Convolutional Wavelet-BiGRU Network in Wearable Sensor-Based Human Activity Recognition
[NO] 1511/2000 | Event-Driven Cloud-Native Deep Neural Framework for Autonomous Tuberculosis Diagnostics Using Fully Serverless Pipelines
[NO] 1512/2000 | Opportunities and Challenges Related to AI in Education
[NO] 1513/2000 | End-to-End Deep Learning Framework for Automated Epilepsy Diagnosis from EEG Data
[NO] 1514/2000 | Research on Intelligent Machine Vision Inspection Method for Customized Personal Care Product Push-Cap Sealing Quality Based on YOLOv7
[NO] 1515/2000 | CodeVision: A Self-Explaining Intelligence Platform for Understanding Complex Software Repositories
[NO] 1516/2000 | Synthetic Sensor Data Augmentation using Generative Adversarial Networks for Improving Industrial Asset Reliability in Predictive Maintenance - A Systematic Review
[NO] 1517/2000 | Task-Interdependency-Aware Scheduling for Data Relay Satellite Networks
[NO] 1518/2000 | PSO-Optimized Transformer for Intelligent Routing in Space-Air-Ground Integrated Communication Networks
[NO] 1519/2000 | Implement the Use of Artificial Intelligence in Urban Mobility Systems: Optimising Traffic in Real-Time and Using the Internet of Things Sensors for Smart Routing
[NO] 1520/2000 | DUSeg: A Lightweight Cascaded Dual-U Network with Multi-Receptive Field for Segmentation
[NO] 1521/2000 | Optimization of Passive Cooperative Positioning and Dynamic Deployment for Multi-UAV Systems in Wide-Area Early Warning
[NO] 1522/2000 | Hybrid Deep Learning – Based Process Big Data Mining for Complex Workflow Analysis
[NO] 1523/2000 | Integration of IoT-Enabled Wearable Devices for Continuous Remote Healthcare Monitoring
[NO] 1524/2000 | Structure-Aware Multi-Task Learning for Robust Vision-Language OCR
[NO] 1525/2000 | Efficient Sentiment Analysis of Amazon Reviews Using TF-IDF and Logistic Regression
[NO] 1526/2000 | Edge-Deployed Lightweight LLMs for Medical Imaging: Real-Time Dual Report Generation with Progression Aware Summarization
[NO] 1527/2000 | DBIDN: A Dual-Branch Intrusion Detection Network for Industry 4.0 Integrating Dynamic Expert Fusion and Protocol-aware Dynamic Weighted Loss
[NO] 1528/2000 | Research and Analysis on the Method of Real time Identification of Teacher student Interaction Behavior in Ideological and Political Teaching in Primary and Secondary Schools Based on OpenCV
[NO] 1529/2000 | MCASynergy: An Integrative Framework for Drug Synergy Prediction
[NO] 1530/2000 | A Physics-Guided Deep Learning framework for Prestack Seismic Random Noise Suppression and Signal Recovery
[NO] 1531/2000 | Strategies in Managing Online Learning Assignments
[NO] 1532/2000 | Two-Stage Hierarchical Near-Field Beam Training for Extremely Large-Scale RIS
[NO] 1533/2000 | A Stationary (And Therefore Compatible) Representation is All You Need
[NO] 1534/2000 | Integrated Motor Drives: A Review of Recent Developments, Enabling Technologies and Future Research Directions
[NO] 1535/2000 | ARGUS-Net: An Uncertainty-Aware Multi-Agent Framework for Multimodal Deepfake Detection with Probabilistic Evidence Fusion
[NO] 1536/2000 | Environment-Aware IRS Deployment Via Channel Knowledge Map: Joint Sensing-Communications Coverage Optimization
[NO] 1537/2000 | Push Smarter, Not Harder: Hierarchical RL-Diffusion Policy for Efficient Nonprehensile Manipulation
[NO] 1538/2000 | A Magnetic-Sensitive Sensor Network for Monitoring Concurrent Mode of Multi-Layer Fatigue Cracks
[NO] 1539/2000 | Title Page
[NO] 1540/2000 | X-IONet: Cross-Platform Inertial Odometry Network for Pedestrian and Legged Robot
[NO] 1541/2000 | Multiscale Physics-Embedded Automated Modeling with an Application to Photovoltaic Forecasting
[NO] 1542/2000 | Advancing Autonomous BVR Air Combat: Integrated Strategy Optimization and Adaptive Learning
[NO] 1543/2000 | GKNet: Graph Kalman Filtering and Model Inference via Model-based Deep Learning
[NO] 1544/2000 | D-FINE-DSM: Infrared Image Detection for Power Equipment Based on Dual-domain Selection
[NO] 1545/2000 | AI-Based Multi-Class Classification of Mood Disorders Using Psychological and Behavioral Features
[NO] 1546/2000 | Sleep-Wake Estimation using Frequency Analysis of Electroencephalogram Signals
[NO] 1547/2000 | A Deep Neural Network Approach to Model-Based Engineering and Resource Scheduling in Industrial IoT (IIoT) Environments
[NO] 1548/2000 | IoT-Enabled Predictive Maintenance for Gas Flow Meters in Urban Gas Networks: A Case Study on Intelligent Service Systems
[NO] 1549/2000 | On-chip data-path equalization using distributed and interleaved inverted feedback
[NO] 1550/2000 | Artificial Intelligence–Assisted Budget Forecasting and Operations Management for Strategic Decision-Making
[NO] 1551/2000 | Functional Observer of Stringing Machine: Bond Graph Modeling, Simulation and Practice
[NO] 1552/2000 | Automatic Modulation Recognition of 24 Modulation Types Based on CNN and CGDNN
[NO] 1553/2000 | Univariate Forecasting of EV Power Consumption Using LSTM Networks: A Deep Learning Approach
[NO] 1554/2000 | LLM-Enabled Cognitive Search for Context-Aware Knowledge Retrieval from Heterogeneous Data Sources
[NO] 1555/2000 | Estimation of Lower Limb Trajectory From Foot Measurements
[NO] 1556/2000 | Spatial-Temporal Intelligence for Environmental IoT Monitoring via a CNN-LSTM Hybrid Deep Learning Framework
[NO] 1557/2000 | Optuna-Tuned Hybrid A*–DWA Planner for 3D Quadcopter Navigation in Dynamic Environments
[NO] 1558/2000 | Modeling, Design, and Enhanced Control of Hybrid Energy Storage for Standalone PV Systems
[NO] 1559/2000 | An Intelligent Cognitive Framework Integrating SOAR Architecture with Large Language Models and AI Agents for Cyber Defence
[NO] 1560/2000 | Miniaturized Dual-Port THz MIMO Antenna with Enhanced Isolation and Diversity for 6G Networks
[NO] 1561/2000 | Design of an Outdoor Path-Following Intelligent Vehicle Control System
[NO] 1562/2000 | Zero-Trust Security Models for Cloud, Edge, and IoT Environments
[NO] 1563/2000 | Application of AI to Identify Industrial Internet of Things (IIoT) Abnormalities: Combining Intelligent Sensors for Predictive Industrial Inspection
[NO] 1564/2000 | Adaptive IoT Framework: A Modular Approach for Smart Device Integration
[NO] 1565/2000 | Self-ATDDQN: a Self-Attention Integrated Double Deep Q-Network for Safe and Efficient Highway Driving
[NO] 1566/2000 | Removal of Baseline wander from ECG signals using Generalized Moreau Envelope Total Variation Filter
[NO] 1567/2000 | Ethical AI Audits: Preventing Algorithmic Discrimination in Substance Abuse Referrals
[NO] 1568/2000 | X-ForensicNet: An Explainable Offline LLM Framework for Automated Windows Digital Forensics with Neuro-Symbolic Validation
[NO] 1569/2000 | A Dynamic Multi-Objective Cost Function for Personalized and Accessible Urban Pathfinding
[NO] 1570/2000 | A Lightweight STFT-Free Human Activity Recognition Framework Using IR-UWB Radar and Transfer Learning
[NO] 1571/2000 | Feature-Level Debiasing for Robust Visual Model Training
[NO] 1572/2000 | Ranging Technology for UAV Nodes Based on Integration of Communication and Navigation
[NO] 1573/2000 | OCR Model Comparison: EasyOCR vs. Keras-OCR on TextOCR Dataset
[NO] 1574/2000 | Leveraging Artificial Intelligence in Digital Marketing and Social Media Integration: A Case Study of Reliance Jio’s AI-Driven Customer Engagement Strategies
[NO] 1575/2000 | A Compact Modified Inverted F Antenna with Enhanced Performance for IoT Devices in 2.45 GHz ISM Band
[NO] 1576/2000 | FASR: A Future-Aware and Smooth Rhythm-Aware Time-Gated GRU for Sequential Recommendation
[NO] 1577/2000 | Velocity-Driven Fall Detection: A Drift-Corrected Feature Extraction Methodology for Wearable IMU Systems
[NO] 1578/2000 | Intelligent Swarm Algorithms for Intensify Blockchain-Cloud Ecosystem Security
[NO] 1579/2000 | Design of a Dynamic Correlation-Aware Prefetching Mechanism for Back-End Parallelism
[NO] 1580/2000 | AIML-Enabled Body-Bias Management to Minimise Leakage and PDP in 65 nm Domino Logic
[NO] 1581/2000 | Hybrid Reputation Routing for Decentralized Networks: A Blockchain-Enabled Secure and Scalable Protocol with On-Chain/Off-Chain Partitioning
[NO] 1582/2000 | AudX: A CNN–LSTM-Based Spectrogram Framework for Speech Enhancement and ASR Improvement in Noisy Environments
[NO] 1583/2000 | Towards Security Commit Message Standardization
[NO] 1584/2000 | Predictive Modeling of Malaria and Dengue Outbreaks Using Multi-Modal Machine Learning and Climate-Health Data Integration
[NO] 1585/2000 | Improved AVR Performance Using a Combined ANFIS and Fractional-Order PID Controller
[NO] 1586/2000 | Eye On Violence: Real-Time Violence Detection in Surveillance Video Using a CNN–LSTM Spatiotemporal Framework
[NO] 1587/2000 | A Review of Artificial Intelligence-Based Health Monitoring Methods for Extraterrestrial Built Habitat Spaces
[NO] 1588/2000 | Physical Magnetization Analysis of a Silicon Steel Sheet under Biaxial Mechanical Stress
[NO] 1589/2000 | Remote Magnetic Levitation Using Reduced Attitude Control and Parametric Field Models
[NO] 1590/2000 | Near-Field/Far-Field Wideband Massive MIMO Beamforming for MmWave Integrated Sensing, Communication and Computation Over-the-Air
[NO] 1591/2000 | Multidimensional Scour Dynamics Quantification in Offshore Wind Farms: A Multibeam Fusion Approach Integrating Temporal Registration and Surface Morphometry
[NO] 1592/2000 | Filtered CE-OFDM for Spectral Efficiency in Visible Light Communications
[NO] 1593/2000 | Denoise2Seg: A Deep Denoising-Segmentation Model for Interference-Resilient Spectrum Sensing
[NO] 1594/2000 | PredVC: Predictive Diffusion Models for Video Compression
[NO] 1595/2000 | Exploring the Application of AI-Assisted Blended Model in Educational Research Methods Course
[YES] 1596/2000 | Real-Time Product Dispensing System with FPGA
[NO] 1597/2000 | Hybridisation of Quantum computing Methods in logistics optimization through Machine learning
[NO] 1598/2000 | On Amount of Fading and Ergodic Channel Capacity of Terahertz Communications Using Compound Channel Model
[NO] 1599/2000 | Control and Detection of Epileptic Seizure Using Machine Learning Techniques: K-Means Clustering Application
[NO] 1600/2000 | Speaker Identification from Bone-Conducted Speech via Dual Attention-Transformer Model: A Study with EmoBone Dataset
[NO] 1601/2000 | ECG Signal Acquisition Module:Innovative Solutions for Cardiac Monitoring
[NO] 1602/2000 | Electricity Market Price Prediction Using a BP Neural Network Model Evolved by Genetic Algorithm
[NO] 1603/2000 | A Predictive IoT Framework for Continuous Vehicle Emission Monitoring Using Ensemble CatBoost and XGBoost Learning
[NO] 1604/2000 | CarryMe: A Mobile-Based Structured Purchase-Request Management System for Enhancing Usability and Digital Consumer Experience
[NO] 1605/2000 | Multimodal Interest-Tree Based Negative Enhancement for Recommendation
[NO] 1606/2000 | Predictive Control of a Hybrid PEM Electrolyzer-Fuel Cell System for Frequency and Voltage Regulation in High PV Penetration Grids
[NO] 1607/2000 | Improve Convolutional Neural Network (CNN) Brain-Computer Interfaces: Wearable Sensor and Deep Network Integration for Better EEG Signal Classification
[NO] 1608/2000 | MISTY: Multidimensional Identification of Synthetic Text Yield
[NO] 1609/2000 | Dual-Channel Contrastive Convolutional Network for Respiratory Disease Prediction and Classification
[NO] 1610/2000 | Artificial Intelligence for Interpreting Cognitive and Emotional States in Psychoanalytic Contexts
[NO] 1611/2000 | Integrating Ensembled Vision-Based Techniques for Intelligent Path Planning in Agricultural UAVs
[NO] 1612/2000 | ACAR-YOLO: Adaptive Context Aggregation and Channel Recalibration for Efficient Object Detection
[NO] 1613/2000 | A Hybrid Model for Innovative Brain Stroke Prediction
[NO] 1614/2000 | FocusImb-YOLO11: Small Object Focusing and Class Imbalance Adaptive Learning Network for Sonar Imagery
[NO] 1615/2000 | Context-Aware Transformer Optimization for Improved Generalization in Large Language Models
[NO] 1616/2000 | Comparative Study of Impedance Source Converters for Wide Input Range Power Applications
[NO] 1617/2000 | Develop Artificial Intelligence Systems for Space Exploration: Processing Images in Real Time and Identifying Anomalies from Radio Frequency Sensor Data from Satellites and Rovers
[NO] 1618/2000 | Thai One-Stage Fingerspelling Image Dataset for Hand Detection and Static Gesture Recognition
[NO] 1619/2000 | Adaptive Spectrum Sensing in Cognitive Radio Networks Using Reinforcement Learning
[NO] 1620/2000 | Slice-Specific Intrusion Detection Decision Support System in 5G Networks with Interpretable Ensemble Learning
[NO] 1621/2000 | A Unified Multi-Task 2D Perception Pipeline for Enhancing Single-Image 3D Modeling on Pix3D
[NO] 1622/2000 | Blockchain-Orchestrated Privacy Preservation for Cloud-Based Data Mining
[NO] 1623/2000 | TokenPool-Scheduler: Token-Level GPU Pooling and Resource Slicing for Multi-Model Co-Location
[NO] 1624/2000 | Dynamics and Trends of Quality of Life Among the Elderly in Northeast Thailand: Multi-Year Repeated Cross-Sectional Study (2019-2025)
[NO] 1625/2000 | Bridging Fiber Optic and Free-Space Optical Communication: A Comparative Study and Hybrid Framework using Artificial Intelligence
[NO] 1626/2000 | Real-Time Computer Vision for Adaptive Traffic Control in a Digital Twin
[NO] 1627/2000 | EcoAlgorithmics: An Energy-Aware Algorithm Benchmarking Platform for Sustainable Computing
[NO] 1628/2000 | A Multilingual Transformer Based Framework for Phishing Email Detection and Deployment in Real-World Pipelines
[NO] 1629/2000 | AI as Human Amplification in Cybersecurity: An Intelligence-Centered Design Framework for Risk Management
[NO] 1630/2000 | Enhancing Brain Tumor Image Prediction Efficiency Using ResNet-50-Based Deep Feature Extraction
[NO] 1631/2000 | Data Accounting in Agriculture: Satellite, Station &amp; IoT Fusion for Reliable Forecasts
[NO] 1632/2000 | DOA Estimation Algorithm Based on Orthogonal Coded Metasurface
[NO] 1633/2000 | Speech Emotion Recognition Using Multi-Domain Acoustic Features and Hybrid Machine Learning Model
[NO] 1634/2000 | A Hybrid Deep Learning Framework Combining Swin Transformer and Mask R-CNN for Dismantled Weapon Part Detection
[NO] 1635/2000 | TRIPLE-NET Fusion for Deepfake Detection
[NO] 1636/2000 | General Network Big Data Community Detection and Correlation Structure Based on Graph Neural Network (GNN)
[NO] 1637/2000 | Research on Cross-Selling Precision Marketing Strategy Based On Xgboost Model and SHAP Explanatory Framework
[NO] 1638/2000 | Instant Fraud Detection Gateway for Secure Digital Transactions
[NO] 1639/2000 | Research on LiDAR and GNSS Coordinate System Calibration for AGV Based on SVD in Hybrid Environments
[NO] 1640/2000 | Explainable AI for Financial Risk Forecasting using DNN and LSTM with SHAP and LIME
[NO] 1641/2000 | Projection of epigenetic markers of Type 2 Diabetes Reveal Pancreatic Cancer Prognostic Tumour States
[NO] 1642/2000 | Enhancing Zero Trust Network Security with AI-Powered Analytics and Blockchain Verification
[NO] 1643/2000 | A Unified Neural Ablation and Robustness Analysis Framework for Small-Sample Heterogeneous Tabular Prediction: A Physical Fitness Assessment Case
[NO] 1644/2000 | Theoretical Innovation and Empirical Testing of Intelligent Fiscal and Taxation Systems in the Digital Economy
[NO] 1645/2000 | Thesaurus-based Trustworthiness Assessment Method for Knowledge Ontology
[NO] 1646/2000 | Design of Management Accounting Information Integration Mechanisms in Digital Transformation
[NO] 1647/2000 | Intelligent Interpretation of Traditional Classics and Mining of Cross-Era Knowledge Connections Based on Large Language Models
[NO] 1648/2000 | Survey of Binary Code Toolchain Provenance Recovery Technologies for Software Security
[NO] 1649/2000 | Semantics-Aware Subtree Retrieval for Scalable Service-Banner-to-CVE Mapping in Vulnerability Discovery
[NO] 1650/2000 | Development of Online Learning Competencies in Blended Learning method: The mediating role of interaction in learning
[NO] 1651/2000 | Bruno: A RAG-based Programming Learning Assistant for Guided, No-Code Problem Solving
[NO] 1652/2000 | Guided Incremental Grading for Java Programming Assignments
[NO] 1653/2000 | The Role of AI Tools in Graded Learning Tasks for Multimedia Arts Students: Identifying Predictors through a Quantitative Model
[NO] 1654/2000 | Evaluating Autonomous Computational Agents for Complex Logic and Security-Oriented Task Environments
[NO] 1655/2000 | TrustX: An Explainable and Cryptographically Verifiable Deep Learning Framework for Multimodal Manipulation Detection
[NO] 1656/2000 | Cricket Bat Ball Segmentation Using Mask Regional Convolutional Neural Network
