[2026-04-18 09:51:02] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-17
正在获取论文...
[ACM] 2026-4-17 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[NO] 78/698 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp4-3683863.mp4
[NO] 79/698 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp1-3683863.mp4
[NO] 80/698 | AI-Tuned Smart Potentiometric based Sensor for Chloride Concentration Assessment in Sweat
[NO] 81/698 | Rotation-symmetric bent functions outside the completed Maiorana-McFarland class
[NO] 82/698 | Spatial Distribution of Impulse Bandwidth of a Graphene/Silicon Schottky Photodetector_supp1-3684821.docx
[NO] 83/698 | IEEE Vehicular Technology Society Information
[NO] 84/698 | MFEFNet: An Efficient Network for Infrared Small Target Detection with Multi-View Feature Extraction and Multi-Scale Attention Fusion
[NO] 85/698 | Kinetic Energy Based Power Smoothing Method for High-Inertia Wind Turbines Using ESO-MFPCC
[NO] 86/698 | A Dual-Event-Driven Fusion Estimation Method for Road Friction Coefficient Based on Image and Vehicle Dynamics
[NO] 87/698 | Improved Prediction of Secondary Flows in a Square Duct for Blanket First Wall Using a Nonlinear Eddy-Viscosity Model
[NO] 88/698 | DECOR+: Energy-Balanced Representation Enhancement for Long-Tailed Remote Sensing Scene Recognition
[NO] 89/698 | Lateral Dynamics Modeling and Analysis in Electric Vehicles according to the Battery Pack Arrangement
[NO] 90/698 | Table of Contents
[NO] 91/698 | PrivTI: Efficient End-to-End Privacy-Preserving Inference for Transformer-based Models in MLaaS
[NO] 92/698 | Decentralized Real-Time Train-to-Grid Control by Smoothly Homotopic Trajectory Transition
[NO] 93/698 | Rep-MMB: Bridging Mobile CNN and Transformer for Sensor-Based Human Activity Recognition
[NO] 94/698 | An Electrolytic-Capacitorless Integrated LDC/V2L Converter for Hybrid Electric Vehicles
[NO] 95/698 | Forward-Secure Identity-Based Signcryption with Equality Test for Social Recommendation on Smart IoT Devices
[NO] 96/698 | Covert Communication in Federated Learning
[NO] 97/698 | Vegetation Health Prediction Using RGB Images from UAV with Deep Learning
[YES] 98/698 | 2026 IEEE 27th Latin American Test Symposium (LATS)
[NO] 99/698 | A Novel Design of Pulsed Magnet for Repetitive Magnetic Field
[NO] 100/698 | Supraharmonic Measurement Based on Windowed Compressive Sensing and Orthogonal Matching Pursuit
[NO] 101/698 | Enhancing Wireless Guitar Audio Signal Transmission Using a Flexible Metamaterial-Based Frequency Selective Surface
[NO] 102/698 | Self-Detection of Diabetic Foot Ulcer Using Thermography and Deep Learning
[NO] 103/698 | A Cryptographically-Linked Metadata Schema for Academic Credential Interoperability: The ILMEQ Model
[NO] 104/698 | Design and Performance Analysis of Energy-Efficient Atmospheric Water Generators for Standalone Applications
[NO] 105/698 | 5G-NR Resource Management in Multi-Orbit Non-Terrestrial Systems with Multi-Connectivity
[NO] 106/698 | On Addressing Bias and Fairness in Large Language Models for Responsible Innovation in Gender Contexts
[NO] 107/698 | A Lightweight Hybrid Deep Learning Model with Squeeze-And-Excitation for Big Energy Data Analytics in Smart Homes
[NO] 108/698 | Improving Patent Document Retrieval with Customized Large Language Model
[NO] 109/698 | Detection of Human Trafficking Risks Using Machine Learning
[NO] 110/698 | Corrigendum: One Model for All: Large Language Models Are Domain-Agnostic Recommendation Systems
[NO] 111/698 | AgentChain: Blockchain-empowered Multi-agent Coordination for Trustworthy LLM Question-answering Systems
[NO] 112/698 | Resource Optimization with Uplink RSMA for Multibeam LEO Satellite IoT Systems in the FBL Regime
[NO] 113/698 | Digital Transformation Readiness in University Operations: A Product-Service System Approach to Readiness-as-a-Service
[NO] 114/698 | Copyright Page
[NO] 115/698 | Geometry Aware Meta-Learning Neural Network for Joint Phase and Precoder Optimization in RIS_supp1-3684280.pdf
[NO] 116/698 | Beyond Score Changes: Adversarial Attack on No-Reference Image Quality Assessment from Two Perspectives
[NO] 117/698 | PAHPA: Revolutionizing Kubernetes Autoscaling with Integrated Predictive Analytics and Real-Time Monitoring
[NO] 118/698 | MGMIN-FSA: A Multi-Granularity Multimodal Interaction Network for Sentiment Analysis of Financial Review Videos_supp1-3681783.pdf
[NO] 119/698 | A 16× Interleaved 32-GS/s 8b Hybrid ADC With Self-Tracking Inter-Stage Gain Achieving 44.3-dB SFDR at 20.9-GHz Input
[NO] 120/698 | Quantum-Driven Intelligent Controller Design for DC–DC Boost Converters
[NO] 121/698 | A Cloud-Native Alternative Correction for Landsat-8/9 Collection 2 Surface Reflectance over Inland Waters
[NO] 122/698 | Novel Three-Segment Steerable Continuum Needle Manipulator for Minimally Invasive Surgery_supp1-3679362.mp4
[NO] 123/698 | Development of an Insulation Lifetime Model under Varied Pressure and Voltage Conditions for More Electric Aircraft Applications
[NO] 124/698 | Analyzing the Impact of TiO
                    <sub>2</sub>
                    Nanoparticles in Transformer Oil-Based Nanofluids Through Dissolved Gas Analysis
[NO] 125/698 | Design of a Low-Power High-Density Analog in-Memory Computing Accelerator Using 18 Nm FD-SOI Phase-Change Memory
[NO] 126/698 | Quantum Entanglement and Distance: A Performance Study of Long-Distance Networks
[NO] 127/698 | Object Detection and Localization Sight to Sound Framework for Visually Impaired Community
[NO] 128/698 | A Graph-Enhanced Defense Framework for Explainable Fake News Detection with LLM
[NO] 129/698 | Hierarchical Power Flow Control Strategy for CHB-based APQC-ESS of Railway System Under Unbalanced Grid
[NO] 130/698 | IEEE Photonics Technology Letters Information for Authors
[YES] 131/698 | A Latin American Institution&amp;#x2019;s Journey in Digital Systems Education: From Breadboards to FPGA and RISC-V Design_supp1-3684367.pdf
[NO] 132/698 | A Compact Frequency Comb Generator Implementation on RFSoC for MKIDs
[NO] 133/698 | High-Efficiency 1-D Scanning Solar Arrays with High SCs Coverage Ratio Based on a Hybrid Transparent Dielectric Resonator Antenna
[NO] 134/698 | Indirect and Direct Multiuser Hybrid Beamforming for Far-Field and Near-Field Communications: A Deep Learning Approach
[NO] 135/698 | Prior-Embedded Policy Optimization for Multipoint Weak Leakage Localization in Energy Transportation Systems
[NO] 136/698 | IoT-Oriented Uplink Multi-User Digital Semantic Communication System Based on Model Division Multiple Access
[NO] 137/698 | Half Title Page: Table of Contents
[NO] 138/698 | Deep Learning-Based Recommendation System to Address Challenges in Providing Electronic Services
[NO] 139/698 | Global Trends in Digital Financial Inclusion for Women: A Decade-Long Bibliometric Review (2014-2024)
[NO] 140/698 | Energy Efficient Power Control in 6G Networks for Smart Grid Wide Area Network Using Deep Reinforcement Learning
[NO] 141/698 | Efficient Design of Fronthaul-Constrained Uplink Reception for Cell-Free XL-MIMO
[NO] 142/698 | Digital Gender Divide Among Teenagers: Analysing Disparities in Access to Technology and Internet Connectivity
[NO] 143/698 | Efficient Addition-Based Sparse GEMM for Fast Ternary Large Language Model Inference on Edge Devices
[NO] 144/698 | TCSS: Traceable Contributory Secret Sharing for Secure Multi-Tenant AI Model Serving
[NO] 145/698 | Proceedings
[NO] 146/698 | Nonlinear Adaptive Distortion-Free Denoising of Position Signal for Real-Time High-Dynamic Position Control in Manufacturing
[NO] 147/698 | MSDCN-LSTF: A Multiscale and Multidimensional Collaboration Network for Land Surface Temperature Spatiotemporal Fusion Based on Transformer and Convolution
[NO] 148/698 | Weakly Supervised Composed Object Re-Identification With Large Models
[NO] 149/698 | PromptReg: Interactive Registration by “Corresponding Prompts” for Segment Anything Model (SAM)
[NO] 150/698 | Meet Some Girls: Encoding Heteronormativity into the History of Computing
[NO] 151/698 | An Emulated LEO Satellite Laser Communication with Four 10-cm Triplet-Lens Receivers and a Maximum Ratio Combining Scheme
[NO] 152/698 | Study of Optimization for Traffic Information Estimation using LiDAR Data Under Mixed Traffic Flow with Human Driven and Automated Vehicle
[NO] 153/698 | Enhancing Cross-Project Defect Prediction for Automated Software Fault Detection
[NO] 154/698 | A Markov-Augmented CNN-LSTM-Attention Model for Exchange Rate Forecasting
[NO] 155/698 | Bridging MLOps and Infrastructure: A Workflow-Agnostic Reference Architecture for Reusable, On-Premises AI Platforms
[NO] 156/698 | Enhancing Swine Farm Profitability with PINILI-PIG: A Digital Swine Inventory and Sales Management System
[YES] 157/698 | Soft Error Mitigation in a Real-Time Control System Through Hardware Protection on an SRAM-Based FPGA
[NO] 158/698 | Can Multimodal Large Language Models Understand Graphic Design? A Comparative Study
[NO] 159/698 | IEEE Open Access Publishing
[NO] 160/698 | Dust Acoustic Waves With Arbitrary Dust Polarity and Regularized Kappa Distributed Electrons
[NO] 161/698 | Design and Vibration Resistance Performance Analysis of Gallium–Indium Liquid Metal Interconnect Structures at Board Level
[NO] 162/698 | WRNN and CAT based few-shot learning fault diagnosis for bearing
[NO] 163/698 | Study on Pulse-taking Pressure Sensor based on Surface Acoustic Wave
[NO] 164/698 | Multi-View Stereo with Holistic Guidance of Collaborative Geometric Priors
[NO] 165/698 | Message from the Program Chair
[NO] 166/698 | IEEE IWCIA2025 Author Index
[NO] 167/698 | Analyzing Sustainability Messaging in Large-Scale Corporate Social Media
[NO] 168/698 | Spectral Vs. Spatial Pruning: Fault Resilience Analysis for Extremely Sparse DNNs
[YES] 169/698 | Emulating SDC-1 Hardware Faults Through Application Level Bit-Flip Injections in QNNs
[YES] 170/698 | M-EL2N: Data-Efficient Fault Injection Through Sample Difficulty Analysis
[NO] 171/698 | Thermoelectric Generator Optimisation for Electrical Oven Waste Heat Recovery at Low Temperatures
[NO] 172/698 | Facial Images Dataset for Early Screening of Autism Children Using Convolutional Neural Network
[NO] 173/698 | Uplink Rate Splitting Multiple Access Based Multi-AUV Data Transmission Strategy for Advanced Underwater Acoustic Communication
[NO] 174/698 | Digital Technologies in Diagnosing Maternal and Child Nutrition Deficiencies for Improved Health Outcome
[NO] 175/698 | Empowering Rural Women Through Technology: The Voice Rozgar Sakhi Fellowship Program
[NO] 176/698 | An Interpretable CNN-Attention Model for Student Performance Prediction and Factor Analysis in Cloud-Based Digital Reading Systems
[NO] 177/698 | A Cross-Domain Authentication and Key Agreement Scheme for Industrial IoT
[NO] 178/698 | IEEE Photonics Technology Letters Information for Authors
[NO] 179/698 | A Constant-Gain Equation-Error Framework for Airliner Aerodynamic Monitoring Using QAR Data
[NO] 180/698 | A Wireless Microwave Monitoring System for Measuring the Pollutants of Triclosan and Glyphosate in Water
[NO] 181/698 | A Piezoelectric MFC Enabled Active Micro-Force Sensor with High Range-to-Resolution Ratio for Cross-Scale Robotic Cell Micromanipulation
[NO] 182/698 | Oscillation Mechanism and Cooperative Optimization Control Strategy for MMC-HVDC and DC Voltage Divider
[NO] 183/698 | PCS-UNETR: A Physically Constrained SwinUNETR Model for Robust Seismic First Arrival Picking
[NO] 184/698 | Benchmarking Multimodal Large Language Models for Forensic Sciences: A Comprehensive Dataset and Evaluation Framework
[NO] 185/698 | Preface: ICCBDCS 2025
[NO] 186/698 | Message from the Chairman
[YES] 187/698 | LOOL: Low-Overhead, Optimization-Log-Guided Compiler Fuzzing
[NO] 188/698 | The Influence of Financial Performance on Women Representation in Films: A Supervised Machine Learning Approach to Analyzing Bechdel Test Outcomes
[NO] 189/698 | Empowering Women Through Next-Generation Connectivity: Analyzing the Impact of 5G Networks on Women's Economic and Social Development in Kerala
[NO] 190/698 | Empirical Insights into Female Gen Z's Perception and the Factors Influencing the Adoption of AI-Powered Customer Service Chatbots
[NO] 191/698 | Empowering Rural Women Through Sustainable Cooking Solutions: A Human-Centric Approach to Clean Energy in Kalakrai, India
[NO] 192/698 | A Low Profile S-Band Antenna for 1U CubeSat Communication Systems
[NO] 193/698 | Minimax-Type Band-Pass Filters with Full-Band Center-Frequency Tuning and Narrow Transition-Band
[NO] 194/698 | Satellite Reliability Analysis Using Mathematical Prediction Models: A Case Study of Satellite Anomalies
[NO] 195/698 | Visual Consistency in Formal Modeling: An Empirical Evaluation
[NO] 196/698 | A Dual-Band Antenna System Based on Decoupling Structure Reuse Strategy
[NO] 197/698 | BiDepNet: A Bidirectional Enhancement Network for Depression Detection via Facial Expression Analysis
[NO] 198/698 | Privacy-Preserving Task Offloading Scheme Based on Blockchain Federated Learning in End-Edge-Cloud Computing Environments
[NO] 199/698 | Smooth Collision Avoidance Decision-Making Method for Unmanned Surface Vehicles Under Marine Environmental Disturbances
[YES] 200/698 | Susceptibility Evaluation of Layout-Based 2:1 Multiplexer Topologies
[NO] 201/698 | Comparison of Efficientnet B3 and Inception V3 Architecture Performance in Heart Disease Arrhythmia Image Classification
[NO] 202/698 | An Intelligent Movie Recommender System Based on Deep Reinforcement Learning
[NO] 203/698 | Integrating Large Language Models and Vector Databases for Podcast Semantic Search
[YES] 204/698 | Reliability Assessment of Deep Neural Networks and Accelerators Across Design Stages
[NO] 205/698 | A Descriptive Mixed-Methods Approach to Activity Evaluation Using Natural Language Processing
[NO] 206/698 | Design and Evaluation of Uniform and Nonuniform Planar Arrays Geometries Using Rectangular Patch Antennas
[NO] 207/698 | The Intersection of Fintech and Homebased Women Entrepreneurship: Opportunities and Challenges
[NO] 208/698 | Women Versus Men: Comparative Analysis of Physical Activity and Mobile Phone Usage on Cognitive Performance
[NO] 209/698 | List of Reviewers
[NO] 210/698 | Integrated Stereo Vision and Compliance Control With an Underwater Manipulator for Hydraulic Structure Inspection and Maintenance
[NO] 211/698 | LLM-based User-Customizable Economic MPC for Consumer Unmanned Surface Vehicle Path Planning
[NO] 212/698 | Sensorless Sequential Model Predictive Direct Speed Control for Induction Motor Drives
[NO] 213/698 | Generic and Flexible Digital Model of DAB Converters With Various Topologies and Control for Efficient Optimal Design
[NO] 214/698 | Fabrication of VS/MXene heterostructure electrode-based micro-supercapacitor for on-chip energy source applications_supp1-3684739.docx
[NO] 215/698 | Malware Image Classification Based on Lightweight VisionTransformer and Progressive FocalLoss
[NO] 216/698 | DLKD-FL: Dynamic Layer-wise Aggregation with Knowledge Distillation for Personalized Federated Learning
[NO] 217/698 | Energy-Efficient Resource Management in Microservices-Based Fog and Edge Computing: State-of-the-Art and Future Directions
[NO] 218/698 | Conference Committee: ICCBDCS 2025
[NO] 219/698 | Publication Contact
[NO] 220/698 | Vehicle Dynamics Learning from Physics Priors with Model-Structured Neural Networks
[NO] 221/698 | Front Cover
[NO] 222/698 | TIG-IM: a Two-Stage Inductive GNN with Multi-Task Learning for Influential Node Identification in Complex Networks_supp1-3681944.pdf
[NO] 223/698 | Asymptotic Information-Theoretic Optimality of Channel Model Substitution by Monte Carlo Sampling
[NO] 224/698 | G2-SDF: Geometry-Guided Neural Signed Distance Field for Space Target Reconstruction
[NO] 225/698 | Multi-View Images Suffice 3D Reasoning Through Chain-of-Thought Selection and Question-Guided Fusion
[NO] 226/698 | DFLBN: A Dynamic Fuzzy Learnable Brain Network for Brain Age Estimation
[NO] 227/698 | Wafer-Level Micromachined All-Glass Atomic Vapor Cells
[NO] 228/698 | LLM-Enhanced Multi-Agent Reinforcement Learning with Expert Workflow for Real-Time P2P Energy Trading
[NO] 229/698 | Constraint-Adaptive Reinforcement Learning for Large-Scale Power System Planning
[NO] 230/698 | HybridSphere: Enhancing Hybrid Meetings with Avatar-Based VR Environments_supp1-3679908.mp4
[NO] 231/698 | Zero-Shot Open Circuit Fault Diagnosis of Converter Based on Prior-Knowledge Injected Dual Bayesian Network With Attention Mechanism
[NO] 232/698 | Influence of Dust Storm Cell Size on the Microwave Attenuation Prediction Method
[NO] 233/698 | Photonic Crystal Based Biosensor for Early Detection of Breast Cancer Using Genetic Approach: A Review
[NO] 234/698 | Bridging the Gap: Exploring Gender Differences in eSanjeevani Adoption in Kerala
[NO] 235/698 | Inventory Control Using a Drifted Poisson Process: Applicability to Actual Intermittent Demand Data
[NO] 236/698 | FHE-MENNs: Opportunities and Pitfalls for Accelerating Fully Homomorphic Private Inference with Multi-Exit Neural Networks
[NO] 237/698 | Exploring MLLMs Perception of Network Visualization Principles_supp1-3681983.pdf
[NO] 238/698 | Adaptive Quantum-Based Least Mean Fourth Control for Multisource Isolated Three-Phase Microgrids: Experimental Analysis and Performance Evaluation
[NO] 239/698 | Toward Multi-Dimensional Quality Assessment of AI-Generated Images via Prompt-Guided Relational Learning
[NO] 240/698 | Heterogeneous Privacy-Preserving Federated Learning for Edge Intelligence
[NO] 241/698 | Beam Squint Mitigation in Wideband Hybrid Beamformers: Full-TTD, Sparse-TTD, or Non-TTD?
[NO] 242/698 | Design and Performance of a 10 GHz HTS He-FIB JJ Mixer on LSAT Substrate
[NO] 243/698 | Reduced Maximum Curvature-Based Linear Path Smoothing Method with Enhanced Kinematic Performance for 6R Robot Manipulators
[NO] 244/698 | Reducing annotation effort in patient-ventilator asynchrony detection with distance-based clustering
[NO] 245/698 | eXAI-CodeDebug: Towards Reliable, Trustworthy, and Explainable LLM-Based Coding for Production Systems
[NO] 246/698 | Multiple Depot Split Delivery Vehicle Routing Problem with Separate Backhaul and Linehaul Customers
[NO] 247/698 | A Cost-Efficient LDO Regulator Using a Dual-Loop Low-Impedance Buffer and a PT-Compensated Bias based on the Current-Subtraction Technique
[NO] 248/698 | Investigating Cryptocurrency-Enabled Illicit Activities on the Arabic Deep/Dark Web
[NO] 249/698 | Error-Driven Prompt Optimization for Arithmetic Reasoning
                    <i>A Code Generation Approach Using On-Premises Small Language Models on Tabular Data</i>
[NO] 250/698 | Design and Analysis of a Novel In-Wheel Machine-Based Powertrain for HTS Maglev Systems
[NO] 251/698 | Explainable AI for Autonomous Systems: A Framework for Trustworthy Decision-Making
[NO] 252/698 | A Hybrid Deep Learning Framework for IoT Network Attack Classification Using Multi-Head CNN and GNN
[NO] 253/698 | Power to Women: Leveraging Blockchain Technology for Sustainable Livelihood Enhancements in Fishing Communities
[NO] 254/698 | Barriers to Meta AI Adoption Among Gen Z Women: A Study Based on Innovation Resistance Theory
[NO] 255/698 | Revolutionizing Women's Healthcare: Early UTI Prediction Using Machine Learning
[NO] 256/698 | Case Study: RISC-V Cores for Resource-Constrained Computing Systems Facing Neutrons
[NO] 257/698 | Fault Prediction for Power Information Systems Based on Hierarchical Vertical Federated Contrastive Learning
[NO] 258/698 | Symptom-Aware Adaptation of CLIP for Few-Shot Medical Image Classification
[NO] 259/698 | A Study on Improving Superconducting Machine Performance by Focusing on End Windings
[NO] 260/698 | Boosting Instance Awareness Via Cross-View Correlation With 4D Radar and Camera for 3D Object Detection
[NO] 261/698 | A Radially Outward Extended Permanent Magnet Overhang Technique for Electromagnetic Performance Enhancement in Permanent Magnet Machines
[NO] 262/698 | Optimization-Based Robust Control for Momentum Wheel Systems Subject to Large-Scale Power Supply Fluctuations
[NO] 263/698 | Holo-Code: A Robust and Statistically Lossless Holographic Watermarking Framework for AIGC in Cloud-Edge IoT
[NO] 264/698 | From Uncertainty to Decision: An Intelligent Predictive Maintenance Approach Leveraging Fuzzy Bayesian Networks for Critical IT Components
[NO] 265/698 | Energy- and Area-Efficient MTJ-Based Nonvolatile Register with a Differential Information Storing Scheme
[NO] 266/698 | Statistical Diagnostics and Forecast Accuracy: Comparing Time-Series, Machine-Learning, and Hybrid Models for Drug Sales
[NO] 267/698 | Ensemble Image and Text for Unsupervised Domain Adaptation Using Vision Language Models
[NO] 268/698 | A Novel Doppler Resilient Waveform Design for MIMO Radar Based on Complete Complementary Codes and Zero Correlation Zone Sequence Sets
[NO] 269/698 | Linear-Exponential Decay Frequency Curve for Unit-Specific Response in Frequency-Constrained Unit Commitment
[NO] 270/698 | Fast Algorithm for Zernike Moments Invariants in Scene Matching
[NO] 271/698 | Hidden-Uncertainty Assessment via Non-Verbalized Signatures for LLM Medical QA_supp1-3682338.mp4
[NO] 272/698 | An Analysis of Time-Domain Period Jitter due to Random Telegraph Noise in Phase-Locked Loops
[NO] 273/698 | A Systematic Literature Review on Digital Activism: Empowering Women Through Technology in Developing Countries
[NO] 274/698 | Trade-Space Exploration Analysis for a System Incorporating Parametric Cost Mathematical Models: A Case Study of Satellite Anomalies
[NO] 275/698 | Empowering Women Entrepreneurs Through Blockchain-Enabled Credit Guarantee Schemes: A Bibliometric Analysis
[NO] 276/698 | MicroMaps: Ontology-Driven Semantic Geospatial Data Fusion Approach for IoT Integration and Decision Making in Smart
[NO] 277/698 | 2025 IEEE 14th International Workshop on Computational Intelligence and Applications (IWCIA)
[NO] 278/698 | Enhancing Project Portfolio Risk Response Decision: A Distributed Approach Considering Inter-Project Failure Correlation_supp1-3684828.docx
[NO] 279/698 | A Compact PCB-Integrated Inductive Six-Axis Force/Torque Sensor
[NO] 280/698 | Biogenic synthesis of Ag/AgCl nanoparticles from Schinus molle ethanolic extracts: evaluation of their antibacterial and antifungal activity against broccoli pathogens
[NO] 281/698 | LHR-SN: A SuperNet-Aware Layered Hybrid Routing Protocol with Bordercasting
[NO] 282/698 | A Mobile Crowdsourced Perception Method for Dynamic User Selection Based on UKF- LSTM Parallel Fusion
[NO] 283/698 | Front Cover Page
[NO] 284/698 | The New Era of Sensory Augmentation
[NO] 285/698 | Functional Integration of Power Electronics and Electric Machines Enabling High-Power Density Electric Drives
[NO] 286/698 | SUA-YOLO: A Novel YOLO-based Algorithm for Detecting Dense Small Objects from a Low-altitude UAV Perspective
[NO] 287/698 | On Graph Design for GNN-based Network Anomaly Detection
[NO] 288/698 | Quantifying Power Disturbance Tolerance to Guarantee Voltage Security in DC Microgrids
[NO] 289/698 | Handover Algorithm for UAV-BS 5G Network
[NO] 290/698 | Towards Smart Farming an IoT Based Optimized Agriculture System
[YES] 291/698 | Evaluating an Analog Test Pattern Generation Tool by Means of Hardware-Emulated Fault Injection
[NO] 292/698 | Case Study: A Robust Bootloader System with Support for Over-the-Air Firmware Updates in CubeSat Payloads
[NO] 293/698 | Hypothesis Testing on the 3D-DFT of Backward Compatible FMCW-OFDM for V2X ISAC
[NO] 294/698 | Phase Laser Ranging Radar Based on IoT Communication
[NO] 295/698 | SDN Based Firewall Using RYU Controller
[NO] 296/698 | Digital Conservation and Gender Dynamics: Exploring Technological Interventions in the Preservation of Paraya Art-Form 'Karinkali'
[NO] 297/698 | AI-Based TEL Tools in Classroom: Exploring Challenges of Secondary School Teachers
[NO] 298/698 | Guidestar-Free Adaptive Optics with Asymmetric Apertures
[NO] 299/698 | Dispersion Compensated and Multimode Dielectric Waveguide Interconnects
[NO] 300/698 | QFL-SecEdge: A Quantum Federated Learning Framework with Post-Quantum Cryptographic Task Distribution for Ultra-Reliable Mission-Critical 6G-IoT Networks
[NO] 301/698 | TechRxiv: Share Your Preprint Research with the World!
[NO] 302/698 | IEEE Collabratec
[NO] 303/698 | Experimental Topological Analysis in Next-Generation Data Center Networks: STRAT and Clos Topologies
[NO] 304/698 | Reinforced Learning Algorithm for Efficient Energy Tracking in Peer-to-Peer Energy Trading
[NO] 305/698 | Developing SMARThealth Pregnancy (SHP)GPT: Addressing Gender Bias in LLM for Community Health Workers in Rural India
[NO] 306/698 | AI-Enabled Applications for Disaster Management: Revisiting the Social Construction of Gender Norms in Disasters
[NO] 307/698 | Ethical Implications of Technology: Gender and AI use in Brazilian Education
[NO] 308/698 | A Semi-Markov Decision Process Approach to American Option Pricing with Sojourn Time Dependence
[NO] 309/698 | Preventive Maintenance Policies for Linear Connected-(1,2)-or-(2,1)-out-of-(n
                    <sub>1</sub>
                    , n
                    <sub>2</sub>
                    : F Systems
[NO] 310/698 | Performance Analysis of PIN and APD Photodetectors in an Optical Communication System under Adverse Conditions
[NO] 311/698 | A Critical Study of Soft Pseudo-Labels for Semi-Supervised Medical Image Segmentation
[YES] 312/698 | Characterization of a Fault-Tolerant RISC-V SoC in an SRAM-based FPGA Under Proton Irradiation
[YES] 313/698 | Towards Reliable and Scalable Firmware Testing in Communication-Constrained Environments
[NO] 314/698 | System Construction of Application-Layer Defense and Risk Traceability Driven by RASP
[NO] 315/698 | The Classroom Mob Programming Game
[NO] 316/698 | An Integrated Control Framework for Chemically Coupled HR Neural Network and Its Application
[NO] 317/698 | Hidden-Uncertainty Assessment via Non-Verbalized Signatures for LLM Medical QA_supp2-3682338.pdf
[NO] 318/698 | A Multi-Sensor Fusion System for Rail Side Detection Using LiDAR , Inertial Measurement Unit and GPS Data based on Two-Stage Machine Learning Framework
[NO] 319/698 | Density-Based Adaptive Protection for HVDC Transmission Lines Using Statistical Learning and Proactive Control
[NO] 320/698 | Topological Prior-Embedded Spatial-Temporal Tensor Approximation Model for Infrared Small-Target Detection
[NO] 321/698 | Orthogonal Time-Frequency Space Modulation with DFT Precoded Filter Bank Multicarrier
[NO] 322/698 | ESCM: A Toolkit for Efficient and Secure Outsourced Computation with Multiple Keys
[NO] 323/698 | Deepfake Face Image Detection With Enhanced Generalization: An Optimized VGG16 Approach Using Diverse Datasets
[NO] 324/698 | Low-Cost Solar PV Data Logger for Off-Grid Monocrystalline Panels: Design and Performance Analysis
[NO] 325/698 | PID-Controlled Temperature System Using Arduino for Portable Virus Detection Application
[NO] 326/698 | Optimization of Tactical Microgrid via Integrated LSTM-Q-Learning Models
[NO] 327/698 | Testing Cluster Structure of Graphs
[NO] 328/698 | Load Balancing Routing Technique for LEO Satellite Networks Based on Regional Partitioning
[NO] 329/698 | A Quantum-Resistant Authentication and Key Agreement Protocol for UAV Networks
[NO] 330/698 | Teaching software testing with role-play games
[NO] 331/698 | Completely Split-KalmanNet: A Novel Hybrid Model-Based and Data-Driven Method for GNSS/IMU Integration
[NO] 332/698 | Descriptor: Parasitoid Wasps and Associated Hymenoptera Dataset (DAPWH)
[NO] 333/698 | An Efficient
                    <i>K</i>
                    -way Constrained Normalized Cut and its Connection to Algebraic Multigrid Method
[NO] 334/698 | Multi-Port Thévenin–Norton Equivalents With Internal Complex Power: A Circuit-Theoretic Framework
[NO] 335/698 | Integrated Fault-Tolerant Strategy of Brushless Doubly-Fed Induction Generator-DC System Under Control Winding Open-Phase Fault
[NO] 336/698 | GPU-accelerated high-resolution geostationary-satellite-based atmospheric motion vector retrieval
[NO] 337/698 | Bootstrap Wayfinding Questions to Elicit Emotion Shift Reasoning with Large Language Models_supp1-3684445.pdf
[NO] 338/698 | Temporal Data and Short-Time Averages Improve Multiphase Mass Flow Metering
[NO] 339/698 | CGFMamba-PCR: Color-Geometric Fusion Mamba based Color Point Cloud Registration
[NO] 340/698 | Blockchain-Enabled Cybersecurity Framework for Industrial Supply Chains Using Machine Learning
[NO] 341/698 | Addressing the Gender Digital Divide to Improve Income Generation in Ransai Village, Maharashtra
[NO] 342/698 | The Future of Gender Data: Navigating Ethical Frontiers in the Age of AI and Big Data
[NO] 343/698 | Heartbeat Sound Analysis for Heart Disease Diagnosis Using Long Short-Term Memory Networks
[NO] 344/698 | AI-Empowered mm-Wave Antenna Design
[YES] 345/698 | Deep Learning-Based Power Side-Channel Evaluation from RTL Switching-Activity Proxies
[NO] 346/698 | Forgery-Resistant Range Queries via Multi-Client Order-Revealing Encryption
[NO] 347/698 | AEGIS: Throughput-Guaranteed Resilient Routing via a Conditional Value-at-Risk Approach_supp1-3684425.pdf
[NO] 348/698 | A Proof-of-Concept Autoencoding Pixelated SiPM Detector Constructed with Analog Neural Network Front-End Circuits for High-Speed Continuous X-ray Imaging
[NO] 349/698 | Estimation of surface upwelling longwave radiation under cloudy sky conditions using a physical algorithm
[NO] 350/698 | IEEE/ASME Transactions on Mechatronics Information for Authors
[NO] 351/698 | Author Index
[NO] 352/698 | Proceedings
[NO] 353/698 | Track Statistics
[NO] 354/698 | Design and Development of PIN Diode-Based Switchable Metamaterial Absorber in S Band
[NO] 355/698 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation
[NO] 356/698 | A Unified Perspective for Learning Graph Representations across Multi-Level Abstractions_supp1-3681811.pdf
[NO] 357/698 | Sec-GNN-Driven Joint Multidimensional Anti-Eavesdropping Optimization for Secure UAV-Satellite Communications
