[2026-06-26 11:45:10] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-25
正在获取论文...
[arXiv] 2026-06-25 | CLIR: Liveness-Driven and Structure-Aware Fuzzing for the Cranelift Compiler
[NO] 1231/1660 | Adaptive High-Dynamic Fractional-Order SHC Reduction Method Considering Parameter Errors and Frequency Deviation for V2G System
[NO] 1232/1660 | Why Language Model Reasoning Systematically Fails: A Structural Definition of Hallucination Based on Coordinate Closure
[NO] 1233/1660 | Task-Agnostic Assistance via Centroidal Momentum Shaping: Preliminary Validations on a Hip Exoskeleton_supp1-3706926.mp4
[NO] 1234/1660 | A 110–170-GHz Subharmonic Mixer With Low LO Drive Power and 1–35-GHz IF Bandwidth
[NO] 1235/1660 | Bidirectional Buck and Boost DC–AC/AC–DC Converter Based on Dual-Mode Time-Sharing Technology
[NO] 1236/1660 | 2026 IEEE International Symposium on Robotic and Sensors Environments (ROSE)
[NO] 1237/1660 | Digital prosopography and Ireland’s Catholic clergy
[NO] 1238/1660 | Poster Abstract: Turning Budget Earphones Into Hi-Fi with Hardware-Aware Learning
[NO] 1239/1660 | Fostering Collaborative Engagement Between Underrepresented Learners and AI Educator
[NO] 1240/1660 | Optimal Control with Physics-Informed Boundary Conditions for a 4DOF Manipulator
[NO] 1241/1660 | Multimodal Emotion Recognition Based on STM32 Microcontroller
[NO] 1242/1660 | Ultralow-Voltage NMOS-Only Voltage Reference with High-Frequency PSR Optimization via Decoupling Pseudo-Resistor
[NO] 1243/1660 | SHED: Semantic Heterogeneous Graph Learning for Estimating Eating Disorder Severity
[NO] 1244/1660 | UniFormer-Based Dual Quaternion Network for Visual Odometry
[NO] 1245/1660 | Consensus-Based Communication for Cooperative Multi-Agent Reinforcement Learnin
[NO] 1246/1660 | Study on the Improvement of Static Synchronous Series Compensators Based on Hybrid Circuit Breakers
[NO] 1247/1660 | IEEE Moving
[NO] 1248/1660 | High-Rate Free-Space Optical Communication with DMD-Based Modulating Retroreflectors
[NO] 1249/1660 | Network analysis as a tool for improving digital transformation in ICU
[NO] 1250/1660 | PRBPR: Privacy-Preserving Redactable Blockchain Supporting Policy Hiding and Revocation
[NO] 1251/1660 | Proceedings
[YES] 1252/1660 | APITestGenie: Generating Web API Tests from Requirements and API Specifications with LLMs
[NO] 1253/1660 | Predicting Student Academic Performance Using Classification, Clustering and Association Rule Mining
[NO] 1254/1660 | Probabilistic Short-Term Load Forecasting with Gated Multi-Head Temporal Attention and Quantile LSTM
[NO] 1255/1660 | Machine Learning-Based Approach for Predicting the Penetration of Air-Blown Bitumen in the Blowing Columns
[NO] 1256/1660 | Unified Evaluation of Traditional and GNN Models for Node Classification Across Heterogeneous Graph Domains
[NO] 1257/1660 | Poster Abstract: Automatic Vision-Based Component Detection in Legacy BMS Maps
[NO] 1258/1660 | Poster Abstract: Lightweight Gain-Phase Correction for Practical Wi-Fi Sensing on Embedded Devices
[NO] 1259/1660 | Learning Goodness Fields for Collision-Aware Robot Motion Planning
[NO] 1260/1660 | An Approach for Identifying and Evolution Analyzing of Domain Key Technologies Based on Patent Semantic Networks
[NO] 1261/1660 | Design and Implementation of Lightweight Communication Middleware for Aircraft Embedded Real-Time System Based on Standard DDS
[YES] 1262/1660 | Search-Based Fuzzing For RESTful APIs That Use MongoDB
[NO] 1263/1660 | From Logs to Lessons: An Exploration of LLM-based Log Summarization for Debugging Automotive Software
[NO] 1264/1660 | An Efficient Deep Learning Algorithm for Solving Nonlinear Reaction-Diffusion Equation
[NO] 1265/1660 | The Effect of Gaussian and Circular Weights on the Performance of Riesz Averaging in Image Reconstruction Using Grayscott Equations
[NO] 1266/1660 | Advances in Dynamic Difficulty Adjustment: Engagement Optimization, Believability Preservation, and Physiological Adaptation
[NO] 1267/1660 | A Cybersecurity Incident Response Model Based on Knowledge Adaptation for Large Language Models
[NO] 1268/1660 | MSEGVNet: A Multi-Scale Lightweight Framework for Robust Bearing Fault Diagnosis with Severe Industrial Noise
[NO] 1269/1660 | A Holistic Link Budget Analysis for Mmwave and THz Communications in Non-Terrestrial Networks
[NO] 1270/1660 | Advanced Control of GaN Y-Inverter for Traction Motors
[NO] 1271/1660 | HardNet++: Nonlinear Constraint Enforcement in Neural Networks
[NO] 1272/1660 | Hierarchical Stability and Lyapunov Conditions for Linear PDEs
[NO] 1273/1660 | Arbitrary-Order Antiderivatives of Canonical Piecewise-Linear Functions
[NO] 1274/1660 | Quantifying the dynamics that link leg tendon vibration to induced periodic postural oscillations in young subjects Differential effects of light touch on the induced sway
[NO] 1275/1660 | Innovative Dual-parameter Fiber Sensor based on B-shaped Configuration for Honey Quality Assurance
[NO] 1276/1660 | VIKSER: Visual Knowledge-Driven Self-Reinforcing Reasoning Framework
[NO] 1277/1660 | A Comprehensive Study on MEMS Resonators Subject to Blue Sideband Excitation
[NO] 1278/1660 | GEN-CSAF: A Generative Autonomy Framework for End-to-End Task Scheduling in Container-Based Systems
[NO] 1279/1660 | Fast and Accurate Core-Loss Measurement Using Twin Transformers With Dynamic Phase-Error Compensation
[NO] 1280/1660 | Architectural Interoperability in Industrial Automation: Toward Software-Defined Systems
[NO] 1281/1660 | Digital Fingerprints for Videos
[NO] 1282/1660 | Call for Papers: ITProfessional
[NO] 1283/1660 | Stationary Correlation Subspace Analysis for Key-Performance-Indicator-Related Nonstationary Process Monitoring
[NO] 1284/1660 | TSV Topology-Driven Phase-Change Cooling in Interposer-Integrated Diverging Microchannels for 3D Electronic Packages_supp1-3707060.docx
[NO] 1285/1660 | Accurate Frequency Response Modeling in Integrated Transmission and Distribution Co-Simulation via Exponentially Weighted Adaptive Threshold and Quadratic Extrapolation
[NO] 1286/1660 | BERTO: Intent-Driven Network Time Series Forecasting via Natural Language Operator Preferences
[NO] 1287/1660 | DISARM: Target Electronic Device Informed Mitigation of Software Runtime Side Channel Vulnerabilities
[NO] 1288/1660 | Divergence-Based Adaptive Aggregation for Byzantine Robust Federated Learning
[NO] 1289/1660 | Poster Abstract: Probabilistic Reasoning on Microcontrollers for Robust Embedded AI Sensing
[NO] 1290/1660 | Poster Abstract: Infinite Impulse Response Blocks for Neural Networks on Embedded Devices
[NO] 1291/1660 | Understanding and Detecting Platform-Specific Violations in Android Auto Apps
[YES] 1292/1660 | ACT: Automated CPS Testing for Open-Source Robotic Platforms
[NO] 1293/1660 | Secure Distributed State Estimation for Connected Vehicles under Non-Uniform Sampling
[NO] 1294/1660 | IEEE APP
[NO] 1295/1660 | IEEE Computer Society: Unlock the Benefits
[NO] 1296/1660 | Call for Papers: IEEE Pervasive Computing
[NO] 1297/1660 | Direct and ripple effects of supply chain disruption: An empirical investigation on the financial consequences using the event study approach_supp1-3706777.docx
[NO] 1298/1660 | Learning Empirical Evidence Equilibria under Weak Environmental Coupling
[NO] 1299/1660 | Learning Certified Neural Network Controllers Using Contraction and Interval Analysis
[NO] 1300/1660 | Study on the characteristic law of through-flow arcing of high-voltage and large-capacity gas gap switch
[NO] 1301/1660 | Print-Robust Watermarking with Halftone-Aware Spectral Guidance and CMYK Modeling
[NO] 1302/1660 | MSFormer: Multi-Scale Transformer With Hierarchical and Local Awareness for Traffic Flow Prediction
[NO] 1303/1660 | Weakly Supervised Bird’s Eye View Motion Prediction With Object Prior
[NO] 1304/1660 | Action and Detection Chunking With Transformers Based on Experience Tree_supp1-3706944.mp4
[NO] 1305/1660 | Objective Electrode Selection for the NASA-TLX Factors of Cognitive Workload_supp1-3700599.pdf
[NO] 1306/1660 | Poster Abstract: End-To-End Machine Readable Zone Recognition on Augmented Reality Glasses
[NO] 1307/1660 | Poster Abstract: Robustness of Smart Parking Assignment Under Realistic Sensor Noise
[NO] 1308/1660 | Bridging Predictive Performance and Explainability in Employee Attrition Through Imbalanced Learning and XAI
[NO] 1309/1660 | Anomaly Detection of Gas Pressure in Sealed Containers Based on Time Series Trend Analysis*
[NO] 1310/1660 | SPIDER: Lightweight Speaker Identification on Resource-Constrained Embedded Devices
[NO] 1311/1660 | Toward an AI-Corps
[NO] 1312/1660 | Optimizing Space Utilization and Eliminating Data Migration for LSM-tree on ZNS SSDs
[NO] 1313/1660 | Author Index
[NO] 1314/1660 | Author Index
[NO] 1315/1660 | Absorbing Aerosol Index from Ozone Monitoring Suite-Nadir Onboard FengYun-3F: First Results and Validation
[NO] 1316/1660 | SharBipole: Secure and Scalable Sharding Blockchain Based Federated Learning Against Poisoning Attacks_supp1-3691662.pdf
[NO] 1317/1660 | Fast-Cognitive: A Lightweight Belief-Driven Strategy for Robotic Odour Source Localisation
[NO] 1318/1660 | Decoding Gene-Disease Associations with Computational Methods: A Survey
[NO] 1319/1660 | RAG-VisualRec: An Open Resource for Vision- and Text-Enhanced Retrieval-Augmented Generation in Recommendation
[NO] 1320/1660 | Deep Markov Neural Clustering: An Optimized Framework for Accurate Detection of Hepatitis B
[NO] 1321/1660 | Artificial Intelligence in Passive Thermal Management: Current Trends and Future Directions
[NO] 1322/1660 | Integrating Ensemble Resampling and Semi-Supervised Learning for Robust Classification Under Imbalanced and Limited Label Conditions
[NO] 1323/1660 | Random Forest and SVM Reveal Core Genes of Barley Root Adaptation to High Salinity
[NO] 1324/1660 | Infrastructure-Free ADAS Scenario Execution using a Vision-Based Autonomous Mobile Robot
[NO] 1325/1660 | Poster: Dual-Mode Multi-Angle Beamforming for Ultrasonic Defectoscopy
[NO] 1326/1660 | Poster Abstract: Optical Transformers can Outperform Digital Models: A Preliminary Accuracy Study
[NO] 1327/1660 | EMFusion: Uncertainty-Aware Conditional Diffusion Model for Multivariate Narrow-band Exposure Forecasting
[NO] 1328/1660 | TrustDTI: Trustworthy Drug–Target Interaction Prediction via Evidential Deep Learning and Selective Abstention
[NO] 1329/1660 | Nanosecond Time Resolution for Soft X-ray Single-Photon Sensing Based on Charge Integrated 4H-SiC Detector
[NO] 1330/1660 | ParkOcc: A Novel Dataset and Benchmark for Surround-View Fisheye 3-D Semantic Occupancy Prediction in Automated Parking Scenarios
[NO] 1331/1660 | <i>X-Bucket</i>
                    : A Family of Algorithms for Adaptive Resource Allocation in Dynamic Workflows
[NO] 1332/1660 | MixVIO: Selective Visual-Inertial Odometry Via Phase-Aware Attention and Hybrid Kernel Modeling
[NO] 1333/1660 | Preamble-Free Blind Sequence Recovery for Asynchronous Overloaded Sensor Uplinks via Template-Guided Polyphase Focusing
[NO] 1334/1660 | Compressive Power Spectrum Sensing via Multi-channel Collaborative Modulo Undersampling
[NO] 1335/1660 | Language-Driven Visual Data Generation for Zero-Shot HOI Detection_supp1-3705170.pdf
[NO] 1336/1660 | Bayesian Equilibria of Heterogeneous Non-Atomic Routing Games with Private Information
[NO] 1337/1660 | Green synthesized Ceria nanoparticles based electrochemical sensor for Creatinine detection
[NO] 1338/1660 | Enhancing Physical Layer Security in IoT-Based RF-FSO Integrated Networks: Multi-RIS Structures and their Impact on Secure Communication
[NO] 1339/1660 | Data-Driven Adaptive Predictive Control Under Cloud-Edge Collaboration Framework for Municipal Solid Waste Incineration Processes
[NO] 1340/1660 | Group-wise Layer Aggregation of Self-Supervised Representations for Speech Emotion Recognition
[NO] 1341/1660 | Advancing Automated Reporting in Manufacturing With Dual-Channel GCN and CNN Architectures
[NO] 1342/1660 | CuSum-Based Change Detection of False Data Injection Attacks in DC Microgrids
[NO] 1343/1660 | Design and Implementation of a High-Throughput Hardware Accelerator for WebP Lossless Image Compression
[NO] 1344/1660 | A Low-Cost 60-GHz Flip-Chip-Assembled OOK Transceiver in 90-nm CMOS With FR4 Antennas
[NO] 1345/1660 | A Geometry-Signal Confidence Fusion Framework for Robust 5G Indoor Localization in Basement Environments
[NO] 1346/1660 | Autonomous Robotic Occluder Deployment with FBG Force Based Assessment in Left Atrial Appendage Closure_supp1-3706927.mp4
[NO] 1347/1660 | Beyond the Apex: Online Minimum-time Velocity Planning on Three-Dimensional Paths with Variable Friction
[NO] 1348/1660 | EndoLRMGS: Combining Large Reconstruction Modelling and Gaussian Splatting for Complete Endoscopic Scene Reconstruction
[NO] 1349/1660 | Secure Multi-Timescale Orchestration for Zero-Trust Cross-Datacenter Networks
[NO] 1350/1660 | Characterizations of Resistive Losses in Carbon Fiber Reinforced Polymer Protection Covers for Wireless EV Charging
[NO] 1351/1660 | CBAM-Ensemble: Automatic Detection and Classification of Insect Pests in Agricultural Products Using Deep Neural Network Ensemble Method
[NO] 1352/1660 | Assessing Procedural Content Generation in Reinforcement Learning Prompt-Based Feedback via Adaptive Virtual Reality Industrial Environments for Workforce Training
[NO] 1353/1660 | Semantic and Sentiment Analysis of User Experience on Chaoxing (2020-2024) Based on Review Data
[NO] 1354/1660 | Poster Abstract: Sensor-Aware Multi-Region Adversarial UNet for Downscaling Weather Fields
[NO] 1355/1660 | A Longitudinal Analysis of Gamification in Untappd: Ethical Reflections on a Social Drinking Application
[NO] 1356/1660 | The Moral Consistency Pipeline: Continuous Ethical Evaluation for Large Language Models
[NO] 1357/1660 | Artificial Intelligence for Fault Diagnosis in Harmonic Drives of Industrial Robots: A Comprehensive Real-World Dataset and a Review
[NO] 1358/1660 | Reliable Communication for Dense Hotspot Areas: NOMA-Based Hybrid FSO/RIS-Aided RF Systems
[NO] 1359/1660 | Performance Analysis of RIS-Assisted Terahertz Communications: Joint Impact of Antenna Misalignment and Imperfect CSI on Physical Layer Security
[NO] 1360/1660 | Inversion-Free Fractional-Programming Precoding for RIS-aided OTFS LEO Satellite Communication
[NO] 1361/1660 | Time- and Energy-aware Allocation of Core-coupled Memory for Embedded Microcontrollers
[NO] 1362/1660 | KAGE: A Scalable and Efficient Kernel Protection Methods for Linux
[NO] 1363/1660 | CubeDVO: Cubemap-Spherical Deep Visual Odometry for a Monocular 360-Degree Camera_supp1-3706936.mp4
[NO] 1364/1660 | Geometric Reduced-Attitude Tracking under a Time-Varying Conic Constraint via Smooth Reference-Shaping
[NO] 1365/1660 | QoS-aware State-Augmented Learning for Wireless Coexistence Parameter Management
[NO] 1366/1660 | A Lightweight Single-Token CNN-Transformer Architecture for Robust Multi-Crop Plant Disease Classification
[NO] 1367/1660 | SINS/GNSS Integrated Navigation Based on Left Equivariant Error Model in Inertial Frame
[NO] 1368/1660 | Surface-Conforming Modular Jamming Pads for Enhanced Contact and Friction_supp1-3706953.mp4
[NO] 1369/1660 | Poster: Multi-Channel Mobile Infrared Optical Tomography System for Real-Time Analysis of Reactive Processes
[NO] 1370/1660 | EEG-Based Classification of Relaxed and Focused Mental States Using Machine Learning: Comparative Performance of SVM and Random Forest Models with Leave-One-Subject-Out Cross-Validation
[NO] 1371/1660 | Dual-View Amp: Fusing Graph and Sequence Encoders for Peptide Analysis
[NO] 1372/1660 | Poster Abstract: Autonomous Cuffless Blood Pressure Monitoring Using Semi-Supervised Continual Learning with Edge Computing
[NO] 1373/1660 | Evaluation of U-Net Variants for Tooth Segmentation on Panoramic Dental X-Ray Images
[NO] 1374/1660 | Accelerating High-Order CFD Solver on Hygon DCU
[NO] 1375/1660 | Señatalk: Inclusive Web Application for the Recognition and Translation of Peruvian Sign Language (PSL) Using Recurrent Neural Networks (LSTM)
[NO] 1376/1660 | Poster Abstract: From a Strong Wind to a Link Loss: Diffusion Topology Repair for Stable Swarms
[NO] 1377/1660 | Cognitive Load and Inattention [Electrical Safety]
[NO] 1378/1660 | Poster Abstract: Could a Wireless Stack Based on Synchronous Transmissions Challenge 6TiSCH?
[NO] 1379/1660 | Demo Abstract: LightFARM: Energy-Efficient Indoor Farming via Battery-Free Sensing and Predictive Lighting Control
[NO] 1380/1660 | Hybrid Deep Learning and ANFIS-Based Framework for Uncertainty-Aware Breast Cancer Detection in Mammography
[NO] 1381/1660 | Designing an Academic Artificial Intelligence Entrepreneurship Ecosystem: A Mixed-Method Fuzzy Delphi Approach
[NO] 1382/1660 | Message from the Poster and Demo Co-Chairs
[NO] 1383/1660 | Conference Calendar
[NO] 1384/1660 | Linearly Solving Robust Rotation Estimation
[NO] 1385/1660 | Reachable Set Estimation of T-S Fuzzy Switched Positive Systems with All Unstable Modes: A Hysteresis Switching Strategy
[NO] 1386/1660 | Front Cover
[NO] 1387/1660 | Computing in Science &amp; Engineering
[NO] 1388/1660 | Frequency Quality Metrics based on Second-Order Derivative and Autocorrelation
[NO] 1389/1660 | Conditions for exponential growth in a ribosome biosynthesis model across multiple scales
[NO] 1390/1660 | Fuel- and Time-Optimal Control for Spacecraft Formation Flying Under
                    <i>J</i>
                    <sub>2</sub>
                    Perturbation
[YES] 1391/1660 | Optimized system excitation for data-driven thermal modeling — a practical sim-to-real transfer investigation
[NO] 1392/1660 | Wearable Methanol Sensing Using an Electroless Pt-Modified ZnO@ZIF-8/LIG Heterostructure for Plant Heat-Stress Monitoring
[NO] 1393/1660 | A Comprehensive Evaluation of Generative Models for Privacy-Preserving Synthetic Student Data
[NO] 1394/1660 | LHRS-LTW: A Load-Aware Hybrid-Cloud Resource Scheduling Framework for Large-Scale Training Workloads_supp1-3704297.pdf
[NO] 1395/1660 | TVP-Diff: Text-aware Visual Prompt-driven Diffusion for Camouflaged Object Detection
[NO] 1396/1660 | Reproducibility Report: "A Framework for Efficient Individual-Level Longitudinal Outcomes Estimation for Agent-Based Simulations'
[NO] 1397/1660 | Improved Safe Operating Area Modeling of DC-Link Capacitor Considering Transient Electro-Thermal Procedure
[NO] 1398/1660 | Deep Learning-Driven Aerial 3D Object Detection for Traffic Monitoring Using Completed LiDAR Point Clouds
[NO] 1399/1660 | Toward Sustainable Future Wireless Networks: Power Reduction and Energy Harvesting Strategies
[NO] 1400/1660 | Curriculum Learning-Based Multi-Agent Reinforcement Learning for Multi-UAV Cooperative Encirclement
[NO] 1401/1660 | IEEE Computer Society Career Center
[NO] 1402/1660 | ROI-Aware Image Transmission with Unequal Joint Source–Channel Coding
[NO] 1403/1660 | Sea Clutter Suppression Method Based on Pyramid Multi-Scale Residual Attention Generative Adversarial Network
[NO] 1404/1660 | Preface: CCAT 2025
[NO] 1405/1660 | Co-Optimization of Analog Kolmogorov-Arnold Networks for Low-Power Function Approximation in Flexible Electronics
[NO] 1406/1660 | A Survey on Human-Centric Voice–Face Multimodal Learning
[NO] 1407/1660 | Enhancing Pharmaceutical Supply Chain Resilience and Operational Efficiency by Machin Learning
[NO] 1408/1660 | Mutual Information-Based Feature Reduction: A Novel Approach for Promoting the Diagnosis of Autism Spectrum Disorder
[NO] 1409/1660 | Poster Abstract: Auditor-Free Byzantine-Resilient Federated Learning Via Functional Inner Products
[NO] 1410/1660 | POSEIDON: A Human-Centered Resilience Framework for Critical IT/Operational Technology Infrastructures—A Case Study on a High-Demand Operational Asset
[NO] 1411/1660 | Poster Abstract: Selective State Space Models for Wifi CSI-Based Human Identification and Activity Recognition
[NO] 1412/1660 | Corrections to “Benchmarking NC-CrossFET: Device-Level Insights and System Implications”
[NO] 1413/1660 | Poster Abstract: See the Counterfeit Currency from Spectrally Modulated Smartphone Cameras
[NO] 1414/1660 | A Data-Driven Framework for Demand Forecasting and Inventory Optimization in ERP Using Machine Learning and Ddmrp on FPGA
[NO] 1415/1660 | Hyperspectral Imaging-Based Quantitative Analysis of Olive Oil Adulteration Using Spectral Unmixing Techniques
[NO] 1416/1660 | Multisource Geospatial Data Fusion for 3D Flood Exposure Modeling
[NO] 1417/1660 | An Enhanced Social Force Model for Aircraft Cabin Evacuation Simulation
[NO] 1418/1660 | Multiform differential evolution with feasibility-oriented knowledge transfer for interval-constrained scheduling of coal-mine integrated energy systems
[NO] 1419/1660 | Condensed and Discriminative Feature Encoding for Remote Sensing Image Retrieval
[NO] 1420/1660 | A Graphene-Ag-Cu Composite TSV for 3D IC Interconnects With Electrical and Electro-Thermal Analysis
[NO] 1421/1660 | A RESURF Structure for Normally-Off High-Voltage Hydrogen-Terminated Diamond FETs
[NO] 1422/1660 | Proceedings
[NO] 1423/1660 | End-to-End Joint ASR and Speaker Role Diarization with Child-Adult Interactions
[NO] 1424/1660 | Front Cover
[NO] 1425/1660 | Proprioceptive Invariant State Estimation for Humanoid Robots on Noninertial Ground_supp1-3700060.pdf
[NO] 1426/1660 | MoPE: Mixture of Prompt Experts for Parameter-Efficient and Scalable Multimodal Fusion_supp1-3700783.pdf
[NO] 1427/1660 | A Comprehensive Empirical Evaluation of Token-Oriented Object Notation (TOON) for Large Language Model Applications
[NO] 1428/1660 | Natural Climatic Aging Behavior of Halogen-Free Flame-Retardant PE/EVA Cable Insulation: A Multi-Analytical Study
[NO] 1429/1660 | Generating Prosody-Aligned Gestures via Residual Vector Quantization with Uniform Regularization and Activity Loss
[NO] 1430/1660 | Multi-Objective Pulse Pattern Optimization for Synchronous Machine Drives Considering Different Symmetry Properties
[NO] 1431/1660 | Dynamic Denoising Method Based on Semantic Prompts for Mixed Noise Suppression in Seismic Data
[NO] 1432/1660 | Online OCF Diagnosis for DTP-PMSM via Semi-Supervised Learning and Compression-based Deep Learning Network with OOD Detection
[NO] 1433/1660 | Reducing Barriers to Vibration Condition Monitoring of Rotary Machinery: A Self-Configuring Algorithm Without Requiring Prior Fault Samples
[NO] 1434/1660 | LRConv-NeRV: Low-Rank Convolution for Efficient Neural Video Compression
[NO] 1435/1660 | Learning Dynamic View Reliability for Multi-Camera Multi-Object Tracking
[NO] 1436/1660 | Submit Today: IEEE Transactions on Big Data
[NO] 1437/1660 | Enhanced Multistep Finite Control-Set-Based Model-Predictive Control for Delay Compensation in Parallel Distributed Generations
[NO] 1438/1660 | Federated Heterogeneous-agent Reinforcement Learning for the Flexible Dispatch of Energy Hubs
[NO] 1439/1660 | MC-GVIO: Motion Consistency Aided GNSS-Visual-Inertial Odometry for Land Vehicle Navigation in Urban Environments
[NO] 1440/1660 | Hosts
[NO] 1441/1660 | A Multi-Modal Framework for Phage-Host Interaction Prediction Using Multi-View Contrastive Learning
[NO] 1442/1660 | 3D Printed Ring Resonator: Design, Fabrication, and Experimental Characterization
[NO] 1443/1660 | Rank reversal free VIKOR and Fuzzy VIKOR - heading towards absolute-type fuzzy multiple-criteria evaluation methods_supp1-3706988.pdf
[NO] 1444/1660 | Complex Frequency as Generalized Eigenvalue
[NO] 1445/1660 | Epistemic Parity: Reproducibility as an Evaluation Metric for Differential Privacy
[NO] 1446/1660 | Unmasking Toxicity and Vulnerabilities in Large Vision-Language Models
[NO] 1447/1660 | Poster Abstract: A Wearable IoT Device for Voice-Activated Safe-Word Detection Using Robust Keyword Spotting and Whisper Speech Recognition for Emergency Response
[NO] 1448/1660 | Autonomous Adversaries Are Here: How Engineers Can Use Agentic Guardians to Protect AI Applications From Agentic Attackers
[NO] 1449/1660 | Covert MISO-VLC Systems: Leveraging Optical Reconfigurable Intelligent Surfaces for Enhanced Security
[NO] 1450/1660 | Poster Abstract: Personalized Image Precompensation Based on Deblurring Neural-Network Models
[NO] 1451/1660 | Poster Abstract: Less is More with PLATO - Preprocessing via Lightweight, Accelerated, and Task-Aware Optimization for Embedded Vision
[NO] 1452/1660 | A Technical Architecture Design for University Business Software Systems with Digital Intelligence Empowerment
[NO] 1453/1660 | A Dynamic System for Classification and Detection Liver Abnormal Genes Using Neural Networks
[NO] 1454/1660 | A Bi-objective Array Optimization Framework for Magnetocardiographic Source Imaging
[NO] 1455/1660 | IEEE Connects
[NO] 1456/1660 | PG-DSBN: A Physics-Guided Deterministic–Stochastic Balanced Network for Sea Surface Temperature Forecasting
[NO] 1457/1660 | Fabrication of High-Conductive and Reliable Embedded Circuits in Glass Substrates via Pressure-Assisted Cu Nanoparticle Sintering_supp1-3706784.docx
[NO] 1458/1660 | PhyP-Net: Physics-Constrained Deep Learning for Sub-Second EV Power Demand Prediction in Hybrid Energy Storage Systems
[NO] 1459/1660 | Acknowledgement of 2025 Reviewers
[NO] 1460/1660 | Power Reference Adjustment and Hybrid Current Limiting for Enhanced Control and Transient Stability of Virtual Synchronous Generator Under Voltage Sags
[NO] 1461/1660 | Temporal Liveness Enforcement via Parameter Tuning in Dual-Time Petri Nets
[NO] 1462/1660 | An Enhanced Clamped-Double Submodule Based Multi-Level Inverter for Grid-Tied Applications
[NO] 1463/1660 | Benchmarking Reinforcement Learning via Stochastic Converse Optimality: Generating Systems with Known Optimal Policies
[NO] 1464/1660 | Targeted Online Advertising Based on User Behavior Analysis
[NO] 1465/1660 | AI-Ready Data Collection Techniques From Social Media: Governance, Ethics, Quality Control, and Practical Challenges
[NO] 1466/1660 | AI-Driven Anomaly Detection in IoT Networks: A Comprehensive Survey
[NO] 1467/1660 | Cross-Topic Link Prediction in Scientific Networks Using Hybrid Structural and Textual Graph Neural Networks
[NO] 1468/1660 | A Study on the Use of Local Binary Pattern with Different Size for Texture Detection and Classification
[NO] 1469/1660 | Green Speculative Decoding for Energy-Efficient Small Langauge Models
[NO] 1470/1660 | AutoPCRS: An Automated System for Batch Photochemical Irradiation
[NO] 1471/1660 | A Model-Driven Architecture Based Design Method for Flight Control Mission Planning Software*
[NO] 1472/1660 | Poster Abstract: Template-Based Document OCR for Edge Devices
[NO] 1473/1660 | Demo Abstract: DiPe: Real-Time Diffusion LLM Inference on Edge Devices for Planning Tasks
[NO] 1474/1660 | A Review of
                    <i>Wisconsin Alumni Research Foundation v. Apple</i>
                    —Part X
[NO] 1475/1660 | Poster Abstract: Explainable Ensemble Learning for Compromised Node Detection in IoT Networks
[NO] 1476/1660 | Hidden Prompts in Manuscripts Exploit AI-Assisted Peer Review
[NO] 1477/1660 | Design of Oil-Immersed High-Voltage Stator and Optimization of HTS Field Winding for Transformerless Grid-Connected HTS Synchronous Condenser
[NO] 1478/1660 | Linear Feedback Controller for Homogeneous Polynomial Systems
[NO] 1479/1660 | Continuous-Time Pipelined Analog-to-Digital Conversion With Background Reconstruction-Filter Tracking
[NO] 1480/1660 | PERTINENCE: Input-based Opportunistic Neural Network Dynamic Execution
[NO] 1481/1660 | Finite-Time Adaptive Robust Disturbance Observer and Filter-Based Controller for Human–Robot Interaction in Rehabilitation Robots
[NO] 1482/1660 | QuDSim: An Open-Source 3D Finite Element Simulation Tool for Nanoscale Devices
[NO] 1483/1660 | Reducing C-NOT Counts for State Preparation and Block Encoding via Diagonal Matrix Migration
[NO] 1484/1660 | SWOR: A Scalable and Efficient Wavelength-Routed Optical Network-on-chip
[NO] 1485/1660 | Power-Law Aware Heterogeneous Graph Neural Network for Intrusion Detection in Heavy-Tailed Communication Graphs
[NO] 1486/1660 | IEEE Access
[NO] 1487/1660 | Raised Output Corruption and Structural Attack Resilience by Encryption of Big+Little Trees in Logic Locking
[NO] 1488/1660 | A Framework for Similarity-based and Resource-aware Orchestration of End-to-End Test Cases
[NO] 1489/1660 | REST-at: An LLM-Based Tool for Automating Traceability between Requirements and Test Cases
[NO] 1490/1660 | Poster Abstract: Physics-Grounded RF Digital Twins Paradigm for RF-Based Spatial Intelligence
[NO] 1491/1660 | Poster Abstract: Parallel Graph Neural Network Ensemble with Learnable Adjacency Matrices for Efficient Human Activity Recognition
[NO] 1492/1660 | Intelligent Fault Detective System for Machining: Broaching
[NO] 1493/1660 | Agri-MoE: A Disturbance-Aware Mixture-of-Experts Framework for Robust Object Detection in Autonomous Agriculture
[NO] 1494/1660 | Poster Abstract: Real-Time Detection of Geotagged Road Hazards Using GPS-IMU Sensors
[NO] 1495/1660 | Poster Abstract: Benchmarking 2D Latent Degradation Spaces for Monitoring-Ready PdM
[NO] 1496/1660 | Reduction of Energy Consumption through Fab Environment Adjustment
[NO] 1497/1660 | Position-Based Visual Servoing with a Marsupial Robotic System
[NO] 1498/1660 | Progressive Center Voting: Refining Pseudo-labels for Unsupervised Object Re-ID
[NO] 1499/1660 | An Edge AI Pipeline for Real-time Detection, Discrimination and Classification of Killer Whale Vocalizations
[NO] 1500/1660 | Achieving Õ(1/ϵ) Sample Complexity for Bilinear Systems Identification under Bounded Noises
[NO] 1501/1660 | Author Index
