[2026-07-24 11:04:19] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-23
正在获取论文...
[arXiv] 2026-07-23 | Structure theory of $BV$ functions and finite perimeter sets on Riemannian manifolds
[NO] 809/1796 | MEDRAG-SHIELD: A Privacy-Preserving Retrieval-Augmented Generation Framework for Clinical Text Analysis Using BiLSTM-Attention Mechanisms
[NO] 810/1796 | Adaptive Clustering-Based Federated Learning for Non-Intrusive Load Monitoring Across Multiple Users
[NO] 811/1796 | A Fine-Grained Versatile Systolic Array Architecture for Mixed-Sparsity Hardware Acceleration on FPGA
[NO] 812/1796 | EV Charging Demand Prediction Considering Environmental Condition and User Behavior
[NO] 813/1796 | Edge Convergence of Second-Order Nonlinear Systems
[NO] 814/1796 | Online Fault Diagnosis under Missing Data via Multi-Kernel Learning
[NO] 815/1796 | Large Language Model-Assisted State Transition Algorithm for Solving Sensor Network Localization Problem
[NO] 816/1796 | Design, Synthesis, and Comparison of Multiplier Architectures using 90 nm to 3 nm Standard Cell Libraries
[NO] 817/1796 | BiLSTM-Attention-Based Reader Behavior Prediction and Crowd Flow Modeling in Libraries
[NO] 818/1796 | Large Language Models: Technical Pathways and Application Challenges
[NO] 819/1796 | Throughput Analysis of Coded OTFS System under Fast Fading Channels
[NO] 820/1796 | "Is This Not Enough?": Asymmetries in Institutional Accountability and Collective Sensemaking in the Case of Canada's Algorithmic Visa Triage System
[NO] 821/1796 | IEEE Standard for Power Modeling to Enable System-Level Analysis
[NO] 822/1796 | Title Page
[NO] 823/1796 | Large-Scale Sensor Systems for Sentient Environments: Emerging Research Directions
[NO] 824/1796 | Amorphous Oxide Semiconductor Transistors for Monolithic 3D Integrated Circuits
[NO] 825/1796 | Table of Contents
[NO] 826/1796 | Coil Geometry Effects on Force Directionality and Crosstalk in Direct Ink Writing-Based Electromagnetic Actuators for E-skin
[NO] 827/1796 | Granular-Ball-Induced Noise-Tolerant Discernibility Indexes for Fuzzy $\beta$ Covering Decision Systems and Feature Subset Selection
[NO] 828/1796 | Energy-Efficient Beamforming and Adaptive Computational Task Offloading in ISCC Systems
[NO] 829/1796 | Mitigation of Field Drift in a Conduction-Cooled No-Insulation ReBCO Magnet by Overshooting Current Profile Optimization
[NO] 830/1796 | Steering Committee
[NO] 831/1796 | Modality-Incomplete Human Status Recognition on Mobile Devices with Multi-Scale Relation and Semantic-Matching Distillation
[NO] 832/1796 | Advancing Fluid Antenna-Assisted Non-Terrestrial Networks in 6G and Beyond: Fundamentals, State of the Art, and Future Directions
[NO] 833/1796 | Design and Placement of a Passive Clamp Snubber for Isolated SEPIC and Cuk Converters Working as Automatic Power Factor Correctors
[NO] 834/1796 | 2026 International Conference on Complex Systems and Automation Control (CSAC)
[NO] 835/1796 | RPHunter: Unveiling Rug Pull Schemes in Crypto Token via Code-and-Transaction Fusion Analysis
[NO] 836/1796 | El Faro: An Advanced Frugal AI Stack for Context-Driven Resilience
[NO] 837/1796 | Copyright Page
[NO] 838/1796 | Imitating Fund Managers’ Portfolio Decisions: A Knowledge-Based Approach
[NO] 839/1796 | Generative AI Model Assisted Multimodal Semantic Vehicular Edge Computing for Collaborative Perception
[NO] 840/1796 | A new paradigm for effective LLM-Agent discovery and dynamic creation of trusted Multi-Agent Systems based on social relationships
[NO] 841/1796 | Holistic Fusion: Task- and Setup-Agnostic Robot Localization and State Estimation With Factor Graphs
[NO] 842/1796 | Fractional Doppler Effects on OTFS-NOMA HetNets with Mixed-Mobility Users
[NO] 843/1796 | Terrain-Based Global Tracking Without Prior Pose Information Using Multibeam Echosounder Measurements
[NO] 844/1796 | A Combined-Field Boundary Element Formulation for the Electromagnetic Modeling of Multiscale Interconnects and Integrated Passive Components from DC to Millimeter-Wave Frequencies_supp5-3715919.pdf
[NO] 845/1796 | ESACT: An Index-Reordering Approach to Eliminate Bank Conflicts in Parallel Prefix-Sum Algorithms without Shared Memory Padding
[NO] 846/1796 | GNSS Signal Resiliency Metric: A Stochastic Approach
[NO] 847/1796 | Design and Implementation of a Lightweight Live-line De-icing Robot for 35kV Wind Farm Collection Lines
[NO] 848/1796 | A Bio-Inspired Multi-Segment Partitioned Soft Pneumatic Actuator for Hand Edema Rehabilitation
[NO] 849/1796 | Periodic Event-Triggered Consensus Control for Uncertain Second-Order Itô-Type Stochastic Multi-Agent Systems
[NO] 850/1796 | Research and Implementation of YOLOv8-based Binocular Vision Ranging Target Detection System
[NO] 851/1796 | Low-Level I/O Monitoring for Scientific Workflows
[NO] 852/1796 | Research on Rapid Gear Profile Modification Technology Based on AI Agent Skills
[YES] 853/1796 | Design and Formal Verification of a Logarithmic-Posit Arithmetic Core for Edge Neural Acceleration
[NO] 854/1796 | Diffusion-Based Models for 3D Vascular Two-Photon Microscopy Generation
[NO] 855/1796 | A 60 GHz Low Noise Amplifier Adopting Integrated Transformer-based Neutralization Technique
[NO] 856/1796 | ADRC-PID Based Cascade Control for Multi-Temperature-Zone Systems with Large Inertia
[NO] 857/1796 | Research of the Performance Fiber-Optic Communication Networks Under the Impact of Radioelectronic Interference Sources
[NO] 858/1796 | Masked Structural Decomposition with Time Frequency Consistency for Unsupervised Multivariate Time Series Anomaly Detection
[NO] 859/1796 | TAM: Temporal Attention for Edge-Oriented Short-Term Load Forecasting
[NO] 860/1796 | Electrostatic Field Engineering Analysis of Hybrid Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    /ZrO
                    <sub>2</sub>
                    Gate Dielectric AlN/GaN based MOSHEMTs for Enhanced RF and Power Performance
[NO] 861/1796 | Distributionally Robust Coordinated Scheduling of Port Integrated Energy Stations Considering Multi-Path Green Hydrogen Utilization
[NO] 862/1796 | Model-free Adaptive Iterative Learning Control with Applications to Quadrotors
[NO] 863/1796 | Beyond Peak Field Enhancement: Theoretical Framework for Emitter Participation and Scaling in Nanocarbon Field Emitter Arrays
[NO] 864/1796 | Nonlinear Fault Root Cause Diagnosis Method Based on LSTM-AVAR Granger Causality Analysis
[NO] 865/1796 | Real-time Vehicle Tracking for Complex Dynamic Environments Based on YOLO-ReID Fusion for Intelligent Transportation Systems
[NO] 866/1796 | Hopf Bifurcation Analysis of a Bistable Duffing System with Washout Filter Delayed Feedback
[NO] 867/1796 | Energy Efficient Approximate Square Root Circuit for Image Processing Applications
[NO] 868/1796 | Performance-Supervised Fault Detection For Model-Free Nonlinear Systems Based on Fuzzy Approximation
[NO] 869/1796 | Statistical Identification of Linear Link Characteristics
[NO] 870/1796 | Performance Evaluation of Real-Time Scheduling Algorithms for Latency-Critical IoT Applications
[NO] 871/1796 | Robust Tire Imbalance Detection Using In-Vehicle CAN Signals: A Signal-Observability-Aware Unsupervised Approach
[NO] 872/1796 | Gaussian Process Regression–Driven Thermal Modeling of 5 nm Stacked Nanosheet FETs for Advanced CMOS Thermal Management and Reliability
[NO] 873/1796 | Robust Secure ISAC Beamforming for Integrated HAPS-LEO Maritime Networks
[NO] 874/1796 | Sponsor
[NO] 875/1796 | Co-SEC: An Adaptive Security-Enhanced ASCON Accelerator via Algorithm-Hardware Co-Design
[NO] 876/1796 | Robust Relative Sensor Registration in the Presence of Non-Gaussian Noise
[NO] 877/1796 | Riemannian Adversarial Attacks on Subspace Detectors via the Grassmann Manifold_supp1-3716159.pdf
[NO] 878/1796 | Reusing Multimodal Agents: Efficient Evaluation of Sound Designs in Games
[NO] 879/1796 | Miresga: Achieving High-Performance and Reliable Layer-7 Load Balancing with Programmable Switches_supp1-3715854.pdf
[NO] 880/1796 | Exponential-Family Tensor Completion via Nonconvex Dual Total-Variation Regularization
[NO] 881/1796 | Low Complexity DOA/DOD and Polarization Estimation for Polarimetric MIMO Radar Via Unitary Dimension-Reduction MUSIC
[NO] 882/1796 | IEEE Transactions on Emerging Topics in Computational Intelligence Information for Authors
[NO] 883/1796 | Trivium: Temporal Regret as a First-Class Objective for Causal-Memory Controllers
[NO] 884/1796 | AIEAnalyzer: An Analytical Framework for Versal AI Engine Performance Analysis
[NO] 885/1796 | Credibility, Anonymity, and Algorithmic Gatekeeping in Leveraging Social Media as a Justice-Seeking Tool
[NO] 886/1796 | Data-Driven Iterative Learning Control for Nuclear Waste Incineration Temperature Regulation
[NO] 887/1796 | Iterative Learning Control for Overhead Cranes via Optimal Path Planning
[NO] 888/1796 | Large Language Model-assisted Optimal Scheduling Method for Electric Vehicle Charging and Discharging Based on PER-DDPG Algorithm
[NO] 889/1796 | Decarbonization of Electric and Transport Systems in Islanded Remote Communities Using Renewable Energy and Mobile Battery Storage System
[NO] 890/1796 | A UAV-Borne FMCW GPR System for Spatial Ice Thickness Measurement
[NO] 891/1796 | Concatenated CI-BCH Code Construction with Inner Algebraic Convolutional Code
[NO] 892/1796 | Crypto Vision: A Reversible Gate-Based 16-Bit Image Encryption Framework with Chaos-Driven Key Scheduling and VLSI Metrics
[NO] 893/1796 | High-Accuracy Modification of the Spectral Leakage Reduction Method Based on Sample Number Adjustment
[NO] 894/1796 | State of Health Estimation and Remaining Useful Life Prediction of Lithium-Ion Batteries Based on Physics-Constrained Federated Meta-Learning
[NO] 895/1796 | Towards Intelligent Construction: A Hybrid ANN-NSGA-II Framework for Compressive Strength Prediction toward 3D Concrete Printing
[NO] 896/1796 | MFAPC control for variable speed adjustment of Boil-off gas compressor in LNG fuel supply system
[NO] 897/1796 | Inland River Ship Crew Fatigue Detection Method Based on Multi-Feature Fusion with Improved RT-DETR
[NO] 898/1796 | Demagnetization Risk Prediction and Active Control for Elevator Traction Machines via Current and Millimeter Wave Vibration Sensing
[NO] 899/1796 | Model-Free Adaptive Iterative Learning Control for Nonlinear Systems Using Partial Model Knowledge
[NO] 900/1796 | A Two-Chip Solution for 10Gb/s PON Optical Receivers Reaching Sensitivities up to -26dBm or Better Using 3.3V Photodiode and Electronics
[NO] 901/1796 | A Hybrid Path Planning Method for Mobile Robots Based on Improved Theta* and Improved APF
[NO] 902/1796 | FPGA Implementation of a Real-Time Image Processing Engine
[NO] 903/1796 | Combination Structure as a Factor in Algorithm Selection in Multi-Label Text Classification for IT Incident Categorization
[NO] 904/1796 | Federated Autoencoder-Based RFFI for Impersonation Detection in Heterogeneous Wi-Fi Networks
[NO] 905/1796 | Risk-Aware Dual-Strategy Safe Motion Control for Robots in Narrow Environments
[NO] 906/1796 | A Hybrid Control Architecture for Dynamic Terrain Adaptation of Legged-Wheeled Robots
[NO] 907/1796 | Event-Based Control of Fuzzy Networked Systems Under DoS Attacks With Data Loss
[NO] 908/1796 | CCECE 2026 Cover Page
[NO] 909/1796 | Causality-Aware Spatiotemporal Adversarial Learning for Knowledge-Data Fault Diagnosis in Large-Scale Industrial Processes
[NO] 910/1796 | Traceable Registered Functional Encryption for Unbounded Inner Product in Web Service Platforms
[NO] 911/1796 | SCC-Loc: A Unified Semantic Cascade Consensus Framework for UAV Thermal Geo-Localization
[NO] 912/1796 | Sensorless Control of High-Speed Maglev Drives Based on Backstepping Complex Vector Observer With Multiple Disturbance Suppression
[NO] 913/1796 | GeoAlign: Foundation Model-driven Asymmetric Dual-Stream Manifold Alignment for Unsupervised Cross-View Geo-Localization
[NO] 914/1796 | Multi-Frame Semantic-Geometric Alignment for 3DGS-CARLA Hybrid Rendering in Real Urban Intersection Scenes
[NO] 915/1796 | Hybrid Feature Image Mapping (HFIM): A Multi-Channel Image Approach for Malware Detection Using Static and Dynamic Features
[NO] 916/1796 | Security Considerations in the Distributed Network Architectures
[NO] 917/1796 | Anomaly Management in Unmanned Aerial Vehicles: A Systematic Literature Review
[NO] 918/1796 | Plenary Talks
[NO] 919/1796 | RAudit
[NO] 920/1796 | Preface
[NO] 921/1796 | Research on Dynamic Position Management for Commodity Futures Trend Strategies Based on Deep Reinforcement Learning
[NO] 922/1796 | Distributed Fault-Tolerant Optimal Consensus for Nonlinear Multi-Agent Systems via Stackelberg Min–Max Control
[NO] 923/1796 | Observer-Based Model-Free Adaptive Heading Control for an Unmanned Surface Vehicle with False Data Injection Attacks
[NO] 924/1796 | A Risk Assessment Method for Power Grid Maintenance Scheduling Considering Outage Costs and Generation-Demand Balance
[NO] 925/1796 | Design and ASIC Implementation of a Low-Latency AXI-Based Interconnect for High-Speed Low-Power VLSI Systems
[NO] 926/1796 | Variable Population Differential Evolution Algorithm Driven by Multiple Indicators
[NO] 927/1796 | Robust Model Predictive Control Based on Equivalent Input Disturbance for Speed Control with Unknown Disturbances
[NO] 928/1796 | Fiber-Optic Delay Line Noise Impact on Synthesizer Spectrum
[NO] 929/1796 | Hyperspectral Land-Sea-Cloud Segmentation for Onboard Processing via Spectral Band Selection
[NO] 930/1796 | Evaluating the Security Posture of Canadian Government Authority Websites
[NO] 931/1796 | Comparative Evaluation of CNN-RNN, 3D-CNN, and Transformer Models for Individual-Centric Poultry Behavior Recognition
[NO] 932/1796 | Fixed-Time Prescribed Performance Control for Manipulator System with an Improved Extended State Observer
[NO] 933/1796 | A Nonlinear Root Cause Diagnosis Method Based on Deep Autoregressive Granger Analysis
[NO] 934/1796 | AI-Enhanced and Data-Driven Reduced-Order Modeling for the EMT Simulation of IBR-based Networks
[NO] 935/1796 | Study on An Improved Spectral Clustering based Semi-supervised Anomaly Pattern Detection Method
[NO] 936/1796 | Observer-Based Prescribed-Time Consensus Tracking for Nonlinear Multi-Agent Systems
[NO] 937/1796 | Kalman Filter-Based Event-Triggered Iterative Learning Control for Nonlinear Multi-Agent Systems
[NO] 938/1796 | Low power LC-VCO Design for ZIGBEE Application in TSMC 65nm Technology
[NO] 939/1796 | Navigation Risk Assessment Based on VNS-PSO Optimized RBF Neural Network
[NO] 940/1796 | Prediction Model for the Quality of Weight Coating Application in Submarine Pipelines Based on BO-LightGBM
[NO] 941/1796 | Comparison of the PSK/QAM Signal Demodulation Quality with Different Clock Recovery Implementation
[NO] 942/1796 | Comparative Analysis of Analog Multipliers and Dividers for Biomedical applications
[NO] 943/1796 | EEG Microstate Alterations in Mild Cognitive Impairment During a Face Memory Task
[NO] 944/1796 | Predictive Human Intent Recognition via Gaze Tracking for Proactive Collaborative Disassembly
[NO] 945/1796 | Of Nostalgia, Trust, and Intimacy: AI Tool Usage among the Undergraduate Students of Bangladesh in Nonacademic Contexts
[NO] 946/1796 | Embedding sustainability in IT degree programs: Stakeholder perspectives and curriculum strategies
[NO] 947/1796 | System-2 Reasoning: From Semantic Anchoring to Causal Intelligence
[NO] 948/1796 | Meta-Cognitive Judgment
[NO] 949/1796 | Design and Implementation of a Non-Contact Power Meter Using TMR Sensing and Capacitive Coupling
[NO] 950/1796 | RTB
                    <sub>+</sub>
                    : Efficiently Mining Configuration-Routing Causality for Heterogeneous Routers
[NO] 951/1796 | Meta-Learning-Based Graph Convolutional Wavelet Network for Intelligent Dynamic Modeling of High-Speed Rail Subsystems_supp1-3714895.pdf
[NO] 952/1796 | Modeling and Analysis of the Uplink Local Delay in an MEC-based HetVNet for an Urban Area
[NO] 953/1796 | DISTIL: A Distributed Spiking Neural Network Accelerator on 2.5D Chiplet Systems
[NO] 954/1796 | Seeing beyond the Pixels: Detecting Concealed Harmful Text in Visual Illusion Images
[NO] 955/1796 | Lymphormer: A 2D Attention-Based Vision Transformer for Multi-Task SEG/SEFS Grading and Lymphedema Classification Using Ultrasound Images in a Case Study of Thai Patients
[NO] 956/1796 | PHT-Net: Physics-Guided Heat Transfer Network for Interpretable and Efficient Rotary Kiln Condition Recognition
[NO] 957/1796 | Zero-Knowledge Proof-based IP Protection of Visual Large Models of Autonomous Driving
[NO] 958/1796 | Optimizing Reflectarray Design Using CFDTD Kirchhoff Integration and Inverse Propagation for Compact Antenna Test Range Applications
[NO] 959/1796 | DAUNet: EEG-based Spatiotemporal Domain Generalization Network for Cross-Subject Seizure Detection
[NO] 960/1796 | Technical Program Committee
[NO] 961/1796 | 3-D Printed In-Line Coaxial Filter and Diplexer Design Using Dual-Mode Coupled Stubs Resonator
[NO] 962/1796 | All-Electrical Measurement of VCSEL Lateral Oxidation Extent
[NO] 963/1796 | A hybrid-ZnO&amp;ZnS-NPs Hydrogen Sulfide Gas Sensor
[NO] 964/1796 | Optimizing the Efficiency-Lifetime Trade-off: A DRL-Based Routing Framework with Feature Enhancement and Action Pruning for Green Soil Monitoring WSNs
[NO] 965/1796 | Introducing a Comprehensive Framework for Synthetic ECG Validation
[NO] 966/1796 | Impact of Edge Opacity on Readability in Node-link Diagrams
[NO] 967/1796 | 3D Human Pose Estimation Via Multi-Dimensional Feature Interaction and Neural Collapse-Inspired Optimization
[NO] 968/1796 | Characteristics Element Base of Quantum Devices Optical Information Transmission Systems
[NO] 969/1796 | Time-Varying Bandwidth ADRC for Strict-Feedback Nonlinear Systems With Prescribed Performance Function
[NO] 970/1796 | A Low-Power CNTFET Based Reconfigurable PUF Architecture for Hardware Security Applications
[NO] 971/1796 | Performing Agent Evaluation through ML and Agent Documentation using the E-CARGO model
[NO] 972/1796 | Optimization Design and Experimental Validation of Electromagnetic Interference Suppression for Lowemission Automotive Micromotors
[NO] 973/1796 | Enhanced Sage-Husa Adaptive Kalman Filter for High-Precision Space-Debris Tracking
[NO] 974/1796 | Food-101 Classification with TransNeXt: A Study of Fine-Tuning and Model Scale
[NO] 975/1796 | A Gaussian-Doped GaN HEMT with Back-Barrier for Suppressed Gate Leakage
[NO] 976/1796 | Leveraging the MEC to Accelerate TCP in 5G Networks
[NO] 977/1796 | Neural Network with Weighted Jensen-Shannon Divergence on Key-Performance-Indicator-Related Process Monitoring
[NO] 978/1796 | Research on Ballistic Impact Point Prediction Method Based on Group Target Resource Scheduling
[NO] 979/1796 | Optimal control of mean-field stochastic systems with Wiener and Poisson noises: a data-driven policy iteration approach
[NO] 980/1796 | A Dual-Observer Method for Distributed Fault-Tolerant Leader–Follower Formation Control of Nonlinear Multi-Agent Systems
[NO] 981/1796 | Multi-Modal Feature Driven Adversarial Domain Adaptation Method for Bearing Fault Diagnosis
[NO] 982/1796 | An IoV Access Control Model Based on Trust-Epoch-Bound CP-ABE
[NO] 983/1796 | A Multiclass Prediction Model for Estrogen Receptor Status in Breast Cancer Based on CT Radiomics and Clinical Features
[NO] 984/1796 | DS-STAE: Dual-Stream Spatio-Temporal Transformer for Context-Aware Anomaly Reconstruction in UAVs
[NO] 985/1796 | GraspNet-Baseline-Based 6D Robotic Grasp in Multi-Object Scenes
[NO] 986/1796 | A Digital Art Generation Model for Hakka Terraced Fields Rural Culture Based on CBAM-CycleGAN
[NO] 987/1796 | Dynamic event-triggered-based fixed-time composite learning control for nonlinear multiagent systems
[NO] 988/1796 | Enhancing IoT Security Through a Zero Trust Hub with Explainable AI and Blockchain Support
[NO] 989/1796 | A Parallel State Observer Integrated LSTM Framework for Target Acceleration Estimation and Prediction
[NO] 990/1796 | Neural Decoding of Music Effects on Mental Fatigue States
[NO] 991/1796 | Deep Reinforcement Learning Based Dynamic Order Allocation and Routing Optimization Model for E Commerce Peak Logistics
[NO] 992/1796 | Measurement of the Vertical Resistance of Silver-Based Backside Metallization for Die-Attach in Power Electronics Packaging
[NO] 993/1796 | A Bilevel Computation Migration and Power Management Framework for Coordinating Data Centers with Inter-Regional Electric Loads
[NO] 994/1796 | Adaptive Safety Time Interval and Improved PID Design Based on Most Dangerous ACC Condition
[NO] 995/1796 | Performance and Overhead in Data-Driven and XAI-Driven Federated Learning for Electricity Theft Detection
[NO] 996/1796 | 2026 25th International Symposium on Parallel and Distributed Computing (ISPDC)
[NO] 997/1796 | A Rigid-Flexible Integrated Ankle Dorsiflexion Exoskeleton for Gait Assistance: Design, Control, and Characterization_supp1-3712801.mp4
[NO] 998/1796 | The Limits of Technological Disruption: AI Imaginaries for Parkinson's Care in Low-Resourced Public Health Systems
[NO] 999/1796 | How do datasets, developers, and models affect biases in a low-resourced language?: The Case of the Bengali Language
[NO] 1000/1796 | Vision-Assisted Region-Aware Stiffness Adaptation for Safe Robot-Assisted Lumbar Therapy
[NO] 1001/1796 | A Miniaturized Tri-Axial Force Sensor with a Novel I-Beam Structure for Surgical Robotics
[NO] 1002/1796 | Generative AI-Driven Phase Control for RIS-Aided Cell-Free Massive MIMO Systems
[NO] 1003/1796 | 3-D-Microfabrication Millimeter-Wave Bandstop Filter for SatCom Application
[NO] 1004/1796 | A two-stage Kalman filter framework with fractional-order model for state of energy estimation of lithium-ion batteries
[NO] 1005/1796 | Foundation Models based Scene Graph Generation_supp1-3712094.pdf
[NO] 1006/1796 | 
[NO] 1007/1796 | 2025 International Conference on Neural Networks and Natural Language Processing (NNNLP)
[NO] 1008/1796 | Grasp Prediction for Pneumatic Soft Hands via Proprioceptive Sensing_supp2-3709344.mp4
[NO] 1009/1796 | HCAT-SAC: A Hybrid Cross-Attention Transformer Framework for Efficient Mapless Navigation
[NO] 1010/1796 | Vehicle-Pose-Aware Effective Target Recognition for Automotive Radar
[NO] 1011/1796 | Optimal Sizing and Operation of Multi-Service Energy Storage Systems
[NO] 1012/1796 | Learning-Based Active Compliance Control for Peg-in-Hole Assembly via Policy Distillation
[NO] 1013/1796 | Transparent Checkpointing in Parallel Applications Using AD-HOC File Systems
[NO] 1014/1796 | Neighborhood Attention Enhanced State Space Model for Semantic Segmentation
[NO] 1015/1796 | Design of a UFMC Transmitter and Receiver for Transmission Over Frequency.Selective and Fading Channels
[NO] 1016/1796 | Coal Mine Multi-Scale Object Detection Based on Multi-Layer Vision Transformer
[NO] 1017/1796 | PI Iterative Feedback Tuning for Load Frequency Control in Wind-Integrated Power Systems
[NO] 1018/1796 | Robust Invariant Sets for Switched Linear Systems With Persistent Dwell-Time Constraints and Bounded Disturbances
[NO] 1019/1796 | Data-driven model predictive fault-tolerant control for nonlinear batch processes with partial actuator faults
[NO] 1020/1796 | Partial Privacy for Sensitive Subsets in Deep Learning Models
[NO] 1021/1796 | Accuracy Analysis on Data-Driven Adaptive T-S Fuzzy Approximator for An Unknown-structure Control System
[NO] 1022/1796 | Decentralized Spatiotemporal A2C with Graph Attention Communication Bottleneck for Multi-Agent Traffic Signal Control
[NO] 1023/1796 | Fault Root Cause Diagnosis Based on the Symbolic Characteristics of SENN Granger
[NO] 1024/1796 | An Industrial Edge-Intelligence AI Agent based on Agentic RAG Deep Research Framework: Construction and Application
[NO] 1025/1796 | Nonstationary Process Monitoring with Joint-Optimized Design
[NO] 1026/1796 | High Performance 32-Bit ALU using Integrated Multipliers
[NO] 1027/1796 | Exploring Social Determinants of Health and Population Risk Using U.S. Census-Tract Data
[NO] 1028/1796 | Semantic-Aware Smooth Path Planning with Dynamic Prediction for Mobile Robots in Complex Service Environments
[NO] 1029/1796 | When AI Can Write Everything They Submit: Learning verification in online teaching
[NO] 1030/1796 | Comparative Analysis of Monitoring Techniques for Polymeric Insulators under AC and DC Voltage Stresses
[NO] 1031/1796 | External Data-Enhanced Meta-Representation for Adaptive Probabilistic Load Forecasting
[NO] 1032/1796 | Degradation Mechanism of 4H-SiC MOSFET under 10 MeV Proton Irradiation
[NO] 1033/1796 | Enhancing the Effective Receptive Field of a U-Net-Based CNN for Road Marking Segmentation from Mechanical Spinning Mobile LiDAR-Derived Imagery
[NO] 1034/1796 | Multi-Level Feature Supervision through Mixup-Driven Hierarchical Self-Knowledge Distillation
[NO] 1035/1796 | Doping Enabled Clustering based Class Imbalance Handling for Software Defect Detection using Heterogeneous Stacking_supp1-3716176.docx
[NO] 1036/1796 | Preface
[NO] 1037/1796 | A differential mass sensor based on two weakly coupled thickness shear resonators
[NO] 1038/1796 | A Reconfigurable Wireless Power Transfer System With Enhanced Angular Freedom
[NO] 1039/1796 | Table of Contents
[NO] 1040/1796 | Extended Schemes for Sound-Based Sway Angle Estimation for Full-Scale Tower Cranes with No Spatial Aliasing
[NO] 1041/1796 | Provable Non-Convex Euclidean Distance Matrix Completion: Geometry, Reconstruction, and Robustness_supp1-3715063.pdf
[NO] 1042/1796 | Rate Controllable Semantic Communication for BEV Map Transmission
[NO] 1043/1796 | Multi-Stage Stochastic Reserve Dispatch Via an Adaptive Predispatch-Hazard-Redispatch Framework
[NO] 1044/1796 | Pitfalls of Projection: A study of Newton-type solvers for incremental potentials
[NO] 1045/1796 | Emotional Power and Communicating about Climate Change: Engaging Urban People with Bushfire
[NO] 1046/1796 | Pooling HPC Resources Across Organizations and Reducing Carbon Emissions with Transparent, User-Centric Meta-Scheduling
[NO] 1047/1796 | A Novel Hybrid Buck Converter with Reduced Ripple and High Efficiency for Low-Power Applications
[NO] 1048/1796 | Multidimensional Frequency Interpolation for Missing Value Imputation of Device Clusters Time Series Data
[NO] 1049/1796 | Extended State Observer Based Model-Free Adaptive Compensatory Control for Subway Trains Under Mixed Network Attacks
[NO] 1050/1796 | Distributed Data-Driven Learning Consensus Tracking Control for Nonlinear Continuous-Time Multi-Agent Systems
[NO] 1051/1796 | Security Characterization of SAT Attack Resilience in Oracle Guided Gate Locked Designs
[NO] 1052/1796 | Dynamic Incentive-Based Demand Response for Peer-to-Peer Energy Trading in Local Communities
[NO] 1053/1796 | A Compact Multi-Task Architecture for Age-Invariant Face Recognition
[NO] 1054/1796 | Design and Implementation of Reusable CAN Protocol IP Cores
[NO] 1055/1796 | Scalability Analysis of Wi-Fi Broadcast Mechanisms Using Simulation and Hybrid Approaches
[NO] 1056/1796 | Analysis of Parameter Estimation Methods for M-QAM Signals Under Cauchy Noise
[NO] 1057/1796 | A Hybrid SARIMA and Support Vector Machine Model for Supply Chain Demand Prediction
[NO] 1058/1796 | A Meta-Learning and Physics-Informed Reinforcement Learning Framework for Multi-UGV Cooperative Defense
[NO] 1059/1796 | The Novel High Bandwidth DDR4 Memory FPGA-Based Design for High-Speed Applications
[NO] 1060/1796 | Real-Time CLAHE based Canny Edge Detection using Zynq UltraScale+ MPSoC FPGA Board
[NO] 1061/1796 | Evaluating AP Measures from EVestG as Markers of Gamma tACS Response in Alzheimer's Disease
[NO] 1062/1796 | Graph Neural Networks for Energy Routing Optimization in the Energy Internet: a Supervised Approach
[NO] 1063/1796 | Service-Aware and Distribution-Feasible DSO-to-ISO Bid-Offer Curves using T-D OPF Sweeps
[NO] 1064/1796 | Inverse Optimal Control of Unknown Linear Systems
[NO] 1065/1796 | Detection and Prediction of Demagnetization fault for PMSMs Based on 3D–FEA and AI Technology
[NO] 1066/1796 | Some Aspects of the Distribution of Time Scales at Power Facilities of Electric Grid Companies
[YES] 1067/1796 | HW/SW Co-Verification of an OBI-to-AXI4-Lite Controlled AXI4 DMA Integration using CV32E40P RISC-V Core
[NO] 1068/1796 | Compensation-based Model-Free Adaptive Control for High-Order Nonlinear Systems Under DoS Attacks
[NO] 1069/1796 | Humidity State Observer for Proton Exchange Membrane Fuel Cells Based on Dual Kalman Filter
[NO] 1070/1796 | Multi-Granularity Graph Feature Fusion for Industrial Soft Sensing
[NO] 1071/1796 | Incremental Balance, Position, and Heading Control of a Two-Wheeled Self-Balancing Robot: An Experimental Study
[NO] 1072/1796 | Universal Edge Core Percolation in Complex Networks
[NO] 1073/1796 | Transformer-CatBoost Serial Hybrid Prediction Modeling for Reheat Steam Temperature Process of Coal-Fired Power Units
[NO] 1074/1796 | Electromagnetic Interference Immunity Testing of Quantum Cryptographic Communication System
[NO] 1075/1796 | Learning Bird Migration Models from Marginals with Site Fidelity and Long-Range Dependencies
[NO] 1076/1796 | Timing-Fragility–Aware Selective Hardening of RISC-V Soft Processors on SRAM-Based FPGAs
[NO] 1077/1796 | Toward Mem-Re-Sensors: Memristor-Like Pinched Hysteresis in an Open-Loop MEMS Resonator Using Third-Order Duffing Nonlinearity
[NO] 1078/1796 | Hub-Removal Sparse Hashing for Cross-Modal Retrieval
[NO] 1079/1796 | SDF-YOLOv8: A Lightweight and Robust Object Detection Network for Small Industrial Surface Defects
[NO] 1080/1796 | Continuous Bayesian Machine Learning for High-Dimensional Analog and Mixed-signal Circuit Yield Analysis and Optimization
