[2026-06-16 13:28:18] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-15
正在获取论文...
[arXiv] 2026-06-15 | NeuronFabric: A Software Reference Architecture for On-Chip Transformer Training with Local Adam
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 747/985 | Griffiths and Nakano positivity and Nakano-Nadel vanishing theorems for singular Hermitian metrics on complex spaces
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 748/985 | Logarithmic stability for determining the damping coefficient for the time-fractional damped wave equation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 749/985 | Evidence for a $\bar{K}NN$ quasi-bound state in the $γd \to K^0Λp$ reaction
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 750/985 | KeepLoRA++: Continual Learning with Layer-Scaled Residual Gradient Adaptation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 751/985 | Near-Sun Switchbacks Show Statistical Signatures of Solar Activity
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 752/985 | Data Augmentations for Data-Constrained Language Model Pretraining
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 753/985 | Rapid Poison: Practical Poisoning Attacks Against the Rapid Response Framework
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 754/985 | Semiparametric Dynamic Logit Model with Endogenous Networks
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 755/985 | Synthesizing Best Abstract Transformers via Parallel Bit-Vector Optimization
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 756/985 | Latent Thought Flow: Efficient Latent Reasoning in Large Language Models
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 757/985 | QCD-like theories at next-to-next-to-leading order with $N_F=2$ non-degenerate fermions
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 758/985 | Stop the Sampler! Classifier-Based Adaptive Stopping for Sampling Kernels
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 759/985 | CrossMaps: Confidence-Aware Open-Vocabulary Semantic Mapping for Rover Navigation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 760/985 | Neuro-Symbolic Software Verification: Hyper-charging Local Language Models with Symbolic Reasoning at Scale
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 761/985 | P3B3: A Multi-Turn Conversational Benchmark for Measuring European and Brazilian Portuguese Variety Bias in LLMs
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 762/985 | The Complexity of Bisimilarity and Model Checking in Finitary Diagrams
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 763/985 | Nodal Representations for Kernel-Based Multilevel Interpolation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 764/985 | Elastic ODYN: Differentiable Optimization for Infeasible Control and Learning in Robotics
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 765/985 | The integral closedness of lattice simplices with large lattice length
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 766/985 | Diffractive structure functions from JIMWLK evolution
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 767/985 | On the classification of indecomposable Ekedahl-Oort strata in unitary Shimura varieties, and related Newton polygons
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 768/985 | Quantum Nonlocal Games on Graph Ensembles
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 769/985 | Self-gravitating electromagnetic waves in the dark bubble model
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 770/985 | Can Optimal Dispatch Models Recreate Reality? A Retrospective Analysis of Europe's 2022 Energy Crisis Using PyPSA-Eur
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 771/985 | Sustainable Heating with Karma: A Simulation Study of the KTH Live-In Lab
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 772/985 | Metal Oxide Clusters in Gas Giant Exoplanet Atmospheres
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 773/985 | End-to-end meta-imagers: Information-theoretic objectives and generalized focusing optima
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 774/985 | Quantitative Oppenheim Conjecture for Random Quadratic Forms and Optimal Variance Bounds in Function Fields
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 775/985 | Bounds for the ratio between the domination number and the independent domination number
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 776/985 | Reference Architecture for Metadata-driven Services to Promote Reusability in Software Systems
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 777/985 | Kinetic Theory of Cosmological Magnetogenesis at Second Order: A New Density-Gradient Source and Comparison with the Harrison Mechanism
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 778/985 | MMDiff: Extending Diffusion Transformers for Multi-Modal Generation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 779/985 | CraBERT: Efficient Phoneme Encoder Pre-Training via Cascade Fusion of Subword Representations for Text-to-Speech
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 780/985 | Look Again Before You Abstain:Budgeted Conformal Evidence Acquisition for Reliable Vision-Language Model
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 781/985 | SCAR: Semantic Continuity-Aware Retrieval for Efficient Context Expansion in RAG
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 782/985 | Vision-Language Models as Zero-Annotation Oracles in Histopathology
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 783/985 | The CREATOR Project: Towards a Computational Electric Machine Laboratory
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 784/985 | Mapping the Design Space for Youth Social Media: A Framework Centered on Friendship Building
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 785/985 | Understanding Automated Web GUI Testing: An Empirical Study Across Exploration Strategies and State Abstractions
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 786/985 | Enhancing Secret Key Generation for UAV Communications via Codeword Reconstruction
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 787/985 | Ultrastrongly coupled open systems and fine grained time
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 788/985 | XL-ChannelDiff: An Efficient Diffusion-Based Multi-Domain Near-Field Channel Extrapolation Framework for XL-MIMO Systems
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 789/985 | Reinforcement Learning with Inner-loop Dynamics Estimator for Aerial Manipulation under Uncertainty
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 790/985 | Diffusion Flow Matching: Dimension-Improved KL Bounds and Wasserstein Guarantees
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 791/985 | Timekeeping Beyond Human Whim: A Critical Analysis of Strong Conventionalism about Clocks
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 792/985 | VeriGraph: Towards Verifiable Data-Analytic Agents
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 793/985 | DifferAD-R1: A Difference-Guided IndustrialAnomaly Localization with Multimodal LargeLanguage Models
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 794/985 | Interfacial Magnetotransport in a NiI_2/Graphene Heterostructure
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 795/985 | Infant Spontaneous Movement Noise Improves Exploration in Deep RL
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 796/985 | DRIFT: Risk-Constrained Diffusion with Imitation Priors for Mixed-Autonomy Traffic Generation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 797/985 | Learning Interface Breakup: A Geometry-Conditioned Latent Surrogate for Spray Formation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 798/985 | Permutation orbifolds and simple current extensions
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 799/985 | Optimizing Multiple Feature Types for Image Inpainting in the Linear and Nonlinear Setting
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 800/985 | Transformation-driven generation of comparable projection images from multimodal anatomical scenes
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 801/985 | PROSE: Training-Free Egocentric Scene Registration with Vision-Language Models
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 802/985 | Local and global well-posedness in the $L^2$-setting for the Q-tensor model in $\mathbb R^N$ and $\mathbb R^N_+$
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 803/985 | Restarted Reflected Halpern Acceleration for Augmented Primal-Dual Methods
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 804/985 | Testing the max-flow min-cut property and the replication conjecture
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 805/985 | ADAPT: Analytical Disturbance-Aware Policy Training for Humanoid Locomotion
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 806/985 | MultiMolecule: a modular ecosystem for biomolecular sequence-model workflows
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 807/985 | Generated, Parallel, Scalable? A Study of Agentic AI-Generated Julia Code on Supercomputers
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 808/985 | Higher-Order Modes Are More Robust: The Origin of Bending Insensitivity in Multimode Fibers and Its Exploitation for Imaging
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 809/985 | Quantization of Contact 3-Manifolds and the Reeb Gravitational Field
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 810/985 | Scalable Bayesian data curation for next-generation radio experiments
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 811/985 | XP-TEAL: Gaia XP tool for emission and absorption lines. I. Balmer lines in open clusters
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 812/985 | Fully Quantum Algorithm for the 1-dimensional linear Lattice Boltzmann Method
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 813/985 | Tail-Shape Estimation in LLM Evaluation Is Fragile: A Protocol for Diagnosing False Positives
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 814/985 | Post-Hoc Merging is Not Enough: Many-Shot Model Merging with Loss-Gap Balancing
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 815/985 | Lost at the End: Primacy Bias in Multimodal Retrieval-Augmented Question Answering
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 816/985 | Robots that Collaborate: Sequential Asymmetric Imitation for Learning Coupled Robot Policies
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 817/985 | Robust Koopman MPC with Sets Updates for Time Delayed Systems
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 818/985 | Unified Multimodal Model for Brain MRI Imputation and Understanding
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 819/985 | Geometric decomposition of the $d$-dimensional hard-sphere partition function
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 820/985 | Tensor-Coord: Algebraic Decomposition of Joint Plan Tensors for Conflict-Free Multi-Agent LLM Planning
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 821/985 | MVOFormer: Flow-Semantic Transformer for Robust Monocular Visual Odometry
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 822/985 | From Awareness to Adherence: Bridging the Context Gap in Spoken Dialogue Systems via Context-Aware Decoding
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 823/985 | Decoupled Object-Centric Video Understanding for Generating Robotic Manipulation Commands
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 824/985 | When Agent Automation Becomes Profitable: Quantifying and Insuring Autonomous AI Risk through Trace-Economic Underwriting
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 825/985 | SPRI: SVD-Partitioned Residual Initialization for Data-Constrained MoE Upcycling
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 826/985 | The capability of CSST in characterizing planetary atmospheres. I. transmission spectroscopy of hot Jupiters
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 827/985 | Persistence Properties of a Phase-ordering System with Competing Dynamics
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 828/985 | V2P-Manip: Learning Dexterous Manipulation from Monocular Human Videos
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 829/985 | Unified Audio Generation and Editing via Joint Condition Modeling and Progressive Training
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 830/985 | Autonomous End-to-End SOH Prediction Services for Battery Systems via Temporal-Contrastive Representation Learning
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 831/985 | Chiral-odd structure of the $N \to Δ$ transition: tensor form factors from QCD light-cone sum rules
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 832/985 | Right representations of Novikov algebras
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 833/985 | Twistronic control of shift current in multilayer moiré system
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 834/985 | Not all Jensen-Shannon Divergence Estimators are Equal
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 835/985 | Direct Nanoscale Pyroelectric Characterization of a CuInP${}_2$S${}_6$ van der Waals Nanogenerator
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 836/985 | A Mechanistic Understanding of Pronoun Fidelity in LLMs
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 837/985 | Elliptic Harnack inequality and Poincaré inequality for $p$-energies on metric measure spaces
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 838/985 | Indivisibility of ray class groups of real quadratic fields
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 839/985 | Convergence-Symmetric Metric Spaces
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 840/985 | Non-Equilibrium Model Selection via Finite-Time Thermodynamics
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 841/985 | Quantum oscillations in proximity to high-angular-momentum band inversion
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 842/985 | MPX: A Unified Systolic Array for Matrix and Polynomial Multiplication
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 843/985 | Towards UAV Image Dehazing: A UAV Atmospheric Scattering Model, Benchmark, and Geometry-Aware Deep Unfolding Network
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 844/985 | Engine position effects on contrail evolution for a realistic aircraft configuration
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 845/985 | Game-Theoretic Multi-Agent Reinforcement Learning for Swarm Trajectory Planning in Low-Altitude Wireless Networks
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 846/985 | Melt-Quench Failures and Practical Solutions for Universal Machine-Learning Interatomic Potentials in Amorphous Structure Generation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 847/985 | Mixtures of Subspaces for Bandwidth Efficient Context Parallel Training
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 848/985 | Scalable and Interpretable Representation Alignment with Ordinal Similarity
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 849/985 | Segregated solutions of a degenerate cross-diffusion system with drifts
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 850/985 | Optomechanical parametric control of mid-infrared photons via molecular vibrational polariton
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 851/985 | Looking Is Not Picking: An Attention-Segment Account of Tool-Selection Failures in LLM Agents
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 852/985 | Monoidal categorification of generalized cluster algebras and conjectures of Fraser and Gleitz
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 853/985 | Simulation-Augmented Multi-Step Split Conformal Prediction for Aggregated Forecasts
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 854/985 | What Should a Streaming Video Model Remember?
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 855/985 | Optical Variability as a Probe of Hidden Nuclear Activity in Type 2 AGNs
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 856/985 | AdaSTORM: Scaling LLM Reasoning on Dynamic Graphs via Adaptive Spatio-Temporal Multi-Agent Collaboration
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 857/985 | Foundations of entropy in complex systems
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 858/985 | QK-Normed MLA: QK normalization without full key caching
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 859/985 | Physics-Informed Sensitivity Analysis for Enhanced Structural Health Assessment: Test-Case for a Mixed Steel-Concrete Bridge
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 860/985 | Extended Kalman Filter-Based State Estimation for a Nine-Compartment Nonlinear Epidemic Model -- Convergence Analysis and In-Silico Benchmark Calibrated on the COVID-19 Third Wave in Italy
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 861/985 | Groups of Dwarf Galaxies in the Local Universe
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 862/985 | DDTNet: Degradation Disentanglement and Transfer Network for Test-Time All-in-One De-weathering Adaptation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 863/985 | Tomography of the gamma-ray sky from cross-correlation with DESI DR2 and unWISE galaxies
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 864/985 | An affordable hardware-aware neural architecture search for deploying convolutional neural networks on ultra-low-power computing platforms
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 865/985 | Revisiting Trade-sign Long-memory and Square-root Law price impact
