[2025-11-22 09:08:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-21
正在获取论文...
[ACM] 2025-11-21 | Introduction to the Special Issue on Large Language Models for Recommender Systems
[NO] 491/1000 | Development and Prospect of Helicopter Hydraulic Tubes Assembly Precision
[NO] 492/1000 | The Key to Deobfuscation is Pattern of Life, not Overcoming Encryption
[NO] 493/1000 | Post-Processing Strategies for Detecting and Mitigating Adversarial Perturbations in Segmentation Networks
[NO] 494/1000 | A Systematic Review and Taxonomy for Privacy Breach Classification: Trends, Gaps, and Future Directions
[NO] 495/1000 | Analysis on Pressure Sensitivity of Solid Rocket Motor with High Loading Ratio During Pressure Curing Process
[NO] 496/1000 | Trustworthy AI-Driven Autonomous Underwater Vehicles for Port Infrastructure Inspection: Paradigm Conceptualization
[NO] 497/1000 | Efficient Algorithm for Sparse Fourier Transform of Generalized q-ary Functions
[NO] 498/1000 | Research on the Auto-Ignition Limits of a Full-Flow Staged Combustion Cycle Engine Using Liquid Oxygen and Methane
[NO] 499/1000 | Numerical Simulation and Optimization of Spoiler Configuration Effects on Solid Rocket Motor Thrust Vector Characteristics
[NO] 500/1000 | Peanut Allergy Classification using MLP of varying depth
[NO] 501/1000 | PEA Measurements on 525kV HVDC Cable: A Comprehensive Data Analysis
[NO] 502/1000 | Friction-robust autonomous racing using trajectory optimization over multiple models
[NO] 503/1000 | Carbon-Centric Hybrid-Game Robust Planning of Multiple Integrated Energy Systems Considering Higher-Order Uncertainty
[NO] 504/1000 | IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems publication information
[NO] 505/1000 | Rapid-response low humidity sensor based on ionic ladder-type poly(silsesquioxane)
[NO] 506/1000 | Smartwatch Accelerometer Step Counting That Rejects False Positives During Non-Walking Wrist Movement
[NO] 507/1000 | Multi-Port Converters: Evolving Architectures, Emerging Challenges and Innovations
[YES] 508/1000 | A Graph Isomorphism Network-Based Deep Learning Approach to Mitigate Smart Contract Vulnerabilities in Smart Grids
[NO] 509/1000 | Unlocking Potentials of RIS for Endogenous Anti-Jamming Communications in Internet of Energy: From Passive Defense to Active Immunity
[NO] 510/1000 | Polymer-coated Resonant Sensors for Monitoring Volatile Fatty Acids in the Cow Rumen
[NO] 511/1000 | Popularity-Aware Layer-Wise Caching and Function Scheduling for Dynamic Workflow At the Edge
[NO] 512/1000 | Demo: HawkEye: Practical In-Flight Obstacle Avoidance with Event Camera and LiDAR Fusion
[NO] 513/1000 | GPSoil: Towards low-cost soil moisture sensing using GNSS signals
[NO] 514/1000 | Replication: Characterizing MPLS Tunnels over Internet Paths
[NO] 515/1000 | Poster: Measurements of Residential Broadband in a Midwest Town: Discerning Wi-Fi Performance Factors
[NO] 516/1000 | Canvassing the Fingerprinters: Characterizing Canvas Fingerprinting Use Across the Web
[NO] 517/1000 | Unlocking Crowdsourced Propagation Measurements: Accuracy Guarantees for Mobile Phones
[NO] 518/1000 | Precise Rotor Position Detection for Skewed-PM Axial Flux Motors Using Orthogonal Third-Harmonic Hall Signals
[NO] 519/1000 | Optoelectronic and Reliability Analysis of OTFTs With Different Bottom Gate Insulators
[NO] 520/1000 | Conditional $(t,k)$-Diagnosis of Multiprocessor Systems Based on $g$-Good-Neighbor Fault Pattern
[NO] 521/1000 | A Novel High-Dynamic-Range Measurement Method for Complex Surfaces: A Chromatic Line Confocal Imaging Technique Integrating Diffuse–Specular Dual Reflections
[NO] 522/1000 | Stacked Intelligent Metasurface Assisted Multiuser Communications: From a Rate Fairness Perspective
[NO] 523/1000 | Loss and Temperature Distribution Characteristics of High-Frequency Transformers With Different Nanocrystalline Core Shapes
[NO] 524/1000 | EncQA: Benchmarking Vision-Language Models on Visual Encodings for Charts_supp2-3634249.pdf
[NO] 525/1000 | ScribbleSense: Generative Scribble-Based Texture Editing with Intent Prediction
[NO] 526/1000 | JTBot: A Flexible-Rigid Junction Tensegrity Robot for Unstructured Pipeline Inspection_supp6-3628682.mp4
[NO] 527/1000 | Handwritten Patterns in Children with Attention Deficit Hyperactivity Disorder: Hybrid Learning for Efficient Prediction
[NO] 528/1000 | Towards a Modulation Transfer Function for ShortRange K-Band Radar Systems: Preliminary Results
[NO] 529/1000 | Development of a Shallow-Water Bathymetry Estimation Method Using UAV-Derived RGB Imagery
[NO] 530/1000 | DUDe-Assisted Uplink Optimization in Dense IoT-Driven 5G Environments
[NO] 531/1000 | Research on Modeling and Simulation of Compressor Altitude Test Facility Based on Simulink
[NO] 532/1000 | Computational Study of Aero-Thermo-Structural Multi-Physics Coupling for Variable-Configuration Vehicle of the Wing-Body Combination
[NO] 533/1000 | Evaluation and Experimental Verification Methods of Combustion Instability in Single Chamber Dual Thrust Solid Rocket Motors
[NO] 534/1000 | Retrieval of the 3-D Deformation Field Through Advanced Synthetic Aperture Radar Satellite Systems: the Coastal Area Landslides Monitoring Application Scenario
[NO] 535/1000 | A Novel Approach for Aggregation of Teacher Ensembles with Secure Multi-Party Computation
[NO] 536/1000 | Learning-Based Surrogate-Assisted Modelling Strategy Selection for Expensive Constrained Multi-Objective Optimisation
[NO] 537/1000 | 2025 International Symposium on Networks, Computers and Communications (ISNCC)
[NO] 538/1000 | A Neural Field-Based Approach for View Computation &amp; Data Exploration in 3D Urban Environments
[NO] 539/1000 | An Analysis of Text Functions in Information Visualization
[NO] 540/1000 | MoE-INR: Implicit Neural Representation with Mixture-of-Experts for Time-Varying Volumetric Data Compression
[NO] 541/1000 | RewardRRT: Path Planning for Multi-Degree-of-Freedom Robots in Narrow Environments
[NO] 542/1000 | Masthead
[NO] 543/1000 | Robust Detection of Cyber-Attacks on Distribution System Volt-VAR Control via Adversarial and Uncertain Analysis
[NO] 544/1000 | Ultra-Efficient Compressed Phonocardiogram Classification on a Custom Embedded Neural Accelerator
[NO] 545/1000 | Analysis of the impact of foreign language learners emotional state on learning outcomes
[NO] 546/1000 | UWB RPT: Reference Point Transformation, a Joint Deployment method for 6-DoF Rigid Body Localization using Range Measurements
[NO] 547/1000 | Graph-Based Spatiotemporal RL Framework for Sequential Task Offloading in Multi-UAV Systems
[NO] 548/1000 | Learning to Match Prototype for Few-Shot Classification of Attacks and Faults in Smart Grids
[NO] 549/1000 | Nonexistence of Finite-Dimensional Estimation Algebras on Closed Smooth Manifolds
[NO] 550/1000 | VeriSafe Agent: Safeguarding Mobile GUI Agent via Logic-based Action Verification
[NO] 551/1000 | Demo: VI-Planning: Infrastructure-Assisted Real-Time Planning Optimization for Autonomous Driving
[NO] 552/1000 | Satellite IoT in Practice: A First Measurement Study on Network Availability, Performance, and Costs
[NO] 553/1000 | Poster: When Blocks Go Missing: The Timeliness and Trustworthiness of Blockchain RPC Providers
[NO] 554/1000 | FocusX: All-in-Focus Image Synthesis for Dynamic Scenes on Mobile Devices
[NO] 555/1000 | SeRadar: Embracing Secondary Reflections for Human Sensing with mmWave Radar
[NO] 556/1000 | CGMM: Non-Invasive Continuous Glucose Monitoring in Wearables Using Metasurfaces
[NO] 557/1000 | UrgenGo: Urgency-Aware Transparent GPU Kernel Launching for Autonomous Driving
[NO] 558/1000 | Improved Coded Caching Scheme for Multi-User Information Retrieval System
[NO] 559/1000 | The effects of sea level rise on Domitian coastal area around Volturno river mouth (Italy) in future scenarios
[NO] 560/1000 | A Study on the Improvement of Athena++ Solvers for HPC-AI Applications
[NO] 561/1000 | AI-based Plant Disease Detection: Development and Deployment of YOLO Models for Agricultural Innovation
[NO] 562/1000 | Research on Generalized Celestial Navigation Autonomous Positioning Method for Near-Space Vehicles
[NO] 563/1000 | Toward a Sustainable Estimation of Significant Wave Height Through Photogrammetry
[NO] 564/1000 | Empirical Coordination of Quantum Correlations
[NO] 565/1000 | Secrecy and Privacy in Multi-Access Coded Caching with Combinatorial Topology
[NO] 566/1000 | Real-Time Hyper-Heuristic Control for Decentralized Edge Logistics: A Reinforcement Learning Approach
[NO] 567/1000 | Prototyping an M-Plane Software for Zero-Touch O-RAN Provisioning
[NO] 568/1000 | Post-Quantum Signature Algorithm On Finite Matrix Algebras, Using Three Hidden Groups
[NO] 569/1000 | Turbulence Model Modification Method for Flow Separation in Rocket Engine Nozzles
[NO] 570/1000 | Wave-Induced Motion Response and Mooring Configuration Analysis of an X-Shaped Floating Structure
[NO] 571/1000 | Assessment of Marine Biofouling Coverage on Surfaces Using a Machine Learning-Based Image Recognition Software
[NO] 572/1000 | From Raw to Refined: A Data Preprocessing Pipeline for Robust Prediction
[NO] 573/1000 | Estimation Error: Distribution and Pointwise Limits
[NO] 574/1000 | CRYSTALS-Kyber KEM Decapsulation with Single-Point Pseudo-Random Cache Flushing
[NO] 575/1000 | Light as Trigger and Power: a VLC-Harvesting Hybrid Architecture for Marine Sensor Nodes
[NO] 576/1000 | Model Correction and Uncertainty Evaluation of Pressure Measurement for Liquid Rocket Engine
[NO] 577/1000 | Adversarial Robustness of Traffic Classification under Resource Constraints: Input Structure Matters
[NO] 578/1000 | An Intelligent Phishing Detection System Using Deep Learning and Explainable AI
[NO] 579/1000 | D2MoE: Dual Routing and Dynamic Scheduling for Efficient On-Device MoE-based LLM Serving
[NO] 580/1000 | Poster: A Real-Time Localization System for Visible and Invisible Fiducial Markers Under Variable Lighting Conditions
[NO] 581/1000 | Fishing for Smishing: Understanding SMS Phishing Infrastructure and Strategies by Mining Public User Reports
[NO] 582/1000 | Poster: Enabling Data-Driven Policymaking using the Broadband-Plan Querying Tool (BQT+)
[NO] 583/1000 | The Decentralization Dilemma: Performance Trade-Offs in IPFS and Breakpoints
[NO] 584/1000 | Mirror Mirror on the Wall, which APK Mirror Site is the Largest of Them All?
[NO] 585/1000 | Congestion Patterns in a Large-scale RDMA Datacenter
[NO] 586/1000 | Inside Certificate Chains Beyond Public Issuers: Structure and Usage Analysis from a Campus Network
[NO] 587/1000 | Optimal Pricing for Wireless Charging under Competition and Price Uncertainty from Charging Stations in Coupled Power-Transportation Networks
[NO] 588/1000 | Coordinated Model Free Adaptive Control for Multiple High-Speed Trains Against False Data Injection Attacks and Input Constraints
[NO] 589/1000 | Treasure Hunting: Embodied Contrastive Learning-Enhanced Coarse-to-Fine Object Seeking With Explorer and Discriminator Cooperation_supp1-3619968.pdf
[NO] 590/1000 | VSCode-V2: Dynamic Prompt Learning for General Visual Salient and Camouflaged Object Detection With Two-Stage Optimization
[NO] 591/1000 | Human-Inspired Scene Understanding: A Grounded Cognition Method for Unbiased Scene Graph Generation
[NO] 592/1000 | JTBot: A Flexible-Rigid Junction Tensegrity Robot for Unstructured Pipeline Inspection_supp4-3628682.mp4
[NO] 593/1000 | Multi-Agent Reinforcement Learning With Spatial Structure Awareness for Topological Map-Based Path-Finding
[NO] 594/1000 | From Modelling to Application: Exploring Quench Tolerance in High-Field HTS Magnets
[NO] 595/1000 | ICIP 2026
[NO] 596/1000 | Masthead
[NO] 597/1000 | Deep Representation Learning With Assisted Domain Adaptation for EEG-Based Cross-Subject Emotion Recognition
[NO] 598/1000 | Copyright Page
[NO] 599/1000 | ISNCC 2025 Authors Index
[NO] 600/1000 | ITW 2025 Index
[NO] 601/1000 | Experimental study on the stationarity of sea waves in the Mediterranean Sea
[NO] 602/1000 | Comparison between two mercury extraction methodologies: sequential extraction and methylmercury extraction
[NO] 603/1000 | Privacy-Preserving Federated Learning with Differential Privacy and Adaptive Knowledge Distillation for Dynamic Non-IID Data
[NO] 604/1000 | Ultrasonic Imaging for Internal Defects of Aerospace Irregular Surfaces Structures via CO-SAFT
[NO] 605/1000 | Cross Mutual Information
[NO] 606/1000 | Intrusion Detection in IoT Networks using a Hybrid Quantum-Classical Graph Neural Network
[NO] 607/1000 | Recovery of Cellulose Acetate from Spent Cigarette Filters by Green Solvents for Production of Polymer Films
[NO] 608/1000 | Optimized Usage of Multi-User Diversity to Enhance Spectral Efficiency in (5G) Wireless Networks
[NO] 609/1000 | Communication-Constrained Private Decentralized Online Personalized Mean Estimation
[NO] 610/1000 | Incomplete Multiview Learning via Wyner Common Information
[NO] 611/1000 | A cross-disciplinary approach for marine waste valorisation
[NO] 612/1000 | Exploring the temporal dynamics of cetaceans strandings in the Mediterranean Sea
[NO] 613/1000 | The Influence of Prediction Interval on Regression Model Accuracy in Energy Forecasting
[NO] 614/1000 | A Systematic Framework for Generative AI-Powered Curriculum Development: Integrating Industry Requirements with Agile Learning
[NO] 615/1000 | Numerical Simulation of the Internal Flow Field of a Water Ramjet Engine with a Porous Nozzle
[NO] 616/1000 | On Levenshtein’s Reconstruction Problem for Channels with Unique Insertion Error Patterns
[NO] 617/1000 | Research on Data-Driven Rapid Prediction Method for High-Pressure Turbine Flow Fields
[NO] 618/1000 | Optimal Rate Region for Lazy Secret Sharing
[NO] 619/1000 | NGT: A Retrieval-Augmented Language System for Telecoms Documentation Processing
[NO] 620/1000 | Hybrid Force-Position Control for Cable-Driven Parallel Robots Based on Tension Optimization Distribution
[NO] 621/1000 | Flexible Transparent Antenna for Sub-6 GHz 5G Applications
[NO] 622/1000 | Reversible data hiding in encrypted images using two-pass improved pixel value ordering on high-bit segments
[NO] 623/1000 | Marine Surface Analysis Using Monostatic and Bistatic SAR for Wind and Sea Surface Velocity Mapping: PLATiNO-1 mission Insights
[NO] 624/1000 | Why Measure
[NO] 625/1000 | Confidant: Customizing Transformer-based LLMs via Collaborative Training on Mobile Devices
[NO] 626/1000 | GlucoSense: Non-Invasive Glucose Monitoring using Mobile Devices
[NO] 627/1000 | Have you SYN What I See? Analyzing TCP SYN Payloads in the Wild
[NO] 628/1000 | Demo: A Campus Scale Private 5G Open RAN Testbed
[NO] 629/1000 | QuinID: Enabling FDMA-Based Fully Parallel RFID with Frequency-Selective Antenna
[NO] 630/1000 | Federated Incremental Subgradient Method for Convex Bilevel Optimization Problems
[NO] 631/1000 | MoSEEC: Sustainable and Trajectory Privacy-Preserving Edge Resource Management
[NO] 632/1000 | Conference Calendar [Dates Ahead]
[NO] 633/1000 | 2025 International Conference of Mechanical Engineering on Aerospace (CoMEA)
[NO] 634/1000 | Hierarchical Model Predictive Control for Energy-aware Scheduling of Digital Twin-based Batch Manufacturing Systems
[NO] 635/1000 | Leveraging Rich Mechanical Features and Long-Range Physical Constraints for Lumbar Spine Stress Analysis
[NO] 636/1000 | Table of Contents
[NO] 637/1000 | Performance Analysis of SM-OTFS Under Imperfect Channel Estimation
[NO] 638/1000 | Convex Solutions to S
                    <i>f</i>
                    T and NRS
                    <i>f</i>
                    M under Algebraic Deformation Models
[NO] 639/1000 | Deep Learning-based OTFS Channel Estimation and Symbol Detection with Plug-and-Play Framework
[NO] 640/1000 | VolMoVis: Real-Time Volume Generation and Motion Visualization with Dynamic Tomographic Reconstruction_supp1-3634648.mov
[NO] 641/1000 | Study on the Cavity Flow Field and Load Characteristics During the Closure and Collapse Stage of High-Speed Water Entry
[NO] 642/1000 | Accumulation of Heavy Metals in Petrosia ficiformis and Sarcotragus spinosulus (Porifera, Demospongiae): Insights from Two Apulian Sites in the Northern Ionian Sea
[NO] 643/1000 | Mechanisms and Applications of Conductive Wear Debris Motion Under Coupled Microgravity and Multi-Physics Electromagnetic Environments
[NO] 644/1000 | Understanding the Ratio of the Partition Sum to its Bethe Approximation via Double Covers
[NO] 645/1000 | Africa’s Coastline Long-Term Monitoring Using Remote Sensing and GIS Techniques
[NO] 646/1000 | Numerical Simulation of Rayleigh-Taylor Instability Based on WCNS Scheme
[NO] 647/1000 | A New Soft-Decision Decoding for Extended BCH Codes Based on Reed-Muller Decomposition
[NO] 648/1000 | AI-Powered Tutoring for Active Reading: A Pedagogical and Ethical Approach
[NO] 649/1000 | Ice Dynamic Observation with Remote Sensing
[NO] 650/1000 | Research on Residual Mechanical Properties of Composite Structure of Fiber Shell and Skirt of Solid Motor
[NO] 651/1000 | Application Prospects of Wind Tunnel Wind Resistance Testing Technology in the Development of Low Altitude Aircraft
[NO] 652/1000 | Market Design for Capacity Sharing in Networks
[NO] 653/1000 | Tracking Internet Disruptions in Ukraine: Insights from Three Years of Active Full Block Scans
[NO] 654/1000 | Poster: Road to Tiny Reality: Digital Twins for Decentralized AI on Microcontrollers
[NO] 655/1000 | Demo: Amodal Instance Segmentation Using MmWave Radar
[NO] 656/1000 | OptSamp: Optimizing the Sampling Rate for LoRa Energy Efficiency Enhancement
[NO] 657/1000 | How to Update Your 5G vRAN
[NO] 658/1000 | Where in the World Are My Trackers? Mapping Web Tracking Flow Across Diverse Geographic Regions
[NO] 659/1000 | Belief Propagation Decoding of Primitive Rateless Codes
[NO] 660/1000 | Evolving Generalizable Parallel Algorithm Portfolios for Binary Optimization Problems via Domain-Agnostic Instance Generation_supp1-3635185.pdf
[NO] 661/1000 | MetroSea 2025 Copyright
[NO] 662/1000 | H-Plasma Treated ZrO
                    <sub>2</sub>
                    and HfO
                    <sub>2</sub>
                    RRAM Devices for Low Power In-Memory Computing
[NO] 663/1000 | Impact-Aware Dual-Arm Manipulation: A Framework for Fast Package Handling_supp1-3615262.mp4
[NO] 664/1000 | Time of Flight from Optical Communications Signals on the Optical to Orion Demonstration
[NO] 665/1000 | Reformulations of Quadratic Programs for Lipschitz Continuity
[NO] 666/1000 | Fully Distributed and Attack-Immune Consensus by Distributed Dual Observer Based Linear Time-Varying Output Feedback
[NO] 667/1000 | CMIP: Combining Constructive Model With Improvement Policy for Large-Scale Min-Max Multiple Traveling Salesman Problem
[NO] 668/1000 | Research on defect identification and feature extraction of molybdenum wire based on DBSCAN and pulsed eddy current technology
[NO] 669/1000 | A Hybrid Fault-Tolerant Workflow Scheduling With Performance Fluctuated Cloud Resources
[NO] 670/1000 | A Novel Annular-Dielectric-Layer-Structured TSV in Silicon Interposer for 2.5D/3D Integration
[NO] 671/1000 | Thermofluidic Visualization of the Capillary-driven Boiling for Design Optimization of Silicon Embedded Evaporators
[NO] 672/1000 | Adaptive Polyhedral Approximation for Enhancing the Distributionally Robust Optimization of Uncertain Power Systems
[NO] 673/1000 | A Hybrid PPO-GNN Framework for Adaptive Vehicle Routing under Uncertainty: Application to Fuel Delivery Logistics
[NO] 674/1000 | Joint Resource Allocation and Secure Beamforming for Active RIS aided mmWave-RSMA with Dual-Identity User
[NO] 675/1000 | The Effects of Log Noise in Process Mining
[NO] 676/1000 | Multi-factor Aging Weighted Analysis and Comprehensive Performance Evaluation of EPDM for Torsion-Resistant-Cable
[NO] 677/1000 | A Dichotomy for Distributed Detection With Limited Communication
[NO] 678/1000 | Automatic X-Ray Film Handler Alignment Control Using Position-Based Visual Servoing and Computational Intelligence
[NO] 679/1000 | Threshold Design for Undersampled Autocorrelation-Based OFDM Spectrum Sensing
[NO] 680/1000 | A Self-Adaptive Architecture for Predictive and Reinforcement-Based Optimization in Smart Environments
[NO] 681/1000 | Trustworthy Automatic Target Recognition via Variational Autoencoder-based Out-Of-Distribution Detection
[NO] 682/1000 | Investigation into the High-Speed Inclined Water Entry Destruction and Energy Absorption Characteristics of the Cushioning Structure
[NO] 683/1000 | Data Fusion Algorithm for Multi-Head Star Sensor Based on the Covariance of Measurement Star Vectors
[NO] 684/1000 | Evaluating Bagging Ensembles with DenseNet201 and Swin Transformer for Breast Cancer Detection: A Comparative Study on Ultrasound and Mammography Images
[NO] 685/1000 | Enhancing the Aerodynamic and Aeroacoustic Performance of a Cooling Fan Using Owl-Inspired Trailing Edge Serrations
[NO] 686/1000 | Analysis of Energy Use for A Higher Education Institution’s Data Center
[NO] 687/1000 | Edge-Enhanced Attention Mechanism for Dynamic UAV Formation Fault Detection
[NO] 688/1000 | A numerical tool for buoyant plastic debris transport prediction in the nearshore zone
[NO] 689/1000 | Vision-Language Models for Underwater Ecological Monitoring
[NO] 690/1000 | Data Transmission over a Bosonic Arbitrarily Varying Quantum Channel
[NO] 691/1000 | Eye-Tracking, Quality Assessment, and QoE Prediction Models for Point Cloud Videos: Extended Analysis of the ComPEQ-MR Dataset
[NO] 692/1000 | CNN-based approaches for various types of tabular data
[NO] 693/1000 | Multi-Task Contrastive Learning for Skin Lesion Classification and Segmentation
[NO] 694/1000 | Large (Vision) Language Models for Autonomous Vehicles: Current Trends and Future Directions
[NO] 695/1000 | Predefined-Time Adaptive Flight Control of a Coaxial Compound Helicopter Against Input Saturation and Perturbations
[NO] 696/1000 | Adaptive Learning-Based Quantized Parameter Identification of Nonlinear Sandwich-Like Systems With Memory Nonlinearity
[NO] 697/1000 | An Innovative Framework for Hourly Satellite Soil Moisture Retrieval via Integrated Spatio-Temporal Downscaling Techniques
[NO] 698/1000 | 2025 IEEE Information Theory Workshop (ITW)
[NO] 699/1000 | OW-CLIP: Data-Efficient Visual Supervision for Open-World Object Detection via Human-AI Collaboration
[NO] 700/1000 | PM-Assisted Double-Teeth C-Core Two-Phase SRMs: Design and Optimal Drive for Torque Density Enhancement
[NO] 701/1000 | Poster: 5G-CriCo Vision for MCx on 5G Standalone}
[NO] 702/1000 | Poster: Lightweight PUF-based Authentication and Key-exchange for Offline Smart Home IoT Devices
[NO] 703/1000 | LLM-Explorer: Towards Efficient and Affordable LLM-based Exploration for Mobile Apps
[NO] 704/1000 | Roam Without a Home: Unraveling the Airalo Ecosystem
[NO] 705/1000 | $Poster:$ RMap: Uncovering Risky DNS Resolution Chains and Misconfigurations
[NO] 706/1000 | Capacity Region for Covert Secret Key Generation over Multiple Access Channels
[NO] 707/1000 | Electrode Configuration Effects on Ignition Dynamics of Electronically Controlled Solid Propellants
[NO] 708/1000 | Growth and Biomass Potential of Two Ascidian Species Cultured in a Novel Integrated Multi-Trophic Aquaculture (IMTA) System in the Ionian Sea (Mediterranean Sea, Italy)
[NO] 709/1000 | Towards Quantum Universal Hypothesis Testing
[NO] 710/1000 | ML-FSO: Enhancing UAV-Based Optical Communication Networks for Disaster Resilience
[NO] 711/1000 | Semi-Aerodynamic-Model-Aided Filtering Algorithm for Fixed-Wing Unmanned Aerial Vehicles
[NO] 712/1000 | Influence of Ice Accretion on Propeller-Wing Aerodynamic Interactions in eVTOL Aircraft
[NO] 713/1000 | On the inference of the Peak Wave Period using Satellite Altimetry measurements
[NO] 714/1000 | Experimental Investigation on Cavitation Dynamics During Water-Exit of Trans-Media Vehicle
[NO] 715/1000 | A Method For Dynamically Modifying Component Transformations in The AES Block Cipher Applied To Image Data Encryption
[NO] 716/1000 | Improving Smoothness in Huffman Coding: Canonical and Pre-allocated Variations
[NO] 717/1000 | SEAmPhonia: a 3D acoustic field approach to marine ecosystem modelling
[NO] 718/1000 | AI-based technology to monitor behavioural responses in marine invertebrates
[NO] 719/1000 | Dynamic Simulation and Control of an Amphibious Drone for Marine Measurements
[NO] 720/1000 | Fundamental Limits on Overflow Probability for Variable-Length Codes with Codeword Cost: A Smooth Rényi Entropy Approach
[NO] 721/1000 | Autonomous Stereo Camera Based Semantic Mapping of Underwater Posidonia Oceanica
[YES] 722/1000 | AutoIOT: LLM-Driven Automated Natural Language Programming for AIoT Applications
[NO] 723/1000 | Measuring the deployment of DNSSEC Bootstrapping Using Authenticated Signals
[NO] 724/1000 | Attacks Come to Those Who Wait: Long-Term Observations in an SSH Honeynet
[NO] 725/1000 | Demo: A Real-Time Multimodal Sensing and Feedback System for Closed-Loop Wearable Interaction Using OmniBuds
[NO] 726/1000 | Poster: Enhancing Mobile Traffic Data Generation through Spatio-temporal Correlation Imaging
[NO] 727/1000 | Demo: UAV Trajectory Generation from Sparse and Noisy 3D Point Clouds
[NO] 728/1000 | Multi-Antenna Quantum Receiver: A Leap Beyond Angle Estimation Constraints
[NO] 729/1000 | The Anatomy of Olympic Games: a Mobile Traffic Demand Perspective
[NO] 730/1000 | Net0AICloud: AIoT-Driven Sustainable Edge Cloud Computing Towards Net Zero Carbon Emissions
[NO] 731/1000 | On the Capability of Cascaded H-Bridge Converter-Based Energy Systems to Tolerate Intra-Phase Active Power Imbalance
[NO] 732/1000 | Collaborative Trust Evaluation With Relative Attention in Evolving Online Social Networks
[NO] 733/1000 | Fixed/Prescribed-Time Synchronization of Hybrid Delayed Fuzzy Inertial Memristive Neural Networks
[NO] 734/1000 | A Novel Monte-Carlo Compressed Sensing and Dictionary Learning Method for the Efficient Path Planning of Remote Sensing Robots
[NO] 735/1000 | From Clutter to Clarity: Enhancing Radar-Based Human Activity Recognition with Deep Attention and Feature Denoising
[NO] 736/1000 | A Knowledge-Driven Memetic Algorithm for Energy-Aware Distributed Assembly Blocking Permutation Flow Shop Scheduling Problem
[NO] 737/1000 | Enhancing Robotaxi Pick-Up Through Vision-Language-Model-Based Passenger Identification
[NO] 738/1000 | Performance Analysis of STAR-RIS-Aided Cell-Free Massive MIMO System over Aging Channel
[NO] 739/1000 | InterMamba: Efficient Human-Human Interaction Generation With Adaptive Spatio-Temporal Mamba
[NO] 740/1000 | GSCache: Real-Time Radiance Caching for Volume Path Tracing using 3D Gaussian Splatting_supp2-3634634.mp4
[NO] 741/1000 | Unified Intermittent Modulation Scheme for Light-Load Efficiency Improvement of a Three-Phase Dual-Active-Bridge Converter
[NO] 742/1000 | ITW 2025 Author Index
[NO] 743/1000 | Table of Contents
[YES] 744/1000 | UniFuzz: A Unified Fuzzing Framework for Smart Contract Vulnerability Detection with LLMs and Audit Reports
[NO] 745/1000 | Constructions of Binary Cooperative MSR Codes with Optimal Access Bandwidth
[NO] 746/1000 | Reveal-or-Obscure: A Differentially Private Sampling Algorithm for Discrete Distributions
[NO] 747/1000 | Uniquely-Decodable Coding for Network Function Computation
[NO] 748/1000 | On Design and Analysis of Asynchronous Repetition Slotted ALOHA for Massive Access
[NO] 749/1000 | Approximate Hypothesis Testing
[NO] 750/1000 | Interpolation of Quantum Polar Codes and Quantum Reed-Muller Codes
[NO] 751/1000 | Design and Control Strategy of Bionic Crawling Pipe Inspection Robot
[NO] 752/1000 | Discrete Age Analysis of Ber/G/1/1 Queues: Exact Expressions and Optimization
[NO] 753/1000 | Model Density Group Framework for Next Generation Wireless Networks
[NO] 754/1000 | A General Construction of the Transfer Matrices of (k, N + t)-Sum Boxes
[NO] 755/1000 | Deep Learning-Based Direction of Arrival Estimation for Underwater Acoustic Sources Using BPSK Signals and Multiple Array Geometries
[NO] 756/1000 | Preliminary Insights into Cluster-Based Estuarine Prediction Using Machine Learning
[NO] 757/1000 | Reliability and Security Analysis of Power Beacon Based Half-Duplex Relaying System With Hardware Impairments
[NO] 758/1000 | Secure Broadcasting under Unreliable Cooperation
[NO] 759/1000 | RDD Function: A Tradeoff Between Rate and Distortion-in-Distortion
[NO] 760/1000 | A Fault Diagnosis Method for UAV Propulsion Systems Based on PCA and PSO-Optimized SVM
[NO] 761/1000 | Underwater Inspection Platform for Vision-Based Biodiversity Identification
[NO] 762/1000 | Experimental and Numerical Investigations of Bypass Dual-Throat Nozzle with Asymmetric Rear Configuration
[NO] 763/1000 | Are Action Cameras the New Witness? A Forensic Examination of GoPro HERO13 and Quik App Data on Android and iOS
[NO] 764/1000 | Research on Decision Model of Civil Aircraft Flight Test Project Planning Based on Preference Criteria
[NO] 765/1000 | Residual Stress of Autofrettage Barrel After Machine Process and its Influence on Barrel Stress Distribution
[NO] 766/1000 | Android Malware Classification Based on Graph Features and Graph Neural Networks
[NO] 767/1000 | Poster: Uncovering Lesser-Studied RTC Applications using RTP
[NO] 768/1000 | Poster: Efficient Geometry Compression and Communication for 3D Gaussian Splatting Point Clouds
[NO] 769/1000 | Demo: WasmSD-Edge: A Lightweight Edge Stable Diffusion Image Generation Framework Based on WebAssembly
[NO] 770/1000 | LoRaSeek: Boosting Denoising Ability in Neural-enhanced LoRa Decoder via Hierarchical Feature Extraction
[NO] 771/1000 | Automated, Cross-Layer Root Cause Analysis of 5G Video-Conferencing Quality Degradation
[NO] 772/1000 | DD-LIVM: Pioneering Cross-Domain Photovoltaic Defect Detection Using Large Infrared-Visible Model
