[2026-04-21 10:19:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-20
正在获取论文...
[arXiv] 2026-04-20 | Dust characterization of halos -- The extended emission in protoplanetary disks
[NO] 1351/1912 | The GenAI Generation: Student Views of Awareness, Preparedness, and Concern
[NO] 1352/1912 | Research on Low-Altitude Small Target Detection Method Based on YOLO11x-ESO
[NO] 1353/1912 | Predictive Modeling of the COVID-19 Reproduction Number Using Auto-ARIMA and Machine Learning Techniques
[NO] 1354/1912 | An Improved YOLOv8 with Interface Feature Enhancement for Microscopic Defect Detection of Single-Layer Cellulose-Based Composite Materials
[NO] 1355/1912 | Machine Learning-Driven Resource Utilization Prediction for Scalable Cloud Infrastructure Management
[NO] 1356/1912 | Exploration of CLIP with Greedy Gradient Ensemble in Visual Question Answering
[NO] 1357/1912 | Research on Vulnerability Mining Technology of a Private Instant Messaging Protocol Based on Reverse Engineering and State Awareness
[NO] 1358/1912 | Multi-Scale Temporal-Attention EEGNet for Automated Epileptic Seizure Detection
[NO] 1359/1912 | Research on Anomaly Detection Methods in Power Marketing Based on Rule-Driven and Data-Driven Fusion
[NO] 1360/1912 | Real-Time Optimization of Manufacturing Processes and Dynamic Resource Allocation Based on Machine Learning Algorithms
[NO] 1361/1912 | Zero-Shot Recommendation via Multi-Dimensional User Profiling: A Side-Channel Approach to Cold-Start Optimization
[NO] 1362/1912 | Integrative Analysis of Gut Microbiome Profiles in Rheumatoid Arthritis Using Differential Abundance, Beta Diversity, and Sparse Machine Learning
[NO] 1363/1912 | An Ambient Assisted Finite Element Approach for DLR Evaluation of Transmission Lines Based on FERC Order 881
[NO] 1364/1912 | Simulation on Right-Angle Surface Transition for a Four-Track Wall-Climbing Robot
[NO] 1365/1912 | Cell-Based Architecture for Solving Data Integrity in Microservices
[YES] 1366/1912 | From Bits to Trust: AI-Driven Reconfigurable Security
[NO] 1367/1912 | Evaluating Time Series Databases Across Wide and Narrow Schema Designs for Appliance-Level Residential Energy Monitoring
[NO] 1368/1912 | Research on the Crowdsourced Security Testing Contest Based on a Screening Theory
[NO] 1369/1912 | Over-Smoothing Effect of Graph Convolutional Networks: Spectral and Topological Analysis with Practical Remedies
[NO] 1370/1912 | Assistant Diagnosis of Glaucoma Optimizing Subtle Lesion Detection and Multi-Scale Feature Extraction
[NO] 1371/1912 | A Method for Modeling Photovoltaic Characteristics Under Artificial Partial Shading
[NO] 1372/1912 | Can Domain Transfer Counter Adversarial Attacks in Traffic Sign Classification Systems?
[NO] 1373/1912 | Secure by Design: Quantifying Architectural Resilience and the Agents Rule of two
[NO] 1374/1912 | Real-Time Implementation of Field-Oriented Control Enhanced with Fuzzy Logic for BLDC Motor Drives
[NO] 1375/1912 | Application of BIM Methodologies in the Retrofit of Operating 500 kV-2,400 MVA GIS Substations: Accuracy, Efficiency, and INTEGRATED Management
[NO] 1376/1912 | System-Aware Evaluation of Differential Privacy Mechanisms for Resource-Constrained Edge AI
[NO] 1377/1912 | Ship Motion Trajectory Prediction Method Based on Improved PSO-BP Neural Network Model
[NO] 1378/1912 | An Enhancement For Promotion Application Using Machine-Learning
[NO] 1379/1912 | Construction of a Computer-Aided Metadata Scheme for Chu-style Lacquerware Painting Techniques, a Key Intangible Cultural Heritage of Hubei Province
[NO] 1380/1912 | Research on Extracting Cultural Genes and Constructing Models for Liangping Woodblock New Year Paintings Based on Clustering Algorithms
[NO] 1381/1912 | Real-Time VR Multimodal Interaction and Rendering Coordination Algorithm
[NO] 1382/1912 | A Source of Income for Elderly People: Opportunities in Oral Storytelling
[NO] 1383/1912 | Observer-Based Adaptive Fuzzy Assistance Steering Control for Vehicle Path Tracking Considering Driver Manipulate Error
[NO] 1384/1912 | Joint Device Clustering, Secure Collaborative Service Caching, and Resource Allocation in Ultra-Dense MEC Networks
[NO] 1385/1912 | Random Latent Exploration-Based Multi-Agent Reinforcement Learning for Multi-UAV Path Planning
[NO] 1386/1912 | Multivariate Fields of Experts for Convergent Image Reconstruction
[NO] 1387/1912 | Pesaj’s Code: We Choose the Road! Building identity through creative programming
[NO] 1388/1912 | RadioMapMotion: A Dataset and Benchmark for Proactive Spatio-Temporal Radio Environment Prediction
[NO] 1389/1912 | Message from the Chairs: SMC-IT 2025
[NO] 1390/1912 | Copyright Page
[NO] 1391/1912 | Self-Reconfiguration Planning for Deformable Quadrilateral Modular Robots
[NO] 1392/1912 | Calibration of Error Distributions in Robot Kinematics for Increased Precision in Manipulation Tasks
[NO] 1393/1912 | Concentration and Diversity in Collaboration Networks in Electrical Engineering: Evidence from Brazilian Researchers
[NO] 1394/1912 | An Enhanced Fire Perception Framework for Firefighting Robots: ECA-BiFPN Boosted YOLO-EB with Multi-Modal Fusion
[NO] 1395/1912 | Design and Preliminary Evaluation of a Compliant Rolling-Contact Bipedal Robot Guided by Human Motion Data
[NO] 1396/1912 | Bi-CS-RRT: An Improved RRT Algorithm for Manipulator Path Planning
[NO] 1397/1912 | Design of Lidar Based Sweeper Robots: 3D Game Engine Simulations and Experimental Results
[NO] 1398/1912 | Adaptive Intrusion Detection in Edge-Cloud Environments Using Reinforcement Learning
[NO] 1399/1912 | Zero-Shot Recommendation via LLM-Generated Synthetic Interaction Data
[NO] 1400/1912 | Base Composition of DNA Strands as a Spin System for Bio-Molecular Signal and Potentially Integrated into Orthogonal Molecular Communication Channels
[NO] 1401/1912 | A Hybrid Geometric-Learning Framework for Dynamic Object Determination in RGB-D SLAM
[NO] 1402/1912 | Understanding Stability of Choices: Toward Robust Choice-Based Authentication in Cybersecurity
[NO] 1403/1912 | Trend-Aware Tinyml Co-Design on Microcontrollers: Quantization, Structured Sparsity, and On-Device Adaptation Under Tight Memory-Energy Budgets
[NO] 1404/1912 | Benchmarking AI vs Human Decision-Making in Product Management: A Controlled Study on Prioritization and Roadmap Quality
[NO] 1405/1912 | An Intelligent Charging Planning Method for Electric Vehicles Based on Multi-Agent Knowledge Sharing
[NO] 1406/1912 | Malware Deep Analysis and Network Security Defense Mechanism Based on Multimodal Data Fusion
[NO] 1407/1912 | Comprehensive Forensic Analysis of a Spoofed Microsoft Email: A NIST Incident Response Approach
[NO] 1408/1912 | Inner-Loop Model Predictive Control for Droop-Regulated Matrix Converters
[NO] 1409/1912 | sCNN: An Improved Convolutional Neural Network for Early Detection of Alzheimer's Disease
[NO] 1410/1912 | Blockchain-Enabled Real-Time IoMT Monitoring with LSTM-Based Predictive Anomaly Detection
[NO] 1411/1912 | A Medical Insurance Question Answering System Based on Multi-Strategy Retrieval-Augmented Generation
[NO] 1412/1912 | Live Fish Transportation Water Quality Monitoring System Based on Thingspeak and IoT Technology
[NO] 1413/1912 | Quantifying Cyber-Risk in Commercial Egg Production: A Stochastic Simulation Approach
[NO] 1414/1912 | Real-Time Multimodal Sensing and Spatiotemporal Event Logging on Mobile Devices
[NO] 1415/1912 | Single-Trace EM Leakage Profiling of LUT-Based S-Box Computations on STM32: A Comparative Study of AES, ASCON, and PRINCE via Linear Regression $R^{2}(t)$ Metrics
[NO] 1416/1912 | Neural Network Surrogate Model for Predicting Dielectric Properties and Optimizing V
                    <sub>2</sub>
                    O
                    <sub>5</sub>
                    Doping in Mg
                    <sub>0.85</sub>
                    Co
                    <sub>0.15</sub>
                    Fe
                    <sub>2</sub>
                    O
                    <sub>4</sub>
                    Ferrites
[NO] 1417/1912 | Flexible Drones: ROS 2 Action-Based Coordination of Multiple Heterogeneous Drones
[YES] 1418/1912 | NANDWorks: A Low-Cost Testbed for ONFI-Compatible NAND Flash Experiments
[NO] 1419/1912 | Always-On vs Gated External Signals for Demand Forecasting on the M4 Dataset
[NO] 1420/1912 | Construction of a Tropospheric Wet Delay Model for a Global Forecast System Based on Machine Learning
[NO] 1421/1912 | A Comparative Study of Api Deployment on On-Prem, EC2, and AWS Lambda
[NO] 1422/1912 | Patch Based Diffusion for Rib Fracture Synthesis in Chest Radiographs
[NO] 1423/1912 | ALMA-IA: A Real-Time System for Automatic Analog Gauge Reading Using Edge Devices and Deep Learning
[NO] 1424/1912 | A Transmitter Architecture for Digital-Pre-Distortion of Power Amplifiers for Systems with Insufficient Sampling-Rate
[NO] 1425/1912 | BiFPN-Enhanced Multi-Scale Detection for Laser-Guided Fungal Remediation in Plant Tissue Culture
[NO] 1426/1912 | Research on the Fusion of Knowledge Graph and Large Language Model Based on Few-Shot Learning
[NO] 1427/1912 | Dstformer: Leveraging Dynamic Spatial-Temporal Graphs and Transformer Architecture for Short-Term Wind Speed Forecasting
[NO] 1428/1912 | A Probabilistic Multi-Signal Framework for Directional Movement Forecasting in Financial Time Series: A Statistical Learning Perspective
[NO] 1429/1912 | A Self-Optimizing BiLSTM with Temporal Pattern Attention via Sparrow Search for Robust Forecasting of Non-Stationary Time Series
[NO] 1430/1912 | Pedestrian Tracking Based on Improved YOLOv8n and ByteTrack
[NO] 1431/1912 | Customer Financial Fraud Detection and Risk Profiling Using a Cloud-Native Swarm of AI Agents on AWS
[NO] 1432/1912 | Escaping Local Minima: A Finite-Time Markov Chain Analysis of Constant-Temperature Simulated Annealing
[NO] 1433/1912 | Evaluating the errors of Oceansat-3 winds over the Indian Ocean_supp1-3685171.docx
[NO] 1434/1912 | A Novel Data-Driven Prediction and Compensation Method for Robot Contour Errors Considering the Joint Dynamics
[NO] 1435/1912 | Preserving Discrete Morse–Smale Complexes in Error-Bounded Lossy Compression
[NO] 1436/1912 | M-GBT: Multi-region Short-term Electricity Load Forecasting Framework based on Graph Bayesian Transformer Network
[NO] 1437/1912 | Unifying Variables in Neural Scaling for General Audio Representations via Embedding Effective Rank
[NO] 1438/1912 | Admittance Reshaping Method for Charging Current Ripple Suppression of the Battery Energy Storage System under Distorted Grid Conditions
[NO] 1439/1912 | Parasitic PNP Punch-Through Suppression and
                    <i>BV</i>
                    Enhancement of 1200V Double-Thin SOI-LDMOS for Gate Driver HVIC
[NO] 1440/1912 | Adaptive Spatial-Temporal Graph Learning-Enabled Short-Term Voltage Stability Assessment Against Time-Varying Topological Conditions
[NO] 1441/1912 | A Vision-Driven End-User Robot Programming Method Based on the Alignment Between Body Language and Motion Commands
[NO] 1442/1912 | CLAPC: A Hybrid CNN-LSTM Architecture for Automated Passenger Counting from Video Streams in Public Transport
[NO] 1443/1912 | Ultrathin Dual Circularly Polarized Transmitarray Antennas Based on Polarization Conversion Huygens' Metasurface
[NO] 1444/1912 | POTR: Post-Training 3DGS Compression
[NO] 1445/1912 | An application of the mean motion problem to time-optimal control
[NO] 1446/1912 | Automatic detection of suicidal ideation on social media using a hybrid CNNBiLSTM architecture
[NO] 1447/1912 | Selective Active Zero-State Pulse-Width Modulation (AZSPWM) for Reduction of Common-Mode Voltage (CMV) of Three-Phase Inverter Considering Saturation of Filter Inductor
[NO] 1448/1912 | FedDiDy: Federated Class-Incremental Fault Diagnosis for Industrial IoT Rotating Machinery Under Dynamic Edge Participation
[NO] 1449/1912 | The Impact Analysis of Delays in Asynchronous Federated Learning with Data Heterogeneity for Edge Intelligence
[NO] 1450/1912 | MFIR: Model-Free Intrusion Response for Partially Observable Industrial Control Systems
[NO] 1451/1912 | DIM-NEG: Dynamic Incentive Model for Federated Learning Based on Smart Contracts and Nested Evolutionary Games
[YES] 1452/1912 | SafeHDC: Concurrent Uncertainty and Fault Detection in Hyperdimensional Computing
[NO] 1453/1912 | Optimal-Feature Driven Adversarial Adaptive Cascade Forest method for Automatic Modulation Recognition
[NO] 1454/1912 | From Diversity to Academic Inclusion: Case Study of First Year Students in Software Engineering and Business Informatics (2023-2024)
[NO] 1455/1912 | Comparative Analysis of Machine Learning Models for Misogynistic Hate Speech Detection in Brazilian Portuguese: a Study Using the Mina-Br Dataset
[NO] 1456/1912 | Bio Lab Escape: An Educational Game for Teaching Cellular Biology
[NO] 1457/1912 | What the #*&amp;% Is a Shader and How Is It Implemented in Unity?
[NO] 1458/1912 | Embedded Hardware-in-the-Loop Platform for Observer-Based Drug Delivery Control with Remote Monitoring
[NO] 1459/1912 | Responsible AI in Cloud Security: A Human-Centric Framework for Transparent Threat Detection and Identity Governance
[NO] 1460/1912 | Main Challenges of National Transmission Network Expansion: A Study on Energy Efficiency and Development
[NO] 1461/1912 | Beyond Centralized Control: Can Peer-to-Peer Systems Support Online Safety for Teens and Older Adults?
[NO] 1462/1912 | Design, Implementation, and Evaluation of a Cloud-Native Real-Time Distributed System Using Kubernetes and AWS
[NO] 1463/1912 | Mining User Forums to Evaluate Quality-in-Use of Environmental Software
[NO] 1464/1912 | A Hybrid Model for Missile Detection Using YOLOv8 and Machine Learning Enhancement
[NO] 1465/1912 | Improving the Circuit Realization of Grover's Quantum Search Algorithm by Replacing Hadamard with √X Gates
[NO] 1466/1912 | AI-Augmented Technical Debt Management in Legacy Software Systems
[NO] 1467/1912 | Quantifying Cross-System Curriculum Alignment: A Reproducible and Interpretable Method
[NO] 1468/1912 | Using Higher-Order Spectral Growth in Pant Pocketworn Accelerometers for Cough-Detection Apps
[NO] 1469/1912 | A Dual-Mode Receiver Combining APD and SPAD Operation for Direct ToF LiDAR
[NO] 1470/1912 | Unveiling the Secrets of Successful Game Design
[NO] 1471/1912 | Beyond the Server: Permissioned Blockchain Coordination for Robust Federated Learning in Smart Systems
[NO] 1472/1912 | Comparative Study on Aqueous Solubility Prediction of Organic Molecules Based on Multi-Feature Fusion and Machine Learning
[NO] 1473/1912 | Topo-RAG: A Visual Topology Reconstruction and Constraint-Guided Reasoning RAG Framework for Pollutant Discharge Rights Determination
[NO] 1474/1912 | Deep Learning-Driven Adaptive Network Intrusion Detection: a Hybrid Framework Integrating Dualdiscriminator Wgan and Hierarchical Multi-Head Attention
[NO] 1475/1912 | A Compact 4×4 MIMO Antenna Array Optimization Design Using Meander-Slot Patches with Ground-Plane Decoupling Structures
[NO] 1476/1912 | Proposed Design of an Immersive Simulation: Virtual Reality and Mathematical Modeling
[NO] 1477/1912 | Prediction and Optimization of S
                    <sub>11</sub>
                    (Reflection Coefficient) in Log-Periodic Toothed Antenna on Flexible Kapton Substrate Using Machine Learning
[NO] 1478/1912 | Research on Virtual Collaboration-Based Line Construction Simulation Drill Technology and Training Strategy
[NO] 1479/1912 | From Dataset to Deployment: A Full-Stack Autoencoder-Based Anomaly Detection Pipeline for Gas Turbine BLDC Fuel Pumps
[NO] 1480/1912 | MHDash: An Online Platform for Benchmarking Mental Health–Aware AI Assistants
[NO] 1481/1912 | Attack Detection in Internet of Medical Things Using Machine Learning
[NO] 1482/1912 | Flash Snap: An Efficient Snapshot Loading Architecture for Rapid FaaS Startup
[NO] 1483/1912 | Hierarchical Control and Power Converter Topology for an Isolated DC Microgrid for EV Charging
[NO] 1484/1912 | Semantic Search of AutoCAD Drawing Repositories Via Cost-Effective Multi-AI Specification Extraction
[NO] 1485/1912 | Hybrid LLM Architectures for On-Device and Cloud-Based Intelligence in Regulated Industries
[NO] 1486/1912 | Control System for the Formation of a Balanced Hybrid Single/Three-Phase Microgrid From Three Isolated Single-Phase Microgrids
[NO] 1487/1912 | Pedagogical Experience in AI Teaching for Technical High Schools: a Regional Approach From UNLP
[NO] 1488/1912 | Organizing Committee
[NO] 1489/1912 | Learning Where to Look: Differentiable Slice Selection and Efficient Channel Attention for FCD-II MRI Classification
[NO] 1490/1912 | A Statistical Physics Framework for Intermittent Neural Control of Human Balance
[NO] 1491/1912 | Sparse Spectral Modeling of SVPWM Harmonics for Efficient Electromagnetic Loss Mapping in EV Traction Drives
[NO] 1492/1912 | Occlusion-Proof Vehicle Counting Using Computer Vision and Artificial Intelligence
[NO] 1493/1912 | The Spheres Dataset: Multitrack Orchestral Recordings for Music Source Separation and Information Retrieval
[NO] 1494/1912 | Descriptor:
                    <i>Energy Demand and Renewable Supply Dataset for Pacific Island Countries (EDRS-PIC)</i>
[NO] 1495/1912 | Title Page
[NO] 1496/1912 | FoV Prediction-Based Adaptive Streaming Mechanism for 6DoF Volumetric MR Applications in Multi-Base-Station Networks
[NO] 1497/1912 | Hybrid intelligent multi-objective dynamic optimization based on MOEPSO-GA
[NO] 1498/1912 | ASBench: Image Anomalies Synthesis Benchmark for Anomaly Detection
[NO] 1499/1912 | Comparative Electric Field Stress Analysis in Power Transformer Insulation Under Variable Moisture, Paper Types, and Dielectric Fluids
[NO] 1500/1912 | BinEnhance-Pro: Enhancing Binary Code Search by Distinguishing Similar but Non-Homologous Functions
[NO] 1501/1912 | SceneGlue: Scene-Aware Transformer for Feature Matching without Scene-Level Annotation_supp1-3684799.pdf
[NO] 1502/1912 | OGC-SSD: Overlap-Guided Calibration and Progressive Regression for 3D Object Detection
[NO] 1503/1912 | ICT-META: In-Context Aware Few-Shot Learner for Encrypted Traffic Classification
[NO] 1504/1912 | A Review of Automotive AR-HUD Interfaces Across Driver Roles and Vehicle Automation Levels
[NO] 1505/1912 | Autonomous Navigation in Unstructured Environments: A Probabilistic Approach for Generating Local Guidance With Limited Prior Information
[NO] 1506/1912 | Indoor Fingerprint Collection under Environment Changes by Vehicular Crowdsensing: A Bayesian Reinforcement Learning Approach_supp1-3678457.pdf
[NO] 1507/1912 | Energy-Efficient Sequential Estimation Via Sensor Ordering
[NO] 1508/1912 | Frequency-Tunable Thermoacoustic Signal Generation and Simulation via Changing Microwave Pulse Properties
[NO] 1509/1912 | Adaptive Automatic Generation Control in Multi-area Power Systems: A Deep Reinforcement Learning Approach for Model-based Controller Tuning
[NO] 1510/1912 | Energy-Efficient Quantum Federated Learning over Low-Altitude UAV Networks with Theoretical Guarantees
[NO] 1511/1912 | A Stochastic Predictive Control Framework for Photovoltaic Maximization using Coupled LSTM-DQN Architectures in Volatile Climatic Environments
[NO] 1512/1912 | Enhancing Solar Irradiance and Power Forecasting Through Rolling-Window Validation and SHAP-Based Explainability
[NO] 1513/1912 | Divergent Pathways of Cognitive Decline in Rare Forms of Dementia: Comparison, Analysis and Diagnostics
[NO] 1514/1912 | Event-Based Vision for High-Dynamic Observation and Physical Parameter Extraction of Discharge Channel Evolution
[NO] 1515/1912 | Network Intrusion Detection Model Based on VMA-Attention and CNN
[NO] 1516/1912 | SecureLogX: A Java–Native, AI–Augmented Logging Framework for Privacy–Preserving, Parallel Log Processing in Enterprise Systems
[NO] 1517/1912 | Real-Time Autonomous Navigation With Resnet-18 and Pytorch Based on AI Computer Jetson Nano
[NO] 1518/1912 | LF Sketch: A Sketch-Based Algorithm for Long-Term Frequent Itemsets Mining
[NO] 1519/1912 | HST-Light: Hierarchical Spatio-Temporal Decoupling for Adaptive Traffic Signal Control
[NO] 1520/1912 | Comparative Study of Fuel Cell Battery Hybrid Powertrains for Heavy Duty Vehicle Applications
[NO] 1521/1912 | Hybrid Deep Learning for Melanoma Detection: Integrating U-Net Segmentation, InceptionV3 Feature Extraction, and Random Forest Classification
[NO] 1522/1912 | Evaluating the Impacts of Realistic Communications on a Microgrid Central Controller Through Real Time Simulation
[NO] 1523/1912 | Data-Driven Predictive Modeling of Stress and Sleep Issues in Young Adults from Device Usage
[NO] 1524/1912 | PSAS: Multi-Template Prompt-Weighted Robustness for Adversarial Perturbations
[NO] 1525/1912 | Analysis and Realization of Fractional-Order Tow-Thomas Biquad Using a Cole-Impedance Model
[NO] 1526/1912 | 3-Dimensional Gas Source Localization via Chemotaxis Using Uncrewed Aircraft Systems
[NO] 1527/1912 | Living-Off-The-Land Attacks: Exploiting Windows Defensive Blind Spots in Memory-Based Threats
[NO] 1528/1912 | Improved Hopping Control on Slopes for Small Robots Using Spring Mass Modeling
[NO] 1529/1912 | Detecting and Tracking of Individuals in Crowded Environments
[NO] 1530/1912 | Technical Architecture and Empirical Research on Personalized Teaching of Higher Vocational Music Based on Multimodal Learning Analysis
[NO] 1531/1912 | Bin-Based R: Resource-Efficient RF Modulation Classification Using Envelope Statistics
[NO] 1532/1912 | An Efficient Non-Convex Optimization Algorithm Fusing Dynamic Adjustment and Curvature Awareness
[NO] 1533/1912 | Application of Complex Variable Function Theory in Denoising Analysis of Complex Data
[NO] 1534/1912 | WTN: A Wavelet Transform Network for High-Resolution Meteorological Downscaling
[NO] 1535/1912 | CircuChain: Disentangling Competence and Compliance in LLM Circuit Analysis
[NO] 1536/1912 | Supply Chain Optimization in Aerospace Manufacturing: A Hybrid Linear Programming and Monte Carlo Simulation Approach for Kitting Operations Under Uncertainty
[NO] 1537/1912 | Hybrid RISC-V Coprocessor Architecture for Convolutional Neural-Network Inferencing
[NO] 1538/1912 | Metaheuristic-Enhanced PV Power Forecasting using Hybrid Machine Learning: A Case Study in Cuba
[NO] 1539/1912 | Research on Traffic Small Object Detection Based on an Improved YOLO11 Framework
[NO] 1540/1912 | Autonomous Ground Vehicle for Precision Weed Detection and Targeted Pesticide Spraying Using Deep Learning
[NO] 1541/1912 | The Influence of Graphic Elements on Inattentional Blindness in Augmented Reality Head-Up
[NO] 1542/1912 | GPT Model for Incident Response
[NO] 1543/1912 | Soft-Q: Softwarized Quantum Network for ERNET Topology Using a Multi-Layer Graph Decomposition
[NO] 1544/1912 | An Enhanced Artificial Bee Colony Algorithm for Optimizing Lexicon-Augmented BERT in Named Entity Recognition for Minority Ethnic Narratives
[NO] 1545/1912 | Semantic Resonance: Distributed Backdoor Attacks via Semantic Trigger Families in Federated NLP
[NO] 1546/1912 | GenAITD Score: A Quantitative Framework for Measuring Enterprise Technical Debt and Generative AI Readiness
[NO] 1547/1912 | Temperature Multi-Step Prediction Algorithm for Coke Dry Quenching Waste Heat Power Generation System Based on LSTM
[NO] 1548/1912 | Graph Spectra of Technical Documentation
[NO] 1549/1912 | The Variational Quantum Classifier from Qiskit Machine Learning Applied to the Classification of Pulsar Stars
[NO] 1550/1912 | Signal-to-Noise Ratio Fundamental Limits for Cascade Networked Control Systems
[NO] 1551/1912 | Counting Characters: A Comprehensive Benchmark for Evaluating Character-Level Understanding in Large Language Models
[NO] 1552/1912 | A Novel Metric Based on Linear Probes to Analyze Learning Progression in Deep Neural Networks
[NO] 1553/1912 | Intelligent Information Systems for Precision Livestock Farming in Dairy and Poultry
[NO] 1554/1912 | Innovative Practice of Multimodal Fusion Model in Contemporary Heritage of Intangible Cultural Heritage Art
[NO] 1555/1912 | Study on the Scenario Construction of Immersive Catering Spaces Integrating AIGC and Traditional Chinese Embroidery
[NO] 1556/1912 | YOLOv13-PCB-Lite: A Lightweight Model for PCB Defect Detection Based on Improved YOLOv13
[NO] 1557/1912 | Virtual Restoration of Ancient Architecture Complexes in Shanwei Based on Generative Adversarial Networks and Enhancement of Cultural Tourism Experience
[NO] 1558/1912 | Transient Inductance in a High-Speed Axially Laminated SynRM: Parameter Sensitivity and Its Impact on Converter Characteristics
[NO] 1559/1912 | Lightweight Nested Entropy-Source TRNG Targeting Gbps-Class Throughput
[NO] 1560/1912 | Open-Set Hyperspectral Image Classification via Meta-Learning and Prototype-Guided Decoding
[NO] 1561/1912 | DenPD: Prompting Large Language Models with Denotative Relationship Representation for Partial Discharge Pattern Recognition
[NO] 1562/1912 | Additional Reviewers
[NO] 1563/1912 | Evaluation of Weibull Parameters and Wind Energy Potential: A Case Study in Palca - Peru
[NO] 1564/1912 | Explainable Artificial Intelligence (Xai) for Voltage Prediction in a Molten Carbonate Fuel Cell
[NO] 1565/1912 | Design of an Automated System for the Control and Monitoring of Sedimentation Tests With Flocculants in Mining Applications
[NO] 1566/1912 | Virtualization of the Data Room Methodology for Academic Monitoring: A Pilot Study at the University of Atacama
[NO] 1567/1912 | V2I-GridCalib: A Real-time Online Calibration for Vehicle-to-Infrastructure Systems
[NO] 1568/1912 | Frequency-Guided Lightweight Network for Unsupervised Spectral Demosaicing_supp1-3684912.pdf
[NO] 1569/1912 | Robust Multi-User Tracking in Indoor IoT Spaces via Low-Resolution mmWave Radar
[NO] 1570/1912 | 4-
                    <i>μ</i>
                    m Gate Length (001) Diamond MOSFETs With 1 A/mm Current Density Enabled by a Non-Plasma-Contact Hydrogenation Process
[NO] 1571/1912 | Robust Identity-Based Signcryption Scheme for Vehicular Ad Hoc Networks
[NO] 1572/1912 | 2025 14th International Conference on Power Science and Engineering (ICPSE)
[NO] 1573/1912 | Communication-Efficient Public Verifiable Secret Sharing with Embedded Consensus for Asynchronous Network
[NO] 1574/1912 | Design Optimization and Magnetic Integration of Ćuk Inverters with Sinusoidal Output Voltages for Electric Aircraft
[NO] 1575/1912 | Quantum Computing Optimization, an Introduction
[NO] 1576/1912 | Cross-Dimensional Fault-Tolerant Control of Heterogeneous Fully Actuated Multiagent Systems Against Hybrid Faults
[NO] 1577/1912 | Enhancing Character-Level Understanding in LLMs through Curriculum Reinforcement Learning on Token-Internal Structure
[NO] 1578/1912 | Research on the Application of a Generative AI-Driven Kano-AHP Model in the Optimization of Interaction for Immersive Art Installations
[NO] 1579/1912 | AI-Driven Framework for Early Diabetes Prediction
[NO] 1580/1912 | A Systematic Review on the Use of Artificial Intelligence for Drug Addiction Classification and Prediction
[NO] 1581/1912 | Robust and Efficient Penetration-Free Elastodynamics without Barriers
[NO] 1582/1912 | Hybrid Transform-Based Image Compression: A Comprehensive Review of Modern Techniques and Future Trends
[NO] 1583/1912 | Analysis Systems of Information Security in Institutions
[NO] 1584/1912 | Hybrid Mobile Threat Analytics: Boosting Android Malware Classification via Integrated Static-Dynamic Sandboxing
[NO] 1585/1912 | Mitigating Cold Starts in Serverless Greenhouse Environmental Control Via Joint Snapshots
[NO] 1586/1912 | Design of an IoT-Based Energy Data Fusion and Intelligent Management System for Nearly Zero-Carbon Buildings
[NO] 1587/1912 | YOLOv8-Based Malaria Parasite Detection in Microscopic Blood-Smear Images
[NO] 1588/1912 | A Review: Current TVWS Scenario in India
[NO] 1589/1912 | Continuous-Time FIR Filters Using Asynchronous FPGAs
[NO] 1590/1912 | Quantum-Enhanced Transactional Cloud Operations Using Agentic Ai
[NO] 1591/1912 | Research on FSO Channel Modeling and Feature Prediction Based on Conditional Generative Adversarial Network
[NO] 1592/1912 | Unsupervised Skin Lesion Segmentation Using Recursive Quantum-Inspired Annealing and Similarity Refinement
[NO] 1593/1912 | Comparative Performance Evaluation of Sliding Mode Control and Finite Control Set Model Predictive Control for a Six-Phase IM
[NO] 1594/1912 | Quantifying the Carbon Footprint in Machine Learning: A Measurement Model for Cloud and Edge Computing
[NO] 1595/1912 | Evaluation of Loss Modeling and Efficiency Estimation of SiC-Based Half-Bridge Rapid Prototyping Platform
[NO] 1596/1912 | Mitigating Nonlinear Errors of EKF Via Data-Driven Models: High-Precision UAV Motion Estimation
[NO] 1597/1912 | A Security and Privacy Assessment of Mobile Ride-Sharing Applications
[NO] 1598/1912 | VoiceBook: Self-Improving Voice Agents for Appointment Booking Through Adversarial Dialogue Self-Play
[NO] 1599/1912 | Ultra-High-Frequency Transmission Analysis and Comparative Evaluation of Various TSV Geometries
[NO] 1600/1912 | Energy-Balanced Multi-Hop Internet of Things Based on Dynamic Topology
[NO] 1601/1912 | Exploration of Material Classification Method Based on Dynamic Regularization and Feature Fusion
[NO] 1602/1912 | Perspectives on Advancing Cybersecurity Pedagogy in Higher Education
[NO] 1603/1912 | Machine Learning-Driven Fluid Dynamics Modeling Using Graph-Based Simulations
[NO] 1604/1912 | GP-DetNet: Geometric Prior-Guided Lightweight One-Stage Object Detection for Real-Time Autonomous Driving
[NO] 1605/1912 | Incremental Learning-Based Human Activity Recognition Using Low-Resolution Infrared Array Sensors
[NO] 1606/1912 | Tensor-Based Wireless Simultaneous Localization and Mapping in Terahertz Massive MIMO Communication Systems With Dual-Wideband Effects
[NO] 1607/1912 | Marine Radar-to-Camera Projection for Maritime Sensor Fusion
[NO] 1608/1912 | Convex Hull Pricing via Ramp-Constrained Network-Flow Unit Commitment Models
[NO] 1609/1912 | Low-Cost Autonomous Station for Particulate Matter Monitoring with Solar Energy
