[2026-08-27 00:19:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-26
正在获取论文...
[IEEE] 2026-8-26 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[NO] 554/1000 | REACT: Toward Real-Time, End-to-End, Adaptive Cross-Layer Restoration for IP-Over-Optical Networks
[NO] 555/1000 | Multi-View Flow Representation and Relation Graph Modeling for Network Traffic Classification
[NO] 556/1000 | Multiscale Hypergraph Dynamic Autoencoders for Whole-Brain Activity Prediction
[NO] 557/1000 | An Intrusion Detection Algorithm Fusing Improved Feature Selection and Dynamic Feature Fusion
[NO] 558/1000 | Metamorphic Testing of Multi-Agent LLM Systems: A Trace-Based Behavioral Oracle Framework
[NO] 559/1000 | DisRnet: Semi Supervised Instance Segmentation Network based on Discrete Data Statistics
[NO] 560/1000 | FPGA-Efficient Weight-Aware DPD Precision Allocation for Digital Transmit Phased Arrays
[NO] 561/1000 | Design and Implementation of an AI-Driven Smart Campus Management System with Multi-Agent Collaboration and RAG-based Knowledge Retrieval
[NO] 562/1000 | Heterogeneous-Prior Bayesian Inference for Fault Localization in Software Product Lines
[NO] 563/1000 | K2-Think: A Comparative Performance Review Against GPT-5 and Perplexity
[NO] 564/1000 | Low-PAPR OFDM Waveform Design without Spectral Efficiency Loss for Underwater Acoustic Integrated Sensing and Communication
[NO] 565/1000 | Process-Deviation-Aware Multifidelity Surrogate Modeling for Rapid Beam-Optics Prediction of TWT Electron Guns
[NO] 566/1000 | An Elite Circuit Model-Enhanced Frequency Control for Self-Resonant PCB-Based Hybrid Wireless Power Transfer Systems
[NO] 567/1000 | PATHS: Pathfinding Through Transformer-Based Heuristic Search in Partially Dynamic Grid Mazes
[NO] 568/1000 | The Acceptance of Generative AI Tools Among Creative Arts Students
[NO] 569/1000 | A Born-Accessible Approach to Technology Design
[NO] 570/1000 | Defeating the Disembodiment of Design in the AI Age
[NO] 571/1000 | Message From the General Chairs AITest 2026
[NO] 572/1000 | Governance-Aware, Privacy-Preserving Retrieval-Augmented Large Language Models for Clinical Triage Decision Support
[NO] 573/1000 | Lang2Graph: Towards Leveraging Human Language for Indoor Topology Inference Using LLMs
[NO] 574/1000 | 2026 IEEE International Conference on Edge Computing and Communications (EDGE)
[NO] 575/1000 | Efficient Exploration With Diversity Guarantee Towards Evolutionary Critic Designs
[NO] 576/1000 | Coping with Silent Errors for Workflows of Moldable Tasks
[NO] 577/1000 | Building Smallsats from Consumer Electronics for Federated Earth Observation
[NO] 578/1000 | Shape2Animal: Creative Animal Generation from Natural Silhouettes
[NO] 579/1000 | IEEE Transactions on Big Data
[NO] 580/1000 | Dual-Channel Uncertainty Estimation-Based Residual-Augmented Preview MPC for Active Suspension Systems
[NO] 581/1000 | Text-IRSTD: Leveraging Fuzzy Text to Promote Infrared Small Target Detection in Complex Scenes
[NO] 582/1000 | Governing Children’s and Adolescents’ Exposure on Social Media: A Taxonomy of Risks and Harms
[NO] 583/1000 | Joint Spatial Spectrum Sensing and On-demand Communication Resource Allocation for Cognitive Beam Hopping NGSO Satellite Systems
[NO] 584/1000 | Explainable and Adaptive Intrusion Detection in Digital Twin Environments
[NO] 585/1000 | Bidirectional Six-Mode In-Band Full-Duplex Transmit-Reflect-Array Antenna With Independent Beams for High-Throughput IoT Communication
[NO] 586/1000 | IEEE Guide for Wireless Access in Vehicular Environments (WAVE)--Multi-Jurisdictional Interoperability Using Security Credentials Originating in Disparate Policy Domains
[NO] 587/1000 | Asymmetric-Aware Hybrid Granularity Load Balancing in RDMA-enabled Data Center Networks
[NO] 588/1000 | Cross-Edge-Validated Tool Condition Monitoring via Joint Natural-Frequency and Damping-Ratio Tracking of Cutting Vibration
[NO] 589/1000 | 5G Communication Channel Estimation and Interference Suppression Technology under Multi-scattering Environment
[NO] 590/1000 | Tomographic Grid Optimization for Spaceborne Multi-Angle D-InSAR Tropospheric Measurements
[NO] 591/1000 | Learning Graph Topology with Functional Priors via Bilevel Optimization
[NO] 592/1000 | SketchPlan: Full-Visibility Sketch-Based Telemetry with Limited Programmable Switch Coverage
[NO] 593/1000 | Socioeconomic Gradients in Chronic Disease for Digital Health Risk Stratification and Targeted Interventions
[NO] 594/1000 | Mapping App-Store Reviews to Nielsen Heuristics with Human-AI Agreement Analysis: Scalable Usability Assessment for Reliable Connected Mental Health Software Systems
[NO] 595/1000 | Design of a Digital FIR Filter Based on CPO-LSTM
[NO] 596/1000 | JudgEHR: LLM-Guided Cohort Inference for Clinical Decision Confidence Estimation
[NO] 597/1000 | Three-Dimensional Vector-Space Model Predictive Control Based on a Quadratic Cost Function for T-Type Three-Phase Three-Level Inverters
[NO] 598/1000 | Improved YOLOv11 Small Object Detection Method Based on Dual-backbone Network and Adaptive Feature Fusion
[NO] 599/1000 | An Efficient Multi-Level Visual Perception Framework for UAV-Based Tiny Object Detection and Tracking
[NO] 600/1000 | A Flexible-Topology Rack-Scale Interconnect Architecture for Heterogeneous LLM Workloads
[NO] 601/1000 | AITest 2026 Program Committee
[NO] 602/1000 | ClusterFi: Enabling Concurrent WiFi Backscatter Communication via Collided Signal Clustering
[NO] 603/1000 | IEEE 2026 World Congress on Services
[NO] 604/1000 | Energy-Optimized Lightweight DRL for Computational Offloading in UAV-IoV Systems
[NO] 605/1000 | A Data Fusion-Based IoT System for Sensing Fire Event in an Indoor Environment
[NO] 606/1000 | SpecOffload: Unlocking Latent GPU Capacity for LLM Inference on Resource-Constrained Devices
[NO] 607/1000 | Ontology Driven Agentic System for Automating Security Compliance in Medical Cyber-Physical WBANs
[NO] 608/1000 | FAWN: Multi-Encoder Fusion-Attention Wave Network for Integrated Sensing and Communication Indoor Scene Inference
[NO] 609/1000 | A Dual-Branch Vision-Sonar Fusion Detector for Underwater Robotic Object Detection
[NO] 610/1000 | A Disease and Pest Identification Method Based on Multi-feature Fusion
[NO] 611/1000 | KaaS-Edge: Resource-Aware Knowledge Distillation Service for Heterogeneous Wireless Edge Networks
[NO] 612/1000 | Copyright Page
[NO] 613/1000 | Physics-Informed CNN-BiLSTM Attention Network for Fault Diagnosis of Spacecraft Electrical Power Systems
[NO] 614/1000 | Friendly Jamming-Assisted Colluding Covert Communication Against MRT-Aware Statistical SNR-Based Weighted Cooperative Detection Method in IoT
[NO] 615/1000 | OrchNAS: Orchestrated Neural Architecture Search Service for Personalised Federated Edge Intelligence
[NO] 616/1000 | Title Page iii
[NO] 617/1000 | From Lived Experience to Digital Biomarkers: Methods for Scaling Narrative Data with Large Language Models in Mental Health
[NO] 618/1000 | Benchmarking Plant Disease Detection Models on Degraded Image Quality Running on the Edge Devices
[NO] 619/1000 | Maintenance, Evolution, and Preservation of Generative Artworks
[NO] 620/1000 | Efficient Domain Generalization in Wireless Networks with Scarce Multi-Modal Data
[NO] 621/1000 | Semi-Supervised and Self-Supervised Approaches to Handle Label Scarcity in the PlantVillage Corn Dataset
[NO] 622/1000 | CEINR: Critical Element-aware In-Network Recovery for Distributed Machine Learning
[NO] 623/1000 | Formal Modeling and GDPR-Aware Design for Internet of Medical Things Systems
[NO] 624/1000 | Frequency-Aware Wavelet-Guided Diffusion for Efficient Low-Dose PET Reconstruction
[NO] 625/1000 | The Imitation Game: Using Large Language Models to Disrupt Chinese Chat-Based Cybercrime
[NO] 626/1000 | Author Index
[NO] 627/1000 | Personalized Growth Modeling Using Local Polynomials
[NO] 628/1000 | Impact of Mg Doping on p-GaN Gate HEMTs Fabricated by CMOS-Compatible Process
[NO] 629/1000 | Curvature-Guided Dynamic Search for Imperceptible Adversarial Attacks on Point Clouds
[NO] 630/1000 | Synergistic Wavelet Decomposition and Stochastic Resonance Methods for Enhanced Thruster Fault Detection in Autonomous Underwater Vehicles
[NO] 631/1000 | TreeSemantic: An Online Module for Individual Tree Segmentation and Attributes Estimation
[NO] 632/1000 | Front Cover
[NO] 633/1000 | DramaFlow: A Visual DAG-Orchestrated Framework for AI-Driven Multimodal Content Generation
[NO] 634/1000 | Enhancing MoQ Resiliency With Implicit Failover Methods
[NO] 635/1000 | Enhancing Clinical Trust in Diabetic Retinopathy Screening: A Multi-Strategy Rule Extraction Framework from CNN
[NO] 636/1000 | Optimizing Cancer Classification in High-Dimensional Data by Integrating Generative AI with Feature Selection
[NO] 637/1000 | Systematic Cross-System Optimization of Parallel Hypergraph K-Core Decomposition: An Empirical Study
[NO] 638/1000 | Locally Optimal Detection for Spectrum Sensing under MA-Based Bernoulli-Gaussian Noise
[NO] 639/1000 | Direction-Level Degeneracy-Aware Continuous Soft-Compensation for LiDAR-Inertial Odometry
[NO] 640/1000 | Design of an Embedded IoT Multi-Parameter Detection System Based on Edge Intelligence
[NO] 641/1000 | IoT-Enabled ToD-Aware Pump Scheduling for Cost Reduction in IWS Systems
[NO] 642/1000 | A Lightweight Low-Complexity CSI Feedback Network for 6G Massive MIMO Systems
[NO] 643/1000 | Correction to “Clinical Validations on Effective Skin Clutter Rejection for Microwave Breast Cancer Diagnosis”
[NO] 644/1000 | Event-Triggered Control for Switched Systems Under DoS Attacks: A Mixed
                    <i>H</i>
                    <sub>∞</sub>
                    and Passive Strategy
[NO] 645/1000 | Accurate LoRaWAN Localization in Harbors: A Comparative Study of VMD-BiLSTM and VMD-GAT-BiLSTM for Spatiotemporal RSSI Forecasting
[NO] 646/1000 | Federated Learning-Based Privacy Protection and Secure Communication Method for Satellite Mobile Communication Terminals
[NO] 647/1000 | Purification and Routing for Makespan Minimization in Quantum Networks
[NO] 648/1000 | Improving Federated Learning under Non-IID Data through Clustered Ensembles and Adaptive Client Selection
[NO] 649/1000 | Calendar
[NO] 650/1000 | GaLB: Gap-Aware Load Balancing for High-Performance AI Training in RDMA Networks
[NO] 651/1000 | Planar CELC Microstrip Sensor for Non-Invasive Dielectric Characterisation of Solids and Liquids
[NO] 652/1000 | It Takes Two: Embracing Sparsity and Speculative Decoding for Efficient LLM Inference
[NO] 653/1000 | A Power-Noise Fusion Method for LPDDR5 Statistical Eye Diagrams Based on SI/PI Cosimulation
[NO] 654/1000 | DSFFormer: A Road-Dependent Driving-Style-Aware Framework for Personalized Vehicle Speed Prediction in Car-Following Scenarios_supp1-3726982.docx
[NO] 655/1000 | Asynchronous Multi-Agent Reinforcement Learning Aided Packet-Routing for Space-Air-Ground Integrated Networks
[NO] 656/1000 | A Hierarchical Decision-Space Modeling and Local–Global Surrogate Coevolutionary Algorithm for Expensive Multiobjective Optimization
[NO] 657/1000 | Context as a Signal: Context-Aware Transformers for Fine-Grained Depression Emotions
[NO] 658/1000 | HawkEye: Hierarchical Intent Inference for Critical Targets on Edge-Cloud Co-Assisted UAVs
[NO] 659/1000 | Development of an Online Visibility Prediction System for Highways Based on RK3588
[NO] 660/1000 | LTS-ProtoNet: Local-Temporal-Semantic Prototype Network for Remote Sensing Change Detection
[NO] 661/1000 | Design and Preliminary Validation of CTQ-FPS: A Critical Thinking Measurement Instrument for FPSBased Educational Game Environments
[NO] 662/1000 | Evolutionary Influence Maximization for Weighted Directed Networks by Means of Deep Reinforcement Learning
[NO] 663/1000 | Bridging Optical Appearance and SAR Scattering With Vision-Language Prototypes for Zero-Shot Target Recognition
[NO] 664/1000 | Tremerity-Fi: Non-Contact Daily-Life Tremor Severity Assessment by Commercial mmWave Radar
[NO] 665/1000 | Exploring Energy Saving Opportunities for Data Center Cooling Systems
[NO] 666/1000 | SBA-Route: Domain-Based Routing for Scalable and Low-Latency 5G Distributed Control Planes
[NO] 667/1000 | To Encroach or not? When Smart Device Manufacturer Facing a Centralized or Decentralized E-Commerce-IoT Platform_supp1-3727052.pdf
[NO] 668/1000 | A Feature-Resource-Cooperative Scheduling Framework for Dynamic Task Offloading in SAGIN
[NO] 669/1000 | Joint Duty-Cycle and Load Optimization of a Broadband RF Rectifier under Pulsed Excitation
[NO] 670/1000 | HiPACS: A Mixed-Signal In-Memory Complete SAT Solver with Hierarchical Architecture and Parallel Boolean Constraint Propagation
[NO] 671/1000 | IEEE Computer Graphics and Applications
[NO] 672/1000 | Addressing the Combinatorial Explosion of Code-Based Visual Artifacts
[NO] 673/1000 | English for Aeronautical Communication: Anna P. Borowska: [Book Review]
[NO] 674/1000 | Design of Vacuum Interrupters for DC Circuit Breaker Topologies: A Comprehensive Review
[NO] 675/1000 | Flexible and Intelligent Latency Management Scheme for PTMP Fronthaul Networks via Joint Resource Optimization
[NO] 676/1000 | IEEE Professional Communication Society Publication Information
[NO] 677/1000 | A Hybrid Deep Learning Approach for Ransomware Detection Using 1D-CNN and DistilBERT
[NO] 678/1000 | Perovskite Solar Cell-Based Integrated Photovoltaic Antennas
[NO] 679/1000 | Dynamic Malicious Encrypted Traffic Detection via Temporal Knowledge Graph in Cloud-Edge Networks
[NO] 680/1000 | Designing Reliable LLM Systems for AI-Assisted Engineering Education
[NO] 681/1000 | Building a generic cyber-physical model of a river: Case study of sampling point selection on Ergene River to identify pollution source zones
[NO] 682/1000 | Analysis and an Easily Implemented Power Enhancement Design of Trackside Magnetic Field Energy Harvester in Railway
[NO] 683/1000 | Securing Multi-Agent GIS Systems: Risk Evaluation and Prompt Hardening Optimization
[NO] 684/1000 | Lightweight deepfake detection technology in edge intelligent environment
[NO] 685/1000 | IEEE Career Center
[NO] 686/1000 | Hacking Art: Software Analysis as Artistic Practice
[NO] 687/1000 | A Deep-Learning Based Consumer Grade Smart Baseball Training System for Batting Performance Digitalization
[NO] 688/1000 | AGFI-Net: Adaptive Graph Feature Interaction Network for Event-Based Motion Recognition and Detection
[NO] 689/1000 | CBDDoSCLIP: A Lightweight Multimodal Framework for Carpet-Bombing DDoS Attack Detection
[NO] 690/1000 | ISP-Path Alignment Can Outweigh Protocol: An HTTP/3 Case Study in Suzhou, China
[NO] 691/1000 | A Hybrid Passive–Active Pipeline for On-Device Smart-TV Brand and Protocol Identification on iOS
[NO] 692/1000 | Gomonika: A Privacy-Preserving Cultural-Linguistic Authentication Framework for Autonomous Delivery in Low-Resource Environments
[NO] 693/1000 | An Improved Approach for Long-Tail Object Detection in UAV Images with DQ-DETR
[NO] 694/1000 | 2026 8th International Conference on Electronics and Communication, Network and Computer Technology (ECNCT)
[NO] 695/1000 | Joint Task Offloading Method Based on MEC in Internet of Vehicles
[NO] 696/1000 | Design and Laboratory Verification of Harmonic Filter for Civil Aircraft High-Frequency Transceiver
[NO] 697/1000 | A Multiplexing Topology for EV WPT Systems with Integrated PV and Storage
[NO] 698/1000 | Message from the EDGE 2026 Chairs
[NO] 699/1000 | Geometry-Informed Auxiliary Priors for Consistent 3D Content Generation_supp1-3726924.pdf
[NO] 700/1000 | Model Validation of DSCM Transceivers from B2B Characterization for Disaggregated Optical Networks
[NO] 701/1000 | Driving Institutional Digital Transformation Through Ethical AI-Enabled University Technology Transfer: Insights from ICCubeX
[NO] 702/1000 | Quantitative Assessment Model of Researchers' Innovation Capability Based on Multi-source Data Fusion and Text Semantic Mining
[NO] 703/1000 | Comprehensive Experimental Evaluation of SDR-Based C-RAN 5G-SA Networks: Coverage, Throughput, and Hardware Impact
[NO] 704/1000 | Research on EEG-Based Drowsy Driving Recognition Integrating Multi-Scale Temporal Features and Brain Functional Connectivity
[NO] 705/1000 | A Multi-Model Analysis of Non-Invasive Oxygen Saturation from Smartphone-Captured Fingertip Video
[NO] 706/1000 | Copyright and Reprint Permission
[NO] 707/1000 | Table of Contents
[NO] 708/1000 | Fully Distributed Prescribed-Time Leader–Follower Consensus for Networked Uncertain Second-Order Multi-Agent Systems: A Dual Dynamic Event-Triggered Hierarchical Approach
[NO] 709/1000 | The Epistemic AI
[NO] 710/1000 | Pre-Layout Design Synthesis for Decap Placement in Multi-Power Domains Using Multi-Agent Reinforcement Learning
[NO] 711/1000 | Noah: Tile-Level Interval Analysis for NPU Performance Modeling
[NO] 712/1000 | Proceedings
[NO] 713/1000 | Unlock the Benefits - IEEE Computer Society
[NO] 714/1000 | DistSRE: Synthesizing Runtime Executions with Automated Co-Optimization for Distributed LLM Training
[NO] 715/1000 | Modeling, Analysis and Control of Two-Motor Series Type Multifunctional Converter System
[NO] 716/1000 | A Systematic Review of ENT Disease Diagnostic Methods Using Edge AI Devices
[NO] 717/1000 | IEEE Computer Society Information
[NO] 718/1000 | Persymmetric Rao, Wald, Gradient, and Durbin Detectors for FDA-MIMO Radar with Training Data in Gaussian Nois
[NO] 719/1000 | An Enhanced Super-Twisting Sliding Mode Control Strategy for Islanded Grid-Forming DFIGs With a Single Voltage Loop
[NO] 720/1000 | Robust Cuffless Blood Pressure Estimation via PPG-Conditioned Diffusion and Contrastive Transformer Fusion
[NO] 721/1000 | An ETO-Optimized Clustering Bayesian Weighting Method for Wi-Fi Fingerprint Indoor Positioning
[NO] 722/1000 | An Analysis of Artificial Intelligence Adoption in NIH-Funded Research
[NO] 723/1000 | Trust Toward Artificial Intelligence Integration for Internship Placement Systems in Higher Education
[NO] 724/1000 | Advancing Sustainable Electric Vehicle Charging Through Photovoltaic-Battery Integration: Design and Performance Evaluation
[NO] 725/1000 | Fourier-Probe Analysis of Residue-Class Derivative Sampling
[NO] 726/1000 | Energy-Efficient Hybrid-Modulated IoT Transceiver with Symbol-Aware Power Amplifier Control
[NO] 727/1000 | Biphasic Sketch: Multi-Attribute Stream Summarization for Arbitrary Attribute Combinations
[NO] 728/1000 | An Ai-Driven Technique for Timely Detection of Risks and Memory Lapses for Elderly Individuals
[NO] 729/1000 | Research on an Improved A* Path Planning Algorithm for Amphibious Environments
[NO] 730/1000 | Compact Wideband Filters With Flexible Notched Bands Using Integrated Slots and Blind Vias SSPPs
[NO] 731/1000 | SOKT-Based Range Walk Compensation for Hypersonic Radar Platforms
[NO] 732/1000 | A Unified Hybrid ECDHE–ML-KEM-768 Key Exchange Scheme for Quantum-Resilient Mobile Communication_supp1-3727264.pdf
[NO] 733/1000 | Localization and Tracking for Cooperative Users in Multi-RIS-Assisted Systems: Theoretical Analysis and Principles of Interpretations
[NO] 734/1000 | Multi-Resonator Coupled-Line Microstrip Bandpass Filter With Enhanced Out-of-Band Rejection for NV-Center ODMR
[NO] 735/1000 | Few-Packet Traffic Classification under Dynamic Network Conditions
[NO] 736/1000 | Sum Rate Maximization in Optical STAR-RIS and NOMA-Assisted VLC Systems with Hybrid Multicast-Unicast Transmission
[NO] 737/1000 | Efficient and High-Precision Online Backdoor Detection for Unknown Attack Domains
[NO] 738/1000 | A Resource-Aware Asynchronous PBT Framework with Dynamic LoRA for Heterogeneous Edge Clusters
[NO] 739/1000 | MAFlow: A Memory-access Optimized CNN Inference Dataflow for Large-sized Feature
[NO] 740/1000 | Optimization of LIFEPO4 Battery Pack for Electric Vehicles Application Using Active Balancer
[NO] 741/1000 | Adverse Drug Event Prediction in Pharmacovigilance Using KG-Augmented LLM
[NO] 742/1000 | Deep Reinforcement Learning for Joint Communication and Control Design in Wireless Networked Control Systems
[NO] 743/1000 | Research on Active Transmission Characteristics of High-Speed Serial Channels
[NO] 744/1000 | A Rotation-Aware Multi-Scale Fusion Network for Oriented Object Detection in Remote Sensing Images
[NO] 745/1000 | AgentDropout: Dynamic Redundancy Elimination for Multi-Agent Collaboration Efficiency
[NO] 746/1000 | Influence Operations in Social Networks
[NO] 747/1000 | SE-STGAE: A Shapelet-Enhanced Spatiotemporal Graph Autoencoder for Early Anomaly Detection
[NO] 748/1000 | Table of Contents
[NO] 749/1000 | SAR-IEID-Net: Integrated SAR Enhanced Imaging and Vehicle Detection of Automotive Millimeter-Wave Radar
[NO] 750/1000 | Profiling Neural Network Partitioning Strategies for Inference across the Computing Continuum
[NO] 751/1000 | When New Attacks Emerge: Adaptive Intrusion Detection Systems for IoMT
[NO] 752/1000 | Enhanced Series Capacitor Protection Model for Phasor-Domain Transient Simulations
[NO] 753/1000 | Incomplete Multi-view Sequential Representation Learning with Cascaded Cross-view Evolution Attention
[NO] 754/1000 | Step-by-Step: Per-Timestep Adaptive Bitwidth Search for Diffusion Model Quantization
[NO] 755/1000 | IWQoS 2026 Cover Page
[NO] 756/1000 | UbiWhite-Plus: Non-Invasive White Blood Cell Subtypes Monitoring Using Microscopic Images
[NO] 757/1000 | Dual-Sketch: A Route-Oblivious Framework for Distributed Sparse Superspreader Detection
[NO] 758/1000 | Utility-Based Task Placement for Sustainable Anomaly Detection in IoT Edge-Cloud Architectures
[NO] 759/1000 | StarRound: An Efficient Multiple Geographic Region-Avoidance Mechanism for High Dynamic LEO Satellite Networks
[NO] 760/1000 | TD-RCA: Topology-Aware and Dual-Perspective Decoupling for Root Cause Analysis in Microservices
[NO] 761/1000 | A Study on Test Coverage Mapping and Release Risk Prediction in Continuous Delivery of Cloud Services
[NO] 762/1000 | A Model-Driven Deep Neural Network for Simultaneous Low-Light Image Enhancement and Deblurring
[NO] 763/1000 | Oblivious Routing for Networks with Dual Uncertainties in Demand and Capacity
[NO] 764/1000 | Distributed State Estimation and Fault-Resilient Strategy for Safe Autonomous Driving under Multisensor Faults
[NO] 765/1000 | Doppler-Aware Temporal Transformer for Link Degradation Diagnosis in LEO Satellite Communications
[NO] 766/1000 | A Structure-Collaborative Distributed Dictionary Learning Framework for Plant-Wide Monitoring
[NO] 767/1000 | Formal Trajectory Analysis for Testing Agentic AI in Stateful Environments
[NO] 768/1000 | HeraClass: Towards Open-World Network Flow Classification via Traffic-Language Mapping
[NO] 769/1000 | Asymmetric Cross-Modal Hashing with Missing-Modality Feature Compensation for Remote Sensing Image Retrieval
[NO] 770/1000 | Copyright Page
[NO] 771/1000 | Table of Contents
[NO] 772/1000 | Performative Empathy vs. Authentic Support: Benchmarking LLM Counselling Alignment for Digital Mental Health
[NO] 773/1000 | Imbalanced Data Modeling and Model Fusion Method for Facial Age Estimation
[NO] 774/1000 | Step-Sensitive Multi-Source Carbon Price Forecasting with Structured Cross-Market Attention
[NO] 775/1000 | Prediction-based Server Selection for Latency-Sensitive Inference on CPU-Based Edge Servers under Containerized Contention
[NO] 776/1000 | A Review of Embedded Vein Visualization and Hyperglycemia Prediction Systems
[NO] 777/1000 | Robust Distributed Estimation via Equalization-Consistent Soft-Weighting for Mitigating Wireless Link Impairments
[NO] 778/1000 | Desi: Revisiting Signature Verification in Blockchain-based Storage System
[NO] 779/1000 | Table of Contents
[NO] 780/1000 | Perceptions of Generative AI-Assisted Assignment Completion Among College Students: A Sentiment Analysis and LDA Topic Modeling Study Based on Zhihu Platform
[NO] 781/1000 | A 5G-Enabled Edge Computing Framework for NLP-Based Urban Event Detection in Smart Cities
[NO] 782/1000 | Deep Learning-Driven Joint Antenna Selection for MIMO Systems: Optimizing Capacity and Gain via Improved ResNet
[NO] 783/1000 | Fusion of Neural Network Risk Perception and Improved A* for Urban Low-Altitude UAV Path Planning
[NO] 784/1000 | Beagle: Auto-tuning Performance Diagnosis for Live Video Streaming
[NO] 785/1000 | Optimizing Privacy-Preserving Multi-Center Bi-Objective Task Assignment in Spatial Crowdsourcing_supp1-3727237.pdf
[NO] 786/1000 | SAM-STIR: Detection-Guided Memory Update for SAM 3-Based Infrared Small and Tiny Object Tracking_supp1-3727125.pdf
[NO] 787/1000 | E2E-LOAD++: End-to-end Long-form Online Action Detection and Beyond
[NO] 788/1000 | RF Stress-Induced Degradation Characteristics and Mechanism Analysis of AlGaN/GaN HEMTs at Different Compression Points
[NO] 789/1000 | Comparison of CP and ZP Guard Interval Schemes for OFDM over Rayleigh Fading Channels with Various Receiving Strategies
[NO] 790/1000 | Enhancing Safety Limits in Emergency Collision Avoidance for Distributed-Drive Electric Vehicles: Drifting Strategy and Comparative Analysis
[NO] 791/1000 | Lightweight Machine Learning Framework for QoS-Aware OneM2M Deployments at the Edge
[NO] 792/1000 | Improving Robustness of Semantic Segmentation for Autonomous Driving: A Case Study
[NO] 793/1000 | Half Title Page
[NO] 794/1000 | IEEE Transactions on Sustainable Computing
[NO] 795/1000 | GBNN: In-Network Gradient Boosting Neural Network
[NO] 796/1000 | Multi-Agent Reinforcement Learning for Handover Management and Power Allocation in LEO Satellite Networks
[NO] 797/1000 | A RAG approach for assisting testers in database query testing
[NO] 798/1000 | LGG-ResUNet:A Local-Global and Geometry-aware Network for Remote Sensing Building Segmentation
[NO] 799/1000 | 2026 IEEE/ACM International Symposium on Quality of Service (IWQoS)
[NO] 800/1000 | PID-Compatible Compensation for Containerized Wireless Industrial Control Under Timing Uncertainty
[NO] 801/1000 | MACH: A Matrix-Accelerated Classifier for High-throughput Packet Processing on GPUs
[NO] 802/1000 | Toward Human-Centered Interaction: Knowledge-Guided Contrastive Learning for Social Behavior Understanding
[NO] 803/1000 | Impact of Market Reforms on Deterministic Frequency Deviations in the European Power Grid
[NO] 804/1000 | Value Capture Dynamics in Open Source
[NO] 805/1000 | TopoCog: EEG Sensor-Based Cognitive State Recognition in Interactive Environments using Topological Data Analysis_supp1-3727329.pdf
[NO] 806/1000 | Semantic and Task-Oriented V2X Communication for Connected and Automated Vehicles: A Comprehensive Review
[NO] 807/1000 | Low-Complexity Channel Estimation for LEO-OTFS Systems Based on CE-BEM and GSBL
[NO] 808/1000 | MUSIC-CAR: A Multi-Label Complex Health-Related Activity Recognition Dataset from Smartphone Sensors
[NO] 809/1000 | Sinc-DFformer: An Intrinsically Interpretable Transformer Framework for Motor Imagery EEG Decoding
[NO] 810/1000 | 2026 IEEE International Conference on Artificial Intelligence Testing (AITest)
[NO] 811/1000 | Physics-Guided Cycle-Consistency Training for Stator Winding Fault Diagnosis in Synchronous Generators without Experimental Fault Data
[NO] 812/1000 | FGSM Adversarial Example Generation Method Based on Target Region Constraint and Cross-Model Gradient Fusion
[NO] 813/1000 | An Adaptive TimeGAN-Augmented Attention for Multi-IMU Human Activity Recognition
[NO] 814/1000 | FedPDR: Server-Side Post-Plateau Refinement for Federated Learning with Latent Diffusion
[NO] 815/1000 | Semi-Supervised Class-Incremental Learning for SAR Aircraft Recognition based on Mixture of Experts
[NO] 816/1000 | Building Trusted Data Spaces: The IEEE Computer Society Trusted Data Spaces Standards Committee from Architecture to Assurance and Interoperable Governance
[NO] 817/1000 | A
                    <sup>2</sup>
                    IMDet: Asymmetric and Adaptive Information-Preserving Multispectral Detection Framework
[NO] 818/1000 | Towards Quantum Prediction of Glucose
[NO] 819/1000 | A Hybrid PSO-GA Approach for Optimal EVCS Placement: A Comparative Study for Power Loss Reduction and Voltage Profile Improvement: Case Study of PT PLN UP3 Medan Kota
[NO] 820/1000 | Zadoff-Chu Sequences for Chirp-Domain Communication: Diversity-Complexity Tradeoffs in Doubly Dispersive Channels
[NO] 821/1000 | SGR-DSGS: A Stack Graph Representation and Dynamic Safe Grasp Scoring Framework for Intelligent Robotic Depalletizing of Tobacco Cartons Using Dual 3D Vision
[NO] 822/1000 | Temperature Dependence of Gain and Time Resolution in LGAD Detectors
[NO] 823/1000 | QR-LBTS: Quantum-Resilient Lattice-Based Threshold Signatures for Efficient Post-Quantum VANETs
[NO] 824/1000 | Charge Collection Efficiency in a Novel Graphene-Optimized Silicon Carbide Detector Under 160 keV X-Ray Irradiation
[NO] 825/1000 | Cloud-Edge Heterogeneous Resource Scheduling and Optimization for AI Inference Tasks
[NO] 826/1000 | EDGE 2026 Program Committee
[NO] 827/1000 | Scheduling Mixed-Criticality Jobs with Different Slack Times along with Tightly Coupled Parallel Jobs
[NO] 828/1000 | Bridging Theory and Practice in IoT Education Using a Modular ESP32-LoRa Training Kit
[NO] 829/1000 | Delay Violation Probability Guarantees in IIoT: A Digital Twin-Enabled Statistical Inference Approach
[NO] 830/1000 | Energy-Efficient RF Oscillation for Nanogenerator-Driven Real-Time Self-Powered Wireless Sensing_supp2-3727254.avi
[NO] 831/1000 | Research on Node Ordered Structure Identification of Temporal Multilayer Networks Based on Inter-layer Multi-order Structural Similarity
[NO] 832/1000 | ChatGosen: A Network Configuration Synthesis Approach with Semantic-Computation Decoupling
