[2026-06-06 10:54:26] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-05
正在获取论文...
[ACM] 2026-6-5 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[NO] 478/921 | A Comparative Study of Machine Learning and Ensemble Methods for YouTube Video Popularity Prediction
[NO] 479/921 | AI-Augmented Manufacturing Execution Systems for Precision Healthcare: A Scalable Framework for Smart Genomic and Proteomic Production
[NO] 480/921 | Temperature Prediction Using Meteorological Parameters with Machine Learning
[NO] 481/921 | Spike Sorting and Event Detection Using Selected Machine and Deep Learning Models
[NO] 482/921 | A BART-Enhanced Hybrid Framework for Multi-Document Summarization
[NO] 483/921 | A SUMO–TraCI Based Rear-End Accident Detection Framework: Modeling, Statistical Evaluation, Visualization, and Reproducible Implementation
[NO] 484/921 | Voice-Based Biometric System: One-Shot Learning for Unseen Speaker Generalization
[NO] 485/921 | Outcome Uncertainty Analysis and Quorum Redesign in Probabilistic Consensus
[NO] 486/921 | Enforcing Global Usage Constraints in Distributed Systems: A Formal Model of Directed Traceability
[NO] 487/921 | MTT Society Awards Nomination Announcement
[NO] 488/921 | RWW 2027 Call for Papers SiRF
[NO] 489/921 | Optimum Load for Efficient Power Transfer [Enigmas, etc.]
[NO] 490/921 | The Construction of Near-Optimal Universal Coding of Integers
[NO] 491/921 | A 65 nm CMOS Readout Channel Based on a Charge Amplifier with DTMOS Feedback for Dynamic Signal Compression
[NO] 492/921 | Wave-to-Watt Modeling of Cyclorotor Wave Energy Converters: From Waves to Annual Electrical Power Generation and Loss Analysis
[NO] 493/921 | [People in Control]
[NO] 494/921 | Deploying MARTe2 and MDSplus for Scalable Real-Time Control Systems: A Proof-of-Concept for the SMART Tokamak
[NO] 495/921 | Evolutionary-Enhanced Ensemble Neural Networks for Maritime Wireless Channel Prediction
[NO] 496/921 | Graph Drawing Stress Model with Resistance Distances
[NO] 497/921 | An Efficient Cooperative Co-Evolutionary Multitask Optimization Framework for Large-Scale Optimization
[NO] 498/921 | A Constant-Time Risk-Adaptive Scheduling Engine for V2X Cooperative Perception on Edge RSUs
[NO] 499/921 | Bilateral Soft Pouch Matrix Actuation for Multimodal Intraluminal Locomotion of Liquid Sampling Robotics
[NO] 500/921 | A Nested-Coaxial Quadrifilar Helix Antenna with Beam-Direction and Beam-Shaping Reconfigurability for Small-Satellite Platforms
[NO] 501/921 | Secure, Smart, Automated, and Privacy-Preserving Cybersecurity Policy Compliance Framework for Sensitive Data Protection
[NO] 502/921 | Accelerating Forward-Forward Learning on Hybrid Transfer Architectures via Adaptive Negative Sampling
[NO] 503/921 | Agentic Code Review: A Multi-Agent Framework with Meta-Cognitive Reflection and Human-in-the-Loop Alignment
[NO] 504/921 | An accurate and computationally efficient SOC estimation in EV batteries using enhanced Deep Neural Networks
[NO] 505/921 | Defending Against Inference-Time Role Drift Attacks on Agentic AI in Healthcare
[NO] 506/921 | Predicting Job Applicant Success Using Machine Learning: A Comparative Study Using Random Forest and SVM
[NO] 507/921 | Saree-Drape: A Deep Learning Framework for Automatic Karnataka Saree Draping Style Classification Using MobileNetV2 and MediaPipe-Based Multi-Person Detection
[NO] 508/921 | StressSnap: Data-Driven Modeling of Physiological Parameters for Wearable Stress Monitoring
[NO] 509/921 | Strengthening Two-Way Multi-Relay Networks' Physical Layer Security
[NO] 510/921 | Proceedings of the 2026 International Symposium on Robotics, Automation, and Mechatronics
[NO] 511/921 | Unveiling Inclusiveness-Related User Feedback in Mobile Applications
[NO] 512/921 | A Physics-Informed Neural Network Approach to Modeling Dielectric Response Data
[NO] 513/921 | Bayesian multipath mitigation technique with fully digital phased-array radar
[NO] 514/921 | Federated Driver Digital Twin (FDDT): Secure, Adaptive, and Deployment-Oriented Private Models for Connected Vehicles
[NO] 515/921 | A Multi-agent Evacuation Model for High-Rise Building Fire Integrating Environmental Perception and Individual Heterogeneity
[NO] 516/921 | Unifying Personalization and Generalization in Federated Few-Shot Learning via Complementary Collaboration
[NO] 517/921 | LSTM autoencoder–based real-time anomaly detection for univariate hydraulic turbine time-series data
[NO] 518/921 | Demonstration of a Compact Gyrotron with Nonuniform and High-Gradient Magnetic Field
[NO] 519/921 | HypBench: Hyperbolic Benchmark for Graph Neural Network Performance
[NO] 520/921 | Computing Scaled Relative Graphs of Discrete-time LTI Systems from Data
[NO] 521/921 | AHFNet: An Adaptive Hybrid Fusion Network for Robust Multimodal Hand Biometrics under Unreliable Modalities
[NO] 522/921 | Author Index
[NO] 523/921 | Spatial-Frequency Enhancement and Scale-Decoupled Refinement Network for Salient Object Detection in ORSI
[NO] 524/921 | A Tri-Stage LLM-Coordinated Framework for Order-Driven Scheduling of Earth Observation Satellite Tasks
[NO] 525/921 | Investigation of Convective Updrafts (INCUS) Dynamic Microwave Radiometer (DMR) Receiver Design and Pre-Launch Characterization
[NO] 526/921 | Digital Transformation with Metaverse-Based Services: An Exploratory Managerial Framework Using AI-Simulated Stakeholder Dialogues_supp1-3700448.docx
[NO] 527/921 | IEEE CSS Control Education Committee [Technical Activities]
[NO] 528/921 | Optimizing Server Placement for Vertical Federated Learning in Dynamic Edge/Fog Networks
[NO] 529/921 | PL-FBF: A Partitioned Learned Functional Bloom Filter with Adaptive Memory Allocation for Key–Value Stores
[NO] 530/921 | Cram´ er-Rao Bound Minimization for Flexible Intelligent Metasurface-Enabled ISAC Systems
[NO] 531/921 | Dual-branch Single-Image Self-Supervised Denoising Network Based on Laplacian Non-Local Self-Similarity Sampling
[NO] 532/921 | Linear-Threshold Network Models for Describing and Analyzing Brain Dynamics: Investigations at the Intersection of Neuroscience and Control Theory
[NO] 533/921 | The IoMT Security Trilemma: A Systematic Review of Privacy, Utility, and Resource Efficiency in Federated Edge Learning
[NO] 534/921 | Trojan Obfuscation vs. Detection: A Large-Scale Empirical Study of Evasion
[NO] 535/921 | A Machine Learning Approach for Predicting Term and Preterm Births Using Maternal Data
[NO] 536/921 | Optimizing Profit Scoring in P2P Lending Using Prepayment and IRR Analysis
[NO] 537/921 | Grade-Specific LSTM-Based Approach for Data-Driven Forecasting of Adike and Patora Arecanut Market Prices
[NO] 538/921 | Advanced Sleep Health Analyzer: A Machine Learning–Driven Approach for Personalized Sleep Quality Prediction and Health Intervention
[NO] 539/921 | CMEF-DSD: Collaborative Multi-Expert Forecasting with Differentiable Scale Decomposition
[NO] 540/921 | Light Fields Lossless Compression via Video Codecs
[NO] 541/921 | Proceedings of the 2026 12th International Conference on Computing and Data Engineering
[NO] 542/921 | Evaluation of Sliding-Mode Position Controllers on Multi-Axis Machine Tools with Compliant Mechanics
[NO] 543/921 | AeroThreatModel: LLM-Empowered Spatiotemporal Fusion Dynamic Threat Modeling Framework for Air-Space-Ground Integrated Air Traffic Management Networks
[NO] 544/921 | Multi-Frequency Resolution-Oriented Reconstruction for Single-Pixel Terahertz Imaging
[NO] 545/921 | Beyond Static Prompts: Dynamic Token Fusion for Temporal-Align Visual-Language Tracking
[NO] 546/921 | Communication-Pipelined Split Federated Learning for Foundation Model Fine-Tuning in UAV Networks_supp1-3697889.pdf
[NO] 547/921 | Virtual Oscillator Control for Synthesising Virtual Inertia in a Smart Transformer-Based AC Microgrids
[NO] 548/921 | A LiDAR-Inertial SLAM Algorithm for Robot Detection Tasks in Unknown Complex Environments
[NO] 549/921 | Stability Optimization Oriented Real-Time Energy Management System for Turbo-Hybrid Electric Aircrafts
[NO] 550/921 | MTT-S Africa Initiative Visit to South Africa [Around the Globe]
[NO] 551/921 | Masterless Cooperative Control for Modular Parallel Inverters with Accurate Current Sharing and Seamless Fault Transition
[NO] 552/921 | A Data-Driven Approach for EV Load Modeling and Multi-Objective approach for integration of EVCS and DG in Distribution Systems
[NO] 553/921 | Enhanced Ship Routing Through Ensemble Wave Forecasting and Causality-Constrained Departure Windows
[NO] 554/921 | MCPST: A Multi-Phase Consensus and Spatio-Temporal Learning for Few-Shot Traffic Forecasting via Physical Dynamics
[NO] 555/921 | IEEE App
[NO] 556/921 | A Millimeter-Wave Low Profile Dual-polarization Phased Array Operating Under Glass Enclosures with Beamforming Co-Design for 5G IoT Mobile Terminals
[NO] 557/921 | Magnet Segmentation Strategy Considering Electromagnetic Force in Large-Scale Wind Generators with Surface-Mounted Magnets
[NO] 558/921 | Data Visualization for Teenage Teaching: A Review of Current Applications, Pedagogical Strategies, and Impact on Learning
[NO] 559/921 | Polar Code With Parity Check-Assisted Pruning for Error Correction in Modern Flash Memory
[NO] 560/921 | Comparative Analysis of Traditional Machine Learning and Causal Inference Models for ICU Drug Treatment Outcomes
[NO] 561/921 | Harnessing Vision Language Models for Negation Sensitivity in Visual Question Answering
[NO] 562/921 | A Universal Machine-Learning-Based Framework for Detecting and Preventing File Inclusion Attacks in PHP Web Applications
[NO] 563/921 | Pre-ISP Adversarial Patch Detection in RAW Bayer Space for Trustworthy IoT Vision
[NO] 564/921 | Review of Antenna Engineering and Radio Wave Propagation With MATLAB [Book/Software Reviews]
[NO] 565/921 | Toward Real-time High-fidelity Immersive Robotic Telepresence via Online 3D Gaussian Splatting_supp1-3700426.mp4
[NO] 566/921 | Remembering Fred E. Gardiol [In Memoriam]
[NO] 567/921 | Nonconvex Low-Rank Tensor Representation with Self-Enhanced Structure Penalty for Multi-View Subspace Clustering
[NO] 568/921 | Hierarchical Channel-aware Optimization Graph Convolution with Contrastive Learning for Emotion Recognition from Body Motion
[NO] 569/921 | Writing Science in the Twenty-First Century: Christopher Thaiss and Ashley Rose Mehlenbacher: [Book Review]
[NO] 570/921 | Rank-based No-reference Quality Assessment for Face Swapping
[NO] 571/921 | Cross-Modality Fourier Prompt Tuning for Generalizable Visual-Language Tracking
[NO] 572/921 | ${\mathcal{L}}_{\infty}$ Control of Switched T–S Fuzzy Systems Under Relieved Asynchronous Switching: A Zonotope Analysis Strategy
[NO] 573/921 | Regulating Effect of Asynchronous Interruption on Dynamic Voltage Distribution of Series Vacuum Circuit Breaker
[NO] 574/921 | TileInspector-HRD-Net: Efficient Feature Pyramid and Dynamic Head for Real-time High-Resolution Tile Defect Detection
[NO] 575/921 | Synergistic Pixel- and Object-Level Anomaly Detection for Robust Autonomous Driving
[NO] 576/921 | Wideband Evanescent Mode Bandpass Filter Based on Double Ridge Rectangular Waveguide Partially Loaded With Broadside Printed Strips
[NO] 577/921 | A Study of Biases in LLM-Generated Musical Taste Profiles for Recommendation
[NO] 578/921 | Physical Evaluation of Naturalistic Adversarial Patches for Camera-Based Traffic-Sign Detection
[YES] 579/921 | PickyRTL: A Static Analysis Tool for Detecting Hardware CWEs at Register-Transfer Level
[NO] 580/921 | Retrieval-Augmented AI Platform for Accessible Legal Support in India
[NO] 581/921 | Identification of Sarcasm, Emoji Utilization, and Aspect Recognition in Feedback Using Sentiment Analysis
[NO] 582/921 | Improving Rating Accuracy in a Comparative Study of Web and Android Platforms Using a Quantitative Survey of Chef Booking Applications
[NO] 583/921 | Hybrid Ransomware Detection Model Using Dynamic Behavioral
[NO] 584/921 | Fake News Detection Using Machine Learning Techniques
[NO] 585/921 | A Scalable and Privacy-Preserving Sealed-Bid Auction Framework for IoT Data Marketplaces
[NO] 586/921 | A Hybrid Deep Learning Framework for Brain Stroke Diagnosis Using MRI and CT Scans
[NO] 587/921 | Review on the Development of UAV Cluster Intelligent Cooperative Control
[NO] 588/921 | AI-Assisted Forensic Triage of Multilingual Online Gaming Chats Using Large Language Models
[NO] 589/921 | PromptCanvas: Composable Prompting Workspaces Using Dynamic Widgets for Exploration and Iteration in Creative Writing
[NO] 590/921 | MultiFPT: Towards Multi-Attribute Fairness in Pre-Trained Graph Neural Networks via Prompt Tuning
[NO] 591/921 | Sense, Think, Act, Reflect: Distilling Fast and Interpretable Decision Functions from LLM-Driven Crowds
[NO] 592/921 | Statistical Properties of Closure Phases in SAR Interferometry
[NO] 593/921 | Full Speed Range Sensorless Drive of Nonsalient PMSMs Based on PLL-Type Speed and Position Estimator
[NO] 594/921 | Semi-Supervised Semantic Segmentation of Remote Sensing Images with Foundation Model Distillation and Multi-Level Consistency
[NO] 595/921 | Collaborative Voltage Harmonic Mitigation at a Remote Sensitive Node in Inverter-Based Islanded Microgrids
[NO] 596/921 | Nonintrusive Current Inversion for Paralleled Chips in Press-Pack IGBTs With a Coil Matrix and Data-Driven Modeling
[NO] 597/921 | Joint Beamforming and Position Optimization for IRS-Aided SWIPT with Movable Antennas
[NO] 598/921 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp2-3683248.mp4
[NO] 599/921 | Computable Knowledge Discovery in Soft Magnetic Materials via Large Language Model Driven Literature Meta-Analysis
[NO] 600/921 | IEEE Transactions on Electron Devices Publication Information
[NO] 601/921 | Report on Diversity, Outreach, and Development Activities [Diversity, Outreach, and Development Activities]
[NO] 602/921 | News
[NO] 603/921 | ICSHIve: A Framework for Measurable and High-Interactive Honeypots in Industrial Control Systems
[NO] 604/921 | A Sandwich-like Dual-band Shared-aperture Dielectric Lens Antenna with Large Frequency Ratio and Wide Scanning Range
[NO] 605/921 | Dynamic assessment of the competencies and systems-thinking skills of civil aviation personnel in an age of technological breakthroughs
[NO] 606/921 | IEEE Journal of Biomedical and Health Informatics Information for Authors
[NO] 607/921 | Secure Two-Party Matrix Multiplication from Lattices and Its Application to Encrypted Control
[NO] 608/921 | Edge Coordinated 6G IoT System for Autonomous Biomechanical Analysis and Fatigue Perception Performance Optimization in Competitive Sports
[NO] 609/921 | State of Power Prediction for Series-Connected Battery Packs Considering the Inconsistency in State of Health of Cells
[NO] 610/921 | Focus on Tunable Multifunction Filters [From the Guest Editor’s Desk]
[NO] 611/921 | IMWS-AMP 2025 Women in Microwaves: Microwave Convergence: Bridging Disciplines – Frontiers and Challenges [Women in Microwaves]
[NO] 612/921 | IEEE Transactions on Circuits and Systems for Video Technology Publication Information
[NO] 613/921 | Context-Aware Recipe Recommendations using NLP with Multilingual Support
[NO] 614/921 | Multi-Year Upgrade of Pre-Existing Power System to Support SQKD for Increasing Key rates
[NO] 615/921 | LLM-Assisted Side-Channel Leakage Analysis of AES Power Traces
[NO] 616/921 | Assessment of Grid Voltage Fluctuations on the Performance of a Three-Phase Grid-Integrated Inverter
[NO] 617/921 | Explainable AI Models for Transparent and Ethical Customer Relationship Management Decision
[NO] 618/921 | Secure and Scalable IoT Data Sharing with Dynamic Group Management via Re-Encryption
[NO] 619/921 | Vision Transformers for Accurate Inferior Alveolar Nerve Classification in Cone Beam Computed Tomography
[NO] 620/921 | Real-Time Violence Detection Using Lightweight Deep Learning
[NO] 621/921 | Human is the New Vinyl: Why Human Creativity Still Wins in the AI Revolution: Micah Voraritskul: [Book Review]
[NO] 622/921 | Dog Activity Detection from Accelerometer–Gyroscope Signals Using an Integrated CNN–BiLSTM Model
[NO] 623/921 | A Lightweight Security Framework for Stateless Communication in Low-Power IoT Systems
[NO] 624/921 | Focused Region Exclusion Learning for Cross-View Geo-Localization
[NO] 625/921 | The Lighter Side of Control Systems
[NO] 626/921 | Text Prompt Controllable Image Exposure Correction
[NO] 627/921 | Improved-PPO-based Adaptive Safety-Critical Control for Orbit-Attitude Takeover of Failed Spacecraft with Cellular Satellites
[NO] 628/921 | Digitally-tunable Mixer Design and Simulation with Modulated Signals within an Adaptive Receiver Front-end and with FPGA-based Demodulation
[NO] 629/921 | Beyond Surface Similarity: Evaluating Structured Output Consistency in Large Language Models
[NO] 630/921 | Collision-Free Output Feedback Distributed Coordination of MASs Under Unreliable Communication Topologies
[NO] 631/921 | Advertisement
[NO] 632/921 | Masthead
[NO] 633/921 | Enabling Multicasting Supports For O-RAN Virtual Function Deployment in Multi-Cloud Environment
[NO] 634/921 | Physics-Data Fusion with FBG Sensing for In-Situ Solid Lubricant Coating Degradation Monitoring under Microgravity Emulation
[NO] 635/921 | Breaking the Vicious Cycle: Coherent 3D Gaussian Splatting from Sparse and Motion-Blurred Views
[NO] 636/921 | A Study of M-Ary Encoding Genetic Algorithm for Closely-Spaced Multipath Parameter Estimation
[NO] 637/921 | Flow-Aware Diffusion for Real-Time VR Restoration: Mitigating Cybersickness with Enhanced Spatiotemporal Coherence_supp1-3697013.pdf
[NO] 638/921 | Collaborative Orthogonal Learning for Constrained Multi-Objective Optimization
[NO] 639/921 | Optimization Output Control of Distributed Lighting System Based on NSGA-II Method and MLP Network
[NO] 640/921 | A Robust CLEAN-like Approach to ISAR Image Decomposition with Non-stationary Signal Components
[NO] 641/921 | A 120° FOV Angular Diversity Receiver for Underwater Wireless Optical Communications
[NO] 642/921 | MEETINGS AND SYMPOSIA
[NO] 643/921 | Adaptive Resource Allocation and Semantic Priority Control for Multi-UAV-Aided Relaying Systems
[NO] 644/921 | Cognera: An Intelligent Tool For Dyslexia Detection And Correction
[NO] 645/921 | Macro-to-TWh: A Log-Stabilized Benchmark of 21 Supervised Regressors for Country-Level Primary Energy Consumption Prediction
[NO] 646/921 | Hybrid Deep Learning Models for Detecting Anomalous Behavior in Peer-to-Peer Payment Systems
[NO] 647/921 | CTGAN-Augmented Stacked Ensemble of Machine and Deep Learning Models for Diabetes Prediction
[NO] 648/921 | Model Predictive Control: A Revisit [Histories of Control]
[NO] 649/921 | Handloom Saree Classification Using Transfer Learning with MobileNetV2
[NO] 650/921 | Zero-Trust Agentic Federated Learning for Secure Internet of Things (IoT) Defense Systems
[NO] 651/921 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp7-3683248.mp4
[NO] 652/921 | Focused ultrasound improves microcirculation to treat painful peripheral neuropathy in type 2 diabetic rats
[NO] 653/921 | A Tightly Coupled EKF for Hardware-Trigger-Free Radar Inertial Odometry based on Dynamic State Retrodiction
[NO] 654/921 | Performance Analysis of Full-Duplex Cooperative NOMA-Enabled ISAC in Heterogeneous Networks
[NO] 655/921 | IEEE Feedback
[NO] 656/921 | Table of Contents
[NO] 657/921 | Lay All Your Morph on UV: 3D Geometry-Aware Canonical UV Representations for Morphing Attack Detection
[NO] 658/921 | FedGB: A Generator-Based Federated Learning Against Reconstruction Attacks
[NO] 659/921 | LLM-guided Adaptive Compensator: Bringing Adaptivity to Robotic Feedback Control with Large Language Model
[NO] 660/921 | Distribution Network Modeling, Parameters, and Metering Data: Test Systems
[NO] 661/921 | Homography-Based Visual Servoing of a UAM for Payload Delivery Onto a Dynamic Target
[NO] 662/921 | Field Evaluation of a MEMS-Based Silicon Resonant Pressure Sensor for Seafloor Pressure Observation
[NO] 663/921 | Towards Secure and Reliable SAGIN: Learning-Driven Multi-Dimensional Resource Scheduling for Multi-RIS Assisted OTFS Transmission
[NO] 664/921 | Uncertainty Quantification: Theory, Implementation, and Applications (Second Edition) [Book Review]
[NO] 665/921 | Graph Neural Networks with Augmented Lagrangian Loss for Energy Efficiency Optimization in Spectrum-Sharing Wireless Networks
[NO] 666/921 | Improving the Offline Dataset on Offline Reinforcement Learning
[NO] 667/921 | Spatially Robust Near-Field SWIPT Using Pinching Antennas: Rate-Energy Tradeoff Bounds
[NO] 668/921 | GaN Schottky Barrier Diodes with a Quasi-Depleted Layer for Ultra-Low Power Microwave Rectification
[NO] 669/921 | MuCamp2: Generating Validated Cyber Campaign Variants via Constrained LLMs for Group Attribution
[NO] 670/921 | Table of Contents
[NO] 671/921 | CondVS4: A Causal Generative Model for Online Imputation of Industrial Process Time-Series Data
[NO] 672/921 | Enhancing the Reliability of Sunspot Number Prediction Intervals Using MC Dropout and Isotropic Regression
[NO] 673/921 | XAI-Driven Input Masking to Mitigating Model Inversion Attacks
[NO] 674/921 | Student Feedback Sentiment Analysis on Textual Data: Comparing Machine Learning and Transfer Learning Approaches in Face-to-Face Courses
[NO] 675/921 | Deepedge+Location: A Location-Based Task Orchestrator for Edge Computing
[NO] 676/921 | Maintaining SDN Controller High Availability Through Heartbeat Links: A Multi-SDN Solution
[NO] 677/921 | A Conceptual Framework for Multiplayer Mixed Reality Training with Biometric Feedback
[NO] 678/921 | IEEE Feedback
[NO] 679/921 | The Soft Clock: This Timepiece Merges Electronics and Millifluidics
[NO] 680/921 | Guest Editorial for Selected Papers From BIOKDD 2024
[NO] 681/921 | A Method for Physical Monitoring of Wireline Communications Based on Compressed Sensing and Spread-Spectrum Signals
[NO] 682/921 | Asin Phase Demodulation for High-resolution FMCW Interferometry
[NO] 683/921 | Flexible Passive LC Pressure Sensor With Impedance-Matched Readout for Extended Wireless Sensing Range_supp1-3697423.docx
[NO] 684/921 | Fixed-Time Optimal-Power Thrust Control in Distributed Electric Cycloidal Propulsion Using Hybrid Residual Neural Networks
[NO] 685/921 | Multiagent Deep Reinforcement Learning With Long-Term Temporal Dependencies for Microgrid Energy Optimization and Scheduling
[NO] 686/921 | Investigation of Inter-turn Voltage Stress in Fractional Slot Concentrated Winding of Inverter-fed Permanent Magnet Synchronous Machines
[NO] 687/921 | CONDEN-FI: Consistency and Diversity Learning-Based Multi-View Unsupervised Feature and Instance Co-Selection
[NO] 688/921 | Wiley
[NO] 689/921 | Field- and Temperature-Induced Drift in Multi-Level Al-Doped HfO
                    <sub>2</sub>
                    RRAM
[NO] 690/921 | Evaluation of power supply capability of microgrids with energy storage system
[NO] 691/921 | Optimizing Task Scheduling in Fog Computing with Deadline Awareness
[NO] 692/921 | Reconfigurable Filters [From the Editor’s Desk]
[NO] 693/921 | NEITH: Networked Evidence Integrity for Telemetry Hashing
[NO] 694/921 | AUTOCTI: Automated Cyber Threat Detection Using AutoML
[NO] 695/921 | Detection of Multiclass Pediatric Congenital Heart Defects using Deep Learning based Stacking Ensemble Method
[NO] 696/921 | Multimodal Fusion with Cross-Modal Attention for Robust MCI-to-AD Prediction
[NO] 697/921 | FairLabeler: Achieving Fairness via Biased Label Detection and Correction
[NO] 698/921 | An Age-Aware Joint Scheduling and Semantic Extraction Approach for IIoT Systems With Multi-AGVs
[NO] 699/921 | Modeling and Modification of Equivalent Planar Unfolding for Post-Type Composite Insulators
[NO] 700/921 | M3T-UAV: Vision-based UAV geolocalization in multimodal, multiscene, and multitemporal scenarios
[NO] 701/921 | Are Drivers Tired? An Edge AI-enabled Drowsiness Detection Framework in IoV
[NO] 702/921 | Sparse ISAR Imaging via Frequency-Selective Atomic Norm Minimization and Accelerated ADMM
[NO] 703/921 | AFDM Transceiver Optimization for PAPR Reduction
[NO] 704/921 | TC-SSFN: Suppressing Seasonal Noise and Enhancing Feature Discrimination for Land Cover Time Series Change Detection
[NO] 705/921 | Physically Consistent Near-Field MISO Communication: Impact of Receiver-to-Transmitter Mutual Coupling on Achievable Rate
[NO] 706/921 | Quantum Machine Learning for Wireless-Powered UAV Positioning in 6G Digital Twin SAGIN with Cooperative Nano-Satellite Constellations
[NO] 707/921 | Bone Fracture Detection Using Vision Transformers: A Comparative Analysis of the Pooling-Based Vision Transformer (PiT) and the Causal Transformer (CaFormer) Models
[NO] 708/921 | Guiding Light Beyond sight: AI Powered Object Detection for Blind Navigation
[NO] 709/921 | Wildlife Detection and Monitoring using Single Shot Detection
[NO] 710/921 | A Comprehensive Review on Handwritten Descriptive Answer Script Evaluation
[NO] 711/921 | ChemStruct: A Real-Time Molecular Visualization Platform for an Interactive Chemistry Learning
[NO] 712/921 | Object Detection and Location Tracking on Water Surface using NVIDIA Jetson Orin Kit
[NO] 713/921 | Food Quality and Authenticity Detection Using Deep Learning and OCR-Based Techniques
[NO] 714/921 | IEEE Industrial Electronics Society Publication Information
[NO] 715/921 | A Holistic Eating Monitoring System Enabled by Textile Strain Sensors and Hierarchical Network
[NO] 716/921 | Table of Contents
[NO] 717/921 | DEMO Divertor Target Mock-Ups With Tungsten-Fiber-Reinforced Tungsten Monoblocks
[NO] 718/921 | RGPKD: Reconstruction-Guided and Prompt-Enhanced Asymmetric Knowledge Distillation for Anomaly Detection
[NO] 719/921 | Exploring Consistency for Data Clustering by Multi-View Multi-Order Graph Decomposition
[NO] 720/921 | Multi-Objective Joint Optimization of Deep Network: For Online Learning of Streaming Data With Concept Drift_supp1-3699402.pdf
[NO] 721/921 | Lie-Algebraic Approach to Geometric Nonlinear Inverse Optimal Attitude Tracking on_supp1-3700377.mp4
[NO] 722/921 | ANN-Cache: Accelerating Approximate Nearest Neighbor Search Via Caching
[NO] 723/921 | TACS: Decentralized per-Task Micro-Slicing for Deadline-Aware Provisioning in Distributed Computing Continuum Systems
[NO] 724/921 | CRISPR-ImmunoPred: A Multi-Stage AI Framework to Predict T-Cell Reactivity and Mitigate Immunogenicity in CRISPR-Cas9 Therapies
[NO] 725/921 | Detection Techniques for OTFS Transmissions Over Doubly-Selective Channels
[NO] 726/921 | Dong Eui Chang [People in Control]
[NO] 727/921 | Programmable Construction Methodology for High-Performance Interleaved Voltage-Multiplier DC–DC Converters via Flux-Balance Adjacency Matrices
[NO] 728/921 | Predicting Student Academic Performance Using Machine Learning Techniques
[NO] 729/921 | Human Karyotype Analysis Using Deep Learning with Chatbot Assistance
[NO] 730/921 | A Real-Time Hardware-In-The-Loop Water SCADA Testbed for Cyber-Physical Research
[NO] 731/921 | Evaluating Explainable AI Fidelity in Lightweight Vision Transformers Using Transfer Learning
[NO] 732/921 | Artificial Intelligence Based Prediction of Menopausal Transition Phases from Symptomatology
[NO] 733/921 | Federated and Reinforcement Learning for Cyber Defense: A Comprehensive Survey of Emerging Intelligent Security Paradigms
[NO] 734/921 | AI-Driven Liver Disease Prediction: A Machine Learning and LSTM-Based Approach with Clinical Data
[NO] 735/921 | Design, Simulation, and Fabrication of a L-Shaped Folded-Beam MEMS Accelerometer for High-Temperature Applications
[NO] 736/921 | A Simple Model-Predictive Control Strategy for Discrete-Time Port-Hamiltonian Boundary Control Systems
[NO] 737/921 | Guidance of a human driver by an automated vehicle: Nonlinear control design via delayed spectral submanifold
[NO] 738/921 | A ROS 2-Based Visual SLAM Navigation Framework: Integrating cuVSLAM and Nvblox with Nav2 Stack for Autonomous Navigation on Mobile Robot
[NO] 739/921 | Model-Free Predictive Controllers for Voltage Source Inverter: A Unified Experimental Benchmarking
[NO] 740/921 | IEEE Foundation
[NO] 741/921 | AI-Enhanced Spatial Cellular Traffic Demand Prediction with Contextual Clustering and Error Correction for 5G/6G Planning
[NO] 742/921 | Rapid Switchable Backdoor Attack on Any CLIP Model with Multiple Target Classes
[NO] 743/921 | Better Hardware Could Turn Zeros Into AI Heroes: Sparse Computing Enables Leaner, Faster AI
[NO] 744/921 | Research on Caching and Power Control Optimization Strategies Based on Vehicular Networking Communication
[NO] 745/921 | A Spatiotemporal Information Extraction-Based FDI Attack Detection and Data Recovery Architecture for Wind Power Prediction Systems
[NO] 746/921 | Mastering Beam Alignment for Satellite WPT: A Predictive ISAC Framework for Sustainable 6G Connectivity
[NO] 747/921 | Comprehensive Investigation of Magnetic Properties of Fe–Si and Fe-Co Alloy Under Alternating and Rotational Magnetizations
[NO] 748/921 | Large Language Model–Driven Feature Weighting for Cross-Device Harmonization of Wearable Data: A Generalizable Framework for Digital Health Models
[NO] 749/921 | A Novel Bidirectional Multiport Converter for Integration of Renewable Energy and Storage Systems
[NO] 750/921 | Decentralized End-to-End Multi-AAV Pursuit Using Predictive Spatio-Temporal Observation Via Deep Reinforcement Learning
[NO] 751/921 | The Path I Didn’t Plan, but Chose: Finding My Place in Engineering [Women in Engineering]
[NO] 752/921 | Overpass Ledger: Full Parallelization and Fast Re-Execution for High-Performance
[NO] 753/921 | Advanced Electromagnetics Methods for Practical Engineering Applications [Guest Editorial]
[NO] 754/921 | FedDD: Combating Federated Noisy Label Learning with Intra- and Inter-Distributional Difference
[NO] 755/921 | HCDi-Fusion: Hybrid-Conditioned Diffusion Model for Cross-Resolution Multimodal Image Fusion
[NO] 756/921 | A Lightweight Chaotic Map-Based Authentication Scheme for Secure Wearable Computing
