[2026-06-04 11:55:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-03
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202606030000+TO+202606032359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-6-3 | IEEE Antennas and Wireless Propagation Letters Publication Information
[NO] 536/1000 | Development and Deployment of a Secure AI-Enabled Edge Computing Framework for Healthcare Data Analytics
[NO] 537/1000 | Context-Aware Machine and Deep Learning Framework for Intrusion Detection and Prevention in Industrial Wireless Sensor Networks
[NO] 538/1000 | WhisperNet: An On-Device TinyML Architecture for Real-Time Anomaly Detection in Industrial Machinery
[NO] 539/1000 | Sustainable Smart Retail Ecosystem Through IoT and Big Data Integration
[NO] 540/1000 | Optimizing Cruise Ship Itineraries: A Sustainable Perspective
[NO] 541/1000 | A Vision-Based Real-Time Navigation Assistance System for Visually Impaired Individuals Using Deep Learning
[NO] 542/1000 | Unveiling DeepSeek-R1: An Open-Source Approach to Next-Generation Language
[NO] 543/1000 | A Decentralized Approach to Legal Case Transfers in India
[NO] 544/1000 | Enhancing Privacy-Preserving UPI Fraud Detection Using Federated and Centralized Gradient Boosting Models
[NO] 545/1000 | Digital Griot: An Emotion-Adaptive Generative AI Framework for Interactive Storytelling
[NO] 546/1000 | IoT based Employee Monitoring System
[NO] 547/1000 | Hybrid CNN–Transformer Framework for Behavior-Based Ransomware Detection Using System Call Traces
[NO] 548/1000 | A Conceptual Framework for an Intelligent Generative System for Spatial Design Based on Affective Computing and Design Thinking
[NO] 549/1000 | MDCR-Net: Multi-Scale Dilation Channel Refiner Network for Chinese Cuisine
[NO] 550/1000 | Dew Computing-based Healthcare Framework for Latency-Sensitive Medical Applications
[NO] 551/1000 | A Microbial Fuel Cell Biosensor With Deep Learning-Enabled High Selectivity
[NO] 552/1000 | Enhancing Brinjal Leaf Disease Detection: A Comparative Analysis of Convolutional Neural Network Architectures
[NO] 553/1000 | Web-Based Comparative Analysis Framework for Metaheuristic Optimization Algorithms: A Unified Educational Approach
[NO] 554/1000 | Feynman Explanation Prompting: A Pedagogically Grounded Framework for Large Language Models
[NO] 555/1000 | Transforming Power Infrastructure Monitoring with Medical Imaging-Inspired AI
[NO] 556/1000 | Multi-Modal Coordinated Sensing for Spatially-Aware Marine Monitoring
[NO] 557/1000 | Power Optimization for Sustainable Smart Speakers: Echo Pop Case Study
[NO] 558/1000 | Infrared Image Recognition of Substation Equipment Based on an Improved YOLOv5 Algorithm
[NO] 559/1000 | Generated Inaccessible: Measuring WCAG Violations in AI UI Design Tools
[NO] 560/1000 | Shifting Accessibility Left: Embedding Inclusive Design into Frontend Developer Workflows
[NO] 561/1000 | Predicting Public Support for an Industry-Education Integrated Cultivation Model of Intelligent Connected Vehicle Engineers
[NO] 562/1000 | Generative Artificial Intelligence Empowering Poetry Teaching Research
[NO] 563/1000 | Staging Futures-in-use
[NO] 564/1000 | Atmospheric Belonging
[NO] 565/1000 | Holding Space for Coexistence: Trauma-Informed and Futures-Oriented Participatory Design in Post-Conflict Northern Ireland
[NO] 566/1000 | Design for Community Building in Villages
[NO] 567/1000 | Enhanced Hamiltonian Control Law with Speed Tracking Control and Lyapunov Observer for DC Bus Stabilization in LC Filter-Equipped PMSM Drives
[NO] 568/1000 | A Lightweight Multimodal Data-Driven Method for Automatic Modulation Recognition
[NO] 569/1000 | Whole-Body Coordination and Spinopelvic Alignment during Yoga Standing Maneuvers: Comparing Practitioners with Non-Practitioners_supp3-3697342.docx
[NO] 570/1000 | A Hybrid ACO-DQN Approach for Wireless Power Transfer-Based Task Offloading in Mobile Edge Computing
[NO] 571/1000 | Automated and Near-Flawless Micropipette PIH Assembly to MEMS Nanoforce Sensor With A Robotic Microscopy System_supp8-3672876.mp4
[NO] 572/1000 | Channel Attention Enhanced CNN for Large-Range SpO
                    <sub>2</sub>
                    Measurement with a Smartphone
[NO] 573/1000 | ComSoc Education
[NO] 574/1000 | A Lightweight and Efficient Backtracking SINS in-motion Alignment Algorithm Aided by GNSS
[NO] 575/1000 | A Ka-Band Time-Modulated Phase-Invariant Variable-Gain Amplifier With 30-dB Gain Tuning Based on Duty-Cycle Control
[NO] 576/1000 | BrainMergeEEG: An Open EEG Microstate Dataset for Studying Developers’ Brain Network Dynamics
[NO] 577/1000 | 2026 IEEE Conference on Technologies for Sustainability (SusTech)
[NO] 578/1000 | SRViT: A Robust Online Encrypted Traffic Classification Based On Vision Transformer
[NO] 579/1000 | Cross-Force Generalization in Myoelectric Gesture Recognition: A Comparative Study of Data Augmentation and Generalized Models
[NO] 580/1000 | TVFI-GST: From Regime-Level Importance to Fusion-Aware Traffic Forecasting
[NO] 581/1000 | Environmental Adaptation Enabled by an Amplitude-Tunable Traveling Wave Robot with a Soft Corkscrew (ATWBot)_supp2-3697245.mp4
[NO] 582/1000 | HeapKV: Enabling Efficient Garbage Collection for KV-Separated LSM Stores on Modern SSDs
[NO] 583/1000 | ACM Risks Forum Quarterly Summary
[NO] 584/1000 | Optimizing Crop Yield Predictions through Machine Learning Models
[NO] 585/1000 | Machine Learning Systems Based Forecasting and Risk Estimation of Diabetes as Chronic Diseas
[NO] 586/1000 | The Atmospheric Link Between Carbon Emissions and Criteria Air Pollutants
[NO] 587/1000 | Electroporation Parameters Based Survival Rate Prediction for Bile Duct Cancer: A Comparative Artificial Intelligence Study
[NO] 588/1000 | Zero-trust Conceptual Architecture for Secure Integration of Large Language Models and Autonomous AI Agents
[NO] 589/1000 | Proceedings of the 7th International Conference on Information Management &amp; Machine Intelligence
[NO] 590/1000 | Liver Semantic Segmentation: Enhancing Medical Image Accuracy
[NO] 591/1000 | GNN-VoidGuard: Void-Aware Topology Control in Underwater Acoustic Sensor Networks
[NO] 592/1000 | Comparative Analysis of XGBoost and Multi Layer Perceptron Neural Network Using TensorFlow Keras for Stress Level Prediction
[NO] 593/1000 | RecycleSense: Machine Learning Visual Recognition for Waste Sorting and Recycling Optimization
[NO] 594/1000 | Transformer-based Multimodal Learning for Neurological Disease Diagnosis using EEG and MRI Fusion
[NO] 595/1000 | A Novel Hybrid Geospatial-Temporal Deep Neural Network for Real-Time Environmental Air Quality Prediction using Multi-Source Sensor Fusion
[NO] 596/1000 | Application of Quantum Computing Gates for Enhanced Task Scheduling in Cloud Environments
[NO] 597/1000 | Reverse-Engineering Commercial Microwave Link Data for Extracting Environmental Information
[NO] 598/1000 | Multimodal Transformer Model for Depression Prediction from Psychosocial and Lifestyle Indicators
[NO] 599/1000 | Seasonal Tourism Demand Forecasting using Box-Jenkins ARIMA Time-Series Modeling
[NO] 600/1000 | Hybrid CNN–LSTM-based Vibroarthrography Signal Analysis for Automated Osteoarthritis Detection and Stage Classification
[NO] 601/1000 | HiFi-Attention Generative Adversarial Network-Based Speech Enhancement
[NO] 602/1000 | Eco-Friendly Carbon Dots Synthesized From Ipomoea Aquatica and Typha Angustifolia for Bioimaging and Sensing Applications
[NO] 603/1000 | Low-Latency FPGA Design of Multi-Channel Pipelined FFT Architecture
[NO] 604/1000 | Edge–IoT Fabric for Zero-Downtime Predictive Fault Analytics in Sustainable and Resilient Manufacturing Systems
[NO] 605/1000 | Comparison of Backpropagation Neural Networks and Gradient Boosting Algorithm in Accuracy Using Heart Disease Classification
[NO] 606/1000 | CognitiveShield-IoT: A Self-Evolving AI-Agent Driven Security Architecture for Adaptive and Resilient IoT Ecosystems
[NO] 607/1000 | Wildlife Detection and Classification using Spiking Neural Networks (SNN)
[NO] 608/1000 | A Circular Canvas for Manufacturing MSMEs to Support the Transition Toward the Circular Economy
[NO] 609/1000 | Deep Learning-Based ECG Retrieval for Scalable Clinical Decision Support
[NO] 610/1000 | Credit Card Fraud Detection Using Lightgbm and Smote: A Machine Learning Approach
[NO] 611/1000 | IoT based Smart Water Distribution System for Equitable Supply in Rural Areas
[NO] 612/1000 | A Real-Time Explainable Cybersecurity Framework for Detecting Known and Unknown Attacks in Wireless Sensor Network
[NO] 613/1000 | A Real-Time Product Usage and Smart Reporting Platform Based on XGBoost and Transformer Models
[NO] 614/1000 | A Refined Ensemble–Neural Network Architecture for Robust QRS Detection in Noisy ECG Signals: A Hybrid Signal Processing and Deep Learning Approach
[NO] 615/1000 | SenseAI: A Hybrid, Age-Stratified Cognitive Flexibility and Auditory Response Screening System for Early Autism Risk Detection
[NO] 616/1000 | Enhanced Power Conversion using a Reduced Switch Multilevel Inverter for Renewable Energy Integration
[NO] 617/1000 | Fusion-Based Deep Learning Framework for Brain Tumor Classification
[NO] 618/1000 | A Power-Optimized 9T SRAM Design Using CNTFET 32nm Scale Technology
[NO] 619/1000 | An Advanced Data-Driven Framework for Reliable Wind Energy Prediction
[NO] 620/1000 | Multimodal Emotion Recognition using Facial Expression and Hand Gesture Analysis for Safety Applications
[NO] 621/1000 | Towards Intelligent Network Security: An AI-Based Intrusion Detection System
[NO] 622/1000 | Research on Design Practice of Scene Activation of Ancient Poetry Based on Generative Artificial Intelligence Technology
[NO] 623/1000 | Construction of Learning Anomaly Detection and Intervention Model Based on Isolation Forest-LSTM in Massive Online Education
[NO] 624/1000 | DeInFed: A Decentralized Incentive Framework for Blockchain-based Federated Learning
[NO] 625/1000 | Next-Generation MIMO Transceivers for Integrated Sensing and Communications: Unique Security Vulnerabilities and Solutions
[NO] 626/1000 | Electrokinetic and Antibiofilm Effects of Silver Nanoparticles Combined with Imipenem Against multidrug-resistant of Klebsiella pneumoniae
[NO] 627/1000 | High-Frequency Harmonic Suppression of Low-Inductance PMSM Based on Adaptive Bus Voltage Modulation Using Extremum Seeking and Predictive Control
[NO] 628/1000 | Low Scan Loss Metalens Antenna by On- and Off-Axis Phase Distribution Correction
[NO] 629/1000 | PVCA: Privacy-Preserving and Verifiable Cross-System Authorization for Platoon Communications in VANETs_supp1-3697662.pdf
[NO] 630/1000 | Machine Learning Unveils System-Level Signatures of Integrated Motor&amp;#x2013;Non-Motor Dysfunction in Parkinson&amp;#x2019;s Disease during Telerehabilitation_supp5-3697696.xlsx
[NO] 631/1000 | Creating a Library Environment for Teenagers in Denmark: Exploration in Participatory Design Methods
[NO] 632/1000 | Exploring Authenticity in Participatory Design (APD)
[NO] 633/1000 | Front Cover Page
[NO] 634/1000 | Active Momentum Control for Spinal In-Pipe Robots in Microgravity: On-Orbit Validation
[NO] 635/1000 | Improved Remote Error Estimation Method for Smart Meters with Advances in Loss Calculation, Measurement Synchronization, and Solution Stability
[NO] 636/1000 | A Single-pass Multistatic SAR Satellites Formation Design Method for TomoSAR Data Acquisition
[NO] 637/1000 | Design and Fabrication of a Compact Waterjet Thruster for Deep-Sea Applications
[NO] 638/1000 | Multimodal Patient-Specific Identification of Atrial Flutter Circuits From ECG Time Series Using Explainable Machine Learning_supp2-3694616.mp4
[NO] 639/1000 | Cover 4
[NO] 640/1000 | AG-STDF: Anatomy-Guided ECG Spatiotemporal Dynamical Fusion for Screening Coronary Microvascular Dysfunction_supp1-3698945.docx
[NO] 641/1000 | Phoneme-Based Accent-Adaptive Speech Recognition for Accurate and Mispronunciation Feedback
[NO] 642/1000 | Dual-Channel LLM-Guided Semantic Feature Extraction with Zero-Shot Classification for Zero-Day Malware Detection
[NO] 643/1000 | Design of an Asymmetric Converter for 6/4 Switched Reluctance Motor
[NO] 644/1000 | Automated Brain Tumor Segmentation in Multi-Parametric MRI using nnU-Net
[NO] 645/1000 | When to Fly: A Passenger Decision-Support System Based on Climate-Sensitive Flight Disruption Likelihood
[NO] 646/1000 | Low-Altitude UAV Tracking via Sensing-Assisted Predictive Beamforming
[NO] 647/1000 | IEEE Standard for the Qualification of Switchgear Assemblies for Class 1E Applications in Nuclear Power Generating Stations
[NO] 648/1000 | Performance Evaluation of Machine Learning, Deep Learning and Ensemble Approaches in Diabetes Prediction
[NO] 649/1000 | Speech-to-Sign Language Translator
[NO] 650/1000 | A Predictive Analytics Framework for Healthcare Resource Optimization using Hospital Operational Data
[NO] 651/1000 | Visualization Beyond Summarization: An AI-Infused Context-Aware Method to Make Sustainability Content Digestible
[NO] 652/1000 | A Learning-Based Fault Detection Approach for Unmanned Aerial Systems Using Inertial Sensor Data
[NO] 653/1000 | Design of an Ultra-Wide Stopband CSRR Microstrip Bandpass Filter for L-Band Applications
[NO] 654/1000 | YOLOv11-FD: A Hybrid Approach Integrating Mamba and Frequency Analysis for Wind Turbine Blade Damage Detection
[NO] 655/1000 | Framework for Privacy-Preserving Synthetic Medical Image and Report Generation
[NO] 656/1000 | A Hybrid Residual-CNN-BiLSTM-Attention Model for Lake Water Level Forecasting
[NO] 657/1000 | Temperature Monitoring and Adaptive DVFS for System-on-Chip Architecture
[NO] 658/1000 | IoT-Enabled Soil Condition Analysis for Efficient Farm Management
[NO] 659/1000 | On the Stability and Limitations of Causal Discovery in Global Crop Yield Modeling: A Multicountry Bootstrap Analysis
[NO] 660/1000 | A Soft Voting Ensemble Framework for Crisis Type and Urgency Classification in Tweets
[NO] 661/1000 | AI-Powered SQL Generation Using Natural Language Processing for Intelligent Database Interaction
[NO] 662/1000 | Engaging Immersive Virtual Reality Learning Environment for Students Using Haptic Technology
[NO] 663/1000 | Satellite Based Hydrological Feature Engineering and Clustered Time Series Modeling for Sustainable Reservoir Water Management
[NO] 664/1000 | A Review of Gate-Structured Recurrent Neural Network Strategies for State-of-Charge Estimation in Lithium-Ion Batteries
[NO] 665/1000 | A Cryptography-Driven Dual-Layer Quantum-Resilient Detection Architecture for Secure Cloud Data Access
[NO] 666/1000 | Smart Civic Issue Tracker: Proof-Based Digital System For Effective Municipal Issue Resolution
[NO] 667/1000 | Explainable Deep Neural Networks for Heart Disease Prediction in Clinical Decision Support
[NO] 668/1000 | Comparative Analysis of Structural Features in Genuine and Fraudulent Listings on C2C Platforms
[NO] 669/1000 | Influence of Biohumus on the Agrochemical Characteristics, Soil Fertility, and Yield Performance in Open-Field Cultivation
[NO] 670/1000 | Vibetalk- AI-Powered Assistive Communication System for Hearing and Speech Impairment
[NO] 671/1000 | An Effective Detection of Financial Statement Fraud Using Parallel Convolutional Neural Network with Crayfish Optimization Algorithm
[NO] 672/1000 | Flow-Level Statistical Fingerprinting for Unsupervised Network Intrusion Detection
[NO] 673/1000 | Fusion of Excitation-based Features for Speaker Identification with Advanced Deep learning Model
[NO] 674/1000 | A Secure and Explainable Federated Edge-AI Framework for Climate-Smart Smallholder Farming
[NO] 675/1000 | Headphone with Safety System that Warn Pedestrians of Imminent Dangers
[NO] 676/1000 | Some SEN History
[NO] 677/1000 | Quantum-Resistant Artificial Intelligence Algorithms for Secure Networks
[NO] 678/1000 | Design of an Intelligent Conducting Action Evaluation System for Music Education Using Humanoid Robot
[NO] 679/1000 | A Rubric-Grounded LLM Feedback Framework for Academic Writing: An Empirical Study in an Information-Enhanced Classroom Setting
[NO] 680/1000 | Enhancing Resume Information Extraction via Instruction Tuning for Large Language Models
[NO] 681/1000 | Cooperative by Design: Reconnecting for Socially and Ecologically Sustainable Work through Platform Cooperatives
[NO] 682/1000 | Designing Dialogues: Dialogical Encounters Between Ancestral and Biomedical Worlds in Colombia
[NO] 683/1000 | An Efficiency Optimization Method Based on Optimal Current Control for DPAS-MIMR Underwater WPT System
[NO] 684/1000 | Design of a Cable-Driven, Self-Aligning Knee Exoskeleton to Eliminate Joints' Misalignment Across Users With Varying Leg Dimensions_supp1-3699123.mp4
[NO] 685/1000 | A Dielectric-Modulated Dual-Material Gate MOS-HEMT for Ultra-High Sensitivity Label-Free Biosensor_supp1-3698812.docx
[NO] 686/1000 | Fast Computation of Electromagnetic Scattering by Graphene-Filled Honeycomb Coated Target
[NO] 687/1000 | CVaR-Constrained Optimisation for Risk-Aware Dynamic Resource Allocation in 5G RAN Slicing
[NO] 688/1000 | Contact-Aware Soft Robot Design via Differentiable Simulation and Morphological Optimization_supp2-3692920.pdf
[NO] 689/1000 | NeuroThyroid-PQC: A Multivariate Post-Quantum and Hash-Based Cryptographic Framework for Real-Time Numerical Thyroid Biomarker Anomaly Detection in IoMT
[NO] 690/1000 | Nonlinear Model Predictive Control using a Modified Sequential Convex Programming
[NO] 691/1000 | A Bitmap-Guided Collision Tree Anti-collision Protocol for Large-Scale RFID Tags Identification_supp1-3696454.pdf
[NO] 692/1000 | Reinforcement Learning-Based Intelligent Vehicle Adaptive Cruise Control
[NO] 693/1000 | Category-Guided Vision-Language Model for IoMT-Enabled Medical Report Generation under Heterogeneous Imaging Data
[NO] 694/1000 | Classroom Emotional State Analysis Using Proxy Metrics and Multimodal Data
[NO] 695/1000 | Physics-Informed Interpretable Digital Twin for PMSM Drives Via Sparse Identification_supp1-3699429.pdf
[NO] 696/1000 | Full-Scale Feature Pyramid Information Propagation for Post-Earthquake Landslide Detection
[NO] 697/1000 | Synchronization-Free Backdoor Attacks on Edge-Deployed Neural Network for IoT Systems
[NO] 698/1000 | 2026 12th International Conference onCommunication and Signal Processing (ICCSP)
[NO] 699/1000 | Rapid Heating Process for High-Density Nd-Fe-B Magnet Plates via Electrically Heated Powder Rolling: Microstructure and Magnetic Properties_supp1-3699616.pdf
[NO] 700/1000 | A Systematic Robustness Analysis of Context Re-Positioning in Long-Context Language Models
[NO] 701/1000 | Field Oriented Control of Outer Rotor Permanent Magnet Synchronous Motor Using Co-Simulation
[NO] 702/1000 | Lung Cancer Classification using YOLOv8-based Nodule Detection and Transformer-Enhanced Segmentation
[NO] 703/1000 | A Systematic Review on Graphical Authentication Through Image Distortion and Fragmentation
[NO] 704/1000 | Comprehensive Evaluation of Vision Transformer Models for Brain Tumor Classification using MRI
[NO] 705/1000 | Real Time Face Recognition-based Smart Door Access Control System
[NO] 706/1000 | Cerebrovascular Scan Analyzer an Intelligent Deep Learning System for Early Hemorrhagic Stroke Detection using CT Scan
[NO] 707/1000 | An Intelligent Optimization for Electric Vehicle Charging and Scheduling Using VANETs
[NO] 708/1000 | Interpretable Artificial Intelligence for Cyber Defense: Advances, Limitations, and Future Opportunities
[NO] 709/1000 | Development of Low Power Two Stage Op-Amp using 45nm Technology
[NO] 710/1000 | Web Application for the Automatic Code Generation of Fullstack Projects Using Generative Artificial Intelligence: GPT-5
[NO] 711/1000 | Double Boost Nine-Level Inverter for Renewable Energy Systems with Reduced Circuit Elements
[NO] 712/1000 | A Blockchain-based Finite State Machine for Decentralized Warranty Lifecycle Management
[NO] 713/1000 | Software Reliability Prediction Using Machine Learning
[NO] 714/1000 | AI-Enabled Women Safety Surveillance with Instant Incident Prediction and Emergency Dispatch
[NO] 715/1000 | Reinforcement-Learning Powered IoT Energy Grid for Adaptive Balancing of Clean and Renewable Power Sources
[NO] 716/1000 | Portable IoT-Based Smart Farming Device For Real-Time Fertilizer Optimization And Crop Recommendation
[NO] 717/1000 | Multiple Fault Detection in EV Vehicles using AI to Avoid Fire Accidents
[NO] 718/1000 | Sleep Disorder Prediction by using Machine Learning
[NO] 719/1000 | Design and Development of a Drone-Based Autonomous Seed Dispensing Mechanism for Precision Reforestation
[NO] 720/1000 | An Intelligent Autonomous Robot for Precision Irrigation based on Soil Condition Monitoring
[NO] 721/1000 | Real-Time DDoS Detection for SDN with Stacking Ensembles in OMNeT++
[NO] 722/1000 | Thermal Performance and Energy Modeling of a Geodesic Dome
[NO] 723/1000 | Federated Learning-based Intelligent Intrusion Detection for Secure and Scalable IoT Systems: A Comprehensive Review and Future Directions
[NO] 724/1000 | From the Pitch to the Virtual Workspace: Using an Autoethnographic Diary to Study Video Analysis as a Situated Practice in Finnish First-Tier Football
[NO] 725/1000 | Tripartite Evolutionary Game Analysis of Tripartite R&amp;D Cooperation in Digital Agricultural Technology
[NO] 726/1000 | A Review of Digital Twin Applications in Smart Cities
[NO] 727/1000 | An AI-Supported “333” Teaching Framework Based on Generative Models and Learning Analytics for Vocational Medical Technology Education
[NO] 728/1000 | Parallel fault diagnosis method for transformers based on the Storm cloud platform
[NO] 729/1000 | Explainable AI for Student Mental Health Monitoring: Bridging the Trust Gap in Smart Campus Depression Screening
[NO] 730/1000 | Research on the Spatiotemporal Differences of China's pre-primary Education Resource Allocation Based on K-means Clustering
[NO] 731/1000 | Deep Learning-Based Intelligent Intervention System for Teachers' Social-Emotional Competence Development
[NO] 732/1000 | Study of Intelligent Question Answering System for the Course of Operating System
[NO] 733/1000 | Analyzing the Emotional Style of Tang Poetry based on BPE algorithm and NPMI Feature Selection
[NO] 734/1000 | LFED Preview for Grade 3 Mathematics: An Intervention Study with LASSO-Logistic Regression-Based Driver Analysis
[NO] 735/1000 | Hope by Design: The Paradox of Trauma-Informed Co-Design in Carceral Space
[NO] 736/1000 | Living Together, Playing Together: Participatory Game Design in a Residential Cooperative
[NO] 737/1000 | Multispecies design: Centring the Agency of Non-Human Communities in Participatory Urban Design Processes
[NO] 738/1000 | Design and Implementation of Cloud-Edge Collaborative Mapping and Control System for Mobile Robots
[NO] 739/1000 | Electromagnetic and Structural Trade-Offs of V-Position Magnet Embedding in Outer-Rotor PMSMs
[NO] 740/1000 | Robust Decision-Level Fusion for Multimodal Fall Detection under Controlled Sensor Noise
[NO] 741/1000 | FR3 OFDM Multistatic ISAC Geometry-Aware Multi-Link Fusion and CRLB-Guided Design
[NO] 742/1000 | Cosine-Resonant Modular Multilevel DC–DC Converter With ZVS Capability for High-Efficiency Hydrogen Production System
[NO] 743/1000 | A Low Jitter Pulse Generator for Electrically Excited Transient Absorption
[NO] 744/1000 | Table of Contents
[NO] 745/1000 | Efficient and Privacy-Preserving Federated Learning with Gradient Control against Data Poisoning_supp1-3699615.pdf
[NO] 746/1000 | Research and Experimental Verification of RCS Reduction of Metal Plate Targets by Plasma
[NO] 747/1000 | Block Term Decomposition-Guided Frequency Mamba Modulation for Hyperspectral Image Fusion
[NO] 748/1000 | Comprehensive Efficiency Optimizations of Variable Flux Memory Machines for Electric Vehicle Tractions Considering Driving Cycles
[NO] 749/1000 | Acoustic Emission Source Localization in Composite Pressure Vessels Based on an Omnidirectional Wave Velocity Matrix
[NO] 750/1000 | Design of a Geographic Information System for Monitoring the Electrical Distribution Network: A Sustainability Approach
[NO] 751/1000 | Anomaly Detection and Compensation System on Solar Smart Inverters Using Isolation Forest
[NO] 752/1000 | Detection of Prompt Attacks in LLMs
[NO] 753/1000 | Token-Budget-Aware Context Selection for RAG Via Integer Linear Programming
[NO] 754/1000 | ABHA's Personalised Clinical Intelligence Assistant
[NO] 755/1000 | Deep Learning-Based Fault Detection Framework for Predictive Maintenance in HVAC Systems
[NO] 756/1000 | Stochastic Multi-Objective Planning of Smart Integrated Renewable Energy System (SIRES) under Demand and Resource Uncertainty
[NO] 757/1000 | Neural Network-Driven Optimization of Quality Engineering Metrics for High-Volume Healthcare Claims and EDI Transaction Performance
[NO] 758/1000 | Osteoporosis and Osteopenia Detection Using RPE-Augmented Vision Transformers (RPE-ViT)
[NO] 759/1000 | Non-Invasive Multi-Vitamin Deficiency Monitoring System
[NO] 760/1000 | Urban Sustainability Semantic Association with UN SDG Targets: Socio-Technical Systems View
[NO] 761/1000 | QR Code based Indoor Navigation for Mobile Robot
[NO] 762/1000 | DenseNet Framework for MRI-Based Alzheimer's Disease Classification with Feature Enhancement
[NO] 763/1000 | Discourse Modeling for Text-based Emotion Recognition Using Fusion Approaches
[NO] 764/1000 | Untrashify 2.0: A Real-Time High-Precision E-Waste Audit System Using Efficientdet-D5 and UNU-KEYS Taxonomy
[NO] 765/1000 | An AI Enabled Framework for Reliable V2X Communication in Intelligent Transportation Systems
[NO] 766/1000 | Low Energy Predictive Routing Framework for Long Lifetime Wireless Sensor Networks
[NO] 767/1000 | Deterministic Adaptive Testing With Verification: Score Alignment, Convergence, and Efficiency
[NO] 768/1000 | A Deep Learning-Based Framework for Early Detection of Diabetic Retinopathy
[NO] 769/1000 | Advanced Ensemble Learning for Lithium-Ion Battery State of Health in Smart Transportation Fleets
[NO] 770/1000 | Comparative Evaluation of Machine Learning Models for S11 Prediction in Microstrip Patch Antennas
[NO] 771/1000 | A Deep Learning-Based Approach to Intelligent Web Vulnerability Discovery and Risk Assessment
[NO] 772/1000 | Cognitive Radio-based Adaptive Baseband Chip for Secure IoT Mesh
[NO] 773/1000 | Renewable Solar Energy for Desalination: Numerical Investigation of Single Slope Solar Still
[NO] 774/1000 | ClimateCV: The Potential of Computer Vision Applications in Climate Change Mitigation and Adaptation
[NO] 775/1000 | Innovation in the Pyroligneous Liquor Extraction Process
[NO] 776/1000 | Automating Secure NAS User Provisioning and Management with n8n Workflows
[NO] 777/1000 | An Intelligent Food Authentication System using Multisensor Data and Machine Learning
[NO] 778/1000 | Optimal Placement and Coordinated Parameter Tuning of FACTS Devices for Enhanced Power System Performance
[NO] 779/1000 | CloudImageHunt: Large-Scale Detection and Analysis of Malicious Container Images
[NO] 780/1000 | Concept of Cyber Threat Assessment of Critical Infrastructure Facilities
[NO] 781/1000 | A Comparative Study of Machine Learning Algorithms for AQI Prediction in Key Indian Cities
[NO] 782/1000 | An Optimized Hybrid Machine Learning Framework for Early Detection of Skin Cancer
[NO] 783/1000 | Fetal Health Detection using CatBoost with Feature Selection techniques
[NO] 784/1000 | Random ReLU–Based Support Vector Machine Classifier for Frequency-Domain Data
[NO] 785/1000 | Strategies for Light Management in Thin and Flexible c-Si Solar Cells Utilizing Copper Oxide (CuO) Nanoparticles
[NO] 786/1000 | Novel Control Strategy for High Efficiency Power Conversion in Electric Vehicle Drive Systems
[NO] 787/1000 | A Federated Digital Twin Framework for Predictive ICU Ventilator Monitoring using IoT Data
[NO] 788/1000 | Energy Efficiency Improvement by Compressor Waste-Heat Recovery: an Industry Case Study
[NO] 789/1000 | Passages
[NO] 790/1000 | Graph-Based Financial Fraud Detection with Calibrated Risk Scoring and Structural Regularization
[NO] 791/1000 | Evaluation method for multimodal translation teaching effectiveness based on deep learning
[NO] 792/1000 | Public Perception of AI-Enabled Curriculum Reform for Road and Bridge Inspection in Higher Vocational Colleges: A K-means Clustering Study
[NO] 793/1000 | Logistic Regression-based Evaluation of a Digital-Intelligence-Driven, Industry-Led, Multi-Dimensional Integrated Training Model for Vehicle Engineering
[NO] 794/1000 | Personality-Informed Team Formation for Collaborative Learning in Design Education: A Regression-Guided Framework
[NO] 795/1000 | Research on Open Training Teaching for Technical Talents in Higher Vocational Colleges Empowered by Multimodal AI Fusion Technology
[NO] 796/1000 | Research on Teaching Effectiveness Optimization Methods for Industry-Education Integration in Digital Design Based on the AI-TPACK Framework
[NO] 797/1000 | A Human-Computer Interaction-Based Approach to Enhancing Digital Literacy of Art Teachers in Higher Vocational Education
[NO] 798/1000 | Structure-Aware Cognitive Diagnosis for Music Education: Fusing Concept Graphs with Isomorphic Validation Strategy
[NO] 799/1000 | A Sensory Device for Obstacle Detection and Semantic Environment Recognition via SLM
[NO] 800/1000 | Letter from the Editor
[NO] 801/1000 | Reflections from AIES 2025
[NO] 802/1000 | Transition Design in Times of Climate Crisis
[NO] 803/1000 | Contributions from a Future Generation of Participatory Design Researchers: Growing Societal Demands and Diversifying Competences
[NO] 804/1000 | What’s on the (Tension) Radar? An Invitation for Co-Reflecting on the Values at Stake towards Greater Footprints of Impact
[NO] 805/1000 | Novel Non-destructive Evaluation of Corrosion on Rebar Embedded in Mortar Wall Using 10-GHz Doppler Sensor
[NO] 806/1000 | Topology-Constrained Representation Dynamics for Robust and Stable Transformer Learning
[NO] 807/1000 | Mitigating Hallucination in Multimodal Information Systems: A Comparative Analysis of Modular LLM Architectures
[NO] 808/1000 | Automated and Near-Flawless Micropipette PIH Assembly to MEMS Nanoforce Sensor With A Robotic Microscopy System_supp6-3672876.mp4
