[2026-06-27 10:58:17] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-26
正在获取论文...
[ACM] 2026-6-26 | VFDelta: A Framework for Detecting Silent Vulnerability Fixes by Enhancing Code Change Learning
[NO] 418/844 | Fractional-Order LADRC-Based Robust PLL Controller for Reliable Integration of Distorted Grid Voltage
[NO] 419/844 | Bridging the Procedural Code Gap: Agentic Database Migration with Execution-Grounded Validation
[NO] 420/844 | Advanced Land Observing Satellite-4 (ALOS-4) for Monitoring Disaster, Land Deformation, and Subsidence
[NO] 421/844 | IEEE Robotics and Automation Letters Information for Authors
[NO] 422/844 | A Novel Model for 3D Motion Planning for a Generalized Dubins Vehicle with Pitch and Yaw Rate Constraints
[NO] 423/844 | Computational Attention-based Modeling of Individually Perceived Quality of Compressed Images
[NO] 424/844 | Detection of soil salinity in agricultural crops using AI with hyperspectral imaging and machine learning
[NO] 425/844 | How Do Intelligent Systems Enhance Corporate Efficiency?
[NO] 426/844 | High-Performance H-Shaped CBCPW-Fed MIMO Antenna Operating at 5 GHz
[NO] 427/844 | Digital Twin-Based Algorithms for Predictive Control of High-Precision CNC Machining Processes
[NO] 428/844 | Dynamic AI-ABAC: LLM Driven Attribute Based Access Control for Blockchain IoT Systems
[NO] 429/844 | Exploring the Implication of ML-Based Evaluation Techniques to Overcome the Software Development Lifecycle Selection Challenges Faced by Project Managers
[NO] 430/844 | Cultural Influences on HRM in Arab Countries: The Role of Wasta and the Adaptation of Western Models
[NO] 431/844 | Performance and Scalability Analysis of Federated LSTM-Based Energy Forecasting in Distributed Edge Networks
[NO] 432/844 | Secondary Cancer Risk Modeling Using Experimental Dosimetry with OED-EAR in Breast Radiotherapy
[NO] 433/844 | Gesture Interaction: From 2D Multi-stroke to 3D Dynamic Gestures with Contact-Based and Contactless Devices
[NO] 434/844 | Designing Fatigue-Aware VR Interfaces via Biomechanical Models
[NO] 435/844 | Robot Few-Shot Manipulation Skills Learning Based on Meta Imitation Learning and Mixture of Experts Model
[NO] 436/844 | A 23.5–46.5 GHz
                    <i>G</i>
                    <sub>m</sub>
                    -Boosting Feedback LNA With 2.7-dB NF and 14-mW Pdc in 28-nm CMOS
[NO] 437/844 | Neuroadaptive Fuzzy Dynamic Optimal Tracking Control in Wastewater Treatment Aeration Process
[NO] 438/844 | Physical Model for Discharges in Long Air Gaps Containing a Floating Conductor Under Positive Switching Impulses
[NO] 439/844 | Linear Filter for Discrete-Time Systems Driven by Fractional Noises
[NO] 440/844 | Table of Contents
[NO] 441/844 | DIMQ: Distribution-Induced Multi-Peak Quantization for Deep Neural Networks
[NO] 442/844 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp2-3701298.mp4
[NO] 443/844 | Performance Evaluation of Social Learning
[NO] 444/844 | TMUNet: A UNet with Torsion-Based Local Geometry and State Space Global Modeling for Remote Sensing Semantic Segmentation
[NO] 445/844 | A Novel Framework to Design Tactical Level Controllers for Surface Vehicles Performing Trajectory Tracking Missions
[NO] 446/844 | SAIGFormer: A Spatially-Adaptive Illumination-Guided Network for Low-Light Image Enhancement
[NO] 447/844 | A Self-Correcting Pole Climbing Robot for Pulsed Eddy Current Inspection with Stable Lift-Off Distance Control
[NO] 448/844 | Cyber-Resilient Coordinated QV Control in Grid-Connected Inverters via Disturbance Observer-Augmented Control Barrier Function
[NO] 449/844 | FSCA-YOLO: A Recognition and Detection Algorithm for CT Images of PCB Drilling
[NO] 450/844 | Lightweight and Robust Hyperspectral Image Classification via Cyclic Heterogeneous MNF1-Guided Spectral-Band Filtering
[NO] 451/844 | Dynamic Event-Triggered Set-Membership Estimation for Wireless Sensor Networks over Vessel Navigation with Privacy-Preservation
[NO] 452/844 | Two-Timescale Learning for Pilot-Free ISAC Systems
[NO] 453/844 | Learning-Based SRAM Read Access Yield Estimation with Timing-Space Decomposition and Failure Boundary Modeling
[NO] 454/844 | A Novel Reflectance Harmonization Method for Multiple Moon Mineralogy Mapper (M
                    <sup>3</sup>
                    ) Data in Lunar High-Latitude Polar Region
[NO] 455/844 | Multi-Device Shallow Water Simulations on CPUs, GPUs, and FPGAs with SYCL
[NO] 456/844 | When [Almost] Nothing Fails: The Data Paradox in Reliability Engineering
[NO] 457/844 | AlphaFold Transforms System Prediction using Advanced AI Algorithm
[NO] 458/844 | Consequences Of Big Data Analytics for Knowledge Management the Mediating Role of Organizational Resilience
[NO] 459/844 | An AI-BIM Based Predictive Framework for the Optimization of Construction Waste Recycling in Saudi Arabia
[NO] 460/844 | A Particle Filter With LSTM for Stock Market Price Forecasting
[NO] 461/844 | The Role of Knowledge-Based Human Resource Management in Developing Strategies for Reducing Workplace Cyberloafing (An empirical study at Iraqi Ministry of Trade/Ration Card Project)
[NO] 462/844 | Federated Learning for Distributed Prediction and Optimization Across Smart Transportation Networks Using Heterogeneous Sensor Data
[NO] 463/844 | Application of Artificial Intelligence in Smart Garden Design: A Case Study of Fisherman’s Garden Park in Kazan
[NO] 464/844 | Enhancing Sustainable Supply Chain Success in Jordan using Sustainable Efficiency and Supply Chain Readiness
[NO] 465/844 | Graph neural networks for spatial modeling of nitrogen distribution in agricultural soils using IoT sensor data
[NO] 466/844 | Hybrid Navigation Model of a Mobile Manipulator Robot: Combination of Global Planning and Local Dynamic Optimization
[NO] 467/844 | Deep Learning Recommender System for Profit and Demand Optimization in E-Commerce
[NO] 468/844 | AI in Palm Oil Yield Production, Disease Détection, and Process Optimisation: A Systematic Review
[NO] 469/844 | Cloud Based AI-Enabled Data Analytics for Electronic Waste Reuse and Refurbishment
[NO] 470/844 | From Usability Heuristics to Human–AI Interaction: A Comparative Analysis of 30-Years of Design Guidelines
[NO] 471/844 | A System-Level Performance Analysis of On-Device Learning on an Ultra-Low-Power Edge System
[NO] 472/844 | Mapping Gestures Performed with Tangible Cubes to System Commands
[NO] 473/844 | A Longitudinal Analysis of Gamification in Untappd: Ethical Reflections on a Social Drinking Application
[NO] 474/844 | The Moral Consistency Pipeline: Continuous Ethical Evaluation for Large Language Models
[NO] 475/844 | Enhancing User Engagement and Personalization in Virtual Reality for Cultural Heritage Using a Dual-Layer Fuzzy-Based Approach
[NO] 476/844 | Nemobot Games: Crafting Strategic AI Gaming Agents for Interactive Learning with Large Language Models
[NO] 477/844 | A High-Efficiency Circularly Polarized Transmitarray with Integrated Wideband Filtering Responses
[NO] 478/844 | Wideband Dual-Polarized Metasurface Antenna with Fan Beams for Outdoor Wi-Fi Applications
[NO] 479/844 | Serial Shrinkage Attention-ResNet Based Efficient Photovoltaic Fault Diagnosis Under Similar I–V Signals
[NO] 480/844 | Beyond Polarity: A Scalable Transformer-Based Emotion Intelligence Framework with Distributed Big Data Optimization
[NO] 481/844 | AURORA-IDS: Agent-Guided Routing-Deformable Attention for Robust Semi-Supervised Intrusion Detection on Tabular Traffic Data
[NO] 482/844 | Efficient Simulation of Doppler-Broadened Rydberg Quantum Receivers via Monte Carlo Wave Functions
[NO] 483/844 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp5-3701298.mp4
[NO] 484/844 | Use of RPNIs and Implanted Electrodes for Prosthetic Wrist and Multi-Grip Hand Control during Functional Tasks: A Case Study
[NO] 485/844 | Region-based Progressive Alignment Network for Multimodal Remote Sensing Object Detection
[NO] 486/844 | AvatarVTON: 4D Virtual Try-On for Animatable Avatars_supp1-3705812.pdf
[NO] 487/844 | A Performance-Portable, Massively Parallel Distributed Nonuniform FFT
[NO] 488/844 | Short Video Recommendations and Impulse Buying Intention Among University Students in Can Tho City, Vietnam
[NO] 489/844 | Road Cleanliness Classification Using Deep Learning and Vision Transformer with LIME-based Explainability
[NO] 490/844 | 6G Edge-Enabled Smart Museum System for Adaptive Navigation and Visitor Experience Optimization
[NO] 491/844 | The Role of Digital Content and Digital Marketing Practices in Shaping Customer Engagement
[NO] 492/844 | Cyber Security Challenges in Digital Banking: Perspectives from Financial Institutions and Customers
[NO] 493/844 | Improved U-NET Based Deblurring for Dynamic Scenes
[NO] 494/844 | Shaping AI-Based Energy-Efficient Buildings for Sustainable Cities
[NO] 495/844 | IoT Based Smart EPS Lab Automation &amp; Energy Management System
[NO] 496/844 | Enhancing Large Language Model (LLM) Reliability: A Comparative Analysis of RAPTOR, GraphRAG, and Agentic Strategies for Domain Specific QA
[NO] 497/844 | POSTER: Hardware Acceleration for Graph Neural Networks
[NO] 498/844 | Quantum Walks for Collision-Based Information Set Decoding
[NO] 499/844 | BlockKD3A: A Web3-Native Framework for Decentralized Collaborative AI and User-Generated Model Assets
[NO] 500/844 | Subwavelength-Thick Liquid-Crystal-Embedded Metal Meshes for Terahertz Retarder
[NO] 501/844 | AD-DAE:
                    <b>A</b>
                    lzheimer's
                    <b>D</b>
                    isease Progression Modeling with Unpaired Longitudinal MRI using
                    <b>D</b>
                    iffusion
                    <b>A</b>
                    uto-
                    <b>E</b>
                    ncoders
[NO] 502/844 | GEN-CSAF: A Generative Autonomy Framework for End-to-End Task Scheduling in Container-Based Systems_supp1-3707138.docx
[NO] 503/844 | Table of Contents
[NO] 504/844 | Toward Trustworthy Federated Unlearning for Mobile Autonomous Systems
[NO] 505/844 | Real-Time Obstacle Detection and Motion Analysis for Visually Impaired Navigation with Audio Feedback
[NO] 506/844 | MMK: A Hybrid Scheduling Framework for Fine-Grained GPU Sharing for Deep Learning Applications
[NO] 507/844 | Traversing the Untraversable: Enabling UAV Navigation in the Extremely Dense Wild by Contact-driven Adaptation_supp6-3705701.mp4
[NO] 508/844 | Quantum Sensors: A Comprehensive Review and Future Perspectives
[NO] 509/844 | A Multi-Modal Framework for Phage-Host Interaction Prediction Using Multi-View Contrastive Learning_supp1-3707293.docx
[NO] 510/844 | Electrically Tunable Waveguide Digital Phase Shifter Based on Artificial Electromagnetic Materials
[NO] 511/844 | Front Cover
[NO] 512/844 | A Survey on 3D Gaussian Splatting Applications: Segmentation, Editing, and Generation_supp1-3704980.pdf
[NO] 513/844 | Integrated Sensing and Communications in Low-Altitude Wireless Networks via Distributed Extremely Large-Scale Antenna Arrays
[NO] 514/844 | Visible-to-Infrared Image Translation via Disentangled Imaging Attribute Transfer
[NO] 515/844 | An Algorithm for Feature Extraction from Large Scale Meteorological Data Stores on Irregular Grids
[NO] 516/844 | Dynamic Line Modeling and Cyclic-Small-Gain Synthesis for Plug-and-Play Fault Detection in Islanded Microgrids
[NO] 517/844 | Security Control of Switched T-S Fuzzy Systems Under Denial-of-Service Attacks
[NO] 518/844 | A Low-Power 2
                    <sup>nd</sup>
                    -Order ΔΣ Modulator with a Single Current-Starving FIA
[YES] 519/844 | Accelerated Safety Evaluation for Autonomous Vehicles Using Markov Chain Score Ascent-Based Adaptive Importance Sampling
[NO] 520/844 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp4-3701298.mp4
[NO] 521/844 | IoT-Based Real-Time Monitoring and Anomaly Detection in Smart Ports and Maritime Infrastructure
[NO] 522/844 | Multimodal AI Model for Predicting System Performance Using Satellite Data, Weather Time Series, and Sensor Networks in Maritime Operations
[NO] 523/844 | Hybrid Neural Architectures for E-commerce Personalization: Balancing Accuracy and Diversity through GNN-Transformer Integration
[NO] 524/844 | Multilevel Converters for High Power Wind Energy Systems: A Review
[NO] 525/844 | Machine Learning Algorithms for Adaptive Optimization of Industrial Automation Systems in Smart Factories
[NO] 526/844 | Artificial Intelligence-Based Fractional Modeling for Solar and Wind Energy Forecasting in Smart Grids
[NO] 527/844 | Implementation of Artificial Intelligence in the Accounting Context
[NO] 528/844 | MRI Based Vision Transformer Framework for Brain Tumor Classification in Medical Imaging
[NO] 529/844 | A Universal MMED-based Power Allocation Algorithm for NOMA Satellite-Terrestrial Networks
[NO] 530/844 | An Active Cooling Method for Fast Actuation of a Millimeter-Scale Shape Memory Alloy-Based Bending Joint_supp1-3694411.mp4
[NO] 531/844 | Healthy Limb Driven Prediction for Real Time Control of Unilateral Exoskeletons in Gait Rehabilitation
[NO] 532/844 | Mapping of the Liao River Delta wetland from 2016 to 2024 based on the Dynamic Spatiotemporal Fusion Model
[NO] 533/844 | MMGC-AttnNet: A Multi-level Multi-modal Cross-Attention Network for High-Resolution Remote Sensing Image Segmentation
[NO] 534/844 | Informed-Exploration Reinforcement Learning for Automated Virtual Coronary Intervention Planning
[NO] 535/844 | Mitigating Power Fluctuations of Large Language Model Training via Hybrid Energy Storage Systems in Renewable-Powered Computing Centers
[NO] 536/844 | IEEE Robotics and Automation Society Information
[NO] 537/844 | Topology and Reliability Aware Qubit Mapping for Quantum Core Systems
[NO] 538/844 | Analysis of Green Supply Chain Management Performance in UKM Tuna Tofu Processed Using the Green SCOR Method
[NO] 539/844 | Hybrid CNN-Transformer model for early detection of powdery mildew in wheat using multispectral UAV imagery
[NO] 540/844 | Local Mean RSS Estimation in Indoor Multipath Fading Channels
[NO] 541/844 | Bridging Classical and Colloquial Bangla: Using Large Language Models for Sadhu–Cholit Register Classification
[NO] 542/844 | SVM-Based Stress Detection in Nurses Using Wearable Physiological Sensor Data
[NO] 543/844 | AZNet: An Efficient Convolutional Neural Network for Alzheimer's Disease Classification
[NO] 544/844 | COA-Tuning: Collaborative Adapter Tuning with Prompt Enhancement for Class-Incremental Medical Image Learning
[NO] 545/844 | Improving Viewpoint Robustness for Visual Recognition via Adversarial Training_supp1-3705256.pdf
[NO] 546/844 | AMBER: Robust Federated Learning Based on Client Verification
[NO] 547/844 | A Propulsion System Integrated Inductive Wireless Charger for Electric Vehicles
[NO] 548/844 | Towards a High-Throughput Automated Materials Experimentation Platform: Hybrid-Automata-Inspired Modeling and Equipment Configuration Optimization_supp1-3702087.mp4
[NO] 549/844 | ATASR: Air-to-Air Scene Reconstruction
[NO] 550/844 | SAA-U-Net: A Novel Architecture for Accurate QoT Prediction in Optical Networks
[NO] 551/844 | An Overview of Potential Medical Applications of Microwave Kinetic Inductance Detectors
[NO] 552/844 | Risk-Aware Link Adaptation Architecture for Ka-Band LEO Downlinks Under Ionospheric Disturbances
[NO] 553/844 | Table of Contents
[NO] 554/844 | Quad-Level Inshore Awareness for Automatic Marine Ship Surveillance Using Satellite SAR System
[NO] 555/844 | Toward Intelligent Earth Observation: Hierarchical Feature Fusion and a Drone Dataset for UAV-Based Fire Detection_supp1-3702209.pdf
[NO] 556/844 | MSAF-Net: An adaptive prediction model for shape parameters in MQ-RBF interpolation
[NO] 557/844 | Spectrally-Enhanced Policy Gradient Reinforcement Learning for Maximizing Connectivity Robustness in Dynamic Communication Networks
[NO] 558/844 | Proceedings of the Platform for Advanced Scientific Computing Conference
[NO] 559/844 | Inline Lossy Compressed MPI Communications in GPU-based Plasma Turbulence Simulations
[NO] 560/844 | A Multi-Modal AI Decision Framework for Video Content Moderation Using FNSS, Deep Learning, and NLP
[NO] 561/844 | Gradient Boosting Model for Integrative Analysis of ECG and Clinical Data in Predicting Coronary Heart Disease
[NO] 562/844 | An On-Device Deep Learning Framework for Real-Time Pothole Detection and Geo-Localized Road Condition Monitoring
[NO] 563/844 | A Cause-Aware Graduation Outcome Prediction Framework for Academic Decision Support
[NO] 564/844 | Edge AI system for real-time detection of Colorado potato beetle in potato fields using low-power embedded cameras
[NO] 565/844 | Intelligent Medical Agent: Automatic Extraction and Structuring of Clinical Data from Voice
[NO] 566/844 | From AI Enabled Upskilling to Employee Retention in Engineering Project Environments: Empirical Evidence from the Mekong Delta, Vietnam
[NO] 567/844 | Machine Learning-Based Prediction of Emissions in Maritime and Transportation Systems Using Environmental Sensor Data
[NO] 568/844 | Sheleen: Building the Bahasa Sug Language Model Using Recurrent Neural Networks
[NO] 569/844 | Real-Time Adaptation and Continuous Learning in LLMs: A Systematic Review
[NO] 570/844 | Personalized Outfit Color Recommendation Using Machine Learning and Virtual Compatibility Analysis
[NO] 571/844 | An Open-Source Distributed Simulation Framework for RISC-V Systems incorporating Vector and Cryptographic Extensions
[NO] 572/844 | SMX: A RISC-V ISA Extension for Scale-Adaptive Quantized Softmax
[NO] 573/844 | SABRE: A Compression-Aware BF16 Accelerator for Neuromorphic Attention
[NO] 574/844 | Fourth Workshop on Engineering Interactive Systems Embedding AI Technologies
[NO] 575/844 | Proceedings of the 8th Workshop on Modeling and Simulation of Software-Intensive Systems
[NO] 576/844 | Physics-Aware Multi-Task Learning for Atmospheric Turbulence Parameterization: Auxiliary Tasks versus Architectural Conditioning
[NO] 577/844 | A Tri-branch Cascaded Context-aware Fusion Network for Multispectral Object Detection in Remote Sensing
[NO] 578/844 | Decoding High-Rate Nodes in Polar Codes via Matrix Constraint
[NO] 579/844 | Global gross primary production data fusion by Triple Collocation Analysis from 1992 to 2018_supp1-3707237.docx
[NO] 580/844 | BERTO: Intent-Driven Network Time Series Forecasting via Natural Language Operator Preferences_supp1-3707434.pdf
[NO] 581/844 | PersonalityLLM: A Zero-Shot Detection Method for Big Five Personality Traits From Social Avatars
[NO] 582/844 | Evaluation Integrity in Hybrid Quantum-Classical Skin Lesion Classification: A Data-Leakage Audit and Lesion-Level Correction on HAM10000
[NO] 583/844 | CaRLi-V: Camera-RADAR-LiDAR Point-Wise 3D Velocity Estimation_supp2-3702579.pdf
[NO] 584/844 | IEC/IEEE International Standard Time-Sensitive Networking Profile for Industrial Automation
[NO] 585/844 | Hadamard-Based Recursive Aperture Decoded Ultrasound Imaging (READI) With Estimated Motion-Compensated Compounding ( EMC ) Using Top-Orthogonal to Bottom Electrode (TOBE) Arrays_supp2-3704971.mp4
[NO] 586/844 | Distributionally Robust Optimization for Location-Inventory-Allocation and Evacuation Planning Under Demand and Facility Disruption Uncertainties in Humanitarian Logistics
[NO] 587/844 | Fault Tolerant Control for Heterogeneous UAVs-UGVs Coordinative System with Adaptive Safety Switching based on DMPC
[NO] 588/844 | Torso-Mounted Pedestrian Dead Reckoning Using Nadir-Based Zero-Cycle Heading and Differential Accelerometry
[NO] 589/844 | On the Assessment of the Field Radiated by Base station Antennas
[NO] 590/844 | Rest Tremor and Dyskinesia Assessment in Parkinson’s Disease Using Wearable Sensors
[NO] 591/844 | The Impact Of Accountability And Autonomy On The Efficiency Of Preparing And Implementing University Budgets
[NO] 592/844 | Disease Identification Device for Tomato Health Monitoring Using Lightweight Convolutional Neural Networks
[NO] 593/844 | Zero-Trust Security Architecture Powered by AI for Cloud Environment
[NO] 594/844 | Travel Rover: A Personalized Tourist Itinerary Generation for Exploring the Philippines Using a Multi-agent System
[NO] 595/844 | AI-Driven Digital Transformation of University Admission Systems: Overcoming Trust, Accessibility, and Equity Barriers in Online Enrollment Services
[NO] 596/844 | Ada-Store: An Adaptive Load-aware Hybrid Storage Architecture for Bursty Workloads
[NO] 597/844 | EnsembleHealer: Autonomous Recovery from Model Poisoning in Decentralized Federated Learning
[NO] 598/844 | Evaluating Real-Time Adaptive Interfaces through EEG-derived and Self-reported Mental Workload Indicators
[NO] 599/844 | A Taxonomy of Bad Practices in Software Performance Testing: Insights from Gray Literature and Practitioner Validation
[YES] 600/844 | Boosting DBMS Test Coverage via LLM-Driven SQL Generation
[NO] 601/844 | XOR Bidding and Knapsack Formulations for HPC Network Resource Allocation
[NO] 602/844 | A high-performance elliptic solver for plasma boundary turbulence codes
[NO] 603/844 | Impact of Perceived Personalization AI on Advertisement Attitude Toward E-Shopping Intention in Mekong Delta
[NO] 604/844 | Developing the work of government institutions in the field of future technology and artificial intelligence applications
[NO] 605/844 | Machine Learning Based Real-Time Cyberbullying Detection in Multilingual-Mixed Language Tweets Using Federated Learning: A Systematic Review
[NO] 606/844 | Performance Study of Supervised ML Algorithms for Bangla Fake News Detection with Low Resource Utilization
[NO] 607/844 | A Comprehensive Review of DG Hosting Capacity in Modern Distribution Systems: Technical Barriers and Evaluation Techniques
[NO] 608/844 | Digital Accounting Information Systems (AIS) Overview: A Conceptual Study
[NO] 609/844 | A Lightweight Baseline-Relative Spectral Framework for Subject-Independent EEG Emotion Recognition on the DEAP Dataset
[NO] 610/844 | Artificial Intelligence-Based Hybrid CNN–LSTM Framework for Predictive Analytics of Transformer Overheating Using IoT Sensor Data
[NO] 611/844 | Seamless Integration and Implementation of Distributed Contact and Contactless Vital Sign Monitoring via Microwave Photonics
[NO] 612/844 | DQN-Based Beam Tracking Using Reward-Aware Exploration Without Additional Signaling
[NO] 613/844 | A Trustworthy Heterogeneous Ensemble Network Incorporating Multiple Clinical Features for Cirrhosis Staging Prediction in the Internet of Medical Things
[NO] 614/844 | Reference-Channel-Free Passive Radar Imaging Employing Distributed Antennas
[NO] 615/844 | Design and Experimental Evaluation of SINDy-Based Modeling and Adaptive NMPC for USVs
[NO] 616/844 | Parameter-Efficient and Imbalance-Aware Fine-Tuning for Rhetorical Role Classification in Legal Judgments
[NO] 617/844 | Compact Thermal and Power Models for Manycore Multichiplet Architectures: A Case Study on Intel Sapphire Rapids Processor
[NO] 618/844 | On the Performance of THz Wireless Systems over $\alpha$-$\mathcal {F}$ Channels with Beam Misalignment, Mobility and Hardware Impairments
[NO] 619/844 | Farsighted or myopic strategy in a low-carbon supply chain: the roles of government subsidies
[NO] 620/844 | How Blockchain Technology Adoption Affects the Bullwhip Effect in Manufacturing Supply Chains: An Institutional Theory Perspective
[NO] 621/844 | Engineering Socially-Interactive AI
[NO] 622/844 | Introduction to the Special Issue on Query Performance Prediction
[NO] 623/844 | Mobile Pedipulation for Object Sliding Via Hierarchical Control on a Wheeled Bipedal Robot_supp1-3707348.mp4
[NO] 624/844 | Cross-view Multimodal Vision-Based Assessment Framework for Traditional Chinese Medicine Rehabilitation Training_supp1-3705649.mp4
[NO] 625/844 | LENA: Llama-based Embeddings of Neutralized Assembly for Cross-compiler/optimization Binary Code Similarity Detection_supp1-3705321.pdf
[NO] 626/844 | Collaborative Direct Model Predictive Control for Back-to-Back Converters With Enhanced Power Response and DC-Link Voltage Stability
[NO] 627/844 | Multi-Dimensional Excretion Perception Using a Laser Dot Matrix Sensor
[NO] 628/844 | Front Cover
[NO] 629/844 | Human-Voxel-Based Analysis of UWB TDoA Extraction Methods for Localization of the Wireless Capsule Endoscopy in an IoMT Environment
[NO] 630/844 | Operator’s Perspective on 6G ISAC: From Standards to Services
[NO] 631/844 | Accelerate Radiative Transfer Simulations for the Cosmic Epoch of Reionisation
[NO] 632/844 | Pine Bark Adsorbents for Cerium(III) Removal from Water
[NO] 633/844 | LSTM-Based Prediction of Environmental Dynamics for IoT-Driven Optimization in Maritime and Transportation Systems
[NO] 634/844 | The role of Artificial Intelligence in Tax and Customs Administration
[NO] 635/844 | Design for the Foot Robotic Lower Limb Prosthetic for Human/Humanoid Locomotion
[NO] 636/844 | Edge computing architecture for real-time weed classification using UAV video streams
[NO] 637/844 | Zero-Trust Security Architecture for Microservices-Based Software Systems
[NO] 638/844 | LLM-Driven Optimization for High-Level Synthesis
[NO] 639/844 | LSFAF: A Layer-Sharing and FPGA-Accelerated Framework for Fast Collaborative Inference in Edge Scenarios
[NO] 640/844 | HMix : An Efficient Hardware Accelerator for Quantized MLP-Mixer Inference
[YES] 641/844 | POSTER: A Chip-level Monitoring Framework for Enhancing PCIe Observability
[NO] 642/844 | A Comparison of Massively Parallel Performance Portable Particle-in-Cell schemes for electrostatic kinetic plasma simulations
[NO] 643/844 | Exploring Sustainability in Scientific Software through Code Quality &amp; Test Coverage Metrics
[NO] 644/844 | 2026 International Conference on Information Science and Communication Technology (ICISCT)
[NO] 645/844 | Kokkos Comm: Performance Portable Communication for Distributed Kokkos Applications
[NO] 646/844 | Raising the Bar in Graph OOD Generalization: Invariant Learning beyond Explicit Environment Modeling
[NO] 647/844 | Learning Where, What and How to Transfer: A Multi-Role Reinforcement Learning Approach for Evolutionary Multitasking_supp1-3707341.pdf
[NO] 648/844 | QuDSim: An Open-Source 3D Finite Element Simulation Tool for Nanoscale Devices_supp1-3707416.pdf
[NO] 649/844 | A Novel Hybrid Mode for Hemispherical Resonator Gyroscope Inertial Navigation Systems: Principle and System-Level Calibration Method
[NO] 650/844 | Analysis of droplet motion characteristics on the surface of silicone rubber sample based on ellipsoidal notch droplet model
[NO] 651/844 | Walking a Private Road: Direction-Guided Perturbation for Trajectory Data under Local Differential Privacy
[NO] 652/844 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp1-3701298.pdf
[NO] 653/844 | Autonomous Artificial Egg for Natural Incubation Mimicry and Monitoring in_supp1-3704053.mp4
[NO] 654/844 | Coated FBG Sensor with Enhanced Temperature Sensitivity for Cryogenic Liquid Level Detection
[NO] 655/844 | Synthesis of Dipole-Rotated Planar Array with Dual Circular-Polarization Reconfigurable Shaped Patterns
[NO] 656/844 | A Novel One-Step Small Object Detector for Autonomous Aerial Vehicles
[NO] 657/844 | A Local–Global Domain Adaptation Framework for Industrial Fault Diagnosis Under Variable Operating Conditions
[NO] 658/844 | The Moderating Role of Digital Transformation on the Relationship between Board Gender Diversity and Tax Avoidance: Evidence from Jordan
[NO] 659/844 | Artificial Intelligence Technology in Mathematical and Engineering Applications
[NO] 660/844 | The Nexus Between Workplace Ostracism and Employees’ Work Alienation in the Digital Business Era
[NO] 661/844 | Prediction of Self-Compacting Concrete J-Ring and Strength Using RSM and Machine Learning
[NO] 662/844 | Class Model Generation from Requirements using Large Language Models
[NO] 663/844 | A Differentially Private Weighted Empirical Risk Minimization Procedure and its Application to Outcome Weighted Learning_supp1-3707445.pdf
[NO] 664/844 | Large AI Model and ISAC-Enhanced UAV Network Optimization Through DRL
[NO] 665/844 | 2-DOF Transformable Wheel Preserving Circular Projection During Radius Variation
[YES] 666/844 | Instruction Error Detection with Bloom Filters: Architecture, Radiation Testing and Fault Injection
[NO] 667/844 | Analysis and Design of Dual-Passband Energy Selective Surface with Joint Diode Control for Electromagnetic Protection
[NO] 668/844 | Can Large Language Models Reason About Complex Execution Paths? An Empirical Study on Python
[YES] 669/844 | DIRT: Database-Integrated Random Testing
[NO] 670/844 | Sampling Parallelism for Fast and Efficient Bayesian Learning
[NO] 671/844 | MTGKT: Multi-scale Temporal Graph Knowledge Tracing
[NO] 672/844 | Machine Learning for Wearable Sensor–Based Human Movement Rehabilitation: A Five-Year Systematic Review
[NO] 673/844 | Reinforcement Learning based Multivariate Nonlinear Model Predictive Controller Validation on a Lab Scale Batch Reactor
[NO] 674/844 | An Intelligent Edmonton Obesity Staging System Mobile Calculator
[NO] 675/844 | Intelligent UAV-Mounted Laser Systems for Optimized Data and Energy Coverage in Large-Scale IoT
[NO] 676/844 | The Nexus between Tax Revenues, Government Spending, and Economic Growth in Jordan: Evidence from Dynamic Causality Analysis
[NO] 677/844 | Sustainable Technology in Supply Chains: The Impact of Big Data Analytics on Enhancing Logistics Sustainability through Data-Driven Decision Making
[NO] 678/844 | MRAC with RL-Based Reference Model Estimation for Humanoid Gait Cycle Tracking
[NO] 679/844 | AI-Driven Fault Zone Detection in Medium-Voltage Distribution Grids Using Graph Attention Networks and SCADA Big Data Analytics
[NO] 680/844 | Bond Graph Modeling and Simulation of an Embedded Controller for 3D Printers
[NO] 681/844 | Environmental Monitoring in IoT Systems Using a Random Forest-Based Predictive Model
[NO] 682/844 | Artificial Intelligence in Financial Decision-Making: Intellectual Capital and Financial Performance
[NO] 683/844 | Circular Economy in Modular Construction
[NO] 684/844 | Machine Learning–Based Intelligent Parking Availability Prediction for Sustainable Smart Cities
[NO] 685/844 | Predicting Heart Disease Using SMOTE-Based Data Balancing and Ensemble Learning
[NO] 686/844 | Edge AI System for Real-Time Object Detection in Maritime Environments Using Low-Power Embedded Vision Sensors
[NO] 687/844 | AI-Enabled Adaptive Learning for Workforce-Ready: A Bibliometric Analysis using VosViewer
[NO] 688/844 | StAccato: Reducing the Performance Penalty of Randomness
