[2026-09-24 23:37:03] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-23
正在获取论文...
[arXiv] 2026-09-23 | Bergman barycentric extensions of boundary homeomorphisms of the complex ball
[NO] 1347/2000 | DiMoP: Diffusion-Driven Motion Representation Learning With Frame-Level Pseudo-Classification for Skeleton-Based Action Recognition
[NO] 1348/2000 | Sea-State Guided Pixel-Query Framework for Ocean SAR Panoptic Segmentation
[NO] 1349/2000 | Minimizing voltage deviations by using optimal Volt/VAr curves dynamic control in smart inverters for photovoltaic installations
[NO] 1350/2000 | Forecasting Fused Magnesia Furnace Demand with Fuzzy Stochastic Configuration Networks and System Identification Techniques
[NO] 1351/2000 | Decision letter for "Spaceborne Passive Microwave Signatures of Volcanic Eruptions: Hunga, Fukutoku-Oko-no-Ba, and Raikoke"
[NO] 1352/2000 | A Novel RIS-Enabled Nonlinear Modulation Scheme with Amplitude-Phase Decoupling
[NO] 1353/2000 | Task-Resource Allocation in Multiagent Discrete-Event Systems Based on Extended NCES
[NO] 1354/2000 | Buried SiGe Layer to Boost the RF Performance of High-Resistivity Si Substrates
[NO] 1355/2000 | Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    -based Solar-Blind Deep-UV Detector With ~10
                    <sup>7</sup>
                    Rejection Ratio: Insights Into Temperature-Dependent Carrier Dynamics
[NO] 1356/2000 | Data Agents: Agentic Data Systems
[NO] 1357/2000 | Precision Tracking Control for Fast Steering Mirror in Wide-range Aerial Scanning Imaging System
[NO] 1358/2000 | Volumetric Plane-Based Gaussian Selection for Internal View Synthesis with 3D Gaussian Splatting
[NO] 1359/2000 | EFE-TSC: Efficient Fuel-Economic Traffic Signal Control via Hotspot-Aware Multi-Objective Learning
[NO] 1360/2000 | Effects of PMU Bias Errors In System Inertia Estimation
[NO] 1361/2000 | A Predict-then-Schedule framework for Power Distribution Networks with AI Data Centers
[NO] 1362/2000 | A Single-Motor-Actuated Robotic Hand Based on Magnetorheological Transmission Modules
[NO] 1363/2000 | False Data Injection Attack Detection for DC Microgrids Using Partial Load Measurements
[NO] 1364/2000 | Mode-Aware Short-Horizon Forecasting for Residential Heat Pump Water Heaters under Realistic Draws
[NO] 1365/2000 | Evaluation of full impact of Carrington – equivalent GMD Event on Power Transformers on New Zealand’s Transmission Network
[NO] 1366/2000 | Hierarchical Bayesian Tree-Weighted Light Gradient Boosting for Probabilistic Long-Term Conventional Load Forecasting
[NO] 1367/2000 | Spatiotemporal Energy Optimization for Electrified Railways Based on a Mobile Energy Storage System
[NO] 1368/2000 | Electricity Flexibility Evaluation of Hydrogen-Based Steelmaking with Solar PV Electrolysis
[NO] 1369/2000 | Rethinking Research in Computer Science: Beyond Metrics, Toward Scientific Evolution
[NO] 1370/2000 | Interactive Personalized Clustering: Navigating beyond Rigid Criteria and Sample Ambiguity
[NO] 1371/2000 | A Fast and Soft Startup Strategy for Single-Stage Interleaved Totem-Pole DAB AC–DC Converter
[NO] 1372/2000 | Data-Driven Graph Learning for Transmission Network Partitioning under N-1 Contingencies
[NO] 1373/2000 | GLM-Net: A Mamba-Based Building Extraction Network with Global-Local Feature Collaboration for Remote Sensing Imagery
[NO] 1374/2000 | Miniaturized Traveling-Wave Directional Filter Using Source–Load Coupling for LO Extraction and Signal Routing in Wireless Receivers
[NO] 1375/2000 | Trusted Human Authority in Agentic Artificial Intelligence Systems: Rethinking Identity Assurance for Machine-Scale Operations
[NO] 1376/2000 | Test Time Training for AC Power Flow Surrogates via Physics and Operational Constraint Refinement
[NO] 1377/2000 | RFS Filtering for a Known Number of Targets
[NO] 1378/2000 | Uncertainty Quantification and Measurement Error Correlation in Linear State Estimation
[NO] 1379/2000 | Computationally Efficient Induction Machine Model Incorporating Magnetic Saturation and Air-Gap Flux Harmonics for Offline and Real-Time Analysis
[NO] 1380/2000 | Time-Variant Problem of Distribution System Security Region: Phenomena, Reason and Solution
[NO] 1381/2000 | A Probabilistic Load Margin Assessment Method for Active Distribution Networks
[NO] 1382/2000 | Research on the Progressive Construction Path of the Strongly Centralized TT&amp;C System
[NO] 1383/2000 | A High Velocity Single-Crystal Silicon Edge-Anchored Micromachined Disk Resonator
[NO] 1384/2000 | Efficient Solution for System Frequency Security-Constrained Optimization via Combined Smooth Approximation and Trajectory Sensitivity
[NO] 1385/2000 | Harmonic Distortion Effects on Low-Voltage Distribution Transformers under Rising EV and Nonlinear Load Penetration
[NO] 1386/2000 | A Physics-informed Convex Data Driven Model for Grid-interactive Reverse Osmosis Desalination Plant
[NO] 1387/2000 | Technical Perspectives on Fault Current Injection Requirements in IEEE Std 2800-2022: Clarifications and Recommendations for Improvement
[NO] 1388/2000 | Beyond Energy Functions and Numerical Integration: A New Methodology to Determine Transient Stability at the Initial State
[NO] 1389/2000 | Authenticity Verification of Optical Satellite Imagery via Multi-color Space Evidential Fusion
[NO] 1390/2000 | Voting-Based Hybrid Framework for Robust Anomaly Detection in Smart Grid Communication Networks
[NO] 1391/2000 | Modified Synchronization Sliding Mode Control of a 6-DOF Closed-Kinematic Chain Mechanism Robot Manipulator
[NO] 1392/2000 | DCE-Net: A Decoupled Cross-Modal Enhancement Network with Salient Difference Selection and Controlled Detail Compensation for Pansharpening
[NO] 1393/2000 | Multimodal User Authentication via Keystroke-Triggered Fusion of Finger Pressure and Hand Kinematics
[NO] 1394/2000 | A Dual-Domain Model Merging based Hybrid-Supervised Learning Framework for Computer-Aided Diagnosis
[NO] 1395/2000 | A Threshold-Voltage Self-Compensated Dual-Gate IGZO TFT Cell for Robust In-Sensor Computing
[NO] 1396/2000 | When Bias Lives in the Label: Diagnosing and Correcting Label-Resident Group Gaps, with a Graduate-Employability Case Study
[NO] 1397/2000 | An Active Nonlinear Characteristics Synthesis Based Nonlinear-Fitting Time Delay Neural Network for the Power Amplifier Digital Pre-distortion
[NO] 1398/2000 | Efficient Hybrid Transformer-CNN Network for Real-World Image Denoising
[NO] 1399/2000 | Provable Guarantees for Over-the-Air Federated Learning with Polynomial Neural Networks
[NO] 1400/2000 | Multi-Frame Magnitude Decoupling with Complex-Domain Learning for Robust Radio-Frequency Fingerprint Identification
[NO] 1401/2000 | An All-Digital Algorithmic Flow for Correcting Receiver Impairments in Balanced N-Path Mixer-First Frequency-Division Duplex Transceivers
[NO] 1402/2000 | An Adaptive Frequency-Down-Shifting Method for Synchrophasor Measurement in P-Class PMUs Based on the Time-Varying Amplitude-Frequency Model
[NO] 1403/2000 | Janus Metasurface Breaking Polarization Symmetry: Surface-Modulated Electromagnetic Wave Radiation with Coexistent Linear and Circular Polarization
[NO] 1404/2000 | A Neural Generative Model for Simultaneously Global Registration and Fusion of Near-plane Featureless Machined Metal Surface
[NO] 1405/2000 | How Tool-Error Signals Shape Recovery Route Selection in Information-Gathering LLM Agents: A Controlled Factorial Study_supp1-3736562.pdf
[NO] 1406/2000 | PASTE: Physics-Aware Scattering Topology Embedding Framework for SAR Object Detection
[NO] 1407/2000 | Stability Analysis of Grid-Following and Grid-Forming Converters Connected to Generators
[NO] 1408/2000 | OALS: An Open source AI-Datacenter Load Simulator for Grid Impact Analysis
[NO] 1409/2000 | Self-Verifying Anomaly Detection using Explainable AI for Cybersecurity of DER Networks
[NO] 1410/2000 | State-Vector Driven Dynamic Adjustment for a Multi-Domain Cognitive Rehabilitation System
[NO] 1411/2000 | Assessing the Quality and Diversity of Student- and AI-Generated Programming Exercises from Limited Examples: Empirical Insights from a Large-Scale Blind Evaluation
[NO] 1412/2000 | Integration of 2D LiDAR Perception and a 6-DoF Robotic Arm on a Lunar Rover Prototype
[NO] 1413/2000 | An Aerial Manipulator for Perception-Driven Flower Targeting Toward Contactless Pollination in Vertical Farming
[NO] 1414/2000 | Fast and Safe Path Planning for an Explosive-Charging Manipulator in Tunnel Drill-and-Blast Operations
[NO] 1415/2000 | Fault Diagnosis Method for Rolling Bearings Based on Wavelet Packet Analysis and Adaboost.M2 Algorithm
[NO] 1416/2000 | Heterogeneous 5G Multi-Path Fusion Secure Networking Technology for High-Reliability Power Grid Service Transmission
[NO] 1417/2000 | Retraction Notice: An Integrated Approach of Fire Identification utilizing Web of Things and Aerial Robots
[NO] 1418/2000 | Therapy as an NLP Task: Comparing LLMs and Human Peers Behaviors in CBT Sessions
[NO] 1419/2000 | "I Can’t Respond to Everyone": An Empirical Investigation of Social Media Influencers’ Management of Controversies
[NO] 1420/2000 | Silence and Noise: Self-censorship and Opinion Expression on Social Media
[NO] 1421/2000 | Reading the Room: Steerable Live Comment Clustering to Improve Speaker-Audience Understanding
[NO] 1422/2000 | Stress through Story: Participatory design for Gamified College Wellness
[NO] 1423/2000 | Is It There Yet? Designing a User Interface For Messenger Apps That Use Disruption-Tolerant Networking in Crises
[NO] 1424/2000 | Mutating the "Immutable": A Large-Scale Study of Git Tag Alterations
[NO] 1425/2000 | Application Virtualization on macOS: Evaluating System Call Interception Approaches
[NO] 1426/2000 | Few-Shot Active Power Margin Assessment for Wind Farms based on a Physics-Data-Driven Approach
[NO] 1427/2000 | Safety Analysis of Orbit Jumping Technology in Satellite Flight Control Drills
[NO] 1428/2000 | QXL - A Scalable Hardware Framework for Tabular Q-Learning Inference on RISC-V
[NO] 1429/2000 | Fault Detection for Tidal Stream Turbine Blades: A CVAE-SVDD Approach
[NO] 1430/2000 | An External Knowledge-Guided Generative Model for Few-Shot Aspect Category Sentiment Analysis
[NO] 1431/2000 | Seismic Random Noise Attenuation Via Implicit Neural Representations with Multiple Structural Priors
[NO] 1432/2000 | MIMO-Aware Patching Transformer with Spatial-Spectral Encoding for Hybrid-Field Channel Estimation in XL-MIMO Systems
[NO] 1433/2000 | MGR-Road: Resolving Semantic-Geometric Conflict in One-Shot Vectorized Road Extraction
[NO] 1434/2000 | Deep-UV Imaging Based on Ultrashallow Junction Silicon Photodiode Arrays
[NO] 1435/2000 | Monolithic 3-D Integration of Memristive Bayesian Neural Network With Intrinsic Stochastic Gaussian Weight Generation
[NO] 1436/2000 | Pressure-Impulse-Based Diagnosis of Discharge Faults Using Time–Frequency Decoupled Generation and Difficulty-Aware Dynamic Convolution
[NO] 1437/2000 | IEEE App
[NO] 1438/2000 | IEEE Systems, Man, and Cybernetics Society Information
[NO] 1439/2000 | MSCSA-SAFL: A Self-Supervised Semi-Asynchronous Federated Framework for Zero-Day Intrusion Detection in Distributed IoT
[NO] 1440/2000 | IEEE Access
[NO] 1441/2000 | Exploring the Use and Evaluation of Glyphs in Visual Analytics Applications
[NO] 1442/2000 | Policy Learning from Few Expert Videos via Long-Short Term Optimal Transport Reward Coordination_supp1-3728652.pdf
[NO] 1443/2000 | The CMOS Active Pixel Image Sensor: A Revolution in Digital Imaging
[NO] 1444/2000 | Adaptive-V Lyapunov Control for RIS-Assisted Wireless Offloading With Secure Verification Queues
[NO] 1445/2000 | TJBe-GS:Rigid Trajectory-Guided Bézier Gaussian Splatting for RGB-D Dynamic Reconstruction
[NO] 1446/2000 | Design Optimization and Air-gap Harmonic Analysis of a Novel 15-phase Redundant Flux-Switching Permanent Magnet Machine for Wind Power Generation
[NO] 1447/2000 | 2026 Aerospace &amp; Electronic Systems Society: Organization and Representatives
[NO] 1448/2000 | Secure Beamforming Design Against Sensing Eavesdroppers in Integrated Sensing and Communication Systems
[NO] 1449/2000 | CLMER: A Framework for Contrastive Learning-Based Multimodal Emotion Recognition
[NO] 1450/2000 | Mobile Machine Learning Predictions of Bilateral Ground Reaction Forces during Variable Speed Walking and Prosthesis Use
[NO] 1451/2000 | Accessibility-Aware Stochastic Optimization of Maintenance Scheduling and Vessel Logistics for Offshore Wind Farms
[NO] 1452/2000 | MLO-UORA and Traffic-to-Link Joint Optimization for IEEE 802.11bn Networks
[NO] 1453/2000 | IEEE Open Journal of Systems Engineering Society Information
[NO] 1454/2000 | Experimentation of 5G NR-NTN Waveform in Ku-Band on a Transparent LEO Satellite Constellation
[NO] 1455/2000 | Efficient Repair of (
                    <i>k</i>
                    +2,
                    <i>k</i>
                    ) Degraded Read Friendly MDS Array Codes With Sub-packetization 2
[NO] 1456/2000 | Share Your Preprint Research with the World!
[NO] 1457/2000 | Cardiovascular High Frame Rate Echo-Particle Tracking Velocimetry
[NO] 1458/2000 | A Graph Attention-Enhanced Deep Reinforcement Learning Framework for Dynamic Service Function Chains Orchestration
[NO] 1459/2000 | Front Cover
[NO] 1460/2000 | IoT-MARS: IoT-Empowered Multi-Agent Routing for Survival Stratification in Multimodal ccRCC
[NO] 1461/2000 | Deep Learning-Enabled Multi-Tag Detection in Ambient Backscatter Communications
[NO] 1462/2000 | Hybrid Time-Shifted Feature Augmentation for Compact Photonic Time-Delay Reservoir Computing
[NO] 1463/2000 | Wideband Space-Time Beamforming Weight Generator Based on Graph Neural Network
[NO] 1464/2000 | IEEE MTT-S Student Fellowship and Scholarship Deadlines
[NO] 1465/2000 | Physics-Aware Guided Deep Unfolding Framework for OTFS Channel Estimation Under Fractional Doppler Effects
[NO] 1466/2000 | Image Demoiréing with Image Classification Priors
[NO] 1467/2000 | Understanding Multimodal Learning From Modality Fusion and Alignment Perspectives_supp1-3729627.pdf
[NO] 1468/2000 | FHRF: A Physics-Inspired Neural Network for Wireless Channel Prediction
[NO] 1469/2000 | A Novel GBSM for Beyond Line-of-Sight Maritime Communication Systems
[NO] 1470/2000 | Spatial-Sequence Joint Modeling for Accelerated Multi-Model Diffusion MRI Microstructure Estimation_supp1-3733593.pdf
[NO] 1471/2000 | EEE Transactions on Computer-Aided Design of Integrated Circuits and Systems Publication Information
[NO] 1472/2000 | Front Cover
[NO] 1473/2000 | How Developers Respond to Insecure AI Code Suggestions under Poisoning Attacks: An Empirical Study of Interface-Level Countermeasures_supp1-3731966.pdf
[NO] 1474/2000 | A 12-bit 1.25-GS/s 164.3-dB FoM
                    <sub>s</sub>
                    Pipelined SAR ADC Featuring a Split SAR Stage With Input-Independent Transfer Switch
[NO] 1475/2000 | Cognitive Anti-Jamming for UAV Communications: A Spectrum State Abstraction Empowered Online Learning Approach
[NO] 1476/2000 | Comparative Analysis of Muscle Fascia Tracking Algorithms for Real-Time Muscle Monitoring using Wearable Ultrasound_supp1-3734932.pdf
[NO] 1477/2000 | Intelligent Restoration of Power Distribution Networks: a Framework Combining Temporal Graph Learning and Reinforcement-Enhanced Multi-Objective Evolution
[NO] 1478/2000 | Multirate Cascaded Discrete-Time Sliding Mode Control with Dual-Loop Disturbance Estimation for Energy Storage Interfaces in DC Microgrids
[NO] 1479/2000 | A Third-Quadrant Transient Voltage Method for Hole Trapping and Threshold Voltage Shift Characteristics in SiC MOSFETs
[NO] 1480/2000 | Dual-Role Trajectory AoI-based Incentive Mechanism for HD Map Crowdsourcing
[NO] 1481/2000 | Cross-Modal Comprehensive Multi-Level Granularity Alignment for Vision-Language Pre-Training
[NO] 1482/2000 | Scalability of Vertical-Channel-Transistor DRAM Through Parameter Tradeoffs and Layout Optimization
[NO] 1483/2000 | Geospatial Artificial Intelligence (GeoAI) Framework for Flood Susceptibility Mapping Using a Hybrid SVM–XGBoost Model
[NO] 1484/2000 | Constraints on the Perfect Phylogeny Mixture Model and Their Effect on Reducing Degeneracy_supp1-3726506.pdf
[NO] 1485/2000 | A Parameterization Framework for Image-Based Resolution Modeling of Spatially-Variant PSF Deformation in Dedicated Breast PET
[NO] 1486/2000 | Tail Delay Bound Analysis and Performance Optimization for Hierarchical SPMA via Stochastic Network Calculus
[NO] 1487/2000 | LPI-Based Joint TR Beam Selection and Multidimensional Resource Optimization Scheme for Multi-Target Tracking in Airborne Radar Networks
[NO] 1488/2000 | Recovery of Brominated Plastics from Waste Electric and Electronic Equipment Using Tribo-electrostatic Separation
[NO] 1489/2000 | Trainable OAMP With Hetero-Scaling for Finite-Dimensional Signal Estimation Under Prior Heterogeneity
[NO] 1490/2000 | IEEE Transactions on Electron Devices Information for Authors
[NO] 1491/2000 | Early versus Late RGB–Infrared Fusion for Counter-UAV Detection: A Comparative Study
[NO] 1492/2000 | Review for "A Semi-Analytic Monte Carlo Simulation Framework for Modeling Scattering Effects in Underwater Light-Sheet Scheimpflug LiDAR"
[NO] 1493/2000 | SIEFormer: Spectral-Interpretable and -Enhanced Transformer for Generalized Category Discovery
[NO] 1494/2000 | TSMRNet:AMethod for High-Resolution Soil Moisture Mapping with Limited Labels by Integrating Self-Supervised and Semi-Supervised Learning
[NO] 1495/2000 | Attack-Aware Deepfake Detection Under Counter-Forensic Manipulations
[NO] 1496/2000 | Development and Characterization of a 2D, 700–2600 MHz Receiver Array, for the Estimation of Direction of Arrival (DoA) in the Frequency Domain
[NO] 1497/2000 | Hierarchical Secure and Energy-Efficient Control of EV Platoons With Coupled Longitudinal-Lateral Dynamics Under DoS Attacks
[NO] 1498/2000 | Table of Contents
[NO] 1499/2000 | Motif-GMN: Motif-Based Signed Graph Matching Network
[NO] 1500/2000 | Decoding Expert Behavior in Markov Jump Singularly Perturbed Systems via Privacy-Preserving Inverse Reinforcement Learning
[NO] 1501/2000 | Miniaturized Filtering Power Dividers with Ultra-wide Stopband and High Isolation by Incorporating the Low-pass Topology
[NO] 1502/2000 | Bearing Fault Recognition Based on Signal Enhancement and an Improved Convolutional Neural Network
[NO] 1503/2000 | Cost-Constrained Safety Factor and Tolerance Optimization for Thin-Walled Cylindrical Shells
[NO] 1504/2000 | Energy Management of Multi-Energy Communities: A Hierarchical MIQP-Constrained Deep Reinforcement Learning Approach
[NO] 1505/2000 | Passive Mixer With Wideband Impedance-Transforming Wang Baluns for High-Linearity 7–31-GHz Operation
[NO] 1506/2000 | Power System Feature-Based Event Classification by Means of Multiple PMU Data
[NO] 1507/2000 | Quantum-Computing-Inspired Probabilistic Power Flow Calculation in Renewable-Rich Systems
[NO] 1508/2000 | Impacts of Risk Metrics for Wildfire-Driven Public Safety Power Shutoffs
[NO] 1509/2000 | 50 &amp; 25 Years Ago
[NO] 1510/2000 | Wireless Battery-Free RF Electronic Skin for Robotic Grasping: From Proximity Sensing to Tactile Feedback_supp5-3731258.mp4
[NO] 1511/2000 | Change Type Analysis for Urban Construction Using Time-Series SAR Data
[NO] 1512/2000 | Temporal Embedding-Enhanced Language Models for Chronological Social Event Summarization
[NO] 1513/2000 | An adaptive control method for reactive power compensation and power balance under adverse conditions of a DG-fed power quality conditioner
[NO] 1514/2000 | Meta-PFL: Meta-Based Personalized Federated Learning Against Gradient Inversion Attacks
[NO] 1515/2000 | A Robot-Action-Planning FPGA Accelerator With Flow-Predictive Inference and Adaptive Real-Time Chunking for Embodied AI
[NO] 1516/2000 | SiloBreaker: Breaking the Resource Silo in Hybrid Bonding via Architecture-Scheduling Co-Design
[YES] 1517/2000 | Functionally Possible Activation Conditions for Path Delay Faults
[NO] 1518/2000 | Cavity-Enhanced Multilevel Nonvolatile Photonic Memory with Phase-change Nanobeam Cavities for In-memory Computing_supp1-3736531.docx
[NO] 1519/2000 | Interactive Transformer with Adaptive Feature Optimization for Fault Diagnosis from Incomplete Signals
[NO] 1520/2000 | Identifiability-Aware Virtual Force Sensing and Self-Calibration for Quadrotors
[NO] 1521/2000 | A Sentinel-3 foundation model for ocean color_supp1-3732792.pdf
[NO] 1522/2000 | Prior-Knowledge Guided Deep Learning Algorithm for Robust Array Diagnosis Under Array Errors
[NO] 1523/2000 | Refined fusion graph spectrum model (RFGSM): A graph-informed multivariate signal processing method for high-speed train bogie bearing fault diagnosis
[NO] 1524/2000 | Think Inside the Chunk: RegulaRAG for Regulation-Compliant Scenario Generation using LLMs: A Case Study of UN Regulation No. 152
[NO] 1525/2000 | MFIE-Guided Latent Space Evolution for Predicting Surface Currents
[NO] 1526/2000 | Multi-Tethered Aerial Robot System for Precise Aerial Physical Collaborative Interaction
[NO] 1527/2000 | A Structural Characterization of Cyclotomic Cosets with Applications to Affine-Invariant Codes and BCH Codes
[NO] 1528/2000 | Error Shifting-Based Fuzzy Event-Triggered Control for Switched Interconnected Nonlinear Full-State Constrained Systems
[NO] 1529/2000 | Dual-Band Nonlocal Reconfigurable Intelligent Surfaces for Precise Full Half-Space Beam Shaping
[NO] 1530/2000 | Bus Type Switching to Reduce Bound Violations in AC Power Flow
[NO] 1531/2000 | Quantum Three-Phase Power Flow Integrating Unbalanced Grid-Forming IBRs
[NO] 1532/2000 | Hardware Implementation of a Dynamic Mode Decomposition Algorithm for Feature Extraction of High-Impedance Faults
[NO] 1533/2000 | Impact of Zero-Sequence Susceptance on Protection Coordination in Non-Stabilized Star–Star Transformers
[NO] 1534/2000 | Analysis and Damping Enhancement Method for Air Conditioning Load Recovery in Weak Power Grid
[NO] 1535/2000 | Network Exchangers for Hosting Capacity Enhancement in Low-Voltage Distribution Networks: An Australian Case Study
[NO] 1536/2000 | Beyond-Visual-Range Situational Awareness for Intelligent Surface Vehicles: A Maritime IoT-Based Collaborative Framework
[NO] 1537/2000 | IEEE Transactions on Emerging Topics in Computational Intelligence Information for Authors
[NO] 1538/2000 | Enhanced Byzantine-Robust Federated Learning Via Truncated-Quadratic Loss for Heterogeneous Data
[NO] 1539/2000 | A Multi-Timescale Demand Response Pricing Method for VPP Considering Privacy Protection and Renewable Energy Integration
[NO] 1540/2000 | Error Mechanism Modeling and Prediction of Current Transformers under Dynamic Influencing Factors
[NO] 1541/2000 | Area-Level Assessment of Hourly Variability of Reliability: A Transmission Planning Perspective
[NO] 1542/2000 | Adaptive Deep Reinforcement Learning Control for Distributed Shunt Compensators in Modern Electric Ship Power Systems
[NO] 1543/2000 | CiC-BCNN: A 65 nm Compute-in-CAM-Based Binary CNN Accelerator for Image Classification
[NO] 1544/2000 | CAHR-Net: Condition-Adaptive Hysteresis Reconstruction for Compact and Interpretable Magnetic Core Loss Modeling
[NO] 1545/2000 | KAN-GAT-PFL: A KAN-Enhanced Graph Attention Network with Personalized Federated Learning for Lithium-Ion Battery Early Cycle-Life Prediction
[NO] 1546/2000 | TEMOA-Ontario: Community-Level Pathways to a Net-Zero Energy Transition
[NO] 1547/2000 | Stabilizing Quantum EMT on Noisy Hardware Using Multidimensional Richardson Extrapolation
[NO] 1548/2000 | Lightweight Physics-Informed KAN: An Efficient Edge Intelligence Framework for Spatio-Temporal Traffic Forecasting
[NO] 1549/2000 | Spatial Characterization of Sub-Synchronous Oscillations Using Black-Box IBR Models
[NO] 1550/2000 | Mitigation of Dead-Time Effects in the FB-CCV Transformerless PV Inverter
[NO] 1551/2000 | LFD-ORL: Learnable Fuzzy Dominance-Guided Order-Preserving Representation Learning for Monotonic Classification_supp1-3733874.pdf
[NO] 1552/2000 | Signal or Noise? How User Movement and Sensor Placement Impact Physiological Data Collection in 6DoF Virtual Reality_supp1-3715380.pdf
[NO] 1553/2000 | A CML-Structured Concurrent Engineering Methodology for Conceptual Design of Complex Engineering Systems
[NO] 1554/2000 | A Platoon Control Method Based on Distributed Integral Sliding Mode Control for Connected Vehicles
[NO] 1555/2000 | On the Performance of Quantum Approximate Optimization Based User Grouping for Rate-Splitting Multiple Access
[NO] 1556/2000 | Development of a Stick-Slip Piezoelectric Actuator for Vertical Linear Motion With Frictionless Spiral Flexure Guidance_supp1-3732404.mp4
[NO] 1557/2000 | Track-to-Track Association under Sensor Asynchrony and Sensor Bias via Stochastic Trajectory Registration
[NO] 1558/2000 | Learning to Schedule in Parallel-Server Queues with Stochastic Bilinear Rewards_supp1-3718714.pdf
[NO] 1559/2000 | Robust Coherent Detection Based on Gini Correlator under Impulsive Noise in Binary Communication
[NO] 1560/2000 | Physical Layer Authentication for AAV-RIS Assisted Communications With Phase Shift Uncertainty and Jamming
[NO] 1561/2000 | AESS Scholarship Program
[NO] 1562/2000 | EVA:A 16-mm
                    <sup>2</sup>
                    1.54 TFLOPS Tile-Based Accelerator for Evolvable Edge Computing
[NO] 1563/2000 | Robust Fault Estimation for Nonlinear Heterogeneous Multiagent Systems via Distributed Intermediate Observers
[NO] 1564/2000 | Beyond Algorithms: Conceptual Innovation in Medical Imaging AI
[NO] 1565/2000 | CSIYOLO: An Intelligent CSI-Based Scatter Sensing Framework for Integrated Sensing and Communication Systems
[NO] 1566/2000 | Microscopic Mechanism Linking Molecular Structure and Intermolecular Interactions to the Insulation Performance of Bio-Based Oils under Lightning Impulse
[NO] 1567/2000 | VLMSNet: View Large to Measure Shape
[NO] 1568/2000 | Cache-enabled Generative Joint Source-Channel Coding for Evolving Semantic Communications
[NO] 1569/2000 | Smart Contract Vulnerability Detection via Mask Consistency with Dynamic Margin Adjustment
[NO] 1570/2000 | One-to-Many Authentication and Key Agreement Scheme with Desynchronization Resilience and Forward Secrecy for Multi-Device IoT
[NO] 1571/2000 | Scanning The Literature/Edited by Xiaohua Tian
[NO] 1572/2000 | Near-Field Wideband Localization using TTD-Based Terahertz Extremely Large-Scale Arrays
[NO] 1573/2000 | Structured Channel Estimation and Localization for Wideband Near-Field MIMO Systems
[NO] 1574/2000 | Post-Quantum CPPA via Traceable Zero-Knowledge Ring Signatures for Zero-Trust Consumer IoT
[NO] 1575/2000 | Learning-based Proactive Handover Optimization in Satellite-Terrestrial Integrated Networks for Seamless Mobility
[NO] 1576/2000 | Low-altitude Hunter: A System for Vision-Language Anti-UAV Task with MLLM
[NO] 1577/2000 | IEEE Robotics and Automation Letters Information for Authors
[NO] 1578/2000 | Matched Comparison of DQN, VDN, and QMIX for Joint Power and Codebook-Beam Control in Multi-UAV mmWave Downlinks
[NO] 1579/2000 | Polarization-Transforming RIS-Aided Multi-User MISO Communications
[NO] 1580/2000 | Quantitative Photo-elastic Characterization of Interfacial Residual Stress of Epoxy Insulators_supp1-3736026.docx
[NO] 1581/2000 | PSFB Converter With Dual Active Snubber Enabling Voltage-Doubler Operation for High Efficiency Over Wide Input Voltage Range
[NO] 1582/2000 | Localization of an Underwater Moving Source Based on the Horizontal Range Model
[NO] 1583/2000 | 2027 IEEE Radar Conference
[NO] 1584/2000 | Table of Contents
[NO] 1585/2000 | An Inductor-First Hybrid Buck-Boost Converter With Reduced Current Ripple Achieving 97.2% Peak Efficiency and 565 mA/mm
                    <sup>3</sup>
                    Current Density
[NO] 1586/2000 | From Job Postings to Curriculum Feedback: An LLM-Driven Framework for Constructing Role-Stratified AI Competency Knowledge Graphs_supp2-3731650.docx
[NO] 1587/2000 | RIS-aided Radar Detection Architectures with Application to Low-RCS Targets
[NO] 1588/2000 | Mitigating Degradation Attacks in Cooperative Autonomous Driving Via Intention Sharing: A Vehicle-in-The-Loop Study
[NO] 1589/2000 | Differentially Private Distributed Nash Equilibrium Seeking for Multi-Cluster Aggregative Games
[NO] 1590/2000 | A VHF Resonant Buck Converter With Improved Output Power Range Considering Switching-Node Parasitic Inductance
[NO] 1591/2000 | Dual-Band Matching Topologies for mmWave Circuits Demonstrated on a 79/135 GHz Dual-Mode Power Amplifier in 28-nm Bulk CMOS
[NO] 1592/2000 | A Unified Oversampling-Based Imbalance Processing Framework for Network Traffic Anomaly Detection_supp1-3732576.pdf
[NO] 1593/2000 | Rethinking Robustness of Adversarial Meta Learning in Few-Shot Retinal OCT Despeckling With Dual Level Curriculum Learning
[NO] 1594/2000 | Two Stages Machine Learning-Based Design Optimization for Electromigration Reliability in Solder Joints
[NO] 1595/2000 | SCMoAtt: Enhancing Single-Cell Drug Response Prediction From Bulk RNA-Seq Using Attention-Guided Feature Modulation and Dynamic Tanh
[NO] 1596/2000 | Quantum-Resistant Safety Message Authentication for NextG C-V2X: A Cross-Layer Approach
[NO] 1597/2000 | A Novel Risk Index for Quantifying Weather-Induced Cascading Risk in Power Systems
[NO] 1598/2000 | Millimeter-Wave OSDM Underwater Acoustic Communication With Large-Scale Array
[NO] 1599/2000 | Dynamics-Aware Integrated Trajectory Planning and Control for End-to-End Autonomous Driving Systems
[NO] 1600/2000 | Periodic Event-Triggered Stabilization of Uncertain NCSs Under Quantization and Mixed Cyber-Attacks
