[2026-07-03 11:33:31] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[NO] 1145/1899 | Singularity Avoidance for Redundant Manipulators: An MSV-Based Mobility-Bound Approach_supp1-3706266.pdf
[NO] 1146/1899 | Administrative Committee Information
[NO] 1147/1899 | Label-Guided Masking and Imputation Network for Incomplete Multi-View Multi-Label Classification_supp1-3707408.pdf
[NO] 1148/1899 | A Benchmark and Physics-Informed Optimization of LoRA for SAR Target Recognition (April 2026)
[NO] 1149/1899 | QFFN-BERT: An Empirical Study of CLS-Level Quantum Feed-Forward Modules for Compact Transformer Classifiers
[NO] 1150/1899 | An Evaluation Method for In-Situ Form Errors of Large-Scale Mandrels Based on Bi-Objective Optimization Including Frame Dimension and Harmonic Suppression
[NO] 1151/1899 | Multisensor Gaussian-Cauchy kernel maximum correntropy KF with adaptive kernel bandwidth
[NO] 1152/1899 | KinematicRL: A Sim-to-Real Reinforcement Learning Framework For Social Navigation With Kinodynamic Feasibility_supp1-3703136.pdf
[NO] 1153/1899 | RAITS 2026 Cover Page
[NO] 1154/1899 | Half Title Page
[NO] 1155/1899 | MECO 2026 Panel Discussion
[NO] 1156/1899 | A Dual-Branch Fusion Framework for Height Estimation from a Single Satellite Image
[NO] 1157/1899 | Polarization-insensitive hybrid optical fiber and THz wireless transmission at 300 GHz enabled by blockwise Alamouti coding
[NO] 1158/1899 | PerCom Workshops 2026 TOC
[NO] 1159/1899 | PerCom Workshops 2026 TOC
[NO] 1160/1899 | The Peak Stress Measurement of Discharge Electromagnetic Coils Based on FBG
[NO] 1161/1899 | Complex DNA Synthesis Sequences
[NO] 1162/1899 | Distributed Fault Detection for Multi-Agent Systems With Coupled State Constraints
[NO] 1163/1899 | Keynote: Integrated Communication and Sensing for Pervasive Computing
[NO] 1164/1899 | Welcome Message from the Chairs
[NO] 1165/1899 | pythOS: A Python library for solving IVPs by operator splitting
[NO] 1166/1899 | DC-AC Conversion Efficiency Characterisation and Grid Stress Analysis of a Bidirectional EV Charging System Across Multiple Power Levels and States of Charge
[NO] 1167/1899 | VisualLogAnalyzer: An Interactive Web Application for Multi-Level Log Analysis
[NO] 1168/1899 | Next-Generation Network Traffic Forensics: A Streamlit Based Framework for Packet Captures
[NO] 1169/1899 | A Current Source Three-Phase Rectifier for Bipolar DC Distribution Grids
[NO] 1170/1899 | From Textual Descriptions to Code: A Filtering Approach for Locating Business Rules
[NO] 1171/1899 | Research on Cooperative Control and Boundary Flow Regulation Methods for Highway Bridge and Tunnel Influence Zones Based on MFD and Game Theory
[NO] 1172/1899 | Research on the Air-Ground Collaborative Mapping Method for UAV and UGV Based on Vision and LiDAR
[NO] 1173/1899 | Privacy-Preserving Federated Learning for Multi-Disease ICU Outcome Prediction Under Realistic Clinical Heterogeneity
[NO] 1174/1899 | Towards Analyzing N-Language Polyglot Programs
[NO] 1175/1899 | Priority-Based Traffic Management System for Ambulance
[NO] 1176/1899 | Echoshield: AI-Powered Precision Noise Cancellation
[NO] 1177/1899 | FPFA: Flexible Polarization Fingerprint Authentication Framework for Large-Scale Devices
[NO] 1178/1899 | A Full System Co-Simulation Platform for Evaluating Edge Machine Learning Inference Using Compute-in-Memory
[NO] 1179/1899 | Constrained Temperature Regulation of Fuel Cells via Barrier and Lyapunov Functions
[NO] 1180/1899 | Feature Selection Method Based on Secure MultiParty Computation and Its Application in State Evaluation
[NO] 1181/1899 | Minimizing Sensor-Cloud Resource Makespan via Low-Coupling Request Scheduling for Embedded Edge Systems
[NO] 1182/1899 | Transpilation Using Recursive Rewrite Rules: From Legacy to Maintainable Code
[NO] 1183/1899 | Toward Reliable Code De-Obfuscation with Large Language Models
[NO] 1184/1899 | IoT-Based Smart Cities: AI-Driven Traffic Control, Waste Management, and Energy Efficiency
[NO] 1185/1899 | Speaker Verification Under Intra-speaker Variability
[NO] 1186/1899 | Demonstrating Responsive Teleoperation Through Negative Latency
[NO] 1187/1899 | Filterly – Multilingual Offensive Language Filter for Web Browsers
[NO] 1188/1899 | Impact of Anonymization Techniques for ViT-based Human Action Recognition
[NO] 1189/1899 | Improving Small Scale Electric Arc Detection in Railway Systems via Pantograph Centered ROI Extraction
[NO] 1190/1899 | Edge-Based Well-Being Monitoring Using Non-Biometric Multimodal Digital Signals
[NO] 1191/1899 | Cross-Domain Passive Channel Charting from Wi-Fi Sensing toward Robust Indoor Positioning
[NO] 1192/1899 | Larger is Not Always Better: Leveraging Structured Code Diffs for Comment Inconsistency Detection
[NO] 1193/1899 | Intelligent FPGA Enabled BMS for SOC and SOH Estimation Using Deep Learning Models
[NO] 1194/1899 | Prediction of Diesel Generator Oil Pressure and Health Status Using a Hybrid Method
[NO] 1195/1899 | A Measurement Study on the Adoption of Pledges and Unveils in the OpenBSD Operating System
[NO] 1196/1899 | Load Frequency Control for a Two-Area Power System with Time Delay Based on the Artstein Transform
[NO] 1197/1899 | BFI-Fall: Learning Beamforming Feedback Information in Wi-Fi Sensing for Fall Detection
[NO] 1198/1899 | Recent Power Converters Utilized In Data Center Power Systems
[NO] 1199/1899 | Multi-Band Attention Network for Stress Monitoring Using Reduced-Channel EEG Signals
[NO] 1200/1899 | A Vehicle Trajectory Prediction Model for Highways Based on Multi-modal Feature Fusion
[NO] 1201/1899 | Wear2Toy: Leveraging Wearable Devices for Hand-Held Objects Activity Recognition
[NO] 1202/1899 | Development of an AI-Business Transformation Framework for Australian SMEs: A PRISMA-Based Systematic Review and Design Science Approach
[NO] 1203/1899 | Stationarity-Aware QoS Prediction for Platooning in V2X Networks
[NO] 1204/1899 | Byzantine-Resistant Federated Learning Using Reinforced RNN
[NO] 1205/1899 | Persistence-guided Prescribed Topological Simplification
[NO] 1206/1899 | Applying Genetic Improvement Techniques for Automated Program Repair of Transpiled Code
[NO] 1207/1899 | MEDIGUARD 7X - A Smart, Secure Medicine Box For Timely Medication
[NO] 1208/1899 | Particle Swarm Optimization-Based Ultrasonic Waveform Design Method
[NO] 1209/1899 | VLSI Architecture for FIR Filter Using Exact and Approximate Vedic Multipliers
[NO] 1210/1899 | Multi-Cancer Detection and Classification Using Deep Learning and Ensembling
[NO] 1211/1899 | Analysis of Recent Developments in Quantum Cryptography: A Comprehensive Review
[NO] 1212/1899 | Discrete Energy Levels and Charge Transport in Quantum-Dot Single-Electron Transistors
[NO] 1213/1899 | Advanced AI-Enhanced Adaptive Camouflage Detection System
[NO] 1214/1899 | Iskra: A System for Inverse Geometry Processing
[NO] 1215/1899 | Approaching Healthcare HCI: Reflections on Developing A Patient-Centered Method for Empathetic AI in the Emergency Department
[NO] 1216/1899 | Wellness Prescribed: Activating Holistic Care through EHR-embedded SmartPhrases
[NO] 1217/1899 | Graph Neural Network–Enhanced Knowledge Graph for Content Mining and Intelligent Decision-Making in Ideological and Political Courses
[NO] 1218/1899 | Precision Medicine in Practice: What Role for HCI?
[NO] 1219/1899 | Beyond Step Counts: Dual Perspectives on Designing Interactive Technologies to Support Outdoor Movement in Older Adults
[NO] 1220/1899 | Large Language Models and the Evolution of Online Help-Seeking for Mental Health
[NO] 1221/1899 | Robot Motion Planning by Non-prehensile Obstruction Handling in Cluttered Environments
[NO] 1222/1899 | Advancements in Robotic-Assisted Coronary Artery Bypass Grafting (CABG): A Comprehensive Review
[NO] 1223/1899 | Bridging Digital Transformation and Performance: E-Commerce Adoption in Fashion SMEs through Artificial Intelligence (AI) Integration, Innovation, Technology and Organizational Factors
[NO] 1224/1899 | Bridging Risks and Innovation: Culture-Driven GenAI Adoption in Mega Projects
[NO] 1225/1899 | Stitching Through Crisis: Examining Supply Chain Disruptions in Bangladeshi RMG Industry During Pandemic
[NO] 1226/1899 | DCSM: Enabling Inter-Batch Parallelism for Continuous Subgraph Matching on GPU
[NO] 1227/1899 | Latency-SLO-Aware Memory Offloading for Large Language Model Inference
[NO] 1228/1899 | Three Birds, One Stone: Fast, Accurate-aware and Cost-Efficient Accelerator for Ternary LLM
[NO] 1229/1899 | GFAz: State-of-the-Art Graphical Fragment Assembly Compression
[NO] 1230/1899 | Channel-Adaptive Physical Layer Neural-enhanced Encoding for Concurrent LPWANs
[NO] 1231/1899 | AcoustiMeal: Estimating Meal Duration using Audio Tagging on Smartphones
[NO] 1232/1899 | Deepfake Video Detection Using XgBoost and NLP
[NO] 1233/1899 | Deep Learning Models for Short-Term Photovoltaic Power Forecasting: A Comparative Study with Multi-Horizon Predictions
[NO] 1234/1899 | From Closed-Loop to Open-Loop Learning: A Control Perspective on AI in Engineering Education
[NO] 1235/1899 | Speech-Driven Detection of Spam Calls with Whisper and RoBERTa Models
[NO] 1236/1899 | LiveSense: A Real-Time Wi-Fi Sensing Platform for Range–Doppler on COTS Laptop
[NO] 1237/1899 | NAES-ICS: A Lightweight Nano-AES Algorithm for Secure Image Cryptography and Storage
[NO] 1238/1899 | Real-Time Analytics and Digital Twin Framework for Predictive Maintenance in Electric Vehicle Fleets
[NO] 1239/1899 | A Platform for Managing School STEM Education
[NO] 1240/1899 | A Lightweight Model-Driven 4D Radar Framework for Pervasive Human Detection in Harsh Conditions
[NO] 1241/1899 | Network Coding Assisted In-Network Caching Implementation for Multi-Hop IoT Networks
[NO] 1242/1899 | Analyzing Hybrid Semantic–Graph Ranking for Arabic Extractive Text Summarization
[NO] 1243/1899 | Automated Grading System using TESSERACT for Grading Hand-Written Code
[NO] 1244/1899 | Wearable-Enabled Screening of RBD Through HRV-Based Machine Learning
[NO] 1245/1899 | Control of Constant-Speed End-Effector Motion for Space Manipulators Based on Joint Performance Degradation Compensation
[NO] 1246/1899 | IoT-Enabled ESG Environmental Reporting under CSRD: Alignment with ESRS Environmental Indicators and Cost Implications
[NO] 1247/1899 | Early Detection and Active Defense Method for Ransomware in Smart Grids
[NO] 1248/1899 | Artifact: CARE: Contrastive Alignment for ADL Recognition from Event-Triggered Sensor Streams
[NO] 1249/1899 | Design and Comparative Analysis of LLC and LCC Resonant Converters for 800V/48V Electric Vehicle Auxiliary Power Modules (APM)
[NO] 1250/1899 | Indoor Space Authentication by ISS-based Keypoint Extraction from 3D Point Clouds
[NO] 1251/1899 | Optimizing WSNs for Precision Agriculture Applications using PSO based LEACH Protocol
[NO] 1252/1899 | DEPQD-F: A Deployable and Explainable Framework for Power Quality Disturbance Classification in Smart Grids
[NO] 1253/1899 | Intelligent Vision System for Explainable Retinal Disease Diagnosis
[NO] 1254/1899 | Deep Learning- Based Analysis of HPLC and FTIR Data for Automated Pharmaceutical Quality Control
[NO] 1255/1899 | Wiener Time-Frequency Filter based on the Recent Design of a System for Time-Frequency Analysis
[NO] 1256/1899 | Conditional Encoder–Decoder Transformer for Multi-Step Aero-Engine Transient Forecasting
[NO] 1257/1899 | Design of an Integrated Model for Adaptive Fraud Detection in Financial Transaction Systems
[NO] 1258/1899 | A Hybrid Attention-Enhanced Deep Learning Model for Robust Nighttime Traffic Sign Detection
[NO] 1259/1899 | Ballet in Sky: Online Satellite Downlink with Joint ISL Balancing and GS Selection under Uncertainty
[NO] 1260/1899 | Zero-Trust Architecture for Enhanced Cloud Security Management
[NO] 1261/1899 | EgoRelight: Egocentric Human Capture and Illumination Recovery for Relightable and Photoreal Avatar Rendering
[NO] 1262/1899 | CNN-Based Modelling Reveals Temporal Brain Dynamics of Auditory Intensity Processing
[NO] 1263/1899 | Stacked 2D and 1D Arrays Dual-Core Probe for Ultrasound-Guided Sonoporation
[NO] 1264/1899 | Decoupling Carrier Blocking via Field-Induced Barrier for Dual-Mode Ag/CdTe Detectors
[NO] 1265/1899 | Efficient Design of mmWave Dielectric Lens Antennas via Deep Kernel Learning Assisted Quantum Entanglement
[NO] 1266/1899 | Welford-Sketch: Finding Steady Heavy Flows in Data Streams
[NO] 1267/1899 | Attention- and Communication-Aware Quality of Experience Metric for Immersive Communication Systems Over 5G Mobile Networks
[NO] 1268/1899 | A Significant Feature Recognition Method Based on the Acoustic Scattering Echoes of Underwater Buried Targets
[NO] 1269/1899 | Breaker Page
[NO] 1270/1899 | Hyperbolic Cycle Alignment for Infrared-Visible Image Fusion
[NO] 1271/1899 | Multi-Electrode Acoustoelectric Imaging of Current Source Density via Scalar Potential Reconstruction: Feasibility Study in a Cube Phantom_supp1-3708619.mp4
[NO] 1272/1899 | Managing objective quality and subjective 1 preference uncertainty: The role of consumer loss aversion_supp1-3708713.pdf
[NO] 1273/1899 | Optimal Binary Sequence Design With Minimum Sampled Rate for Fast Lithium-Ion Battery Impedance Measurement
[NO] 1274/1899 | Radiometric Calibration of MODIS using a hyperspectral radiometer on the Near-Space Platform
[NO] 1275/1899 | Frequency Diversity Enhanced Repetition for URLLC over Flat Fading Channels: a Practical Improvement Design
[NO] 1276/1899 | RM -RF: Reward Model for Run-Free Unit Test Evaluation
[NO] 1277/1899 | New formulations for linear optimal power flow with topology optimization
[NO] 1278/1899 | RefineID: A Developer-Centric IDE Assistant for Better Identifiers
[NO] 1279/1899 | On the Practical Adoption of a Static Performance Anti-Pattern Detector: an Industrial Case Study
[NO] 1280/1899 | Towards Online Malware Detection Using Process Resource Utilization Metrics
[NO] 1281/1899 | Lifecycle-Based Legal and Security Analysis of GenAI Systems under EU Copyright Law
[NO] 1282/1899 | Emotion-Aware Personalization: Resonating Short-Video Recommendations via Multi-Modal Affective Computing
[NO] 1283/1899 | Research on γ-ray Shielding Performance and Material Optimization Design of Sensitive Component Metal Shell for Robots
[NO] 1284/1899 | From Attendance Tracking to Learning Intelligence: An AI-Driven Smart Classroom System with LMS Integration
[NO] 1285/1899 | Attention-Based Transformer Model for Inertia Estimation of Power Systems
[NO] 1286/1899 | An Ensemble Machine Learning Framework for Early Prediction of Pre-eclampsia
[NO] 1287/1899 | Weather-Adaptive Multi-Agent Reinforcement Learning for Joint Channel and Power Allocation in Dual-Band V2X Networks
[NO] 1288/1899 | Action Sync: A Real-Time Edge-AI Framework for Coordinated Vehicle Tracking and Surveillance
[NO] 1289/1899 | Reinforcement Learning Scheduler for Solar-Powered Edge Devices
[NO] 1290/1899 | Spatially Accelerated Winding Numbers for Curved Geometry
[NO] 1291/1899 | Pixels2Peaks: Converting Terrain Images to Heightmaps
[NO] 1292/1899 | Digital Phenotyping and the Cumulative Burden of Self-Management of Bipolar Disorder
[NO] 1293/1899 | Bayesian Analysis of Self-Tracked Health Data: A Technology Probe Study Examining Opportunities in Integration and Reflection
[NO] 1294/1899 | GAAF: Fast and Scalable Graph-based Vector Similarity Search with Any-Match Label Filtering
[NO] 1295/1899 | SparseServe: Unlocking Parallelism for Dynamic Sparse Attention in Long-Context LLM Serving
[NO] 1296/1899 | Artifact: SolarTrack: Exploring the Continuous Tracking Capabilities of Wearable Solar Harvesters
[NO] 1297/1899 | Frequency-Constrained Unit Commitment Using SODE-Labelled Affine Surrogates
[NO] 1298/1899 | A Hybrid SVM Approach for Dual-Inverter Open-End Winding PMSM Drives fed by Common DC-Link
[NO] 1299/1899 | LLMs as Idiomatic Decompilers: Recovering High-Level Code from x86-64 Assembly for Dart
[NO] 1300/1899 | A smart rotating power supply system for cold ironing
[NO] 1301/1899 | A Hybrid Attention-Fusion Framework for Robust Object Detection in Autonomous Driving
[NO] 1302/1899 | Large Language Models for Math Education in Low-Resource Languages: A Study in Sinhala and Tamil
[NO] 1303/1899 | A Proposed Model for Arabic Fake Reviews Detection using Fine-Tuned BERT and LLMs
[NO] 1304/1899 | Facility-Level EV Hosting Capacity Under Headroom Constraints: A Smart Charging Approach
[NO] 1305/1899 | Prediction the Performance of Glazed Transpired Air Solar Collector Under Jordan Climate
[NO] 1306/1899 | Comparative Evaluation of Model-Free and ModelBased RL Agents for Robust EV Load Scheduling in Renewable-Dominated Microgrids
[NO] 1307/1899 | Towards Resilient Multimodal Machine Translation for English–Hindi Employing the Mistral-B Architecture
[NO] 1308/1899 | Reliability Analysis for Lightweight FPGA-Based Cache Architectures Targeting Space Applications
[NO] 1309/1899 | Digital Twin Framework for Real-time Healthcare Monitoring Using Machine Learning and IOMT
[NO] 1310/1899 | Reliability and Scalability in Multimodal Biometric Authentication under Environmental and Security Challenges
[NO] 1311/1899 | Towards Observation Lakehouses: Living, Interactive Archives of Software Behavior
[NO] 1312/1899 | Design and Characterization of a Centimeter Scale Wind Turbine Inspired by the Indigenous Palosapis (Anisoptera thurifera Blanco (Blume)) Seed
[NO] 1313/1899 | Construction and Motion Analysis of a Bipedal Wheel-Legged Self-Balancing Robot Driven by Tendon Mechanism
[NO] 1314/1899 | Integrating Machine Learning for Intelligent Resource and Operations Management
[NO] 1315/1899 | Correlation-Weighted KAN Attribution for Explainable AF Detection using Single-Lead ECG
[YES] 1316/1899 | Prioritized MC/DC Framework for Early Fault Detection in Safety-Critical Software
[NO] 1317/1899 | Mining Consumer Opinions: Sentiment Analysis of Product Reviews for Intelligent Recommendations
[NO] 1318/1899 | Research on Height Difference Control Indicators for Highway Pavement Maintenance Based on Driving Safety
[NO] 1319/1899 | The Role of Transformers and Positional Encoding in Detecting Cyclic Patterns from Wearables Data
[NO] 1320/1899 | Passenger Flow Estimation for Urban Rail: Meta-Learning Approach with Mobile Network Data
[NO] 1321/1899 | Next-Gen Expense Manager: ML-Based Forecasting and Analytics
[NO] 1322/1899 | Multi-robot Pose Planning Method based on Particle Swarm Optimization and Gradient Descent Combination
[NO] 1323/1899 | Agentic Pipelines in Embedded Software Engineering: Emerging Practices and Challenges
[NO] 1324/1899 | On Multi-Agent AI Framework for Real-Time Swine Disease Identification Using Retrieval-Augmented Diagnostic Systems
[NO] 1325/1899 | AI-Powered Autonomous Drone for Dead Plant Detection and Instant Reseeding in Farms
[NO] 1326/1899 | STyMo: Fast and Controllable Few-Shot Motion Style Transfer
[NO] 1327/1899 | Design and Analysis of Multi-Chamber, Multi-Curvature Soft Pneumatic Actuator for Controlled Directional Bending Actuation
[NO] 1328/1899 | Using Large Language Models to Support Automation of Failure Management in CI/CD Pipelines: A Case Study in SAP HANA
[NO] 1329/1899 | Migrating Esope to Fortran 2008 Using Model Transformations
[NO] 1330/1899 | Keynote: Requirements and Design Architecture for Digital Twin End-to-End Trustworthiness
[NO] 1331/1899 | DVCL: Dual-level View Consistency Learning for Semi-supervised Medical Image Segmentation_supp1-3699335.pdf
[NO] 1332/1899 | PerCom Workshops 2026 TOC
[NO] 1333/1899 | Addressing Class Imbalance in Contrastive Knowledge Distillation via Teacher-Guided Feature Augmentation for Semantic Segmentation
[NO] 1334/1899 | Context-Aware-Slack-Driven Dynamic Task Scheduling for Automotive Cyber-Physical Systems
[NO] 1335/1899 | Non-Line-of-Sight Ultraviolet Positioning via Time Difference of Arrival
[NO] 1336/1899 | A Resonant Dual-Path Interleaved DC-DC Converter With Reduced Input RMS Current, 0.5 W/mm
                    <sup>2</sup>
                    Power Density and 91.6% Peak Efficiency
[NO] 1337/1899 | Multi-domain Prior Guided Network for Low-Light Image Enhancement
[NO] 1338/1899 | Research on Electron Emission Characteristics of Carbide Coating-Modified Graphite Materials
[NO] 1339/1899 | MesoSplats: Texture Synthesis with Gaussian Splatting_supp1-3708491.mp4
[NO] 1340/1899 | MSC-SLAM: Massif Shape Context for point cloud Registration and Loop Closing in Unstructured Environment
[NO] 1341/1899 | A Hybrid Framework for LMS Web Analytics: Combining Clickstream Analysis and Sentiment Mining for Retention Prediction
[NO] 1342/1899 | Port-to-Factory Digital Twin for Malaysia's Klang Valley- Port Klang-Penang Logistics Corridor
[NO] 1343/1899 | MorphSkein: A Shape-Changing Afterimage Display Preserving Pixel Density During Surface-Area Changes Across Troposkein-Based Shapes
[NO] 1344/1899 | Semantic-Structural Alignment for Generative Pictorial Charts
[NO] 1345/1899 | Stochastic geomorphological transport for terrain erosion simulation
[NO] 1346/1899 | Dropout risk in higher education via multidimensional features and machine learning
[NO] 1347/1899 | Improving Mental Models of Machine Learning-Driven Just-In-Time Adaptive Interventions (JITAIs) for Next-Day Stress
[NO] 1348/1899 | Comparison between External and Internal Single Stage Planetary gearbox actuators for legged robots
[NO] 1349/1899 | A Chain-Driven, Sandwich-Legged Quadruped Robot: Design and Experimental Analysis
[NO] 1350/1899 | Climate-Disruption Early Warning for Malaysian Supply Chains Using Multimodal Data
[NO] 1351/1899 | Agile QoS-aware Dynamic Power Management with eBPF Governors
[NO] 1352/1899 | 2026 15th Mediterranean Conference on Embedded Computing (MECO)
[NO] 1353/1899 | Message from the Chairs and Editors
[NO] 1354/1899 | AdaWGAN: Data Augmentation for Few-Shot HD-sEMG Gesture Recognition Using Single-Trial Data_supp1-3708679.docx
[NO] 1355/1899 | A General Distributed Bounded-and-Deadband Voltage Control Framework For Microgrids
[NO] 1356/1899 | Unique Decomposition Constellation Group Based Secure Multipath MISO Communications
[NO] 1357/1899 | STID: A Two-Stage Cascade Framework for Defect-Annotation-Free Insulator Defect Detection
[NO] 1358/1899 | PSS-LIO A Computationally Efficient LiDAR-Inertial Odometry Framework for UAV Building Inspection via Geometric Predictability and Structure Prior Learning
[NO] 1359/1899 | Physics-Constrained Dual-Stream Cross-Domain Fault Diagnosis for High-Voltage Circuit Breaker Operating Mechanisms
[NO] 1360/1899 | Adaptive σ–Consensus with Uncertainty Awareness for Robust Multi-Agent Trajectory Alignment
[NO] 1361/1899 | A vision-based detection-localization-measurement framework for quantitative size characterization of welding micro-defects
[NO] 1362/1899 | Screen deformation compensation for improving phase measuring deflectometry calibration and reconstruction accuracy
[NO] 1363/1899 | From Reactive to Proactive: An Environment-Adaptive MAC Protocol for Dynamic-Fading WBANs
[NO] 1364/1899 | Physics-Guided Cross-Modal Decoupling with Test-Time Adaptation for Hyperspectral Image Restoration_supp1-3706962.pdf
[NO] 1365/1899 | CLPA: A Clustering-Based Low-Power Accelerator for Energy-Efficient Matrix Multiplication
[NO] 1366/1899 | An Ultralow Resource FPGA Architecture for Cube Root Computation Using Prescaled BRAM Lookup
[NO] 1367/1899 | A capillary-driven textile electrochemical device enabling rapid and continuous uric acid monitoring in sweat_supp1-3708910.pdf
[NO] 1368/1899 | S2-Net: Synergizing Spectral Compensation and Spatial Structure for Light Field Reconstruction
[NO] 1369/1899 | SMRFHash: Semantic-Guided Multi-Representation Fusion Hashing for Fine-Grained Image Retrieval
[NO] 1370/1899 | Millimeter-Wave Reflective Huygens' Metasurface Realized on a Single Via-Free Substrate
[NO] 1371/1899 | The impact of gait parameters on dynamic all-round stability during curving motion_supp1-3708353.docx
[NO] 1372/1899 | Detection of Neutron Sources in Low-Background Road Tunnels_supp1-3709092.docx
[NO] 1373/1899 | Artificial Neural Network Based Calibration Method for a Six-Port Receiver
[NO] 1374/1899 | Product Feedback Analyzer with Review Credibility Feature Insights
[NO] 1375/1899 | Performant and Small: Can We Have Both? SLMs on Mobile Devices for Healthcare Chatbots
[NO] 1376/1899 | Intrusion Detection System:Sentinel
[NO] 1377/1899 | A Hybrid PSO-Random Forest Framework for Real-Time Heavy-Duty Transport Vehicles Overlimit Detection Using LiDAR
[NO] 1378/1899 | An Empirical Study of Heterogeneous Microfrontends Across Development and Production Environments
[NO] 1379/1899 | ISDP: A Decoupled Iterative Pipeline for Balancing Defensive Robustness and User Usability in LLMs
[NO] 1380/1899 | Value Beyond Communication: Indoor Positioning with Private Sub-6 GHz Cellular Networks
[NO] 1381/1899 | Agentic LLM-Driven C++ Build Automation: An Empirical Study
[NO] 1382/1899 | MITRE-CAPE-2026: A Novel Dataset for Cyber Attackers Profiling Enhancement
[NO] 1383/1899 | Robust Tracking Control of a Dual-rotor Unmanned Aerial Vehicle under Translational and Attitude Motion Dynamics Uncertainties
[YES] 1384/1899 | Static Analysis Traces can Help Dynamic Symbolic Execution: a Replication Study
[NO] 1385/1899 | AI in Mental Health: A Survey of Journaling, Chatbots, and Community Platforms
[NO] 1386/1899 | Small Language Models for Edge AI: A Survey on Privacy-Preserving Toxicity and Grooming Detection
[NO] 1387/1899 | SSLO-Based Coordinated Allocation of EV Charging Stations, Multi-Type Distributed Generation, and DSTATCOM in Radial Distribution Systems
[NO] 1388/1899 | AdaPol: Adaptive Multi-Cloud Least-Privilege Policy Synthesis for Serverless Workflows
[NO] 1389/1899 | Collaborative Scheduling Optimization for Unmanned Vehicle Baggage Transfer Systems in Smart Airports
[NO] 1390/1899 | Synergizing LLM-Driven Semantic Reasoning with Assertion-Guided Analysis for Enhanced Vulnerability Detection
[NO] 1391/1899 | An Optimal Design of a Four-Parameter PID controller via Prototype Pole Placement under Robustness and Measurement Noise Sensitivity Constraints
[NO] 1392/1899 | Adaptive Nonlinear Backstepping Control for Three Level Boost Converter
[NO] 1393/1899 | Error-Aware Stacked Ensemble for Intrusion Detection
[NO] 1394/1899 | Interpretable Defect Prediction via Category-Aware Static Code Metrics
[NO] 1395/1899 | ONLYPNGS AI-Powered NFT Trading Platform Web3 Based
[NO] 1396/1899 | Load Frequency Control of a Renewable-Based Power System with Battery Energy Storage Using a PID–TID Controller Optimized by the I-GWO Algorithm
[NO] 1397/1899 | Research on a Three-Level Direct Torque Control System for Induction Motor
[NO] 1398/1899 | Probabilistic Reliability Assessment of Proton Exchange Membrane Fuel Cell Stacks through a Gini-Gamma Informed Stochastic Process Model
[NO] 1399/1899 | Multi-omics Integration for Breast Cancer Subtype Classification Using a Deep Learning Framework
[NO] 1400/1899 | DP-PSTGNet: Enhancing Traffic Flow Prediction through Explicit Spatiotemporal Prompts
[NO] 1401/1899 | Low-Complexity Price-Based Control Strategy for Residential PV-Battery Systems Using Low-Cost PLC Hardware
[NO] 1402/1899 | LLM and Knowledge Graphs for Automated Cyber Threat Intelligence and Incident Response
[NO] 1403/1899 | A Comparative Study of Hyperparameter Tuning Techniques on Gradient Boosted Trees for Financial Fraud Detection
[NO] 1404/1899 | Walk on Decomposed Subdomains: A Hybrid Monte Carlo–Deterministic Solver for Elliptic PDEs
[NO] 1405/1899 | AtomSlicer: Constant-Thickness Field-Aligned Non-Planar Slicing and Continuous Toolpaths for FFF
[NO] 1406/1899 | Locality-Aware Automatic Differentiation on the GPU for Mesh-Based Computations
[NO] 1407/1899 | Spatiotemporal FLIP for Fast Free-Surface and Two-Phase Simulation With Very Large Time Steps
[NO] 1408/1899 | Proceedings of the 2026 International Conference on Artificial Intelligence in Education Technology and Data Science
[NO] 1409/1899 | Understanding Cross-Team Communication Through Shared Cognition in EMS to ED Handoffs
[NO] 1410/1899 | AIxHealth at Interactive Health: Fostering a Global Research-Practice Collective on Responsible AI and Health Equity
[NO] 1411/1899 | From Scripted Responses To Therapeutic Dialogue: A Linguistic And Human Values Analysis Of Mental Health Chatbots
[NO] 1412/1899 | Enhancing Social-Aware Autonomous Navigation Scheme with LiDAR and RGB Sensor Fusion
[NO] 1413/1899 | Targeted Object Striking for a 7-DoF Manipulator: A Residual Learning Approach
[NO] 1414/1899 | RayNav: A Sensor-Centric Approach to Autonomous Navigation for Agricultural Aerial Vehicles
[NO] 1415/1899 | Review for "Using Lightning-Generated Whistlers for Lightning Location"
[NO] 1416/1899 | FFG-YOLO: An Accuracy-Oriented Multi-Dimensional Feature Enhancement Framework for Small Object Detection in UAV Imagery
[NO] 1417/1899 | Pneumatic Measurement System Design Based on Resource-constrained Controller
[NO] 1418/1899 | Domain Fusion in Latent Space for Face Video Super-Resolution
[NO] 1419/1899 | Degradation Behavior of Epoxy Resin Induced by High-Frequency Electrothermal Stress
[NO] 1420/1899 | Sidelobe Statistics of Extremely Large-Scale Random Spherical Arrays for IoT Radio Telescopes
[NO] 1421/1899 | RPIT: Multi-Scatterer Coherent Integration for Range-Spread High-Speed Maneuvering Targets Via Range-Phase-Invariant Transform
[NO] 1422/1899 | Analysis of GNSS Multipath Effects and Performance Degradation in Vegetated Environments
