[2026-07-04 10:54:39] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[NO] 522/1000 | Voltage Stability Enhancement in Power Systems Using Thevenin-Based D-VAR Placement
[NO] 523/1000 | SkinNetFusion-Attn: A Hybrid Deep Learning Framework with Attention-Guided Feature Fusion for Accurate Skin Cancer Diagnosis
[NO] 524/1000 | GDA-LLM: Graph-based Difficulty-Adaptive Large Language Model with Cross-Encoder Re-ranking
[YES] 525/1000 | SVAN: Static Analysis System for SystemVerilog Hardware Descriptions
[NO] 526/1000 | AI-Based Framework for Comprehensive Monitoring of Forest Degradation in the Sundarban Region Using Multi-Temporal Remote Sensing Data
[NO] 527/1000 | Modeling, Analysis and Control of Totem-Pole PFC-Based Onboard EV Charger for Third Harmonic Mitigation
[NO] 528/1000 | A Class Topper Optimization with Regrouping Strategy Based PI-Controlled Shunt Active Power Filter for Power Quality Improvement
[NO] 529/1000 | A Systematic Literature Review on Automata–Driven and ML-Augmented Frameworks for Testing in Web Applications
[NO] 530/1000 | Quality-Aware Dynamic Client-Rank Selection for Resource-Constrained Federated LoRA
[NO] 531/1000 | An 800 Gbps/Fiber Silicon Photonic Microring-Based DWDM Transceiver in an Open-Cavity Package
[NO] 532/1000 | High Yield Sub 20 nm Ru Direct Metal Etch Enabled by Single-Exposure 0.55NA EUV and dry MOR Technology
[NO] 533/1000 | Impact of Image Fusion of Optical and Microwave Satellite Imagery Under Cloudy Conditions
[NO] 534/1000 | An innovative solution to improve academic performance and student well-being
[NO] 535/1000 | AI-based Task Offloading in Vehicular Edge Computing Scenarios
[NO] 536/1000 | A 3.25-Gb/S 0.74-pJ/bit IR-UWB Transmitter Using Edge-Reference Differential Phase Shift Keying (ER-DPSK)
[NO] 537/1000 | Study of Oculomotor Control Under Optokinetic Load in Virtual Reality
[NO] 538/1000 | Unit Sizing and Techno-Economical Analysis of a Hybrid PV-Wind-Battery-DG System
[NO] 539/1000 | High-Temperature Resilient SiGe Nanosheet PFET RMG Towards Multi-Tiered Sequential Integration
[NO] 540/1000 | Robust Rule-based Heuristic Assistance Strategy for a Semi-Active Shoulder Exoskeleton Used in Overhead Work
[NO] 541/1000 | Multi-Objective Deep Reinforcement Learning for Dimensional Optimization of Parallel Robots_supp1-3709074.mp4
[NO] 542/1000 | An Enhanced Three-Cornered Hat Method for Uncertainty Analysis of Soil Moisture Products: Optimization Based on Error Model Improvement
[NO] 543/1000 | ComSoc CTN
[NO] 544/1000 | Low-Latency Spatial-Provenance Recovery Methods for Privacy-Constrained Vehicular Networks
[NO] 545/1000 | Enhancing Volumetric Imaging in Linear-Array Photoacoustic Tomography: multiview fusion with deep learning
[NO] 546/1000 | A Collaborative Evolutionary GVAE-Based Dispatch Framework for Partition Power Balance of Microgrid Clusters
[NO] 547/1000 | CDC-VSR: Unifying Cross-Domain Continuity for High-Quality Video Super-Resolution_supp1-3709223.pdf
[NO] 548/1000 | A Closed-form Expression for the Point Spread Function in Synthetic Transmit Aperture Ultrasound Imaging
[NO] 549/1000 | Driver-Perception-Aware Shared Steering Control for Automated Vehicles: Balancing Safety and Comfort
[NO] 550/1000 | Optimization of Single Photon Avalanche Diode Design using Surrogate-Reinforcement Learning
[NO] 551/1000 | Tuning-Free Latent Diffusion Models for Ultrahigh-Resolution Image Editing_supp1-3707463.pdf
[NO] 552/1000 | AI-Driven Restructuring of Employment in the Education Sector and Beyond: A Multi-Model Empirical Analysis
[NO] 553/1000 | Untangling Surfaces via Shape and Mesh Repulsion
[NO] 554/1000 | GenPIE: A Time-Resolved Plenoptic Imager
[NO] 555/1000 | Coding Wagara: Fostering Motivation through Generating Japanese Patterns using SF Symbols
[NO] 556/1000 | Bridging Artistic Expression and Game Design through Cross-Cultural Collaboration: An Educational Framework from a Seven-Year Japan–U.S. Program
[NO] 557/1000 | Animating Engagement: Connecting Technology, Artistry, and Purpose in a Small Public University
[NO] 558/1000 | Tangible Topics: Designing Technology to Enrich the Social Interactions of Older Adults in Community-Based Programs
[NO] 559/1000 | Proceedings of the 2026 1st International Workshop on Software Engineering and Research Software
[NO] 560/1000 | DVB-T Opportunistic Bistatic Radar Experiment Using a PXIe Receiver Platform
[NO] 561/1000 | Real-Time Modulation Classification for Radio Signal Using Spectrograms with YOLOv8
[NO] 562/1000 | SLID: Mitigating Unauthorized Covert Communications via Self-Locking Identification
[NO] 563/1000 | First Demonstration of Heterogeneous n-IGZO/p-WSe
                    <sub>2</sub>
                    Integration as a Power-Performance Area Booster for BEOL Complementary Gain-Cell Memory
[NO] 564/1000 | Deep Reinforcement Learning for Latency and QoS Optimization in Hierarchical V2X Edge Networks
[NO] 565/1000 | Universal Dependencies as a unifying mechanism for the electronic corpus “Tugan Tel” and the linguistic portal “Turkic Morpheme”
[NO] 566/1000 | Experimental Evaluation of NB-IoT Uplink Limits over GEO
[NO] 567/1000 | Safe-EI: Safety-Constrained Offloading for Edge Intelligence in Mixed-Criticality Systems
[NO] 568/1000 | Performance of RISC-V SoCs for Secure Edge Applications: A Benchmark-Driven Analysis
[NO] 569/1000 | Design and Development of Modified DC-DC Converter for Renewable Energy Applications
[NO] 570/1000 | A Wireless Pressure Sensor Implant with MRI-Encoded Data Uplink
[NO] 571/1000 | Joint Beamforming and Trajectory Design for Sensing-Centric UAV-Enabled ISAC Systems
[NO] 572/1000 | Ensemble Cluster Analysis for Multidimensional Profiling of Engineering Applicants
[NO] 573/1000 | Vertically Stacked Five-Word-Line IGZO FeFETs with Dual-Gate-Enabled Stable Erase Toward High-Bandwidth Storage
[NO] 574/1000 | Time-Series Forecasting of Household Global Active Power Using Gradient Boosting Algorithms with Explainable AI Interpretation
[NO] 575/1000 | Coupling Surface and Deep Electromagnetic Investigations Using Inversion Modeling to Assess Soil Salinization Risk in a Semi-Arid Region: A Case Study from Tunisia
[NO] 576/1000 | Record-Performance In
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    FETs with Ultra-Scaled Contacted Gate Pitch: Enabled by Higher-$\boldsymbol{k}$ HZO Linear Dielectric and Novel Ti-Seeded Contact
[NO] 577/1000 | Depletion-Mode Iii-V/Si SISCAP Mach-Zehnder Modulator Breaking the Efficiency-Bandwidth Trade-off for Co-Packaged Optics
[NO] 578/1000 | Graph Enhanced Multi-Agent DRL for STAR-RIS Assisted ISAC in SAGIN
[NO] 579/1000 | Optimal Sizing and Placement of Distributed Generators in Modern Power Distribution Networks Using Multi-Objective Hybrid Optimization Approach
[NO] 580/1000 | Energy-Efficient Joint Offloading and Resource Allocation Using Meta Learning in Low-Altitude Edge IoT Networks
[NO] 581/1000 | Power Quality Improvement in Distribution System Minimising Harmonics Distortion
[NO] 582/1000 | A Novel Five-Level Inverter for Grid-Connected Applications
[NO] 583/1000 | Optimization of MPPT in PV System: Effect of Windspeed and Humidity GA-Based Approach
[NO] 584/1000 | Performance Analysis of on-Board Charger for Electric Vehicles
[NO] 585/1000 | A Comparative Study of Nickel Manganese Cobalt and Lithium Iron Phosphate Batteries in Electric Vehicles
[NO] 586/1000 | Dynamic Neural Networks for Manipulability Optimization of Omnidirectional Mobile Redundant Manipulator Under Anti-Input Disturbance
[NO] 587/1000 | Directivity Maximization for FAS Antenna Systems
[NO] 588/1000 | Backside Power: Enabling Energy-Efficient Performance on Advanced Node Designs
[NO] 589/1000 | ANN-Based EV Charging Demand Forecasting in Renewable Microgrids
[NO] 590/1000 | Reverse Engineering and Control-Aware Security Analysis of the ArduPilot UAV Framework
[NO] 591/1000 | Quantum Machine Learning: Bridging Quantum Computing &amp; Machine Learning
[NO] 592/1000 | MUSIC: Learning Muscle-Driven Dexterous Hand Control
[NO] 593/1000 | ToF ReSTIR: Time-of-Flight Rendering with Spatio-temporal Reservoir Resampling
[NO] 594/1000 | Rolling Through the Pipeline: A Course Model for Virtual Production Education
[NO] 595/1000 | Engineering Empathy: A Blueprint for Interdisciplinary Art and Engineering in K-12 Education
[NO] 596/1000 | Asiagraphics Workshop on Neural Graphics Processing
[NO] 597/1000 | What Do Competitive Players Do With Their Settings? A Multi-Game Esports Configuration Survey
[NO] 598/1000 | Three-Level Boost Converters for Solar PV Integration with Bigrid System in EV Charging Applications
[NO] 599/1000 | Geomorphometry–Based Mapping and Assessment of Viewpoint Geosites for Geo-Education in Arid Landscapes: Zagora Region (Southeast Morocco)
[NO] 600/1000 | Augmenting SPICE Behavioral Models for Simulating Emerging Concepts The Force Extraction IGBT
[NO] 601/1000 | Reduced-Order Model Based Design of PID Controller for Zeta Power Converter Using Jaya Optimization Algorithm
[NO] 602/1000 | A 28nm 2GS/s Remote-Sensing On-Chip Oscilloscope Using Charge-Redistributing Voltage Transfer and Time-Domain Stochastic ADC with 1.6mV Resolution
[NO] 603/1000 | Design and Implementation of Ultra-Capacitor Assisted Hybrid Cell Balancing System Connected DC-DC Converter for Electric Vehicle Applications
[NO] 604/1000 | Artificial Intelligence in Groundwater and Water Quality Assessment: A Survey
[NO] 605/1000 | Design of Fault Visualization and Intelligent Scheduling System for BIER Multicast Networks
[NO] 606/1000 | Covert Communications in High-Mobility Environments Using Pre-Chirp Spreading Index Modulation for AFDM
[NO] 607/1000 | Offline Disaster Communication Platform for Reliable Emergency Coordination in Network Deprived Environments
[NO] 608/1000 | A Cross-Band Wi-Fi/BLE Passive Tag Demonstrating Battery-Free Standard-Mask Communication with Smartphones and Battery-Free AoA Localization
[NO] 609/1000 | An Innovative DTCO for 2 nm GAA Technology with Hyper-Cells in an Extremely High-Density Library for AI/HPC and Mobile SoC Applications
[NO] 610/1000 | Performance Evaluation of Thermal Noise-Based Covert Communication for Multi-Scenarios
[NO] 611/1000 | A 64-Channel, Low-Power End-to-End Transformer-Based BCI SoC for Efficient Motion Intention Decoding
[NO] 612/1000 | THD Analysis of 5-Level Cascaded H-Bridge and Diode Clamped Inverters Driving PMSM and Asynchronous Motors using Different LS-PWM Techniques
[NO] 613/1000 | Hydrogen Overflow as a Novel Negative V
                    <sub>th</sub>
                    Shift Mechanism in PBTI Universal to Planar and Vertical IGZO FETs
[NO] 614/1000 | A Comprehensive Review of Machine Learning Driven Speech Recognition Techniques and Emerging Research Themes
[NO] 615/1000 | The Horizon Europe “Expert” Project for Capacity Building between Space Agencies in Earth Observation Hyperspectral Remote Sensing
[NO] 616/1000 | SMART-LEA: Scalable Multipath-Aware Localization Enhancement for IoT and 6G Sensor Networks
[NO] 617/1000 | Morphological Complexity and Neural Machine Translation Quality in Kyrgyz: a Genre-Stratified Evaluation Using chrF
[NO] 618/1000 | Adaptive AI-Assisted Model Predictive Control of a Modular Multilevel Active Power Filter for Renewable-Integrated Grids
[NO] 619/1000 | Performance Analysis of Vertical Grounding Rods Under Lightning Current Excitation in Wind Turbine Installations
[NO] 620/1000 | A 3-nm FinFET CMOS PAM-4 Retimer for $\mathbf{8 0 0 - Gb} / \mathbf{s}$ and $\mathbf{1. 6 - T b} / \mathbf{s}$ Optical Modules
[NO] 621/1000 | µAgent: A 7nm 404.3mJ/Action Edge SoC for Agentic AI Reasoning with Adaptive Block-Wise Mixed-Format 4-Bit Quantization and Decoupled Access-Execute
[NO] 622/1000 | Automated Evaluation of University Student Reports Using Large Language Models
[NO] 623/1000 | AI-Driven Earth Observation for Monitoring Archaeological Looting: Advances, Opportunities, and Future Directions
[NO] 624/1000 | Hybrid Evolutionary–Machine Learning Framework for Context-Aware Optimal Route Selection in Dynamic Wireless Sensor Networks
[NO] 625/1000 | Attention-Based Spatio-Temporal Feature Fusion for Efficient RGB Face Presentation Attack Detection
[NO] 626/1000 | MPUrge-MAP: A White-Box Multipath-Assisted Positioning for Indoor Localization in 6G Networks
[NO] 627/1000 | SmartBinX: AI-Driven Intelligent Waste Disposal System
[NO] 628/1000 | Enhancing Resource Diversification in Next-Generation Networks: An Integrated Service-Oriented Approach
[NO] 629/1000 | Semantic Segmentation of 15 Retinal Biomarkers Using SegFormer with Rare-Class Aware Patch Sampling
[NO] 630/1000 | Research on the Demonstration of Intent-Driven Manned-Unmanned Cooperative Communication Networks
[NO] 631/1000 | Trusted Execution Environments in Systems-of-Systems: A Systematic Mapping Study
[NO] 632/1000 | Dynamics of energy costs and emissions in operations: analysis for decision support_supp1-3709537.docx
[NO] 633/1000 | CNN-Based Modelling Reveals Temporal Brain Dynamics of Auditory Intensity Processing_supp1-3709314.docx
[NO] 634/1000 | Adversarially Resilient Task-Oriented Semantic Communication for Speech Emotion Classification
[NO] 635/1000 | A Digital Twin–Enabled Framework for Battery Degradation Management in Electric Vehicles
[NO] 636/1000 | CRAM: Cooperative Resource Allocation With Spotlighting for Zero-Interruption ISAC Networks
[NO] 637/1000 | Electro-thermal simulation and experimental validation of a platinum heater for gas sensors
[NO] 638/1000 | Resilient Secure Tracking Control for Attitude-Orbit Integrated Spacecraft with Aperiodic DoS Attacks: A Fully Actuated System Approach
[NO] 639/1000 | 2026 IEEE Mediterranean and Middle-East Geoscience and Remote Sensing Symposium (M2GARSS)
[NO] 640/1000 | AudioLLM-Enabled Semantic Communication for Multi-Task Speech Transmission
[NO] 641/1000 | A Cycle-Based Solvability Condition for Real Power Flow Equations
[NO] 642/1000 | vSTMD: Visual Motion Detection for Extremely Tiny Target at Various Velocities_supp1-3707792.pdf
[NO] 643/1000 | IWCMC 2026 Cover Page
[NO] 644/1000 | Series Editorial: Network Softwarization and Management
[NO] 645/1000 | Fiber-optic Chromatic Dispersion Measurement Based on Enhanced Precision Group Delay Synthesis
[NO] 646/1000 | Ensemble based Self-Supervised Meta-Learning for Anomaly Detection in Power Systems
[NO] 647/1000 | An Embedded Digital Twin of DC-DC based on Hybrid RLS for Real-Time Condition Monitoring
[NO] 648/1000 | An Autonomous and Model-Guided Sampling Framework for Heavy Metals Monitoring in Drinking Water Sources
[NO] 649/1000 | Iterative Channel Estimation with IDI Suppression for Rectangular-Shaped Waveform based OTFS in Doubly-Selective Channel
[NO] 650/1000 | Towards Sustainable Mobility: A Comprehensive Review of EV Battery Optimization via AI and Hardware Management
[NO] 651/1000 | Table of Contents
[NO] 652/1000 | Technical Program Committee
[NO] 653/1000 | Compact, Lightweight, Wireless, and Low-Power Fiber Bragg Grating Interrogator Based on MEMS-VCSEL
[NO] 654/1000 | Hybrid-Field Channel Estimation for XL-MIMO via Joint Sparse Recovery With Off-Grid Refinement
[NO] 655/1000 | A Comparative Analysis of Deep Learning Models for Deployment on an Australian Bushfire Detection Satellite
[NO] 656/1000 | Mixed Material Point Methods for Stiff Elastoplasticity
[NO] 657/1000 | The PhaseTree: Multiphase Signed Distance Fields
[NO] 658/1000 | Surface Power Diagrams for Knit Singularity Placement
[NO] 659/1000 | Efficient Fur and Hair Multiple Scattering Using Volumetric Approximation
[NO] 660/1000 | Role-Aware Virtual Agents for Navigational Interaction guided by a Multimodal Large Language Model
[NO] 661/1000 | Gradient Domain Reconstruction for Monte Carlo PDE Solvers
[NO] 662/1000 | Uncertainty-aware geometry processing on Gaussian Process Implicit Surfaces
[NO] 663/1000 | 2026 Advanced Topics on Measurement and Simulation (ATOMS)
[NO] 664/1000 | Track Page
[NO] 665/1000 | To Be or Not To Be: Respecting when Socially Interactive Agents Should or Should Not Conform to Expectations
[NO] 666/1000 | Teaching OpenGL 4.5/4.6 in Introductory Computer Graphics: A Hidden Sweet Spot in Graphics API Education Accessibility
[NO] 667/1000 | Explainable YOLOv10 Framework for Multi-Class Fault Detection and Severity Estimation in Solar Photovoltaic Modules
[NO] 668/1000 | DDQN-enabled Online Edge Inference for Diffusion-based GenAI Applications
[NO] 669/1000 | Density-Adaptive Grant-Free NOMA versus Grant-Based OMA for Mobile Massive IoT: A Stochastic Geometry Framework with Performance Threshold Analysis
[NO] 670/1000 | Scheduling of Electric Vehicle Charging Considering Grid Profile
[NO] 671/1000 | Enhanced Method to Classify and Detect Oral Health Issues from Spectral Imaging Using Artificial Intelligence
[NO] 672/1000 | Dynamic Energy Scheduling and Grid Power Regulation in Photovoltaic Integrated Greenhouse Using Sliding Mode Control
[NO] 673/1000 | Multitemporal Remote Sensing Data for Multiparametric Drought Monitoring in Agricultural Applications
[NO] 674/1000 | Record-Thin $(\sim 2 ~\text{nm})$ Wakeup-Free Hzo Ferroelectric Mfm Via Atomic Layer Etching (Ale): Grain Size Enlargement and Ferroelectric Phase Engineering
[NO] 675/1000 | Perceptions on Energy Labels in Household Appliances: An Exploratory Study of Romanian Consumers
[NO] 676/1000 | A Modified Current Chopping Control Based Optimized Current Sharing Function for Switched Reluctance Motor in EV Applications
[NO] 677/1000 | Impact of P&amp;O and Incremental Conductance MPPT Algorithms on DC-Link Voltage Ripple in Photovoltaic Boost Converter Systems
[NO] 678/1000 | NOMA-based PASS-D2D Communications
[NO] 679/1000 | Embracing the Cloud: Transforming Higher Education Through Computing Innovation
[NO] 680/1000 | Morphological Extraction of Hyponym-Hypernym Relations from the Tatar Language Using Parse Tree Analysis
[NO] 681/1000 | A Scalable Vision-Language-Action Edge Processor with Token Filtering and Hybrid Processing-Near-Memory for 6.7-ms Perception-To-Action Latency in Robot Control
[NO] 682/1000 | Production-Ready Romanian Text-to-Speech for Commercial Voicebots: A Staged Adaptation Approach
[NO] 683/1000 | Goertzel-Based Multi-Wavelength PPG for Non-Invasive Blood Glucose Estimation
[NO] 684/1000 | An IEEE 802.15.4z-Compliant IR-UWB System-on-Chip with 27 dB Self-Interference Cancellation and Reconfigurable TIA for Automotive Radar and Ranging
[NO] 685/1000 | Improving RSSI Preprocessing for Physical-Layer Secret Key Generation in UAV Networks via Joint Sparse Signal Reconstruction
[NO] 686/1000 | A 4Gb 32-Layer 3D NOR Flash Test Chip with Innovative Design Methods Enabling Sub-100ns Low-Latency Read and Robust Retention
[NO] 687/1000 | Synergistic SAR - Optical Remote Sensing Framework for Landslide Mapping
[NO] 688/1000 | Stages Of Developing Linguistic Resources For The Uzbek English Parallel Corpus Of Official Texts
[NO] 689/1000 | End-to-End Building Model Generation and Validation with CITYdata and MetamEnTh
[NO] 690/1000 | Distributed Iterative Learning Model Predictive Control for Unmanned Surface Vehicles
[NO] 691/1000 | 360-Degree Video Streaming with Perceptual Tiling and Parallel Reinforcement Learning
[NO] 692/1000 | Determining the Slope of a Received Signal Using Second Order Oscillating Systems
[NO] 693/1000 | Smart Optimization of Hybrid Power Solution for Single-Household Electrification in Lawalong, Chatra, Jharkhand Using HOMER Pro
[NO] 694/1000 | A Fully Integrated, GBW-Enhanced Tri-Loop, Maximum Ripple Rejection Tracking Analog LDO Achieving Better Than −25.5dB PSR Up to 1GHz and 13ns Settling Time
[NO] 695/1000 | 10-nm-Gate-Length Nanosheet CNFET with Self-Aligned Extension Doping for Ambipolar Leakage Suppression
[NO] 696/1000 | A 3-nm Aging Delay Characterization and Timing Error Resilience Framework for CNN Accelerators
[NO] 697/1000 | Generalized Nonuniform Memory Polynomial Model for Digital Predistortion of RF Transmitters
[NO] 698/1000 | Enhanced Logic-based Benders Decomposition and Branch-and-Check Frameworks for Distributed Job Shop Scheduling Problem with Discrete Operation Sequence Flexibility_supp1-3708990.docx
[NO] 699/1000 | Boundary Control of Traffic Density Waves Using a Markov-Switching Stochastic Parabolic PDE Model
[NO] 700/1000 | An Explainable Machine Learning Framework for Organizational Financial Distress Detection: Evidence from Korean Hospital Panel Data
[NO] 701/1000 | Learning a Delighting Prior for Facial Appearance Capture in the Wild
[NO] 702/1000 | Woodstock: Interactive Modeling of Fungal Wood Decay
[NO] 703/1000 | Implicit Minimal Surfaces for Bijective Correspondences
[NO] 704/1000 | Wall-Object Multimodal Encoding for Robust Coarse-to-Fine Relocalization Using LiDAR Signals_supp1-3709534.pdf
[NO] 705/1000 | Multi-frequency Terahertz Mueller Matrix Ellipsometry Driven by Neural Network
[NO] 706/1000 | Hybrid Physical Layer Authentication in RIS-Assisted V2X Networks
[NO] 707/1000 | Microscale-Searching Constrained Evolutionary Optimization for Diversity-Distribution-Guided Image Augmentation_supp1-3706679.docx
[NO] 708/1000 | Facilitating Fast Response of the Heterogeneous Vehicle Platoon Based on the Multi-Delay Proportional-Retarded Controller
[NO] 709/1000 | USAM: A Unified Safety–Age Metric for Timeliness in Heterogeneous IoT Systems
[NO] 710/1000 | DRNet: All-in-One Image Restoration via Prior-Guided Dynamic Reparameterization
[NO] 711/1000 | Fake News Detection Using Machine Learning with Lightweight DistilBERT Deployment
[NO] 712/1000 | IEEE Innovation Testbed
[NO] 713/1000 | Pushing the Limits: Unlocking the Potential of Faster-than-Nyquist Signaling
[NO] 714/1000 | Microwave Radar Imaging System with Large Aperture Sparse-Focused MIMO Array for Concealed Object Detection
[NO] 715/1000 | Automatic identification of domain expressions to build a LEL glossary from Spanish texts
[NO] 716/1000 | Differentiable Physics for Graphics and AI
[NO] 717/1000 | From Cage to Stage: Mapping Aesthetic Dance Movements Onto an Industrial Robot
[NO] 718/1000 | MPM Lite: Linear Kernels and Integration without Particles
[NO] 719/1000 | Improving a Parallel C++ Intel SSE SIMD Linear Genetic Programming Interpreter
[NO] 720/1000 | Design of Transistor Microwave Amplifiers Using Ideal Matching Two-Ports
[NO] 721/1000 | Method for Determining the Emissivity Coefficient of the Venous Wall to Improve the Accuracy of Temperature Measurement Using Thermal Imaging in ex vivo Studies
[NO] 722/1000 | LLM-Driven Hierarchical Federated Orchestration for Privacy-Preserving 6G TN-NTN Networks
[NO] 723/1000 | An Efficient Quantum Signature Scheme for Secure Wireless Communications in IoT Networks
[NO] 724/1000 | Two-Stage Quantum Annealing for Sidelobe Suppression in 2-Bit Quantized Phased Arrays
[NO] 725/1000 | Geo-Environmental Controls on Gully Erosion: A Random Forest Approach in the SROU Basin (Middle Atlas, Morocco)
[NO] 726/1000 | Comparative study of feature grouping strategies on non-cooperative modulation recognition*
[NO] 727/1000 | A Multi-Stage Approach for the Analysis of Poetic Texts
[NO] 728/1000 | Simulation of the Impact of Design and Technology Parameters on the Threshold and Breakdown Voltages of LDMOS Transistors
[NO] 729/1000 | Ultra-Low Drift (4 mV/dec.) and Excellent Write Endurance (&gt; 3×10
                    <sup>10</sup>
                    ) in Heterostructure Te-Based Selector-Only Memory (SOM) with 2D WS
                    <sub>2</sub>
                    Interlayer
[NO] 730/1000 | A Single-Stage Solar PV-Fed Sensorless Induction Motor Water Pumping System Using Adaptive Sliding Mode MPPT and Integral Sliding Mode Control
[NO] 731/1000 | D2D Performance Analysis in the context of RIS Assisted Communications
[NO] 732/1000 | Experimental Performance Evaluation of a Fully Virtualized Open-Source 5G Network using srsRAN
[NO] 733/1000 | Semi-Asynchronous DAG-Based Federated Learning for Internet of Things
[NO] 734/1000 | Stability-Oriented Closed-Loop Control for PV Integated On-Grid Cascaded H-Bridge Multilevel Inverter for Enhanced Dynamic Response
[NO] 735/1000 | A $3.2 \text{GS} / \mathbf{s}^{2}{ }^{\text {nd }}$-Order Noise-Shaping-Pipelined ADC with 400 MHz-BW 69 dB-SNDR Featuring Gain/Quantizer-Embedded Parallel Voltage/Time-Domain Loop Filter
[NO] 736/1000 | A 10-Bit Source-Driver IC with Mismatch-Resilient Cross-Point DAC Achieving 1223μm
                    <sup>2</sup>
                    /Channel and 4.3 mV DVO for Mobile OLED Displays
[NO] 737/1000 | 6.5 kV Enhancement-Mode GaN Monolithic Bidirectional Switch (MBDS) Achieving Record Power Figure of Merit
[NO] 738/1000 | A 48 V, 25 W, 6.78 MHz Self-Starting Class-D WPT Transmitter with Self-Biasing and Autonomous Clocking Achieving 91% Peak DC-DC Efficiency
[NO] 739/1000 | Design and Simulation of a Textile-Based Wearable Compact Antenna for Wireless Body Area Networks
[NO] 740/1000 | DustTransBEV: BEV Transformer Dust Cleaning for Autonomous Driving LiDAR Systems
[NO] 741/1000 | A $\mathbf{1 2 9}$-Gb/s CMOS W-Band Polarization-Modulated Active Relay Transceiver Supporting Concurrent Dual-Polarized Dual-Stream Relay Operation
[NO] 742/1000 | TinyNPU: A3nm 0.06-134.36 μJ/Token DCIM-Based Ultra Low Power NPU for Always-On Reasoning on Wearables
[NO] 743/1000 | Uncertainty-Aware Pneumonia Screening from Chest X-Rays Using Selective Triage and Explainable Deep Learning
[NO] 744/1000 | Scaling $V_{DD}$ for P-Type 2D-Material Channel Transistor: what Non-Idealities are Still to be Solved
[NO] 745/1000 | Low-Overhead CSI Reporting for Network Energy Saving
[NO] 746/1000 | Retrospective Simulation of LLM-Guided Smart Contract Policies Using Real IoT Energy Data
[NO] 747/1000 | Towards Holistic IoT Systems Profiling: Integrating Energy Consumption with Performance Metrics using SPECTRA
[NO] 748/1000 | Research on Automatic Recognition of Abnormal Behavior of Students on Multimedia Comprehensive Quality Education Platform
[NO] 749/1000 | Transformer-LLM Smart Classroom Assessment System: Sequence Labeling and Multi-Task Learning Methods Oriented to Ideological and Political Education in Curriculum
[NO] 750/1000 | Mixing Colors: Exploring Digital Images through the Bayer Filter
[NO] 751/1000 | PQ-Free HD: Priority-Queue-Free Hausdorff Distance for Triangle Meshes on GPU
[NO] 752/1000 | Beamforming Optimization for Active STAR-RIS Aided Secure ISAC System
[NO] 753/1000 | Indoor Wellness Optimization in Smart Buildings Based on Ambient Variable Dimensionality Reduction
[NO] 754/1000 | A Distributed Thermal-Sensing-Driven Hierarchical Warning Framework for 10 kV Distribution Cables
[NO] 755/1000 | USBEREIT 2026 Cover Page
[NO] 756/1000 | Superconducting Concentrator in a Combined Magnetic Field Sensor
[NO] 757/1000 | Strategy for Mitigation of Voltage Distortions in Highly Efficient Single-Phase Unfolder Inverters
[NO] 758/1000 | One Prompt, Many Sounds: Modeling Listener Variability in LLM-Based Equalization
[NO] 759/1000 | Conference Committees
[NO] 760/1000 | GCDance: Genre-Controlled Music-Driven 3D Full Body Dance Generation
[NO] 761/1000 | A New Human-Likeness and Comfort Index for Robot Movements Along Prescribed Paths
[NO] 762/1000 | FSTFormer: 2D Transformer Fusing Multi-Scale Fast–Slow Time Features based Adaptive Detection for Radar Targets with Unknown Scattering Centers
[NO] 763/1000 | Centimeter-Level Multi-Human Positioning and Tracking Using LiDAR
[NO] 764/1000 | Keynoters
[NO] 765/1000 | Transforming legacy Research Software into Free Software: Early impressions from Participant Observation
[NO] 766/1000 | Managing Reproducibility Debt in Scientific Software: A Practical Framework
[NO] 767/1000 | SPNet: Rethinking Feature Pyramids for Aerial Small Object Detection
[NO] 768/1000 | An in-Ear Sleep Modulation SoC Featuring a CNN–LSTM Accelerator with Long-Kernel Memory Reuse and Runtime Dynamic Quantization
[NO] 769/1000 | Cross-Model Analysis of Token-Level Explanations in Tatar Text Classification
[NO] 770/1000 | A 16 Mb 28 nm FD-SOI STT-MRAM Achieving 2.0 ns Read Access Time at 0.9 V via a PVT-Variation-Tolerant Dual-Reference Sensing Scheme
[NO] 771/1000 | Monolithic 3D Integration of Stacked IGZO/Si Memtransistor-Based 2T0c Gain Cell for Attention Computation and CFET SRAM-DCIM With Multiple Spectral CNT-Sensors for End-To-End Vision Transformers (Vits) on Edge AI
[NO] 772/1000 | A Change-Detection Approach Using Google Earth Engine to Monitor the Loss of Historically-Significant Sustainable Traditional OASIS Agriculture
[NO] 773/1000 | Transmit Pinching Antenna Systems (T-PASS): Joint Wired And Wireless Communication
[NO] 774/1000 | Real-Time Network Behavior Modeling for Collaborative Operations of Low-Altitude UAV Swarms
[NO] 775/1000 | A Modified Interleaved Switched-Capacitor Unidirectional DC-DC Converter with Wide Voltage-Gain Range for Integrating Renewable and Energy Storage Systems
[NO] 776/1000 | The Impact of Bilingual Thinking on Problem-Solving Skills: Implications for Intelligent Educational Systems in Turkic Language Contexts
[NO] 777/1000 | Advanced Hybrid Fuzzy Approach to Automatic Generation Control (AGC) with Different Sources of Generation
