[2026-08-08 09:38:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-07
正在获取论文...
[IEEE] 2026-8-7 | Improved IQC covers for sample-and-hold
[NO] 553/1000 | Evaluation of Economic and Green Logistics Performance of African Countries Through Fuzzy Linear Regression and MCDM Approaches
[NO] 554/1000 | Flexible Piezoresistive Pressure Sensor based on Axially Stiffness-graded Microcone Arrays
[NO] 555/1000 | Energy Signatures and Production Process Information
[NO] 556/1000 | Shaping a “Third Space” Like Home: A Study of Japan House London and Its Traditional Craft Exhibitions
[NO] 557/1000 | Trust-Based Adaptive LQR Control for Autonomous Multi-Tenant Network Management
[NO] 558/1000 | Research on Concrete Strength Prediction and Durability Assessment Algorithm Based on Deep Feature Extraction
[NO] 559/1000 | Elderly Rehabilitation Training System Based on Artificial Intelligence and Virtual Reality Technology
[NO] 560/1000 | Gender Sensing and Personalized Fragrance Diffusion Design of Intelligent Ceramic Fragrance
[NO] 561/1000 | Distributed Global Fixed-Time Cooperative Dynamic Avoidance Control for Multiple Surface Vessels
[NO] 562/1000 | Effect Evaluation and Ethical Challenges of Intelligent Advertising Delivery in the Context of Data
[NO] 563/1000 | An Explainable Deep Learning Approach for Multi-Region Bone Fracture Detection in X-Ray Images
[NO] 564/1000 | TRI-FusionNet: AI-Generated Video Detection Based on Temporal Alignment
[NO] 565/1000 | Annotation Quality Reward: A Closed-Loop Reinforcement Learning Architecture for Autonomous Coffee Plantation Inspection and Synthetic Dataset Generation
[NO] 566/1000 | FGDWI: An Online Feasibility-Gated Dynamic Waypoint Insertion Policy for Value-Aware ASV Navigation in Forecast Flows
[NO] 567/1000 | Design and Implementation of a Digital Pressure Sensor Evaluation System
[NO] 568/1000 | A Study of Real-Time Synchronisation of Cross-Dimensional Interactions
[NO] 569/1000 | An Explainable Model for ROP Disease Diagnosis from Multi-Centered Infant Fundus Images
[NO] 570/1000 | Generating Synthetic Datasets for the Financial Industry: A CT-GAN Based Approach
[NO] 571/1000 | Integrating Large Language Models and Ontologies for Legal Text Impact Extraction and Classification: an Application to Regulatory Impact Assessment
[NO] 572/1000 | Fabrication of High-Quality Nanogap Electrodes via Structurally Optimized Atomic Layer Lithography
[NO] 573/1000 | An Urban Dashboard Supporting Situation Awareness for City Branding
[NO] 574/1000 | GroupTrack: A Feature-aware Enhanced Group Tracking Method
[NO] 575/1000 | System-Level Risk Modeling for Critical Infrastructure in Data-Limited Regions
[NO] 576/1000 | Study on Meeting Space Design Based on Aesthetic Density
[NO] 577/1000 | Synthetic Media Detection
[NO] 578/1000 | Optimus: A Generic Operator-Level PyTorch Model Transformation Framework
[NO] 579/1000 | From Structure to Function: Preference Alignment for Function-aware Protein Inverse Folding
[NO] 580/1000 | PROBE: VLM-Guided Discrete Structural Reconfiguration for Customized and Efficient Video Retrieval
[YES] 581/1000 | Towards Quantum Program Bug Datasets and Benchmarking
[NO] 582/1000 | RuleTwin: Physics-Constrained Rule Induction for Anomaly Detection in Industrial Multivariate Time Serie
[NO] 583/1000 | Unifying Behavior Modeling and Semantic Generation for Generative Recommendation
[NO] 584/1000 | AgentsKG: A Hierarchical Multi-Agent Framework for Open-Domain Knowledge Graph Construction
[NO] 585/1000 | HRKT: Hierarchical Recurrent Knowledge Tracing for Efficient Transformer-Based Long-Sequence Modeling
[NO] 586/1000 | GPR: Towards a Generative Pre-trained One-Model Paradigm for Large-Scale Advertising Recommendation
[NO] 587/1000 | RiskBound: Risk-Aware Boundary-Guided Portfolio Optimization via Action Space Reshaping
[NO] 588/1000 | Research on the Application of Nonlinear Narrative in Chinese Original Picture Book Design from the Perspective of Symbolic Reproduction Theory
[NO] 589/1000 | Green Design and the Innovative Inheritance of Traditional Festival Culture: A Case Study of the “Bai Qiao” Craftwork in the Qixi Festival of Guangzhou
[NO] 590/1000 | A Systematic Literature Review Combined with Empirical Machine Learning Experiments on the Use of Artificial Intelligence Tools in Digital Marketing
[NO] 591/1000 | Picture Books: A New Engine for the Digital Inheritance of Intangible Cultural Heritage
[NO] 592/1000 | Dual-View Vision Transformer with Cross-Modal Memory for Radiology Report Generation
[NO] 593/1000 | Emotional Color Customization System for Clothing Fabrics Based on Interactive Genetic Algorithm
[NO] 594/1000 | Coupled-beam Coupled Type Constant-temperature MEMS Resonator
[NO] 595/1000 | Geometric Influence on Slamming Forces During Vertical Water Entry: Validation of a Second-Order Modified Logvinovich Model Using CFD
[NO] 596/1000 | Simultaneous and Efficient Filtration Performance of PM2.5 and VOC Based on Ceramic Materials with Multilevel Pore Structure
[NO] 597/1000 | HostelHub: Architectural Design of a Modular Web Framework for Academic Hostel Administration
[NO] 598/1000 | Multi-degree-of-freedom potential barrier adaptive bistable vibration energy harvester
[NO] 599/1000 | VLA-AST: Toward Spatially-Precise and Physically-Smooth Robotic Manipulation
[NO] 600/1000 | A Comparison of AI Models for Viewport Prediction in Immersive 360° Video Streaming
[NO] 601/1000 | Optimized Broad Learning System with Tree Structure for Combustion State Classification in WtE Systems
[NO] 602/1000 | Effect of Bender Beam on Z-structured Piezoelectric Transducer
[NO] 603/1000 | Hierarchical Track Initiation Using Probabilistic Reasoning for Compact HFSWR
[NO] 604/1000 | LLM-Guided Bi-Objective Planning for Energy-Constrained AUV Fleets
[NO] 605/1000 | Underwater Source Localization Using Transfer and Contrastive Learning
[NO] 606/1000 | Considerations on operator behavior modeling in I&amp;C system model checking
[NO] 607/1000 | Semantic Watermark for Detecting Thesis Title Reuse in Academic Repositories
[NO] 608/1000 | Digitalization of Plankton Groups in a Marine Holographic Experiment
[NO] 609/1000 | Optimized Model-Free Extremum Seeking Control for Morphing Rotor Systems
[NO] 610/1000 | Design and Development of a Low-Cost Grey Water Filtration System for Domestic Reuse
[NO] 611/1000 | SDRAM-YOLO: Safe Degradation-Aware Residual Modulation for Adverse Weather Object Detection
[NO] 612/1000 | A Data-driven quasi inverse static model of a parallel continuum robot
[NO] 613/1000 | Robust Time-Synchronized NMPC for 3-D AUV Trajectory Tracking with Optimal LOS Guidance
[NO] 614/1000 | Cross-Domain Wavelet Augmentation and Domain Knowledge-Guided Conditional Decoding for Domain-Generalized Breast Ultrasound Segmentation
[NO] 615/1000 | Communication Logic and Strategies Empowered by AIGC in Cultural Heritage
[NO] 616/1000 | AKansei Engineering Study on the Frontfascia Design of Electric Sedans in the Chinese Market
[NO] 617/1000 | Intelligent Generation Method for Cultural Tourism Short Videos Based on Deep Feature Learning
[NO] 618/1000 | Strategic Site Selection for Renewable Solar Energy in Telangana—A GIS and MCDA-Based ML Approach
[NO] 619/1000 | Research on the Digital Design of Dalian Sea Lantern Festival from the Perspective of Intangible Cultural Heritage
[NO] 620/1000 | Empowering Chinese Woodblock Prints as Intangible Cultural Heritage: A Study on Digital Preservation and Cultural Transmission Through Augmented Reality
[NO] 621/1000 | Construction of Intelligent Analysis Algorithm for Financial Forecasting Data and Risk Monitoring System
[NO] 622/1000 | A Lyapunov-Guided Post-Action Shield for Stability-Aware Deep Reinforcement Learning
[NO] 623/1000 | Magnetically Actuated Sub-Millimeter Squeezing Soft Robot Toward Targeted Therapy
[NO] 624/1000 | MultiTransConv: CNN-Transformer Architecture for Intrusion Detection in Wireless Sensor Networks
[NO] 625/1000 | Design and Analysis of a Dual-Terminal Differential-Electrode Piezoelectric Micromachined Ultrasonic Transducer Based on Pzt Thin Film
[NO] 626/1000 | Attribute-Guided Zero-Shot Species Recognition: Integrating Generative Priors for Next-Generation Biodiversity Intelligence
[NO] 627/1000 | DPML: Derivative-Based EEG Preprocessing for Enhanced Epileptic Seizure Detection Using Machine Learning
[NO] 628/1000 | A Service Design Framework for New Retail Scenes: Methodologies and Applications
[NO] 629/1000 | Research on Gamification Design of Intangible Cultural Heritage Sugar Pagoda App Based on User Experience
[NO] 630/1000 | Algorithm for Extracting Time-Series Features of Power from Distributed Sources and Loads and Identifying Typical Scenarios
[NO] 631/1000 | Orchestrator Armor: Empirical Assessment and Unified Monitoring of Cluster Security Posture
[NO] 632/1000 | Study on the Formal Characteristics of Ming-Style Rohan Bed Based on AIGC Technology
[NO] 633/1000 | The Relationship Between Cultural Intelligence and Product Design Ability: an Empirical Study Using the CQS in Design Education
[NO] 634/1000 | Occlusion Removal from Sequential Street View Panoramic Images
[NO] 635/1000 | Physics-Based Modeling of Water-Surface Disturbances Induced by Subsurface Objects for Maritime Sensing
[NO] 636/1000 | Balancing Novelty and Realism: A Convolutional Conditional GAN for Underwater Acoustic Channel Generation
[NO] 637/1000 | MambaMER: Exploring State Space Models for Micro-Expression Recognition
[NO] 638/1000 | Research on the Innovative Design Method of AIGC for the Phoenix Pattern of Chu Lacquerware
[NO] 639/1000 | Low-Rank Reparameterization of CLIP-Derived HOI Text Prototypes for HOI Detection
[NO] 640/1000 | A Low-power, Large-comb-spacing, High-integration RF Frequency Comb Generator Based on Parametric Excitation
[NO] 641/1000 | Machine Learning Model for Solar Energy Forecasting and Management
[NO] 642/1000 | Convolutional Imaging: A Training Path for Neural Networks to Extract Visual Elements
[NO] 643/1000 | Tilt Correction Algorithm for Single Chinese Character Images
[NO] 644/1000 | A High-Accuracy Resonant Pressure Microsensor Packaged with a Thick Glass Base
[NO] 645/1000 | Low Probability of Detection Underwater Acoustic Communication Based on Ship Noise Masking
[NO] 646/1000 | Distributed Control of Multi-AUV Formation via MPPI with Enhanced Virtual Spring
[NO] 647/1000 | Capturing Fragment Dependencies in Real Marine Organism Mass Spectrometry with Boosted Effective Receptive Field
[NO] 648/1000 | Advanced Artificial Intelligence Techniques for Automated Identification of Anomalous Events in Log Data
[NO] 649/1000 | Applying Reinforcement Learning to Dissolved Oxygen Control in a Fed-Batch Fermentation using a Digital Twin
[NO] 650/1000 | Beyond Clean Pixels: Robustness of AI Video Detectors Under Social-Media Degradation
[NO] 651/1000 | Analysis of Data Security and Privacy Protection Technologies in an Information-Based Environment
[NO] 652/1000 | Constrained Trajectory Planning for Wheeled Ground Robots in Unstructured Environments Modeled by B-Spline Approximation
[NO] 653/1000 | The Cost of Quality in Circular Economy: Balancing AI Investment and Profitability in CRD Waste Management
[NO] 654/1000 | CViTRNN: A Lightweight Recurrent Network with an Embedded Channel-Aware Vision Transformer for Multidimensional Wind Power Forecasting
[NO] 655/1000 | An Information-aware Reconstruction Model for Multi-category 3D Anomaly Detection
[NO] 656/1000 | SCVCD-5K: The First Large Scale Screen Content Video Dataset for Compression
[NO] 657/1000 | Front Cover
[NO] 658/1000 | FlowBoat: Learning USV Dynamics Model With Flow Matching for Adaptive Model Predictive Trajectory Tracking_supp1-3706892.mp4
[NO] 659/1000 | Coverage and Energy Efficiency Analysis in Cache-Aided Terahertz Clustered HetNets
[NO] 660/1000 | MARFI: Missingness-Aware Rectified-Flow Imputation for MNAR Data in Predictive Maintenance
[NO] 661/1000 | High-Responsivity ReMoS
                    <sub>2</sub>
                    Photodetector on Gallium Nitride Patterned Substrate for Visible-Light Image Sensing and Communication Applications
[NO] 662/1000 | Vortex Electromagnetic Imaging: A Review_supp1-3718140.pdf
[NO] 663/1000 | A Learning-Enhanced Method for the Multi-Visit Vehicle-Drone Routing Problem With Continuous Locations
[NO] 664/1000 | Efficient Representation of New Ship Dynamics Through Reuse of Existing Maneuvering Models
[NO] 665/1000 | 3D Ultrasonic Imaging Method for Composite Materials Based on Fusion of Visible Light Image and Depth Maps
[NO] 666/1000 | Extracting Explainable Temporal Features in Multivariate Time Series Classification Pipelines
[NO] 667/1000 | EARTH: Accelerating Spatiotemporal Network K-function-based Analytics
[NO] 668/1000 | Domain-Specific Data Synthesis for LLMs through Minimal Sufficient Representation Learning
[NO] 669/1000 | The Sim-to-Real Gap of Foundation Model Agents: A Unified MDP Perspective
[NO] 670/1000 | Agent-Didactic Spaces: Mining Multi-Stakeholder Trade-Offs in Educational Pathway Data
[NO] 671/1000 | IPO-Mine: A Toolkit and Dataset for Section-Structured Analysis of Long, Multimodal IPO Documents
[NO] 672/1000 | Local Rules, Global Efficiency: Emergent Coordination on Large-Scale Road Networks
[NO] 673/1000 | Organizing Committee
[NO] 674/1000 | DLCV 2026 Cover Page
[NO] 675/1000 | Title Page
[NO] 676/1000 | Enhanced Target Sensing for OFDM ISAC With L-Shaped Arrays Using Coupled Tensor Decomposition
[NO] 677/1000 | AIGC and IoT-driven Gamified Digital Therapy
[NO] 678/1000 | Shared-Partition Multi-Output Hinge Regression Trees for Explicit MPC Distillation in Chassis Control
[NO] 679/1000 | How I Turned AI to the Dark Side: I Hijacked the Biggest AI Models. No One Cared
[NO] 680/1000 | Joint Pattern, Data and Channel Estimation for Unsourced Random Access in GMAC and MIMO Systems
[NO] 681/1000 | Dynamic Data Center Power Load Control via Risk Constrained Reinforcement Learning
[NO] 682/1000 | Center-Fed Pinching Antenna System (C-PASS): Modeling, Analysis, and Beamforming Design
[NO] 683/1000 | Optimal Binary Power Control and Passive Beamforming for RIS-Assisted Spectrum Sharing
[NO] 684/1000 | A flexible fiber-sponge composite stress sensor for mechanical - strain - gated logic device and artificial intelligence tactile perception_supp2-3719155.mp4
[NO] 685/1000 | Simultaneous Force and High-Fidelity Texture Reconstruction via a Spring-based Visuotactile Sensor
[NO] 686/1000 | Physically Motivated Knowledge Distillation for Blind Geometric Correction of Side-Scan Sonar Imagery_supp1-3720594.pdf
[NO] 687/1000 | A T-type Three-Level DC-DC Converter with Input Capacitor Current Balance
[NO] 688/1000 | Quantitative Study on the Factors Influencing the Visual Attraction of Historical Commercial Streets: A Case Study of Jimo Ancient City
[NO] 689/1000 | From Digital Reproduction to Cultural Symbiosis: A Pathway of Integration and Co-Creation in the Digitization of Cultural Artifacts
[NO] 690/1000 | Geoacoustic Inversion in Shallow Water via Differentiable Modeling
[NO] 691/1000 | Machine Learning-Based Delivery Time Prediction for Low-Carbon Food Delivery
[NO] 692/1000 | AI-Driven Decision Support Systems for Lifestyle Modification in Cancer Prevention: Personalisation, Technologies and Ethical Challenges*
[NO] 693/1000 | High Resolution ACS-Based DWT Data Acquisition System for Employee Health Monitoring System
[NO] 694/1000 | Decoupled Initialization-Based Distributed Tube Model Predictive Control for Multi-Robot Systems Coordination
[NO] 695/1000 | A Study on Multi-Dimensional Evaluation of Product Design Based on AI Agent and Multi-Criteria Decision-Making - A Case Study of Red Dot and If Design Award Winners
[NO] 696/1000 | Research on Integrating Renewable Energy Sources into Smart Grids for Enhanced Power System Stability
[NO] 697/1000 | Advantages, Disadvantages, and Prospects of Online Painting Learning Platforms
[NO] 698/1000 | Integer Linear models for efficient optical fiber sourcing on a wholesale market
[NO] 699/1000 | AI-Driven Enhancement of Intrusion Detection Systems with Generative Adversarial Networks
[NO] 700/1000 | Cloud-Based Online Learning Platform
[NO] 701/1000 | Study on the Revitalization Path of Heritage Musical Instruments Driven by Multisensory Technology—Bronze Drum Interaction Device Design Demonstration
[NO] 702/1000 | A Stacking Classifier Approach for Company Performance Classification
[NO] 703/1000 | A Denoising Diffusion Probabilistic Model-Based Reconstruction System for Underwater Ship Radiated Noise Signal
[NO] 704/1000 | CSI Prediction Using Diffusion Models
[NO] 705/1000 | Localization of Conveyor Line for Unmanned Forklift Based on Improved YOLOv10
[NO] 706/1000 | Photovoltaic Power Forecasting: Benchmarking Deep Learning Architectures for Scenario-Based Production Scheduling
[NO] 707/1000 | Gate-Optimized Borrow-Select Subtractor Architectures for Energy-Efficient CMOS Arithmetic Units
[NO] 708/1000 | A Unet++ Model That Employs Automated Ai for the Analysis of Facial Recognition, Detection, and Segmentation, Which Also Encompasses the Examination of Wrinkles
[NO] 709/1000 | Velocity Tracking for Underactuated Unmanned Surface Vehicles via Deep Koopman Model Predictive Control
[NO] 710/1000 | GenEdu: Personalized Learning with Retrieval-Augmented Generative AI and Dual-Layer Evaluation
[NO] 711/1000 | Few-Layer MoSe
                    <sub>2</sub>
                    Nanomechanical Resonator with High Laser-Power-to-Frequency Responsivity at Room Temperature
[NO] 712/1000 | Implementation of Large Language Model and Spaced Repetition in a Web-Based Japanese Language Learning Application to Enhance User Memory Retention
[NO] 713/1000 | Research on the Impact of Color Attributes on Product's Cuteness Perception and Optimization Design Strategies
[NO] 714/1000 | HABFusion: A Multimodal Fusion Framework for Multi-Step Harmful Algae Bloom Prediction with Longer-Term Lead Time
[NO] 715/1000 | Adaptive Multi-Subspace Tracking for Robust Small Target Detection in Non-Stationary Shallow Water Reverberation
[NO] 716/1000 | Development of Single-sided Frequency Mixing Ultrasonic Transducers for Detecting Micro-defects in Pipeline Welds
[NO] 717/1000 | A Study on the Interference Suppression of CMOS MEMS Monolithic Integrated Infrared Detectors Under Environmental Temperature Variations and Electromagnetic Radiation
[NO] 718/1000 | A Method for Monitoring Tool Wear Based on the Coupling of Digital Twin and Tribological Mechanism
[NO] 719/1000 | Inventory Control with a Fixed Ordering Cost and Demand Learning
                    <sup>*</sup>
[NO] 720/1000 | Digital Preservation of Intangible Cultural Heritage Under Multimodal Data Fusion: A Case Study of the Jinjia Street Exhibition Hall in Dalian
[NO] 721/1000 | Exploring the Limits of AI Cryptanalysis with Semantic Discrimination Evaluation: From Enigma to RSA
[NO] 722/1000 | Invisible FaceMask: Active Defense Technologies Against Deepfake
[NO] 723/1000 | Coordinated Optimization of Hybrid Energy Storage System Sizing and Energy Management for Wave Energy Converter Applications
[NO] 724/1000 | H2K-Former: A Deep Learning-Based Hierarchy-Aware Transformer Reranker for Traditional Chinese Medicine Retrieval
[NO] 725/1000 | Sound-Speed-Ratio Inversion for Seabed Sediments Using Multi-Angle Sub-Bottom Profiler Data from a Parametric Array
[NO] 726/1000 | EY-Lite: A Computation-Efficient and Robust Framework for Real-Time Student Behavior Detection
[NO] 727/1000 | Analysis of the Site Characteristics of Traditional Villages Based on AI Image Recognition Technology: A Case Study of Traditional Villages in Northern Fujian
[NO] 728/1000 | Reassessing the Promises of AI in Commercial Arbitration: Do the Advantages Really Hold Up?
[NO] 729/1000 | Reduced-Order Dynamics Modeling of Deep-Sea Mining Vehicles Considering Slip-Sinkage Coupling
[NO] 730/1000 | A Ship Target Modulation Feature Extraction Method Based on Vmd-Cycbd
[NO] 731/1000 | Smart Deep Learning System for Real-Time Driver Drowsiness and Yawn Detection to Enhance Road Safety
[NO] 732/1000 | Engineering Readiness Assessment for IFRS 17 Claims Processing: A Data Integrity and Auditability Framework
[NO] 733/1000 | Analysis of Motor &amp; Wheel Steering Model Based on ADAS
[NO] 734/1000 | Depth Control of an AUV Using Bow and Stern Horizontal Rudders: Methodology and Experimental Validation
[NO] 735/1000 | Analyzing Student Sentiment in Literature Discussions Using Machine Learning Techniques
[NO] 736/1000 | Attention-Based Deep Learning for Early Cancer Detection from Circulating Tumor DNA
[NO] 737/1000 | Experimental Verification of Vibration-Based Unbalance Detection in a PMSM Drive Using a CNN-Based Classification Framework
[NO] 738/1000 | Seeds of Tomorrow: Pioneering a Transparent Future in Indian Agriculture
[NO] 739/1000 | Development of a Soft Start for DC Circuit Breakers in Seafloor Network Power Systems
[NO] 740/1000 | Design Thinking for Fostering Innovation in Logistics
[NO] 741/1000 | Design of control laws for partially observable timed event graphs with disturbances inputs under hybrid constraints
[NO] 742/1000 | From Legal Advice to Legal Automation: the Scope of AI in Providing Accessible Legal Services
[NO] 743/1000 | Research on User Behavioral Characteristics of AI Video Tools Based on Online Text Data and Questionnaire Data
[NO] 744/1000 | AI-Assisted Analysis of Guzheng Performance Body Movements: Innovation Through Motion Recognition Technology
[NO] 745/1000 | A Study on Parent-Child Product Design Focusing on Father's Participation Based on the Analytic Hierarchy Process Methodology
[NO] 746/1000 | The Impact of Increasing Foreign Direct Investment in the Fashion Industry on Export Prices
[NO] 747/1000 | An Attention-Driven Autoencoder with Dual- Domain Modulation for High-Fidelity Ultrasound Speckle Suppression
[NO] 748/1000 | Identification of the Control Object Dynamics by Symbolic Regression
[NO] 749/1000 | Theoretical and Computational Analysis of Airflow-Induced Leaf Collection Mechanism in a Selective Tea Harvesting End-Effector
[NO] 750/1000 | Research on Optimization Strategies for Homestay Space Based on Visual Hotspots and Integration Degree: A Case Study of the Characteristic Homestays in Bali, Wafangdian
[NO] 751/1000 | Trajectory Tracking Control of AUV-Towed Array Systems: A Transverse Function and HOCBF Approach
[NO] 752/1000 | Research on the Optimization of Macau's Urban Cultural Light Environment Based on Tourist Satisfaction
[NO] 753/1000 | An Improved YOLOv8n Algorithm for Crack Detection
[NO] 754/1000 | Sample-Efficent ASV Trajectory Tracking: A Model-Based Reinforcement Learning Approach Using Encoder-Decoder Predictors
[NO] 755/1000 | NSR-Boost: A Neuro-Symbolic Residual Boosting Framework for Industrial Legacy Models
[NO] 756/1000 | Attention Heads Hold the Key to Understanding Safety Mechanisms in Large Language Models
[NO] 757/1000 | Decoding Intent from Fragments: Structure-Aware Late Interaction for Concept-Level EEG-to-Text Retrieval
[NO] 758/1000 | Beyond Linear Dynamics: Neural Bilinear Dynamical Models for Time Series Forecasting
[NO] 759/1000 | APEX-SQL: Talking to the data via Agentic Exploration for Text-to-SQL
[NO] 760/1000 | Towards Sustainable Growth: A Multi-Value-Aware Retrieval Framework for E-Commerce Search
[NO] 761/1000 | Generative Recommendation for Large-Scale Advertising
[NO] 762/1000 | Title Page iii
[NO] 763/1000 | AIC 2026 Copyright Page
[NO] 764/1000 | Descriptor: (UW-TransStereo)_supp1-3721416.pdf
[NO] 765/1000 | Construction of CIDOC CRM Knowledge Ontology for the Digitalization of Southern Lion Dance Culture
[NO] 766/1000 | Explainable Multimodal Deepfake Detection Framework Using Hybrid Models
[NO] 767/1000 | Asymmetric Van der Waals Contact Engineering for Tunable Carrier Transport in MoS₂ Transistors
[NO] 768/1000 | Underwater Acoustic Reflection Mechanism of Honeycomb Panels
[NO] 769/1000 | Research on Enterprise Financial Risk Early Warning and Dynamic Assessment Model Based on Deep Learning
[NO] 770/1000 | Supervised Underwater Stereo Matching with Adaptive Color Correction: A Simplified Crossdomain Approach
[NO] 771/1000 | Enterprise Digital Invoice Data Processing Model and Tax Analysis Application Based on Data Pipeline Technology
[NO] 772/1000 | A Wafer-Level Thin-Film Vacuum Encapsulation Process for High-Sensitivity Silicon MEMS Resonant Differential Pressure Sensors
[NO] 773/1000 | Encounters with the Sculptural in the Digital Age - Navigating Materiality and Narrative of Post-Human Art
[NO] 774/1000 | Research on the Protection and Inheritance of the Appearance Morphology of Historical Buildings Based on Digital Twin Technology
[NO] 775/1000 | Statistical Transmit Beamforming for Underwater Acoustic Communications
[NO] 776/1000 | HyperspectralCNN: An Efficient Deep Architecture for Hyperspectral Image Classification
[NO] 777/1000 | Performance Evaluation of SINS/USBL Cooperative Positioning for UUVs Under Intermittent Working Modes
[NO] 778/1000 | A Kano Model-Based Study of Modular Smart Homes in Small Family Dwellings for Youth Groups
[NO] 779/1000 | MNF-YOLOv11: Multi-Node Fusion for Broadband Detection and Recognition of Underwater Acoustic Communication Signals
[NO] 780/1000 | Design, Optimization, and Experimental Validation of a 3-DOF Parallel Robotic Ankle Based on a 2SPU-1RU Architecture
[NO] 781/1000 | A Framework for Fairness Evaluation in Academic Recommender Systems: Evidence from Scholarly Data
[NO] 782/1000 | Depth-Diversity Optimization of Distributed Buoy Deployment in Complex Island-Reef Environments
[NO] 783/1000 | Dream-X: Aromatherapy Product Design for Sleep Disorder Relief Under Digital Therapy Theory
[NO] 784/1000 | A Multimodal Emotion-Aware Chatbot for Mental Well-Being Using Text and Facial Expression Analysis
[NO] 785/1000 | Schema-Constrained Quadruple Extraction from Emergency Plansvia Domain-Specific Supervised Fine-Tuning
[NO] 786/1000 | Lightweight Semantic 3D Mapping in Sewer Pipes Leveraging Cylindrical Geometry
[NO] 787/1000 | Research on the Spatial Distribution of Building Entrances Along Streets Based on Self-Collected Street View Images and Deep Learning Models
[NO] 788/1000 | Research on the Evaluation of Sustainable Rural Revitalization Under Digital Technology
[NO] 789/1000 | Design-Based Carbon Reduction Strategies for Green Infrastructure Under Dual-Carbon Background: A Case Study of the Cycling Station
[NO] 790/1000 | Efficient Linearization for Explicit Multilinear Models in Tensor Train Representation
                    <sup>*</sup>
[NO] 791/1000 | A Self-Organizing Encirclement Method for Swarm Robots Based on Encirclement Strategy
[NO] 792/1000 | Implementation of Recurrent Neural Networks to Predict the Price of Blue Chip Stocks in the Indonesian Capital Market
[NO] 793/1000 | Internal Wave Detection Based on HF Radar Measured Surface Current Map
[NO] 794/1000 | An Optimal Control Framework for Personalized Chemotherapy: EKF State Estimation and DDPG Optimization
[NO] 795/1000 | Research on Multi Modal Interactive Design Model for Cultural Relic Exhibition: Integration of MDA Framework and Flow Theory
[NO] 796/1000 | M-GRAD: Fusing Heterogeneous Logs into AI-Driven Graphs for Anomaly Detection and IP Risk Analysis
[NO] 797/1000 | Intelligent Prediction and Optimization of Acoustic Absorption Characteristics of Underwater Robot Hulls Based on Deep Neural Networks
[NO] 798/1000 | On the Regeneration Path of Industrial Heritage Protection and Cultural Tourism Integration Development--Taking the Construction of Taoxichuan Cultural and Creative Neighborhood in Jingdezhen as an Example
[NO] 799/1000 | Experimental Realization of Ta
                    <sub>2</sub>
                    O
                    <sub>5</sub>
                    -Based All-Solid-State Lithium-Ion Battery with High-Temperature Stability
[NO] 800/1000 | Evaluation of NAP-based approaches for monitoring Neural Network classifiers
[NO] 801/1000 | A Simultaneous Current Profiling and Bottom Tracking Algorithm for LADCP Based on Clipped Echo Restoration
[NO] 802/1000 | Portable Device for Angular Measurement and Muscle Activation of the Knee in the Sagittal Plane
[NO] 803/1000 | The Role of NTNs in Integrating Ground and Aerial Users for 3-D Intelligent Transportation Systems
[NO] 804/1000 | Advertisement
[NO] 805/1000 | A Medium-term Daily Electricity Consumption Forecasting Method with Dynamic Response Law Constraints and Meteorologically Similar Days
[NO] 806/1000 | A DVS-Enabled SIMO Converter Using Adaptive Dual-Window Synthetic Current Control for 0.02 mV/mA Cross Regulation and 90.8% Peak Efficiency
[NO] 807/1000 | A Freshness-Aware Architecture for C-V2X: Integrating Fully Decoupled RAN with MEC
[NO] 808/1000 | Modelling Nonlinear Coefficients in Frequency Combs Based on Coupled Resonators and Parametric Excitation
[NO] 809/1000 | A Hybrid Surface-Deep Flexible Array for Simultaneous Cross-Scale Neural Recordings in Freely Moving Mice
[NO] 810/1000 | Learning to Smooth: Mitigating Energy Waste in High-Maneuverability Turns for Hovering AUVs Formation
[NO] 811/1000 | Communication-Decision-Aware $\beta$-Divergence Convolutive Nonnegative Matrix Factorization for Underwater Acoustic Dolphin Whistle Signal Enhancement
[NO] 812/1000 | Minimizing Dwell-Time Conservatism in Supervisory Fault-Tolerant Control: An LMI-Based Approach
[NO] 813/1000 | A Joint Framework for Video Deepfake Detection and Frame-Level Provenance Protection
[NO] 814/1000 | Broadband Topological SAW Energy Localization via PnC Heterostructures
[NO] 815/1000 | Exploring Scene Design in Interactive Narrative Digital Games
[NO] 816/1000 | Privacy-Preserving VPKI Using Federated Learning for Cross-Domain Vehicle Authentication
[NO] 817/1000 | Semi-supervised Dual Siamese Networks Mutual Correction Framework for 3D Medical Image Segmentation
[NO] 818/1000 | Analysis of Land Use Change and Its Ecological and Environmental Effects in Zhuanghe, Liaoning Province
[NO] 819/1000 | Tightly-Coupled Fusion of DVL in Graph-based Visual-Inertial Odometry
[NO] 820/1000 | Design and Accuracy Analysis of a Hybrid-Driven Lightweight Manipulator for Fine Seabed Intervention
[NO] 821/1000 | Research on Multi-Objective Path Planning Algorithm for Complex Environments Based on Improved Deep Reinforcement Learning
[NO] 822/1000 | System Identification and Control of a Wind Turbine System Using Model Predictive Control
[NO] 823/1000 | Multifunctional Traditional Stop Motion Animation Image Acquisition System Based on CCD Smart Sensor
[NO] 824/1000 | Heart Failure Risk Stratification in an IoT Healthcare Platform using Ensemble Learning
