[2026-07-14 10:47:47] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-13
正在获取论文...
[arXiv] 2026-07-13 | Fundamental Limitations of Fixed-Budget Best-Arm Identification
[NO] 1101/1925 | Residual Compensation-Based Multi-Frequency Data Fusion for Polarized Light/INS Integrated Navigation
[NO] 1102/1925 | A Bayesian Decision Framework for Software Release Based on Human-Factor SRGM, Priority Queue Debugging, and Nonlinear Residual-Fault Reliability
[NO] 1103/1925 | Intention-Aware Model Predictive Control for Orbital Pursuit-Evasion Games
[NO] 1104/1925 | Optimized Polyphase FIR Filtering: A Pragmatic Approach for Next-Generation Wireless Systems
[NO] 1105/1925 | Detection of Parkinson’s Disease using Quantum Transformers
[NO] 1106/1925 | Comprehensive TCAD Investigation on Nanosheet through the High-k dielectric and Dimensional Scaling for Advanced CMOS Applications
[NO] 1107/1925 | DGSemCom: Digital Generative Semantic Communications via Discrete Denoising Diffusion Model for Latent Error Correction
[NO] 1108/1925 | Transformer-Enhanced Deep Learning Model for Lung Disease Classification
[NO] 1109/1925 | Automating Vulnerability Assessment Using a Machine Learning Framework for CVSS Scoring
[NO] 1110/1925 | Adaptive Sphere Decoder Based Joint Detection and Estimation for MIMO RIS-assisted ISAC Systems
[NO] 1111/1925 | A Comprehensive Pipeline for Detection and Localization of Focal Epilepsy Using EEG Signals
[NO] 1112/1925 | Corrigendum: Electric Vehicles Security and Privacy: Challenges, Solutions, and Future Needs
[NO] 1113/1925 | Holding Your Mind: Analysing Opportunities for Embodied Self-reflection in the Materiality of Personal Mind Sculptures
[NO] 1114/1925 | From Infinite to Accumulative Approximation: Generative Drift and Creative Agency in AI-Assisted Image-Making
[NO] 1115/1925 | Charting Creative Journeys through Musical Performance with AI
[NO] 1116/1925 | Dialogical Participation for Social Change:  A Story of Street Art, Conflict and Activism
[NO] 1117/1925 | A Neurosymbolic Architecture for Semiotic Screenplay Interpretation
[NO] 1118/1925 | What barriers do students experience when trying to contribute to Open Source Software projects?
[NO] 1119/1925 | An Autoethnography of Choreographing the Dance Performance “Vintage”
[NO] 1120/1925 | Learning Programming in Informal Spaces: Using Emotion as a Lens to Understand Novice Struggles on r/learnprogramming
[NO] 1121/1925 | Design of an Octogonal Star-Shaped Microstrip Bandpass Filter for Wireless Applications
[NO] 1122/1925 | Gesture-to-Text ASL Recognition using Landmark-based Classification: A Comparative Study of KNN and SVM
[NO] 1123/1925 | Conductivity, Magnetoresistance, and Structure of CoFeB/SiO
                    <sub>2</sub>
                    Composite Films
[NO] 1124/1925 | A Retrieval Augmented Multimodal Framework for Dermoscopic Skin Disease Classification and Grounded Medical Assistance
[NO] 1125/1925 | Optimisation of EQDC Protocol for Improved Energy Efficiency and Cluster Head Selection in WSN
[NO] 1126/1925 | Toward Secure IoT Systems: A Layered Survey of Attacks, Mitigation Strategies, and Research Challenges
[NO] 1127/1925 | Dual-Band Capsule Conformal Antenna with DiskLoaded Vertical T-Patch and Defective Ground
[NO] 1128/1925 | From Air-Gap Covert Channels to 6G THz-ISAC Remote Vibrometry: A Survey and Vibration-Aware Physical Layer Defense Framework
[NO] 1129/1925 | Design of Low Noise Amplifier using NMOS CVF OTA for Neural Recording Applications
[NO] 1130/1925 | Deployable Deep Learning for Acute Lymphoblastic Leukemia: A Comparative Evaluation of Knowledge Distillation Strategies for Binary Histopathological Screening
[NO] 1131/1925 | An Explainable Hybrid Transformer-Based Feature Fusion Approach for Smishing Detection in Cybersecurity
[NO] 1132/1925 | Marginal-Aware Framework for 3D Shape Segmentation: Resolving Boundary-Internal Face Imbalance
[NO] 1133/1925 | Gaussian-Elimination-Free Ordered Statistics Decoding via Pre-Stored Systematic Matrices
[NO] 1134/1925 | Estimation of the Micro-Doppler Period and Translation Parameters based on Enhanced Ambiguity Function
[NO] 1135/1925 | FuGuard: Client-Level Federated Unlearning via Generative Surrogates and Optimal Transport
[NO] 1136/1925 | Integrating Agglomerative Perception with One-step Action Generation for Robotic Manipulation
[NO] 1137/1925 | Readout Electronics of a Pulsed Time-of-Flight LiDAR combining Linear and Logarithmic Amplifiers for a Wide Dynamic Range
[NO] 1138/1925 | CSI Ratio Linearization for Accurate Water-Level Sensing Using Communication Signals
[NO] 1139/1925 | RWW Call for Industry Presentations
[NO] 1140/1925 | Continuous Blood Monitoring With Particle-Based Integrated Sensing and Communication (ISAC)
[NO] 1141/1925 | UOIM: Online Incentive Design for Fair Hierarchical Federated Learning and Unlearning in Edge Computing
[NO] 1142/1925 | SCVM3D: A Hybrid Backbone with Sparse Convolutions and Mamba-2 for Voxel-based 3D Object Detection
[NO] 1143/1925 | Underwater Stereo 3D Measurement Device and Method Based on Multi-line Structured Light Array
[NO] 1144/1925 | In-Flight Magnetometer Self-Calibration Using Onboard Coils
[NO] 1145/1925 | Physics-Constrained Regularization for Robust Ultrasound Thermal Displacement Estimation
[NO] 1146/1925 | Interactive Rigging of Art-directed and Stylized Plants
[NO] 1147/1925 | Stage Presence: Design and Testing of a Virtual Rehearsal Room Toolset
[NO] 1148/1925 | Practical Methods for Kinky-Coily Hair in Animation Production
[NO] 1149/1925 | DOTA: Intelligent Debugging with
                    <u>D</u>
                    elta
                    <u>o</u>
                    f
                    <u>T</u>
                    houghts
                    <u>A</u>
                    gents
[NO] 1150/1925 | They Call Her ‘Miss’ and Him ‘Professor’: Lived Experiences of Women Teaching Support Staff in IT/SE Education
[NO] 1151/1925 | Fairness-First Design Thinking for Software Architecture
[NO] 1152/1925 | Leveling Up: Experiences and Evidence-driven Upgrades to a Game Coding Camp for Autistic High School Students
[NO] 1153/1925 | Fusion-Based Remaining Useful Life Prediction of SGCMG Considering Measured and Hidden Parameters
[NO] 1154/1925 | Sliding-Mode Tracking Control for Offshore Cranes Based on Time-Delay Estimator
[NO] 1155/1925 | BlackSeaCom 2026 List Reviewer Page
[NO] 1156/1925 | BlackSeaCom 2026 Copyright Page
[NO] 1157/1925 | Measurement-Bandwidth Engineering for Shot-Noise-Limited SWIR Hyperspectral Line-Scan Instrumentation
[NO] 1158/1925 | Table of Contents
[NO] 1159/1925 | BAW Filter Realized by Excellent Quality Factor Resonator for RF Communication
[NO] 1160/1925 | Potential risk mining of battery systems for electric vehicles: Multi-level screening and statistical analysis of safety features
[NO] 1161/1925 | Practical Loss Estimation of Power Inductors Under Non-sinusoidal Excitation Based on Sinusoidal Measurements
[NO] 1162/1925 | HSMTrack: Heterogeneous-State Motion Tracking for Vision-Sensor Pipelines
[NO] 1163/1925 | SAGINGeo: A Space-Aerial-Ground Integrated Framework for VGI Geolocalization in Multi-Disaster Scenarios
[NO] 1164/1925 | FlowM-mmWImager: Flow Matching Generative Model for Near-Field mmWave Imaging
[NO] 1165/1925 | Design and Quantitative Evaluation of an Embedded EEG Instrumentation Platform for Real-Time SSVEP Decoding
[NO] 1166/1925 | High-Performance Transmission-Based Measurement of Thickness and Group Refractive Index for Transparent Samples Using a Dual-Probe Spectral Interferometer
[NO] 1167/1925 | FreDFT: Frequency Domain Fusion Transformer for Visible-Infrared Object Detection
[NO] 1168/1925 | Persistent-Excitation Enhanced Dual MPC for Reciprocal Learning and Control in Uncertain Environments
[NO] 1169/1925 | The 2026 Microwave Theory and Technology Society Graduate Student Fellowship Awards [Education News]
[NO] 1170/1925 | Masthead
[NO] 1171/1925 | Temperature-Self-Compensating Fiber-Optic Ammonia Sensor in Water Based on a Hybrid Cascade Structure
[NO] 1172/1925 | Differential Electrodes Piezoelectric MEMS Hydrophone based on Beam-Island Structure with High Sensitivity and Stability
[NO] 1173/1925 | Through-the-Wall Radar Building Layout Reconstruction with Size-Adaptive Block Sparse Constraint
[NO] 1174/1925 | Formal verification of PKMv3 Protocol using ProVerif
[NO] 1175/1925 | Technical Feasibility of an Efficient Deep Learning-Based Super-Resolution Method for 3D MR Angiography_supp1-3712275.mp4
[NO] 1176/1925 | AI-Driven Data Leakage Detection in Multi-Cloud Environments Using Observability and Machine Learning
[NO] 1177/1925 | A Multimodal MRI-PET Deep Learning Framework Using Vision Transformers and Deformable U-Nets for Early Alzheimer’s Diagnosis
[NO] 1178/1925 | Fluctuating-Nakagami Channel Modeling and Reliability Analysis of RIS-Assisted V2V Communication at 5.9 GHz
[NO] 1179/1925 | Comparative Analysis of Temporal Attention and Bidirectional LSTM Architectures for Radar Modulation Classification
[NO] 1180/1925 | E2DCE-Net: Enhanced and Efficient Deep Curve Estimation Network for Real-Time Low-Light Image Enhancement
[NO] 1181/1925 | DDoS Attack Detection in 5G Control Plane Using Machine Learning
[NO] 1182/1925 | Cost-Effective Smart Agriculture Framework for Smallholder Farmers in Sub-Saharan Africa
[NO] 1183/1925 | Design and Analysis of a High Gain Single Switch Step Up DC-DC Converter for Standalone EV’s Charging System
[NO] 1184/1925 | The Role of Human Agency in Human-AI Co-Creativity
[NO] 1185/1925 | Playable Archives: Balancing Historical Accuracy and Player Freedom via RAG-Enhanced AI Game Mechanics
[NO] 1186/1925 | Humour as Resistance: Visceralizing the Environmental and Social Impact of AI through Humour-based Creative Practices
[NO] 1187/1925 | VR as a Creative Medium for Immersive Storytelling: An Autobiographic Design Exploration
[NO] 1188/1925 | Path Guiding in Disney's “Zootopia 2”
[NO] 1189/1925 | Disney’s “Zootopia 2” Crowds: Bringing the Desert Festival to Life
[NO] 1190/1925 | Simulating Superpowers: From Flailing to Flying in a Controller-Free CAVE
[NO] 1191/1925 | Secure Split Offloading and Trajectory Design for UAV-Assisted Multi-Exit Collaborative DNN Inference_supp1-3708394.pdf
[NO] 1192/1925 | Performance Analysis of an Anomaly Detection Method based on Distributed Spatial Filtering
[NO] 1193/1925 | Multiple UAV-based FSO Systems with Relay Selection over Málaga and IGGG Turbulence Channels
[YES] 1194/1925 | Degradation Trajectory Retrieval and Diffusion-Based Fault Generation
[NO] 1195/1925 | Two-Player Alternate Uses Test: A Controlled Testbed for Interactive Human-AI and Human-Human Co-Creation
[NO] 1196/1925 | Reimagining Facilitation of Creative Verbal Conversations with Generative AI
[NO] 1197/1925 | From Retrieval to Responsibility: Designing Creative MRAG with Control and Governance
[NO] 1198/1925 | PU-GANomaly: Generative Adversarial Networks for Anomaly Detection in Positive and Unlabeled Time Series Data
[NO] 1199/1925 | Steady-state Non-contact Intraocular Pressure Measurement Based on Displacement Gradient
[NO] 1200/1925 | Fourier-Calibrated Dynamic Prompts for Universal Hyperspectral Image Restoration
[NO] 1201/1925 | A Portable and Modular Platform for Integrated TENG Characterization: Resolving the Effect of Surface Roughness
[NO] 1202/1925 | Knowledge-Free Online Parameter Control in Accuracy-Based Classifier Systems
[NO] 1203/1925 | Towards Efficient Semi-Asynchronous Federated Learning: A Multi-Factor Grouping and Dual-level Selection Scheme Under Heterogeneous Environments
[NO] 1204/1925 | High-Precision Discrete-Time Modeling and Control Performance Evaluation of Induction Motors under Low Switching-to-fundamental Frequency Ratios
[NO] 1205/1925 | Fast Three-Dimension Multilayer Fourier Basis Expansion Inversion Accelerated by Multilevel Green's Function Interpolation Method
[NO] 1206/1925 | Comparative Performance of Machine Learning Regressors and LSTM for Wind Power Forecasting: A Diagnostic Framework
[NO] 1207/1925 | How Changes in Muscle Activity and Range of Motion Represent User Perceptions of Back-support Exoskeleton Performance
[NO] 1208/1925 | Reframe: Rethinking Versioning as a Creative Practice in Coding
[NO] 1209/1925 | Bodies that Measure and are Measured
[NO] 1210/1925 | Ecosystem-Centric Capstone: Lessons from Simulating a Tech Company in Software Engineering Education
[NO] 1211/1925 | An Empirical Study of Anonymous, Unmoderated, and Online Peer-to-Peer Programming Tutoring Conversations
[NO] 1212/1925 | Hypergraph Neural Network Based Framework for Breast and Ovarian Cancer Detection Using Medical Images
[NO] 1213/1925 | A Trustworthy AI Framework for Explainable, Bias Mitigation and Attack Resilient Loan Prediction
[NO] 1214/1925 | Multi-Ring Circular Slotted Patch Antenna Design for Wireless Power Transfer Applications
[NO] 1215/1925 | Reversible Cryptographic Processing Architecture Using XOR–Shift–Adder Transform Pipeline
[NO] 1216/1925 | Development of Non-Invasive Based Diabetes Mellitus Sensing via In-Vitro and In-Vivo Using Infrared Technology
[NO] 1217/1925 | Smart Assistive EEG Signal Device for Brain-Computer Interface Applications
[NO] 1218/1925 | Theta Modulation Based Bandwidth Optimization Method For Medical Image Transmission
[NO] 1219/1925 | Architecture of Semantic Multiprotocol Translator
[NO] 1220/1925 | Vision Transformer-Based Architecture for Multi-Class Classification and Risk Stratification of Myocardial Infarction from Cardiac ECG Images
[NO] 1221/1925 | Localized Work-Function Engineering for Current Balancing in Stacked Nanosheet FETs
[NO] 1222/1925 | Conditional GAN Augmented BiLSTM Based Intrusion Detection for Securing In-Vehicle CAN Networks
[NO] 1223/1925 | Implementation of a Dual-ESP32 Smart Helmet System for Two-Wheeler Safety and Automated Accident Response
[NO] 1224/1925 | Breathing Life into Illustrations - Building a look for Stylized Compositing
[NO] 1225/1925 | The Blocks Conundrum
[NO] 1226/1925 | Inter:Lace -- An Antagonistic Wearable for Outsourcing Social Self-Regulation
[NO] 1227/1925 | Making Creative Technology Workable in Under-Resourced Classrooms
[NO] 1228/1925 | Mimori: A Tangible Origami Artefact Highlighting Human Impact Upon Non-Humans
[NO] 1229/1925 | What Makes an AI Writing Companion a Good Fit? A Personality-Informed Co-Design Study
[NO] 1230/1925 | Mitigating Modality Quantity and Quality Imbalance in Multimodal Online Federated Learning
[NO] 1231/1925 | Adaptive Terrain Gradient-Aspect-Constrained 3D Displacement Retrieval of Mountain Slopes Using Ascending and Descending Time-Series InSAR
[NO] 1232/1925 | Privacy-Preserving Opportunity Cost Bounds for Efficient Energy Storage Market Coordination
[NO] 1233/1925 | Orthogonal Amplitude and Phase Regulated Excitation Alternating Current Field Monitoring Method for Quantitative Crack Orientation Evaluation
[NO] 1234/1925 | Toward Efficient Deployment of LLMs on Resource-constrained In-vehicle Devices: A Hardware-Aware Knowledge Distillation Approach
[NO] 1235/1925 | Digital Representatives in Collective Decision-Making_supp1-3709177.pdf
[NO] 1236/1925 | A High-Resolution and Fast-Response Optical Fiber Sensor for Ocean Temperature Based on a SiC Chip
[NO] 1237/1925 | Robust Compensation-Tracking Control of the Unified Power Quality Conditioner: Iterative joint estimation of dynamic harmonic states and system states under uncertain DC-Link voltage_supp1-3609897.pdf
[NO] 1238/1925 | The Influence of Between- and Within-map Lightness Variation on Decision Making with Hazard Maps
[NO] 1239/1925 | Factor-Assisted Federated Learning for Personalized Optimization with Heterogeneous Data_supp1-3712213.pdf
[NO] 1240/1925 | Online Feedback Optimization for Constrained Stochastic Problems with Decision-Dependent Distributions
[NO] 1241/1925 | MSP-Net: Multi-Scale Polarization Network for Remote Sensing Detection
[NO] 1242/1925 | Tunable Funnel-Based Distributed Safety-Critical Formation Maneuvering of Air-Ground Swarms
[NO] 1243/1925 | A Bio-inspired Ankle-Foot Prosthesis with Tactile Sensing Capability to Facilitate Reflex Control of Toe-Gripping Function during Unexpected Perturbations
[NO] 1244/1925 | Linearization of Beamforming Low-Earth Orbit Satellite Links Using Digital Predistortion Architectures
[NO] 1245/1925 | Chirp Index Modulated Pilot-Aided Non-Coherent Activity Detection for Massive Access
[NO] 1246/1925 | SDLA: Semantic-Decoupled Label Assignment for Real-Time Tiny Wildfire Detection
[NO] 1247/1925 | DACA-YakSeg: A Lightweight Dual-Axis Context Attention Network for Efficient and Accurate Yak Segmentation in Wild Pastures with Downstream Morphometric Analysis
[NO] 1248/1925 | Topology-Driven Shielding Performance of Additively Manufactured Gyroid and Diamond Lattice Structures
[NO] 1249/1925 | DRHeC: Differentiable Rendering for Hand-Eye Calibration with RGB-Based Gradients
[NO] 1250/1925 | Partner or Competitor? The Dual Role of a Creditor-Manufacturer in Channel Distribution
[NO] 1251/1925 | Human-Driven, Autonomous, or Hybrid? The Optimal Fleet Configurations for Ride-Hailing Platforms
[NO] 1252/1925 | Federated Learning-Based Multi-Layer Security and Energy Intelligence Framework for Smart Homes
[NO] 1253/1925 | Agricultural Crop Monitoring and Pest Detection Using Drone Technology
[NO] 1254/1925 | Deep Fake Shield: A Hybrid Deep Learning-Based Framework for Robust Detection of AI-Generated and Manually Manipulated Facial Images
[NO] 1255/1925 | Space Efficient Implementation of 16-bit PRESENT Cipher for IoT Applications
[NO] 1256/1925 | A Comparative and Performance-Driven Machine Learning Framework for Accurate Crop Recommendation Using Multivariate Agricultural Data
[NO] 1257/1925 | Predicting Intent Using ARMA, ARMAX, and ARIMA: A Comparative Study and Future Perspectives with Machine Learning
[NO] 1258/1925 | Efficient 5.8GHz Microstrip Antennas for Intelligent Transportation Systems: Design, Fabrication and Performance Analysis
[NO] 1259/1925 | Leveraging AI-Synthesized OSINT for Spear Phishing Detection
[NO] 1260/1925 | EMSTouch: Electrical Muscle Stimulation for Object Interaction and Social Touch in Extended Reality
[NO] 1261/1925 | Actionspaces – Storytelling through Proxemic Interactions in Augmented Exhibitions
[NO] 1262/1925 | Ask Before or After? Clarification Timing and User Experience in Generative AI
[NO] 1263/1925 | Rewriting the Game: Exploring Mods as a Creative Community Practice
[NO] 1264/1925 | From Personas to Programming: Gender-specific Effects of Design Thinking-Based Computing Education at Secondary Schools
[NO] 1265/1925 | Three-port Hybrid-type Dual-mode Isolated Resonant DC-DC Converter and its Optimized Modulation Strategy
[NO] 1266/1925 | AI-Assisted DC-Biased Impedance Sensing for Liver Cancer
[NO] 1267/1925 | Decoupling Inconsistencies for Human Motion Prediction: An Inconsistency Decoupling Framework
[NO] 1268/1925 | Optimized Multi-Scale Convolutional Neural Network-Wavelet Feature Fusion with Reinforcement-Based Explainable Selection
[NO] 1269/1925 | Prediction of Individual Motion Sickness of Bus Passengers Using a 6DoF-SVC Model Driven by Handheld Tablet Motion During Visual Tasks_supp1-3710322.docx
[NO] 1270/1925 | TrafficGamer: Reliable and Flexible Traffic Simulation for Safety-Critical Scenarios with Game-Theoretic Oracles
[NO] 1271/1925 | Reduced Complexity Layered CPA List Decoders for Reed-Muller Codes
[NO] 1272/1925 | Study on the Characteristics of Pre-Breakdown Arc During Capacitive Closing in Vacuum Interrupters
[NO] 1273/1925 | DiVE: Efficient Multi-View Driving Scenes Generation Based on Video Diffusion Transformer
[NO] 1274/1925 | A new method for three-dimensional positioning of volume defects in solid materials based on acoustoelectric conversion: finite element model simulation and physical experimental verification
[NO] 1275/1925 | IEEE Transactions on Magnetics Institutional Listings
[NO] 1276/1925 | Ultra-Low-Complexity and High-Efficiency DMRS Sequence Detection for 5G NR-Based LEO Satellite Communication Systems
[NO] 1277/1925 | Adaptive Output-Feedback Fault-Tolerant Control for Distributed Optimization of Nonlinear MASs under Event-Triggered Communication
[NO] 1278/1925 | Agents Need Protocols, Not API Wrappers
[NO] 1279/1925 | Device-Cloud Collaborative LLM Inference with Multi-Modal, Multi-Task, Multi-Turn Conversations
[NO] 1280/1925 | Robust Statistical GAA Nanosheet 1T-DRAM with Isolated Storage
[NO] 1281/1925 | Implementation of the SIMON Lightweight Cipher Hardware Accelerator on RISC V
[NO] 1282/1925 | Explainable AI for Brain Tumor Detection and Classification System using Deep Learning and Computer Vision
[NO] 1283/1925 | Computationally Efficient Lightweight Model for Multi-Class Brain Tumor Diagnosis
[NO] 1284/1925 | Uncertainty-Aware Reliability Analysis of RNFL-Related Predictions in OCT Images
[NO] 1285/1925 | A Short Among the Stars: Pipeline Adaptation when Everything is a Volume in Disney's “Versa”
[NO] 1286/1925 | Blind Detection of FHSS Signals with Image Segmentation Based Low Complexity Deep Learning Architecture
[NO] 1287/1925 | Thermal Color Spectrum-Based Molten Iron Temperature Prediction for Energy-Efficient Pour Control
[NO] 1288/1925 | Enhancing Debugging Skills With AI-Powered Assistance: A Real-Time Tool for Debugging Support
[NO] 1289/1925 | AI for Systems is "AGI-Complete"
[NO] 1290/1925 | Finding the Unicorn within a Million Patches: A Material-Driven Journey into the Hidden Layers of a Diffusion Model
[NO] 1291/1925 | Art Card Game (ACG): Embedding Illustration in Gameplay to Mitigate Artist Self-Criticism
[NO] 1292/1925 | Embodied Musical Interaction through Everyday Objects
[NO] 1293/1925 | Design and Optimization of a Microcontroller-Based Power System Protection Relay for Enhanced Fault Detection and Clearance
[NO] 1294/1925 | Comparative Study of a Circular Patch Antenna and a Four-Element Circular Patch Array for High-Frequency Applications in 6G Systems
[NO] 1295/1925 | Presence detection of persons in a room using 5G ISAC non-ML techniques
[NO] 1296/1925 | ARAMSI-6G: AI-Driven Resource Allocation in Multi-Slice Industrial 6G Networks
[NO] 1297/1925 | A Formal Security Definition for Quantum Private Query and Worst-Case Analysis of the GLM Protocol
[NO] 1298/1925 | AutoDL Based Model for Quality Assessment of Diabetic Retinopathy Images from DeepDRiD
[NO] 1299/1925 | Explainable AI-Based Early Prostate Cancer Prediction Using Machine Learning Models
[NO] 1300/1925 | Junctionless Dual-Gate FET for High-Sensitivity pH Measurement: A Performance Analysis in SG and DG Modes
[NO] 1301/1925 | 2026 International Conference on Next Generation Electronics (NELEX)
[NO] 1302/1925 | Table of Contents
[NO] 1303/1925 | IEEE Magnetics Society Information
[NO] 1304/1925 | Emergent Semantics in Lensless Imaging: Decoupled Segmentation With Physics-Guided Feature Inversion
[NO] 1305/1925 | The Electrode Nonlinearity Error Suppression of Hemispherical Resonator Gyro under Whole-Angle Mode
[NO] 1306/1925 | Methanethiol electroanalysis with carbon nanotube/gelatin-modified glassy carbon electrodes_supp1-3708282.pdf
[NO] 1307/1925 | An Adaptive Assistance Strategy Based on Handling Load and Kinematics to Control a Back Exoskeleton for Lifting Assistance
[NO] 1308/1925 | Proactive Charging Strategy Based Efficiency Optimization for Multi-UAV Collaborative Planning in Large-Scale Open Environments
[NO] 1309/1925 | MAC-S$^{3}$Robo: Mamba-Driven Contrastive Semi-Supervised Surgical Robot Segmentation for Minimally Invasive Surgery
[NO] 1310/1925 | Reliability-Oriented Sensor Scheduling in IIoT With Age of Estimation Constraint
[NO] 1311/1925 | Space Computing Power Networks: A Survey
[NO] 1312/1925 | GEVReg-MIDAS-SSVS for Mixed-Frequency Time Series Interval Forecasting
[NO] 1313/1925 | Pilot-Assisted Hybrid Training Strategy with Orthogonal Polynomial Basis for Receiver Nonlinear Post-Distortion
[NO] 1314/1925 | The Breadth of MTT [From the Editor's Desk]
[NO] 1315/1925 | Fine-grained hierarchical metadata-driven multi-task learning for anomalous sound detection under domain shift
[NO] 1316/1925 | Design of Collocated Electric and Magnetic Dipole Antennas
[NO] 1317/1925 | Enhancing UAV Flight Performance: A Prescribed-Performance Control Framework With Experimental Validation
[NO] 1318/1925 | An Augmented LBL/PG Integrated Navigation Method with In-Situ Acoustic and Pressure Data
[NO] 1319/1925 | A Unified Framework for Cross-sensor Assisted Learned Image Compression
[NO] 1320/1925 | A Generative Motion Rig for Artist-Driven Motion Authoring
[NO] 1321/1925 | An Artist-Friendly Albedo Approximation for Transmissive Materials
[NO] 1322/1925 | Devising Interactive Spaces: A Rehearsal-Oriented Tool for Creating Responsive Environments for Immersive Theatre
[NO] 1323/1925 | "Creating the World with Order!': Designing Tangible Toolkit to Support Creative Expression and Wellbeing for Individuals with ASD
[NO] 1324/1925 | Engaging Theatrical Audiences in Digital Sites: Embracing Experiential Onboarding Tactics
[NO] 1325/1925 | XR Memory Beyond the Screen: Designing an XR Photo Album for Embodied Memory Revisiting
[NO] 1326/1925 | From LLM to LLH (Large Language models to Large Language Humans): Instruction as Medium in Human-AI Role Reversal
[NO] 1327/1925 | ReSound: Reimagining Neurorehabilitation through Creative Movement–Sound Interaction
[NO] 1328/1925 | A Benchmark for Analyzing Cloud Storage Layouts
[NO] 1329/1925 | TF-MOEA: A Multi-Objective Evolutionary Framework with Self-Adaptive Topological-Functional Mutation for Protein Complex Detection_supp3-3710847.pdf
[NO] 1330/1925 | A Hybrid Chan-Taylor and Particle Filter Positioning Method with OTFS Signals
[NO] 1331/1925 | Enhancing Sensing Accuracy in AN Transmission based Secure Multi-Target Massive MIMO ISAC
[NO] 1332/1925 | DTEA: Degradation-Aware Taylor Expansion Approximation Network for Pansharpening
[NO] 1333/1925 | GATSBI: An Online GTSP-Based Algorithm for Targeted Surface Bridge Inspection and Defect Detection
[NO] 1334/1925 | Chemi-Resistive H
                    <sub>2</sub>
                    S Sensor: Packaging Process Development to Mitigate Humidity Effects
[NO] 1335/1925 | Revisiting Goto's Method: Stable Hexagonal Array Pattern Synthesis via Recursive Spatial Mapping
[NO] 1336/1925 | Permanent Magnet Synchronous Motor Drive Controller With Optimum Regenerative Braking for Electric Vehicles
[NO] 1337/1925 | 3D Signature Reconstruction and Activity Classification Using Distributed 60 GHz MIMO Radar
[NO] 1338/1925 | HonorDrive: A Multimodal Large Language Model for Autonomous Driving in Rainy Driving Conditions
[NO] 1339/1925 | Design of Coupled Underwater Acoustic Array for Deep Sub-wavelength DOA Sensing
[NO] 1340/1925 | Mamba-based Frequency Domain Enhancement Infrared Small Target Detection Network
[NO] 1341/1925 | Kernel-Based Learning of Stable Nonlinear Systems
[NO] 1342/1925 | Joint Bayesian Parameter and Model Order Estimation for Low-Rank Probability Mass Tensors
[NO] 1343/1925 | Design Methodology of a Microstrip Filtering Antenna with Sharp Frequency Selectivity and its Application to the Design of a Dual-Polarization Diplexing Antenna
[NO] 1344/1925 | Characterization of NbTiN Thin Films for Waveguide-Integrated Superconducting Nanowire Detectors
[NO] 1345/1925 | Analysis and Investigation for a New Family of Switched-Impedance Split-Source Inverters in Small-Scale PVs
[NO] 1346/1925 | A Risk-Aware and Privacy-Preserving V2G Aggregator for Frequency Regulation Markets
[NO] 1347/1925 | A Layer-Aware Selective Weight Protection Strategy for PCM-Based Neural Network Inference Under Conductance Drift
[NO] 1348/1925 | Continual Learning for Channel Prediction in UAV-LEO Satellite Communications
[NO] 1349/1925 | RICA: A Reconfigurable In-Sensor Computing Architecture with Parallel Weight Distribution for Versatile Edge Vision
[NO] 1350/1925 | Calibratable Disambiguation Loss for Multi-Instance Partial-Label Learning
[NO] 1351/1925 | Sparse Multi-Target Magnetic Anomaly Imaging Utilizing Magnetic Attenuation Model with Gradient Variations
[NO] 1352/1925 | An Artificial Nociceptor Based on Organic Electrochemical Transistor
[NO] 1353/1925 | Observer-Based Adaptive Prescribed Performance Control for Cyber-Physical Systems Against FDI Attacks
[NO] 1354/1925 | Implementation of Multi-Sensor IoT Architecture for Asset Tracking with Persistent GPS Localization and Real-Time Monitoring
[NO] 1355/1925 | Modified Low-Power Up/Down Clipping Counter With Transistor-Level Optimization
[NO] 1356/1925 | Relay-Assisted Quantum FSO Communication over GG Turbulence with Pointing Errors
[NO] 1357/1925 | Design and Analysis of Microstrip Patch Antenna RF Sensor for Fuel Contamination Detection
[NO] 1358/1925 | Impact of Service Time Distribution on Link Maintenance in Cognitive Radio Networks
[NO] 1359/1925 | Low-Latency OTT Streaming Using CMAF and Just-In-Time Packaging
[NO] 1360/1925 | A Transformer-Based Dual-Feature Fusion Framework for Efficient and Interpretable ECG Classification
[NO] 1361/1925 | A Variable Gain Charge-to-Voltage Converter for Piezoelectric Sensors in Smart Textile Based Gait and Posture Monitoring
[NO] 1362/1925 | Design and Development of Frequency Reconfigurable Antenna for Wireless Applications
[NO] 1363/1925 | A Cross-Session Benchmark for Device-Free Presence Detection Using Wi-Fi Channel State Information
[NO] 1364/1925 | LatentScore: Sketching Soundscapes with LLM-Distilled Retrieval for Procedural Synthesis
[NO] 1365/1925 | VTR-LLM: Multi-Agent LLM Framework for Automated Debugging of FPGA CAD Flows
[NO] 1366/1925 | Pareto Set Prediction Assisted Bilevel Bi-objective Optimization
[NO] 1367/1925 | CONTACT
[NO] 1368/1925 | Cradle of Success: Fortune-Telling Stereotypes and Wishful Futures in the Age of Generative AI
[NO] 1369/1925 | Playing with Self-Provocations: Constraining Strategies for Making Internalized Assumptions Strange
