[2026-08-07 10:02:11] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-06
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608060000+TO+202608062359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-8-6 | BAGAS: Blockchain-Assisted Group Authentication Scheme for Internet of Drones
[NO] 556/1000 | A Fast and Accurate Two-Stage Sketch Framework for Heavy Hitter Detection
[NO] 557/1000 | Channel Estimation for Multi-RIS Wireless Systems: A Brief Taxonomy and Near-Field Perspective
[NO] 558/1000 | A Model-Free Redundant Manipulator Control Scheme Based on Tikhonov Regularization Cerebellar-Inspired Network
[NO] 559/1000 | Convergence of Dynamic Regression Extension and Mixing Estimator Under Noisy Measurements
[NO] 560/1000 | GT²D: Unifying Temporal Dynamics and Spatial Topology for Encrypted Traffic Anomaly Detection_supp1-3711089.pdf
[NO] 561/1000 | Cross-Modal Temporal Alignment for Action Grounding in Videos
[NO] 562/1000 | Towards a Neural Foundation Model: A Probabilistic Spike Representation Model to Mitigate Neural Variability
[NO] 563/1000 | A-LOAF: A Real-Time Acoustic Localization Framework Based on AOA-FMCW Estimation
[NO] 564/1000 | Message from the Editor-in-Chief
[NO] 565/1000 | On-Chain Heuristic Dynamic Swarm-based Bi-directional Stacked MLP Framework for Smart Industrial Pollution Mitigation
[NO] 566/1000 | Intermittency and Persistence of Switching Modes in HfO.-Based Memristors
[NO] 567/1000 | A 60-V High-Linearity Shunt-Based In-Line Current Sensor With DLL-Assisted Dynamic Body-Biasing and High dV/dt PWM Rejection Up to 2MHz
[NO] 568/1000 | In-situ coaxial 3D monitoring of LPBF melt pool by a compact biprism-enabled stereo imaging system
[NO] 569/1000 | RS-Claw: Progressive Active Tool Exploration via Hierarchical Skill Trees for Remote Sensing Agents
[NO] 570/1000 | Data-driven Maturity Models Development Framework: An Item Response Theory Approach with Digital Transformation Case
[NO] 571/1000 | DocPure: Prompt-Free Unified Document Restoration via Degradation-Aware Structure-Guided Wavelet Modulation_supp1-3720433.pdf
[NO] 572/1000 | Global Maximum Power Point Tracking for Photovoltaic Systems under Partial Shading with Minimal Measurement Sets
[NO] 573/1000 | High-Order Tensorized Across-View Representation for Hyperspectral Image Classification
[NO] 574/1000 | A Channel Knowledge Map-Driven Two-Stage Coordinated User Scheduling in Multi-Cell Massive MIMO Systems
[NO] 575/1000 | Topological Optimization of Nanophotonic Devices Based on Gaussian Basis Function Parameterization
[NO] 576/1000 | Single-Phase Single-Stage Multi-channel PV DC-AC Inverter and Independent MPPT Control Based on AC Power Ripple
[NO] 577/1000 | Global Scheduling of Transient Parameter Materialization for Sharded Training
[NO] 578/1000 | Beyond Holistic Models: Systematic Component-level Benchmarking of Deep Multivariate Time-Series Forecasting
[NO] 579/1000 | A Practical Upper Bound on Selection Bias Effects in Medical Prediction Models
[NO] 580/1000 | Generating Graph-Like Logical Rules for Knowledge Graph Reasoning via Diffusion Models
[NO] 581/1000 | CEDAR: Controlled and Event-Driven Demand Forecasting via Residual Decomposition
[NO] 582/1000 | Prior-Guided Multi-Omic Transformers for Single-Cell Gene Regulatory Network Inference
[NO] 583/1000 | HyperEdit: Mitigating Hallucinations of Large Language Models via Hyperbolic Representation Editing
[NO] 584/1000 | KGA-LM: Representation-Level Grounding for Conversational Search over Knowledge Graphs
[NO] 585/1000 | Decoding Intent from Fragments: Structure-Aware Late Interaction for Concept-Level EEG-to-Text Retrieval
[NO] 586/1000 | Label Annotation for Tabular Anomaly Detection with Large Language Models
[NO] 587/1000 | Large Language Model (LLM) as an Excellent Reinforcement Learning Researcher in both Single-Agent and Multi-Agent Scenarios
[NO] 588/1000 | ManCAR: Manifold-Constrained Latent Reasoning with Adaptive Test-Time Computation for Sequential Recommendation
[NO] 589/1000 | ReAU: A Global-to-Local Perspective for Refining Alignment and Uniformity in Collaborative Filtering
[NO] 590/1000 | DynaTree: Dynamic Agentic Retrieval Tree for Time-Sensitive News Retrieval
[NO] 591/1000 | PhotoBench: Beyond Visual Matching Towards Personalized Intent-Driven Photo Retrieval
[NO] 592/1000 | Beyond Linear Dynamics: Neural Bilinear Dynamical Models for Time Series Forecasting
[NO] 593/1000 | Dynamic Spectral Denoising with Global-Context Attention for Multi-Behavior Recommendation
[NO] 594/1000 | APEX-SQL: Talking to the data via Agentic Exploration for Text-to-SQL
[NO] 595/1000 | Towards Sustainable Growth: A Multi-Value-Aware Retrieval Framework for E-Commerce Search
[NO] 596/1000 | Generative Recommendation for Large-Scale Advertising
[NO] 597/1000 | OceanVerse: Evaluable 4D Ocean Element Reconstruction Dataset under Realistic Sparsity
[NO] 598/1000 | HyMAGE: Semantic-Aware Dynamic Hypergraph Generation
[NO] 599/1000 | EqCollide: Equivariant and Collision-Aware Deformable Objects Neural Simulator
[NO] 600/1000 | Learning Robust Hypergraph Embeddings for Distribution-Free Uncertainty Quantification
[NO] 601/1000 | NSR-Boost: A Neuro-Symbolic Residual Boosting Framework for Industrial Legacy Models
[NO] 602/1000 | Regime-Adaptive Continual Learning for Portfolio Management
[NO] 603/1000 | Attention Heads Hold the Key to Understanding Safety Mechanisms in Large Language Models
[NO] 604/1000 | Representational Alignment with Chemical Induced Fit for Molecular Relational Learning
[NO] 605/1000 | Topology Optimization of Static Apparatus Based on Density Method with Grid Point for Smooth Geometry
[NO] 606/1000 | Two-Stage Evolution for Large-Scale Binary Optimization: Feature-to-Score Transformation and Guided Refinement_supp1-3717974.pdf
[NO] 607/1000 | Configuration Optimization of the Inserted Integrated CMV Filter for PMSMs with Distributed Parasitic Capacitances
[NO] 608/1000 | SeRIM 2026 Keynote
[NO] 609/1000 | CyberGuardEV: Interoperable Non-Intrusive IDS for Electric Vehicle Charging Stations
[NO] 610/1000 | 3-Total Hyperedge Sum Cordial Labeling for Hypertrees and Its Application in VANET Clustering
[NO] 611/1000 | Carbon-Aware Traffic Steering for TN-NTN Scenario via Graph Attention Reinforcement Learning
[NO] 612/1000 | Augmenting PID Control with Deep Reinforcement Learning: A Hybrid Approach to the Industrial Benchmark
[NO] 613/1000 | Improving TTP Mapping Accuracy in CTI Reports Using Structured RAG Query Configuration
[NO] 614/1000 | Poster: Fundamental Limits of Network Sensing Using CommSense
[NO] 615/1000 | A Resilience-Enhancing Approach to Reducing Traffic Downtime Under Consecutive Failures in Backbone Networks
[NO] 616/1000 | Synthetic Data Generation for Bias Mitigation
[NO] 617/1000 | IRIS: Invisible Laser Injection for Stealthy Backdoor Attacks
[NO] 618/1000 | A Geometric Approach to the Smith Chart [Educator’s Corner]
[NO] 619/1000 | Urban Travel Hotspot Identification Based on Multi-Density Adaptive Trajectory Clustering
[NO] 620/1000 | NFT Price-Prediction-Based Frontrunning Attack in Ethereum
[NO] 621/1000 | Real Time Food Vision Inspection on Raspberry Pi 5 and Jetson Orin Nano with Throughput Comparison
[NO] 622/1000 | Detecting Deepfakes through Visual Property Analysis and Classical Machine Learning Models
[NO] 623/1000 | Natural Language-Driven Active AI Agent Camera System: LLM-Guided Semantic Anchor Modulation for Real-Time Edge Deployment
[NO] 624/1000 | Query-Based Fingerprinting of Text-to-Image Large Language Models
[NO] 625/1000 | Maximum Likelihood Finite Memory Structure Filter Based Target Tracking Using Finite Nonlinear Measurements
[NO] 626/1000 | Homogeneous vs. Heterogeneous UAV Fleets for Critical Infrastructure Surveillance: an Event-Driven Monte Carlo Simulation under Environmental Network Stress
[NO] 627/1000 | Automated Multimodal Radiology Assistant: Learning Human-like Diagnostic Gaze and Dictation from Expert Eye Gaze and Audio Data
[NO] 628/1000 | Programmable Data Plane-Based TCP Multi-Queue Scheduling Scheme Using RTT and CCA Classification
[NO] 629/1000 | BigQuery-Native Agentic AI Framework for Retail Engagement: From Clickstream to Gamification, Segmentation, and Predictive Insights
[NO] 630/1000 | Quantum-Enhanced Secure Data Handling: A Hybrid Architecture with BB84-Based Encryption and Cloud-Native Orchestration
[NO] 631/1000 | Adaptive Energy-Aware Machine Learning Framework for Fault Monitoring in Network-on-Chip Architectures
[NO] 632/1000 | Design of an On-Device AI-Based Autonomous Manufacturing System for Machining Processes
[NO] 633/1000 | Practical Comparison Between PID Control and Fuzzy Logic in a Line-Following Robot
[NO] 634/1000 | Uncertainty-Aware Underwater Image Enhancement via Bayesian Deep Learning
[NO] 635/1000 | SynTrade: A Hybrid Multi-Agent Trading System Combining Sentiment Analysis and Technical Indicators
[NO] 636/1000 | Revisiting Bluetooth Vulnerabilities in Automotive Infotainment Systems: A Remote Code Execution Case Study
[NO] 637/1000 | Knowledge Graph-Based Propagation for Failure Localization in 5G Core Networks
[NO] 638/1000 | Analysis of Total Ionizing Dose Effects in Buried Channel Array Transistors with Scaled Word-Line-Direction STI/Side-Gate Thickness
[NO] 639/1000 | Latency in Real-Time 3D Volumetric Streaming: A Comprehensive Study
[NO] 640/1000 | Hybrid Modulation and Generalized Internal Model Control for Wide Input Voltage Range LLC Resonant Converters
[NO] 641/1000 | Feature Selection via Graph Topology Inference for Soundscape Emotion Recognition
[NO] 642/1000 | Detection Method of Vehicle Wheel Alignment Parameters Based on Over Constrained Feature Tetrahedra in Optical Field
[NO] 643/1000 | Grid-Orch: An LLM-Powered Orchestrator for Distribution Grid Simulation and Analytics
[NO] 644/1000 | Dynamic Information Fusion for Personalized Federated Learning
[NO] 645/1000 | Flip-Chip Bonding of 3D Copper Compressible Microinterconnects for Cryogenic Electronic Packaging
[NO] 646/1000 | Quantitative Privacy Evaluation and Lightweight Edge Blockchain-based Application Architecture for Intelligent Home Environments
[NO] 647/1000 | 2026 IEEE 12th Conference on Big Data Security on Cloud (BigDataSecurity)
[NO] 648/1000 | Hierarchical Disentanglement Guided Diffusion for Multimodal Brain Tumor Segmentation
[NO] 649/1000 | From Pixels to Images: A Structural Survey of Deep Learning Paradigms in Remote Sensing Image Semantic Segmentation
[NO] 650/1000 | Self-Supervised Indoor Tracking with Radio Error Map Generation for Zero-Shot Adaptation
[NO] 651/1000 | Three-Dimensional ISAR Imaging of Maneuvering Targets Based on Signal Separation in the Monopulse Radar
[NO] 652/1000 | IEEE Access
[NO] 653/1000 | 2026 IEEE 32nd International Symposium on Local and Metropolitan Area Networks (LANMAN)
[NO] 654/1000 | G-Quadruplex-Driven Potassium Ion (K
                    <sup>+</sup>
                    ) Sensing at the MoS
                    <sub>2</sub>
                    –Aptamer Biointerface for Wearable Electrochemical Diagnostics
[NO] 655/1000 | Virtual Impedance-Based Power Management in Islanded DC Microgrid With Hybrid Electrolyzer-Based Hydrogen Production System
[NO] 656/1000 | Causality for Tabular Data Synthesis: A High-Order Structure Causal Benchmark Framework
[NO] 657/1000 | Node4All: Learning Node Representation Beyond Datasets
[NO] 658/1000 | AlphaMaster: Dual-Chain Feedback for Scalable and Diverse Alpha Factor Discovery
[NO] 659/1000 | Generative AI and Large Language Models for Financial Markets: From Behavioral Prediction to Autonomous Trading
[NO] 660/1000 | SGS-GNN: A Supervised Graph Sparsifier for Graph Neural Networks
[NO] 661/1000 | MSR-PP: Modular Symbolic Regression with Physics Priors for PDE Discovery
[NO] 662/1000 | Graph Adversarial Defense with Virtual Spectral Anchor Injection
[NO] 663/1000 | JourneyFormer: Encoding Airbnb Guest Journey with Sequence Modeling
[NO] 664/1000 | Learning Emergent Modular Representations in Multi-modality Medical Vision Foundation Models
[NO] 665/1000 | CanniUplift: A Holistic Framework for Mitigating Seller and Incentive Cannibalization in E-commerce Uplift Modeling
[NO] 666/1000 | Enhanced GCD through ORBGRAND-AI: Exploiting Partial and Total Correlation in Noise
[NO] 667/1000 | ARIA: A Causal-Aware Framework for Rescuing LLM Reasoning in Trustworthy Materials Discovery
[NO] 668/1000 | UrbanFM: Scaling Urban Spatio-Temporal Foundation Models
[NO] 669/1000 | Find Tailored Step Example for Next Step: a Targeted Step-wise Retrieval Framework for Guiding LLM Reasoning
[NO] 670/1000 | Continuous Causal Component and Structure Discovery from Time Series
[YES] 671/1000 | CluBS: Clustering Behavioural Similarity
[NO] 672/1000 | Benchmarking on Tasks That Matter: Dataset Selection for Preserving Model Rankings
[NO] 673/1000 | SigFJProp: Lightweight and Scalable Signed Graph Learning via Opinion Dynamics
[NO] 674/1000 | BRIDGE: Block-Wise Speculative Coordination for Cloud-Edge Retrieval-Augmented Generation
[NO] 675/1000 | Training Dense Retrievers with Multiple Positive Passages
[NO] 676/1000 | CRAG-MM: Multi-modal Multi-turn Comprehensive RAG Benchmark
[NO] 677/1000 | GraphARC: A Comprehensive Benchmark for Graph-Based Abstract Reasoning
[NO] 678/1000 | Adaptive Momentum by Momentum for Deep Neural Network Training
[NO] 679/1000 | DeepTaxon: An Interpretable Retrieval-Augmented Multimodal Framework for Unified Species Identification and Discovery
[NO] 680/1000 | Causal Estimation of Share-Induced Engagement with Flywheel Effects
[NO] 681/1000 | PaperRepro: Automated Computational Reproducibility Assessment for Social Science Papers
[NO] 682/1000 | Out-of-Distribution Robust Explainer for Graph Neural Networks
[NO] 683/1000 | Mapping LLM Capability Frontiers via Formalized and Calibrated Probes
[NO] 684/1000 | DEFINED: A Data-Efficient Computational Framework for Fine-Grained Creativity Assessment in Debate Scenarios
[NO] 685/1000 | CryptoAnalystBench: Failures in Multi-Tool Long-Form LLM Analysis
[NO] 686/1000 | Bridging the Gap: Real-Time Cost Control for Autobidding
[NO] 687/1000 | VIVID: Backbone Training-Free Text-to-Image Video Editing via Variational Latent Anchors
[NO] 688/1000 | Black-Box Embedding Inversion Attack on Vector Databases
[NO] 689/1000 | USBD: Universal Structural Basis Distillation for Source-Free Graph Domain Adaptation
[NO] 690/1000 | <scp>EvoFEND:</scp>
                    Dual Memory-Driven Self-Evolving Fake News Detection
[NO] 691/1000 | Estimate Level Adjustment For Inference With Proxies Under Random Distribution Shifts
[NO] 692/1000 | Hierarchical Long-Term Semantic Memory for LinkedIn's Hiring Agent
[NO] 693/1000 | MASS: A Complexity-Optimal Solution for Product Kernel Density Visualization
[NO] 694/1000 | LTSV: Layered Type-Constrained Shapley Value for Heterogeneous Graph Data Valuation
[NO] 695/1000 | From Hype to Strategy: Using Extensional Representation Encoding to Evaluate Quantum Computing's Business Value
[NO] 696/1000 | mmVibFlow: Gauging the Airflow of Air Conditioning Using mmWave Signal
[NO] 697/1000 | Dynamic Weapon-Target Assignment via HJI Reachability and Marginal-Return Column Enumeration
[NO] 698/1000 | Learning to Beamform for RIS-Aided ISAC: An Edge-Enhanced Soft-Sparse Heterogeneous Graph Neural Network Approach_supp1-3720612.pdf
[NO] 699/1000 | Guest Editorial: Net-Zero 6G Networks: Enabling Technologies and Pathways to Sustainable Operation
[NO] 700/1000 | Bayesian Wideband Signal Detection via Source Signal Marginalization and RJMCMC
[NO] 701/1000 | Residual-Driven Multi-UAV Fusion Localization for Dynamic Multipath Environments
[NO] 702/1000 | Q-TOP: Queue-Aware Task Offloading and Path Planning for Multi-UAV Assisted Vehicular Edge Computing Networks
[NO] 703/1000 | Harnessing Channel Physics: A Fiber-Optic Kernel for Integrated Computation and Communication
[NO] 704/1000 | A Novel Graph Transformer Framework for Predicting Drug-Disease Associations with Structural Awareness
[NO] 705/1000 | Extraction of Inertia and Damping Parameters in Inverter-Based Sources via Controlled Frequency Ramp Disturbances
[NO] 706/1000 | ICUFN 2026 Cover Page
[NO] 707/1000 | IEEE Open Journal of Antennas and Propagation Instructions for authors
[NO] 708/1000 | Feature-Sensitivity-Aware Quantization and Joint Multi-Streaming Design for Latency-Constrained Multi-Task Semantic Communications
[NO] 709/1000 | J. Microwaves Special 75th MTT Anniversary CFP
[NO] 710/1000 | AGSM: Anchor-Guided Spatial-Semantic Modeling for Remote Sensing Image Captioning
[NO] 711/1000 | Design of Multiport Converters for Distribution Grids: Sizing, Topologies and Control for Low and Medium Voltage Applications
[NO] 712/1000 | ICUFN 2026 Cover Page
[NO] 713/1000 | A Multi-Scale Dictionary Learning Deep Unfolding Network for Radio Map Reconstruction
[NO] 714/1000 | A Two-Stage Nonlinear Model Predictive Control for Navigation-Driven Power Allocation in Autonomous Naval Ships
[NO] 715/1000 | An Improved Active-Clamp Resonant Forward Three-Port Converter With Voltage Coupling and Structural Simplification
[NO] 716/1000 | ZeroRel: Relational Reasoning via Graph-guided Large Language Models
[NO] 717/1000 | CES: Combinatorial Experts Selection via Contextual Linear Bandits
[NO] 718/1000 | Net-Ev
                    <sup>2</sup>
                    : A Generative Simulator for Network Event Evolution
[NO] 719/1000 | Personalizing Large Language Models with User Profile Memory
[NO] 720/1000 | TaoSR1: The Thinking Model for E-commerce Relevance Search
[NO] 721/1000 | Unified Multi-Domain Graph Pre-training for Homogeneous and Heterogeneous Graphs via Domain-Specific Expert Encoding
[NO] 722/1000 | SEA-FGT: Frequency-Guided Transformer with Semantic Expert Augment for Time Series Anomaly Detection
[NO] 723/1000 | Rethinking Federated Unlearning via the Lens of Memorization
[NO] 724/1000 | AGDN: Learning to Solve Traveling Salesman Problem with Anisotropic Graph Diffusion Network
[NO] 725/1000 | Where to Go Next: Enhancing Zero-Shot Capability for Cross-City Mobility Prediction
[NO] 726/1000 | Intuition-Guided Latent Reasoning for LLM-Based Recommendation
[NO] 727/1000 | Graph Navier-Stokes Networks
[NO] 728/1000 | From Surface to Depth: Diagnosing Ocean Vertical Velocity with 3D Frequency Operator
[NO] 729/1000 | ViroBench: Benchmarking Nucleotide Foundation Models on Viral Genomics Tasks
[NO] 730/1000 | HiTF: A Hippocampal-Thalamic Function-Inspired Framework for Robust Multimodal Sentiment Analysis with Incomplete Data
[NO] 731/1000 | NCCDA: Neuron-wise Class-Conditional Distribution Alignment for Deep Neural Network Repair
[NO] 732/1000 | CausalT5k: Diagnosing Refusal and Failure Modes in Trustworthy Causal Reasoning Across Causal Rungs
[NO] 733/1000 | Enterprise AI Agents: From Prototypes to Production
[NO] 734/1000 | Benchmarking Multimodal LLMs on Recognition and Understanding over Chemical Tables
[NO] 735/1000 | CoFE: Collaborative Feature Engineering via Semantically-Guided Exploration and Diagnostic-Driven Refinement
[NO] 736/1000 | On the Push-Based Asynchronous Federated Learning: A Bias-Correction Aggregation Approach
[NO] 737/1000 | <scp>ReplicatorBench:</scp>
                    Benchmarking LLM Agents for Replicability in Social and Behavioral Sciences
[NO] 738/1000 | Realistic Simulation and Evaluation of E-CNY Lifecycle Transactions for Anti-Money Laundering
[NO] 739/1000 | Ordering-based Causal Discovery via Generalized Score Matching
[NO] 740/1000 | RekindleSketch: Time-Aware Detection of Recent Persistent Flows via Arrival-Driven Rewards
[NO] 741/1000 | Controlling Prediction Dynamics for Reliable Intraoperative Segmentation
[NO] 742/1000 | Differential-Integral Neural Operator for Long-Term Turbulence Forecasting
[NO] 743/1000 | RELATE: A Reinforcement-Learning-Enhanced LLM Framework for Advertising Text Generation
[NO] 744/1000 | NumCache: KV Cache Compression and Retrieval for Financial Document QA
[NO] 745/1000 | Learn to Coordinate City-Scale Virtual Power Plants: A Reasoning-Guided Evolutionary Framework for Hierarchical Heterogeneous Device Scheduling
[NO] 746/1000 | Temporal Graph Prototype-conditioned Conformal Prediction for Fraud Detection
[NO] 747/1000 | Ensembling LLM-Induced Decision Trees for Explainable and Robust Error Detection
[NO] 748/1000 | SciChart: Visual Question Answering and Reasoning for Scientific Spectral Chart
[NO] 749/1000 | Two-Stage Auctions with Bid Refinement for Online Advertising
[NO] 750/1000 | Personalizing Marketplace Policies with Competing Objectives and Constrained Experiments: Evidence from a Job Marketplace
[NO] 751/1000 | CityWeave: Weaving User Needs and World Constraints for Personalized and Reliable Mobility Planning
[NO] 752/1000 | LLMSynthor: Macro-Aligned Micro-Records Synthesis with Large Language Models
[NO] 753/1000 | Evaluating Digital Forensic Readiness of Charging Station Management Systems Implementing OCPP
[NO] 754/1000 | A Survey on Caching in Semantic Communication
[NO] 755/1000 | IoV-Assisted Semantic Communication for Occlusion-Aware Edge Autonomous Driving
[NO] 756/1000 | A Stability Testing Framework for Machine Learning in Honeypot Traffic Classification
[NO] 757/1000 | WTM-Aware Shift Direction Selection for Low Power Bidirectional Scan Testing
[NO] 758/1000 | Adaptive Registration Procedure for Roaming Scenarios in IP Multimedia Subsystem
[NO] 759/1000 | Scene-based spectral characterization of spaceborne imaging spectrometers in different spectral windows_supp1-3720505.pdf
[NO] 760/1000 | A Unified Approach for Pinching-Antenna Assisted Non-Orthogonal Multiple Access with Integrated Sensing and Communication
[NO] 761/1000 | On Mode-Independent Switching Control Strategy for Stabilizing Continuous-Time Linear Switching Systems
[NO] 762/1000 | DFF-Net: An efficient target detection network with deep feature extraction for underwater sonar images
[NO] 763/1000 | ICUFN 2026 Cover Page
[NO] 764/1000 | ContrastGrid: Grid-Aware Contrastive Dense Retrieval for Operational Knowledge Access in Power Grid Control Centers
[NO] 765/1000 | M²GCN: A Multi-adjacency Mamba-enhanced Graph Convolutional Network for Hyperspectral Image Classification
[NO] 766/1000 | LLM-Guided Multi-agent Joint Velocity and Spectrum Optimization in Advanced Air Mobility
[NO] 767/1000 | Message from the General Chairs
[NO] 768/1000 | Hardware-Assisted Mutual Authentication and Decentralized Trust Management for Secure V2X Communication
[NO] 769/1000 | Adaptive Noise-Learning $k$WTA Network and Its Application to Multi-Manipulator Systems
[NO] 770/1000 | Feedback Link-Free THP and Abs-K-Means Clustered Nonlinear Equalizer Enabled Low Complexity FTN Signaling for Intra-DCI
[NO] 771/1000 | A Comprehensive Statistical Framework for Identifying and Assessing Optical Marine Pseudo-Invariant Calibration Sites
[NO] 772/1000 | Thermal-Pulse Measurement of Polarity-Dependent Electric Field Distortion in Metallized BOPP Films
[NO] 773/1000 | Enhancing Graph Neural Network Explainers Using a Distribution Shift Consistency-Guided Generator_supp1-3717880.pdf
[NO] 774/1000 | POF-based Sensor Device for Assessment of Human-Robot Interaction Forces
[NO] 775/1000 | An Information Geometry Manifold Clustering Algorithm for Anti-Deceptive Jamming in Multistatic Radar Systems
[NO] 776/1000 | Decentralized Collaborative Manipulation in a Tractor-Laborer Setting
[NO] 777/1000 | Study on the Influence of Short-circuit and Overload on the Electrical Properties of PP and XLPE Medium Voltage Cables
[NO] 778/1000 | cBiConvGRU-Based Time-Frequency Domain Channel Estimation for 2D Modulation Systems
[NO] 779/1000 | Sensing-Budget Allocation for Flood-Resilient Metro-Bus Bridging: The Operational Value of Crowdsourced Information
[NO] 780/1000 | Risk-Aware Time-Adaptive Conformal Quantile Regression for SoC Interval Estimation in Battery Energy Storage Systems
[NO] 781/1000 | A Coupled Two-Stage Dynamic Weapon-Target Assignment for Attacking a Fleet Formation under Limited Weapon Resources
[NO] 782/1000 | Author Index
[NO] 783/1000 | Efficient semantic content-based image retrieval with cloud-optimized raster formats
[NO] 784/1000 | GPT-Inspired Adaptive Physical-Layer Authentication for Industrial Wireless Communication Systems
[NO] 785/1000 | TemporalBench: A Benchmark for Evaluating LLM-Based Agents on Contextual and Event-Informed Time Series Tasks
[NO] 786/1000 | Shifting the Unit of Safety: From Model to System in the Generative and Agentic Era
[NO] 787/1000 | Deconstructing Staleness: Mitigating Training-Serving Skew in Industrial-scale Online Learning Models
[NO] 788/1000 | RecCompl: Efficient Model Compilation for Industrial Scale Recommendation Models with PyTorch 2
[NO] 789/1000 | Embedding-Space Orthogonal Decomposition for Robust Social Recommendation
[NO] 790/1000 | MOBI: Monolithic Graph-Language Modeling Beyond Modality Interference
[NO] 791/1000 | EmergentBridge: Improving Zero-Shot Cross-Modal Transfer in Unified Multimodal Embedding Models
[NO] 792/1000 | Beyond Black Boxes: An Energy-Based Unified Framework for Interpretable Stock Selection
[NO] 793/1000 | BrainNetGFM: A Graph-Based Foundation Model for Brain Network Construction Integrating Individualized Geometry and Joint Self-Supervised Learning
[NO] 794/1000 | Kunlun: Establishing Scaling Laws for Massive-Scale Recommendation Systems through Unified Architecture Design
[NO] 795/1000 | Why Retrieval-Augmented Generation Fails: A Graph Perspective
[NO] 796/1000 | GraphCliff: Short-Long Range Gating for Modeling Critical Activity Changes Caused by Subtle Molecular Differences
[NO] 797/1000 | Student Flow Modeling for School Decongestion via Stochastic Gravity Estimation and Constrained Spatial Allocation
[NO] 798/1000 | Simple yet Effective Diffusion-based Graph Data Augmentation via Complementary Diffusion Transfer
[NO] 799/1000 | 1st Workshop on AI for Fraud and Abuse
[NO] 800/1000 | T-ECD: A Large-Scale Cross-Domain E-Commerce Dataset for Industrial Recommender Systems
[NO] 801/1000 | On Representation Smoothness for Robust Architecture Discovery of Variational Quantum Circuits
[NO] 802/1000 | Efficient Approximation Algorithms for Adaptive Minimum Cost Seed Selection via mRR-set Updates
[NO] 803/1000 | DIREC: Diffusion-Based Review-Embedding Generation for Accurate Cross-Domain Recommendation
[NO] 804/1000 | AssetOpsBench: A Real-World Evaluation Benchmark for AI-Driven Task Automation in Industrial Asset Management
[NO] 805/1000 | SMES: Towards Scalable Multi-Task Recommendation via Expert Sparsity
[NO] 806/1000 | AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library
[NO] 807/1000 | Sharpness-aware Model Merging with Salience Recovery for LLM-based Cross-Domain Sequential Recommendation
[NO] 808/1000 | SocraticChem: Physics-Grounded Socratic Inquiry for Safety-Critical Experimental Science
[NO] 809/1000 | DiffPro: Decoupled Generative Prior with Diffusion Models for Efficient Few-Shot Drug Synergy Prediction
[NO] 810/1000 | G²PRO: Gradient-guided Graph Prompt Optimization for LLM-based POI Recommendation
[NO] 811/1000 | Discovery, Validation and Editing of Large Language Models Mechanisms: Recent Advances and Future Perspectives
[NO] 812/1000 | Advancing Graph Few-Shot Learning via In-Context Learning
[NO] 813/1000 | A Comparative Study of Evolutionary Algorithms for Predicting Blast-Induced Response of SFRC Slabs
[NO] 814/1000 | Research Trends in Channel Estimation for Dynamic Metasurface Antennas
[NO] 815/1000 | A 5G Testbed for AI-and-RAN on AI Edge: Design and Performance Evaluation
[NO] 816/1000 | Adaptive Channel Selection and Traffic Allocation for IEEE 802.11be MLO Using a Distributed Spectrum Management Database
[NO] 817/1000 | Analyzing the Unlinkability of SD-JWT: A Machine Learning Perspective
[NO] 818/1000 | Semantic Policy Regulation Mapping for IoT Cybersecurity Compliance
[NO] 819/1000 | ZittoBATT-250: Synthetic Abuse Data for Safer Smart Battery Early Warning Systems
[NO] 820/1000 | Uneven Learnability of Electrical Characteristics in TCAD-Derived LDMOS Surrogate Models
[NO] 821/1000 | SpikeGuard-LF: Conformal Spike-Lazy Forests for Wireless Sensor Network Intrusion Detection
[NO] 822/1000 | Predictive Web System Based on Machine Learning to Optimize Cross-Selling: Case of a Chemical and Reagent Distribution Company
[NO] 823/1000 | Redefinition of Inter-Message Arrival Time for Robust Controller Area Network Intrusion Detection
[NO] 824/1000 | Integrate Serverless AI/ML for Fraud Detection and Credit Spending Insights
[NO] 825/1000 | The Role of AI and Machine Learning in Next-Generation Governance, Risk, and Compliance (GRC) Platforms
[NO] 826/1000 | Energy-Saving Method for Bluetooth Low Energy Beaconing Using Tug-of-War Dynamics
[NO] 827/1000 | PLCA-Aware One-to-Many Diagnostic Transport over 10BASE-T1S Edge Networks
[NO] 828/1000 | Integrating DenseNet and Transformer Encoders for Advanced Skin Cancer Classification
[NO] 829/1000 | A 99% Efficient Input-Parallel Output Series Asymmetric Buck-Boost Interleaved Converter for Wide Output Voltage Range Applications
[NO] 830/1000 | Resonance for Impedance Conversion [Enigmas, etc.]
[NO] 831/1000 | IEEE Moving
[NO] 832/1000 | ADC Aperture Jitter Measurement in a Phasemeter for Space-based Gravitational Wave Detection
[NO] 833/1000 | Impact of Imperfect CSI on Projection-Based Secure MIMO Communications
